Timestamp,['1cdbb6d7-3343edad 0087-THATCHER BLDG Power Meter (301204) Current C']
2017-06-14T00:00:00-06:00,301.3280553403108 A
2017-06-15T00:00:00-06:00,292.12607256571454 A
2017-06-16T00:00:00-06:00,284.8494334220886 A
2017-06-17T00:00:00-06:00,250.73210334777832 A
2017-06-18T00:00:00-06:00,238.67477321624756 A
2017-06-19T00:00:00-06:00,277.3078335126241 A
2017-06-20T00:00:00-06:00,274.6956958770752 A
2017-06-21T00:00:00-06:00,260.8097405433655 A
2017-06-22T00:00:00-06:00,254.31786108016968 A
2017-06-23T00:00:00-06:00,253.90404653549194 A
2017-06-24T00:00:00-06:00,214.26067717870077 A
2017-06-25T00:00:00-06:00,208.63490343093872 A
2017-06-26T00:00:00-06:00,244.72122685114542 A
2017-06-27T00:00:00-06:00,265.60613171259564 A
2017-06-28T00:00:00-06:00,267.5193076133728 A
2017-06-29T00:00:00-06:00,247.91807472312843 A
2017-06-30T00:00:00-06:00,188.31266800729853 A
2017-07-01T00:00:00-06:00,218.74476742214625 A
2017-07-02T00:00:00-06:00,218.0392846548429 A
2017-07-03T00:00:00-06:00,256.09277788798016 A
2017-07-04T00:00:00-06:00,233.8483336766561 A
2017-07-05T00:00:00-06:00,270.07110834121704 A
2017-07-06T00:00:00-06:00,283.6982455253601 A
2017-07-07T00:00:00-06:00,270.6914710998535 A
2017-07-08T00:00:00-06:00,243.77309136641654 A
2017-07-09T00:00:00-06:00,240.31455834706625 A
2017-07-10T00:00:00-06:00,268.07632939020795 A
2017-07-11T00:00:00-06:00,273.81687863667804 A
2017-07-12T00:00:00-06:00,269.68135261535645 A
2017-07-13T00:00:00-06:00,274.384350104081 A
2017-07-14T00:00:00-06:00,266.68675963083905 A
2017-07-15T00:00:00-06:00,233.85983180999756 A
2017-07-16T00:00:00-06:00,238.9824449221293 A
2017-07-17T00:00:00-06:00,279.87912464141846 A
2017-07-18T00:00:00-06:00,273.63854598999023 A
2017-07-19T00:00:00-06:00,280.73607301712036 A
2017-07-20T00:00:00-06:00,288.1204492780897 A
2017-07-21T00:00:00-06:00,270.78459303114147 A
2017-07-22T00:00:00-06:00,246.73672274325756 A
2017-07-23T00:00:00-06:00,240.52468633651733 A
2017-07-24T00:00:00-06:00,247.073748588562 A
2017-07-25T00:00:00-06:00,264.3036096890767 A
2017-07-26T00:00:00-06:00,272.55411497751874 A
2017-07-27T00:00:00-06:00,272.8165825208028 A
2017-07-28T00:00:00-06:00,274.7396933237712 A
2017-07-29T00:00:00-06:00,270.23598686854046 A
2017-07-30T00:00:00-06:00,248.2612272898356 A
2017-07-31T00:00:00-06:00,278.67775170008343 A
2017-08-01T00:00:00-06:00,267.1533697446187 A
2017-08-02T00:00:00-06:00,269.7423933347066 A
2017-08-03T00:00:00-06:00,270.863965511322 A
2017-08-04T00:00:00-06:00,260.5186294384217 A
2017-08-05T00:00:00-06:00,247.49094772338867 A
2017-08-06T00:00:00-06:00,241.12240616480508 A
2017-08-07T00:00:00-06:00,274.8135408442071 A
2017-08-08T00:00:00-06:00,269.2599096298218 A
2017-08-09T00:00:00-06:00,273.5451610883077 A
2017-08-10T00:00:00-06:00,272.9358356182392 A
2017-08-11T00:00:00-06:00,268.16310866673786 A
2017-08-12T00:00:00-06:00,238.8314674695333 A
2017-08-13T00:00:00-06:00,241.99639097849527 A
2017-08-14T00:00:00-06:00,269.28209320704144 A
2017-08-15T00:00:00-06:00,268.4016170501709 A
2017-08-16T00:00:00-06:00,259.6785387992859 A
2017-08-17T00:00:00-06:00,255.88379033406576 A
2017-08-18T00:00:00-06:00,261.13897641499835 A
2017-08-19T00:00:00-06:00,250.61580324172974 A
2017-08-20T00:00:00-06:00,237.0636763572693 A
2017-08-21T00:00:00-06:00,257.41782903671265 A
2017-08-22T00:00:00-06:00,265.941289480109 A
2017-08-23T00:00:00-06:00,260.55027262369794 A
2017-08-24T00:00:00-06:00,266.92635345458984 A
2017-08-25T00:00:00-06:00,271.688841342926 A
2017-08-26T00:00:00-06:00,261.1702454884847 A
2017-08-27T00:00:00-06:00,249.35748052597046 A
2017-08-28T00:00:00-06:00,267.8230860640363 A
2017-08-29T00:00:00-06:00,269.04916779891306 A
2017-08-30T00:00:00-06:00,251.37320200602213 A
2017-08-31T00:00:00-06:00,258.3018339474996 A
2017-09-01T00:00:00-06:00,255.22925662994385 A
2017-09-02T00:00:00-06:00,220.03897953033447 A
2017-09-03T00:00:00-06:00,218.3241500051398 A
2017-09-04T00:00:00-06:00,226.48682483037314 A
2017-09-05T00:00:00-06:00,260.5889007250468 A
2017-09-06T00:00:00-06:00,262.7415008544922 A
2017-09-07T00:00:00-06:00,256.1291848384973 A
2017-09-08T00:00:00-06:00,263.61281141594276 A
2017-09-09T00:00:00-06:00,246.299454053243 A
2017-09-10T00:00:00-06:00,240.54648383458456 A
2017-09-11T00:00:00-06:00,276.8496316274007 A
