Timestamp,['1ce63d34-46ecef96 0028-MARRIOTT CENTER FOR DANCE Power Meter Current A']
2017-01-01T00:00:00-07:00,178.1053614616394 A
2017-01-02T00:00:00-07:00,182.08356952667236 A
2017-01-03T00:00:00-07:00,188.45906813939413 A
2017-01-04T00:00:00-07:00,206.39635753631592 A
2017-01-05T00:00:00-07:00,207.21585957209268 A
2017-01-06T00:00:00-07:00,219.80028184254965 A
2017-01-07T00:00:00-07:00,203.4025616645813 A
2017-01-08T00:00:00-07:00,194.6004557609558 A
2017-01-09T00:00:00-07:00,246.43693685531616 A
2017-01-10T00:00:00-07:00,248.7321319580078 A
2017-01-11T00:00:00-07:00,253.46385622024536 A
2017-01-12T00:00:00-07:00,259.0494629542033 A
2017-01-13T00:00:00-07:00,262.3123224576314 A
2017-01-14T00:00:00-07:00,234.89310709635416 A
2017-01-15T00:00:00-07:00,206.26127608617148 A
2017-01-16T00:00:00-07:00,204.08198181788126 A
2017-01-17T00:00:00-07:00,247.32607460021973 A
2017-01-18T00:00:00-07:00,244.83834057319456 A
2017-01-19T00:00:00-07:00,259.1412669817607 A
2017-01-20T00:00:00-07:00,278.0420895840259 A
2017-01-21T00:00:00-07:00,255.94504594802856 A
2017-01-22T00:00:00-07:00,239.49273459116617 A
2017-01-23T00:00:00-07:00,292.0176863670349 A
2017-01-24T00:00:00-07:00,304.6058432261149 A
2017-01-25T00:00:00-07:00,293.9613626797994 A
2017-01-26T00:00:00-07:00,297.68292808532715 A
2017-01-27T00:00:00-07:00,268.92983961105347 A
2017-01-28T00:00:00-07:00,232.86283779144287 A
2017-01-29T00:00:00-07:00,217.75675185521445 A
2017-01-30T00:00:00-07:00,275.18882099787396 A
2017-01-31T00:00:00-07:00,283.47695302963257 A
2017-02-01T00:00:00-07:00,303.62430969874066 A
2017-02-02T00:00:00-07:00,317.6211576461792 A
2017-02-03T00:00:00-07:00,300.11674041748046 A
2017-02-07T00:00:00-07:00,304.4116111288265 A
2017-02-08T00:00:00-07:00,293.9932544014671 A
2017-02-09T00:00:00-07:00,307.5952568054199 A
2017-02-10T00:00:00-07:00,310.1258659362793 A
2017-02-11T00:00:00-07:00,297.8946460088094 A
2017-02-12T00:00:00-07:00,260.7796196937561 A
2017-02-13T00:00:00-07:00,292.14643144607544 A
2017-02-14T00:00:00-07:00,292.28761632391746 A
2017-02-15T00:00:00-07:00,292.1705338160197 A
2017-02-16T00:00:00-07:00,317.54133892059326 A
2017-02-17T00:00:00-07:00,305.3059190114339 A
2017-02-18T00:00:00-07:00,332.3391389846802 A
2017-02-19T00:00:00-07:00,259.9783185323079 A
2017-02-20T00:00:00-07:00,255.19341786702475 A
2017-02-21T00:00:00-07:00,296.5971306165059 A
2017-02-22T00:00:00-07:00,328.41826852162677 A
2017-02-23T00:00:00-07:00,333.5313935279846 A
2017-02-24T00:00:00-07:00,290.80821126302084 A
2017-02-25T00:00:00-07:00,270.56915696461994 A
2017-02-26T00:00:00-07:00,258.83134603500366 A
2017-02-27T00:00:00-07:00,305.3545373280843 A
2017-02-28T00:00:00-07:00,299.08076842625934 A
2017-03-01T00:00:00-07:00,315.79277690251666 A
2017-03-02T00:00:00-07:00,323.89090887705487 A
2017-03-03T00:00:00-07:00,299.4470440546672 A
2017-03-04T00:00:00-07:00,331.22531763712567 A
2017-03-05T00:00:00-07:00,264.6493736902873 A
2017-03-06T00:00:00-07:00,323.5564112663269 A
2017-03-07T00:00:00-07:00,320.30920060475665 A
2017-03-08T00:00:00-07:00,319.14189434051514 A
2017-03-09T00:00:00-07:00,300.18154096603394 A
2017-03-10T00:00:00-07:00,302.87320645650226 A
2017-03-11T00:00:00-07:00,256.90112050374347 A
2017-03-12T00:00:00-07:00,243.85879765386167 A
2017-03-13T00:00:00-06:00,279.8647925059001 A
2017-03-14T00:00:00-06:00,288.9275794029236 A
2017-03-15T00:00:00-06:00,301.96150318781537 A
2017-03-16T00:00:00-06:00,281.5961805979411 A
2017-03-17T00:00:00-06:00,287.2511151631673 A
2017-03-18T00:00:00-06:00,250.80521710713705 A
2017-03-19T00:00:00-06:00,255.87144311269125 A
2017-03-20T00:00:00-06:00,336.40931749845805 A
2017-03-21T00:00:00-06:00,373.79156525929767 A
2017-03-22T00:00:00-06:00,370.4257758458455 A
2017-03-23T00:00:00-06:00,335.15000009536743 A
2017-03-24T00:00:00-06:00,324.0321707725525 A
2017-03-25T00:00:00-06:00,282.3601881663005 A
2017-03-26T00:00:00-06:00,263.09485451380414 A
2017-03-27T00:00:00-06:00,339.08049360911053 A
2017-03-28T00:00:00-06:00,319.46288299560547 A
2017-03-29T00:00:00-06:00,310.51837730407715 A
2017-03-30T00:00:00-06:00,363.3199693546739 A
2017-03-31T00:00:00-06:00,319.16572697957355 A
2017-04-01T00:00:00-06:00,302.0168612798055 A
2017-04-02T00:00:00-06:00,250.10134100663035 A
2017-04-03T00:00:00-06:00,299.3936182657878 A
2017-04-04T00:00:00-06:00,302.1320021947225 A
2017-04-05T00:00:00-06:00,281.3089865048726 A
2017-04-06T00:00:00-06:00,324.05842940012616 A
2017-04-07T00:00:00-06:00,329.2834062576294 A
2017-04-08T00:00:00-06:00,266.4493792851766 A
2017-04-09T00:00:00-06:00,268.9235746065776 A
2017-04-10T00:00:00-06:00,298.3762771288554 A
2017-04-11T00:00:00-06:00,292.05666128794354 A
2017-04-12T00:00:00-06:00,294.4820845921834 A
2017-04-13T00:00:00-06:00,308.16143385569256 A
2017-04-14T00:00:00-06:00,298.5505808194478 A
2017-04-15T00:00:00-06:00,261.49238808949787 A
2017-04-16T00:00:00-06:00,222.86656300226846 A
2017-04-17T00:00:00-06:00,291.34097115198773 A
2017-04-18T00:00:00-06:00,275.90272696812946 A
2017-04-19T00:00:00-06:00,280.8970332145691 A
2017-04-20T00:00:00-06:00,285.7470842997233 A
