Timestamp,['1ce63d7d-1ec2ea15 0028-MARRIOTT CENTER FOR DANCE Power Meter Current C']
2017-01-01T00:00:00-07:00,178.56652927398682 A
2017-01-02T00:00:00-07:00,181.99089511235556 A
2017-01-03T00:00:00-07:00,190.1265664100647 A
2017-01-04T00:00:00-07:00,199.09139712651572 A
2017-01-05T00:00:00-07:00,192.06596819559732 A
2017-01-06T00:00:00-07:00,208.3135782877604 A
2017-01-07T00:00:00-07:00,189.9465970993042 A
2017-01-08T00:00:00-07:00,179.7304622332255 A
2017-01-09T00:00:00-07:00,241.07462978363037 A
2017-01-10T00:00:00-07:00,254.7919775644938 A
2017-01-11T00:00:00-07:00,261.9946018854777 A
2017-01-12T00:00:00-07:00,251.38965813318887 A
2017-01-13T00:00:00-07:00,249.03884363174438 A
2017-01-14T00:00:00-07:00,224.98476394017538 A
2017-01-15T00:00:00-07:00,217.53036403656006 A
2017-01-16T00:00:00-07:00,210.16388416290283 A
2017-01-17T00:00:00-07:00,260.7422345479329 A
2017-01-18T00:00:00-07:00,254.88742400378715 A
2017-01-19T00:00:00-07:00,256.7910051345825 A
2017-01-20T00:00:00-07:00,283.56173478796126 A
2017-01-21T00:00:00-07:00,267.3763966560364 A
2017-01-22T00:00:00-07:00,253.97538121541342 A
2017-01-23T00:00:00-07:00,295.0966944694519 A
2017-01-24T00:00:00-07:00,308.7937927246094 A
2017-01-25T00:00:00-07:00,306.0869836807251 A
2017-01-26T00:00:00-07:00,306.46264330546063 A
2017-01-27T00:00:00-07:00,274.75214354197186 A
2017-01-28T00:00:00-07:00,235.49652481079102 A
2017-01-29T00:00:00-07:00,229.28572670618692 A
2017-01-30T00:00:00-07:00,283.2321530977885 A
2017-01-31T00:00:00-07:00,299.16155036290485 A
2017-02-01T00:00:00-07:00,315.73074674606323 A
2017-02-02T00:00:00-07:00,318.4983189900716 A
2017-02-03T00:00:00-07:00,301.4887850443522 A
2017-02-07T00:00:00-07:00,313.6443431620695 A
2017-02-08T00:00:00-07:00,304.3424732901833 A
2017-02-09T00:00:00-07:00,310.0102659861247 A
2017-02-10T00:00:00-07:00,304.02691745758057 A
2017-02-11T00:00:00-07:00,293.8922869364421 A
2017-02-12T00:00:00-07:00,233.43942912419638 A
2017-02-13T00:00:00-07:00,275.4195909500122 A
2017-02-14T00:00:00-07:00,293.77403259277344 A
2017-02-15T00:00:00-07:00,291.7656774520874 A
2017-02-16T00:00:00-07:00,315.0164942741394 A
2017-02-17T00:00:00-07:00,297.4735902150472 A
2017-02-18T00:00:00-07:00,310.25373967488605 A
2017-02-19T00:00:00-07:00,240.37692022323608 A
2017-02-20T00:00:00-07:00,237.02026828130087 A
2017-02-21T00:00:00-07:00,290.10442606608075 A
2017-02-22T00:00:00-07:00,319.3688678741455 A
2017-02-23T00:00:00-07:00,324.0170588493347 A
2017-02-24T00:00:00-07:00,275.44192424573396 A
2017-02-25T00:00:00-07:00,244.46011892954508 A
2017-02-26T00:00:00-07:00,239.2114691734314 A
2017-02-27T00:00:00-07:00,293.5014624595642 A
2017-02-28T00:00:00-07:00,281.0613862673442 A
2017-03-01T00:00:00-07:00,290.6620024045308 A
2017-03-02T00:00:00-07:00,304.6300098101298 A
2017-03-03T00:00:00-07:00,291.91426515579224 A
2017-03-04T00:00:00-07:00,313.24304151535034 A
2017-03-05T00:00:00-07:00,247.33459917704263 A
2017-03-06T00:00:00-07:00,306.86362346013385 A
2017-03-07T00:00:00-07:00,305.6198344230652 A
2017-03-08T00:00:00-07:00,306.7520281473796 A
2017-03-09T00:00:00-07:00,289.8509963353475 A
