Timestamp,['1ce63e55-d53118c4 0028-MARRIOTT CENTER FOR DANCE Power Meter Volts CN']
2017-01-01T00:00:00-07:00,121.6156731446584 V
2017-01-02T00:00:00-07:00,121.59351793924968 V
2017-01-03T00:00:00-07:00,121.57374493281047 V
2017-01-04T00:00:00-07:00,121.47950784365337 V
2017-01-05T00:00:00-07:00,121.60728526115417 V
2017-01-06T00:00:00-07:00,121.50018580754598 V
2017-01-07T00:00:00-07:00,121.44174337387085 V
2017-01-08T00:00:00-07:00,121.4023425579071 V
2017-01-09T00:00:00-07:00,121.26637125015259 V
2017-01-10T00:00:00-07:00,121.30449684460957 V
2017-01-11T00:00:00-07:00,121.38454564412434 V
2017-01-12T00:00:00-07:00,121.37913616498311 V
2017-01-13T00:00:00-07:00,121.43880009651184 V
2017-01-14T00:00:00-07:00,121.61477128664653 V
2017-01-15T00:00:00-07:00,121.3087830543518 V
2017-01-16T00:00:00-07:00,121.48673629760742 V
2017-01-17T00:00:00-07:00,121.35632785161336 V
2017-01-18T00:00:00-07:00,121.50617832090796 V
2017-01-19T00:00:00-07:00,121.658132314682 V
2017-01-20T00:00:00-07:00,122.33308678484977 V
2017-01-21T00:00:00-07:00,122.45078365008037 V
2017-01-22T00:00:00-07:00,122.23197372754414 V
2017-01-23T00:00:00-07:00,122.28187584877014 V
2017-01-24T00:00:00-07:00,122.24986553192139 V
2017-01-25T00:00:00-07:00,122.21010231971741 V
2017-01-26T00:00:00-07:00,122.20510379473369 V
2017-01-27T00:00:00-07:00,122.35947799682617 V
2017-01-28T00:00:00-07:00,122.4407160282135 V
2017-01-29T00:00:00-07:00,122.39221159617107 V
2017-01-30T00:00:00-07:00,122.42889006932576 V
2017-01-31T00:00:00-07:00,122.24410041173299 V
2017-02-01T00:00:00-07:00,122.24812237421672 V
2017-02-02T00:00:00-07:00,122.17160065968831 V
2017-02-03T00:00:00-07:00,122.15544497172037 V
2017-02-07T00:00:00-07:00,122.36044731918646 V
2017-02-08T00:00:00-07:00,122.44853921370073 V
2017-02-09T00:00:00-07:00,122.31662352879842 V
2017-02-10T00:00:00-07:00,122.44312540690105 V
2017-02-11T00:00:00-07:00,122.33508880933125 V
2017-02-12T00:00:00-07:00,122.38855044047038 V
2017-02-13T00:00:00-07:00,122.37991746266682 V
2017-02-14T00:00:00-07:00,122.39642658639461 V
2017-02-15T00:00:00-07:00,122.42869512240092 V
2017-02-16T00:00:00-07:00,122.29186685880025 V
2017-02-17T00:00:00-07:00,122.4995466073354 V
2017-02-18T00:00:00-07:00,122.22649931907654 V
2017-02-19T00:00:00-07:00,122.48735078175862 V
2017-02-20T00:00:00-07:00,122.4243319829305 V
2017-02-21T00:00:00-07:00,122.39802988370259 V
2017-02-22T00:00:00-07:00,122.1382593313853 V
2017-02-23T00:00:00-07:00,122.09514156977336 V
2017-02-24T00:00:00-07:00,122.20397467362254 V
2017-02-25T00:00:00-07:00,122.36561417579651 V
2017-02-26T00:00:00-07:00,122.57009037335713 V
2017-02-27T00:00:00-07:00,122.3895738919576 V
2017-02-28T00:00:00-07:00,122.33746234575908 V
2017-03-01T00:00:00-07:00,122.30709457397461 V
2017-03-02T00:00:00-07:00,122.25503969192505 V
2017-03-03T00:00:00-07:00,122.19322506586711 V
2017-03-04T00:00:00-07:00,122.08636037508647 V
2017-03-05T00:00:00-07:00,122.30278738339742 V
2017-03-06T00:00:00-07:00,122.15164256095886 V
2017-03-07T00:00:00-07:00,122.17983762423198 V
2017-03-08T00:00:00-07:00,122.2804548740387 V
2017-03-09T00:00:00-07:00,122.29016335805257 V
2017-03-10T00:00:00-07:00,122.24563686052959 V
2017-03-11T00:00:00-07:00,122.42302997907002 V
2017-03-12T00:00:00-07:00,122.32197885927947 V
2017-03-13T00:00:00-06:00,122.37862300872803 V
2017-03-14T00:00:00-06:00,122.29433019955952 V
2017-03-15T00:00:00-06:00,122.09312582015991 V
2017-03-16T00:00:00-06:00,122.29517944653828 V
2017-03-17T00:00:00-06:00,122.15280961990356 V
2017-03-18T00:00:00-06:00,122.4346383412679 V
2017-03-19T00:00:00-06:00,122.292737642924 V
2017-03-20T00:00:00-06:00,122.04684496427838 V
2017-03-21T00:00:00-06:00,121.96465706825256 V
2017-03-22T00:00:00-06:00,122.0303574403127 V
2017-03-23T00:00:00-06:00,122.14606889088948 V
2017-03-24T00:00:00-06:00,122.3343158562978 V
2017-03-25T00:00:00-06:00,122.37812376022339 V
2017-03-26T00:00:00-06:00,122.20562545458476 V
2017-03-27T00:00:00-06:00,122.10880295435588 V
2017-03-28T00:00:00-06:00,122.3316520055135 V
2017-03-29T00:00:00-06:00,122.23429160647922 V
2017-03-30T00:00:00-06:00,122.1446119796398 V
2017-03-31T00:00:00-06:00,122.20747804641724 V
2017-04-01T00:00:00-06:00,122.38197914759319 V
2017-04-02T00:00:00-06:00,122.46164679276316 V
2017-04-03T00:00:00-06:00,122.2782974243164 V
2017-04-04T00:00:00-06:00,122.32098603248596 V
2017-04-05T00:00:00-06:00,122.26521182060242 V
2017-04-06T00:00:00-06:00,121.98657210667928 V
2017-04-07T00:00:00-06:00,122.165918191274 V
2017-04-08T00:00:00-06:00,122.38038508097331 V
2017-04-09T00:00:00-06:00,122.43851828575134 V
2017-04-10T00:00:00-06:00,122.27239640553792 V
2017-04-11T00:00:00-06:00,122.30998945236206 V
2017-04-12T00:00:00-06:00,122.12026572227478 V
2017-04-13T00:00:00-06:00,122.13643487294515 V
2017-04-14T00:00:00-06:00,122.1799799601237 V
2017-04-15T00:00:00-06:00,122.065820535024 V
2017-04-16T00:00:00-06:00,122.46490144729614 V
2017-04-17T00:00:00-06:00,122.18335024515788 V
2017-04-18T00:00:00-06:00,122.14914011955261 V
2017-04-19T00:00:00-06:00,122.14667510986328 V
2017-04-20T00:00:00-06:00,122.19915962219238 V
2017-04-21T00:00:00-06:00,121.99098515510559 V
2017-04-22T00:00:00-06:00,122.31600109736125 V
2017-04-23T00:00:00-06:00,122.30971805254619 V
2017-04-24T00:00:00-06:00,122.33189972241719 V
2017-04-25T00:00:00-06:00,122.21992866198222 V
2017-04-26T00:00:00-06:00,122.20361638069153 V
2017-04-27T00:00:00-06:00,122.42466115951538 V
2017-04-28T00:00:00-06:00,122.32802836100261 V
2017-04-29T00:00:00-06:00,122.4678111076355 V
2017-04-30T00:00:00-06:00,122.3662519454956 V
2017-05-01T00:00:00-06:00,122.38805143038432 V
2017-05-02T00:00:00-06:00,122.34543689092 V
2017-05-03T00:00:00-06:00,122.41118280092876 V
2017-05-04T00:00:00-06:00,122.45885912577312 V
2017-05-05T00:00:00-06:00,122.50583656628926 V
2017-05-06T00:00:00-06:00,122.39973560969035 V
2017-05-07T00:00:00-06:00,122.47064224878947 V
2017-05-08T00:00:00-06:00,122.47279068796259 V
2017-05-09T00:00:00-06:00,122.54940247535706 V
2017-05-10T00:00:00-06:00,122.41584078470866 V
2017-05-11T00:00:00-06:00,122.32365902264912 V
2017-05-12T00:00:00-06:00,122.4709149201711 V
2017-05-13T00:00:00-06:00,122.54553874333699 V
2017-05-14T00:00:00-06:00,122.26424217224121 V
2017-05-15T00:00:00-06:00,122.41602158546448 V
2017-05-16T00:00:00-06:00,122.48146367073059 V
2017-05-17T00:00:00-06:00,122.47867846488953 V
2017-05-18T00:00:00-06:00,122.32958014806111 V
2017-05-19T00:00:00-06:00,122.60677512486775 V
