Timestamp,['1cef9acb-e1d7c9ad 0083-FLETCHER BLDG Power Meter WEST KWH Received']
2017-01-01T00:00:00-07:00,2038 kWh
2017-01-02T00:00:00-07:00,2183 kWh
2017-01-03T00:00:00-07:00,2292 kWh
2017-01-04T00:00:00-07:00,2325 kWh
2017-01-05T00:00:00-07:00,2358 kWh
2017-01-06T00:00:00-07:00,2328 kWh
2017-01-07T00:00:00-07:00,2119 kWh
2017-01-08T00:00:00-07:00,2077 kWh
2017-01-09T00:00:00-07:00,2431 kWh
2017-01-10T00:00:00-07:00,2528 kWh
2017-01-11T00:00:00-07:00,2458 kWh
2017-01-12T00:00:00-07:00,2464 kWh
2017-01-13T00:00:00-07:00,2623 kWh
2017-01-14T00:00:00-07:00,2039 kWh
2017-01-15T00:00:00-07:00,2157 kWh
2017-01-16T00:00:00-07:00,2047 kWh
2017-01-17T00:00:00-07:00,2463 kWh
2017-01-18T00:00:00-07:00,2444 kWh
2017-01-19T00:00:00-07:00,2477 kWh
2017-01-20T00:00:00-07:00,2436 kWh
2017-01-21T00:00:00-07:00,2139 kWh
2017-01-22T00:00:00-07:00,2176 kWh
2017-01-23T00:00:00-07:00,2567 kWh
2017-01-24T00:00:00-07:00,2459 kWh
2017-01-25T00:00:00-07:00,2858 kWh
2017-01-26T00:00:00-07:00,1796 kWh
2017-01-27T00:00:00-07:00,2609 kWh
2017-01-28T00:00:00-07:00,1887 kWh
2017-01-29T00:00:00-07:00,2137 kWh
2017-01-30T00:00:00-07:00,2494 kWh
2017-01-31T00:00:00-07:00,2497 kWh
2017-02-01T00:00:00-07:00,2436 kWh
2017-02-02T00:00:00-07:00,2379 kWh
2017-02-03T00:00:00-07:00,10553 kWh
2017-02-07T00:00:00-07:00,1306 kWh
2017-02-08T00:00:00-07:00,51693759 kWh
2017-02-09T00:00:00-07:00,82741234 kWh
2017-02-10T00:00:00-07:00,72423762 kWh
2017-02-11T00:00:00-07:00,41407518 kWh
2017-02-12T00:00:00-07:00,46596130 kWh
2017-02-13T00:00:00-07:00,113972948 kWh
2017-02-14T00:00:00-07:00,150290893 kWh
2017-02-15T00:00:00-07:00,114073643 kWh
2017-02-16T00:00:00-07:00,77811526 kWh
2017-02-17T00:00:00-07:00,98602933 kWh
2017-02-18T00:00:00-07:00,150566883 kWh
2017-02-19T00:00:00-07:00,124661962 kWh
2017-02-20T00:00:00-07:00,36372531 kWh
2017-02-21T00:00:00-07:00,25991731 kWh
2017-02-22T00:00:00-07:00,20800201 kWh
2017-02-23T00:00:00-07:00,5204914 kWh
2017-02-24T00:00:00-07:00,5208530 kWh
2017-02-25T00:00:00-07:00,41657813 kWh
2017-02-26T00:00:00-07:00,57301477 kWh
2017-02-27T00:00:00-07:00,5214594 kWh
2017-02-28T00:00:00-07:00,36500509 kWh
2017-03-01T00:00:00-07:00,41734210 kWh
2017-03-02T00:00:00-07:00,26095416 kWh
2017-03-03T00:00:00-07:00,52211035 kWh
2017-03-04T00:00:00-07:00,88801750 kWh
2017-03-05T00:00:00-07:00,36580873 kWh
2017-03-06T00:00:00-07:00,47058300 kWh
2017-03-07T00:00:00-07:00,20925623 kWh
2017-03-08T00:00:00-07:00,36631120 kWh
2017-03-09T00:00:00-07:00,15706974 kWh
2017-03-10T00:00:00-07:00,62850377 kWh
2017-03-11T00:00:00-07:00,47159152 kWh
2017-03-12T00:00:00-07:00,52419691 kWh
2017-03-13T00:00:00-06:00,15730758 kWh
2017-03-14T00:00:00-06:00,2042 kWh
2017-03-15T00:00:00-06:00,1978 kWh
2017-03-16T00:00:00-06:00,2018 kWh
2017-03-17T00:00:00-06:00,1977 kWh
2017-03-18T00:00:00-06:00,1788 kWh
2017-03-19T00:00:00-06:00,1824 kWh
2017-03-20T00:00:00-06:00,2199 kWh
2017-03-21T00:00:00-06:00,2211 kWh
2017-03-22T00:00:00-06:00,2140 kWh
2017-03-23T00:00:00-06:00,2167 kWh
2017-03-24T00:00:00-06:00,2141 kWh
2017-03-25T00:00:00-06:00,1850 kWh
2017-03-26T00:00:00-06:00,1890 kWh
2017-03-27T00:00:00-06:00,2314 kWh
2017-03-28T00:00:00-06:00,2149 kWh
2017-03-29T00:00:00-06:00,3360 kWh
2017-03-30T00:00:00-06:00,1001 kWh
2017-03-31T00:00:00-06:00,2197 kWh
2017-04-01T00:00:00-06:00,1999 kWh
2017-04-02T00:00:00-06:00,1792 kWh
2017-04-03T00:00:00-06:00,3429 kWh
2017-04-04T00:00:00-06:00,1852 kWh
2017-04-05T00:00:00-06:00,2217 kWh
2017-04-06T00:00:00-06:00,1443 kWh
2017-04-07T00:00:00-06:00,2545 kWh
2017-04-08T00:00:00-06:00,2207 kWh
2017-04-09T00:00:00-06:00,1752 kWh
2017-04-10T00:00:00-06:00,1651 kWh
2017-04-11T00:00:00-06:00,2178 kWh
2017-04-12T00:00:00-06:00,2296 kWh
2017-04-13T00:00:00-06:00,3198 kWh
2017-04-14T00:00:00-06:00,263 kWh
