Timestamp,['1cf2343d-2e7779d6 0086-MARRIOTT LIBRARY Power Meter 3 KWH Received']
2017-01-01T00:00:00-07:00,958 kWh
2017-01-02T00:00:00-07:00,959 kWh
2017-01-03T00:00:00-07:00,1135 kWh
2017-01-04T00:00:00-07:00,1183 kWh
2017-01-05T00:00:00-07:00,1186 kWh
2017-01-06T00:00:00-07:00,1203 kWh
2017-01-07T00:00:00-07:00,1104 kWh
2017-01-08T00:00:00-07:00,1067 kWh
2017-01-09T00:00:00-07:00,1255 kWh
2017-01-10T00:00:00-07:00,1266 kWh
2017-01-11T00:00:00-07:00,1323 kWh
2017-01-12T00:00:00-07:00,1346 kWh
2017-01-13T00:00:00-07:00,1290 kWh
2017-01-14T00:00:00-07:00,1198 kWh
2017-01-15T00:00:00-07:00,1145 kWh
2017-01-16T00:00:00-07:00,1111 kWh
2017-01-17T00:00:00-07:00,1372 kWh
2017-01-18T00:00:00-07:00,1347 kWh
2017-01-19T00:00:00-07:00,1270 kWh
2017-01-20T00:00:00-07:00,1268 kWh
2017-01-21T00:00:00-07:00,1123 kWh
2017-01-22T00:00:00-07:00,1053 kWh
2017-01-23T00:00:00-07:00,1249 kWh
2017-01-24T00:00:00-07:00,1291 kWh
2017-01-25T00:00:00-07:00,1347 kWh
2017-01-26T00:00:00-07:00,1315 kWh
2017-01-27T00:00:00-07:00,1276 kWh
2017-01-28T00:00:00-07:00,1163 kWh
2017-01-29T00:00:00-07:00,1136 kWh
2017-01-30T00:00:00-07:00,1353 kWh
2017-01-31T00:00:00-07:00,1366 kWh
2017-02-01T00:00:00-07:00,1342 kWh
2017-02-02T00:00:00-07:00,1309 kWh
2017-02-03T00:00:00-07:00,5495 kWh
2017-02-07T00:00:00-07:00,804 kWh
2017-02-08T00:00:00-07:00,1362 kWh
2017-02-09T00:00:00-07:00,1392 kWh
2017-02-10T00:00:00-07:00,1278 kWh
2017-02-11T00:00:00-07:00,1218 kWh
2017-02-12T00:00:00-07:00,1133 kWh
2017-02-13T00:00:00-07:00,1360 kWh
2017-02-14T00:00:00-07:00,1366 kWh
2017-02-15T00:00:00-07:00,1371 kWh
2017-02-16T00:00:00-07:00,1341 kWh
2017-02-17T00:00:00-07:00,1282 kWh
2017-02-18T00:00:00-07:00,1187 kWh
2017-02-19T00:00:00-07:00,1138 kWh
2017-02-20T00:00:00-07:00,1210 kWh
2017-02-21T00:00:00-07:00,1376 kWh
2017-02-22T00:00:00-07:00,1333 kWh
2017-02-23T00:00:00-07:00,1345 kWh
2017-02-24T00:00:00-07:00,1282 kWh
2017-02-25T00:00:00-07:00,1172 kWh
2017-02-26T00:00:00-07:00,1167 kWh
2017-02-27T00:00:00-07:00,1340 kWh
2017-02-28T00:00:00-07:00,1298 kWh
2017-03-01T00:00:00-07:00,1337 kWh
2017-03-02T00:00:00-07:00,1309 kWh
2017-03-03T00:00:00-07:00,1244 kWh
2017-03-04T00:00:00-07:00,1184 kWh
2017-03-05T00:00:00-07:00,1135 kWh
2017-03-06T00:00:00-07:00,1358 kWh
2017-03-07T00:00:00-07:00,1366 kWh
2017-03-08T00:00:00-07:00,1437 kWh
2017-03-09T00:00:00-07:00,1435 kWh
2017-03-10T00:00:00-07:00,1324 kWh
2017-03-11T00:00:00-07:00,1180 kWh
2017-03-12T00:00:00-07:00,1084 kWh
2017-03-13T00:00:00-06:00,1252 kWh
2017-03-14T00:00:00-06:00,1249 kWh
2017-03-15T00:00:00-06:00,1244 kWh
2017-03-16T00:00:00-06:00,1247 kWh
2017-03-17T00:00:00-06:00,1268 kWh
2017-03-18T00:00:00-06:00,1168 kWh
2017-03-19T00:00:00-06:00,1182 kWh
2017-03-20T00:00:00-06:00,1374 kWh
2017-03-21T00:00:00-06:00,1408 kWh
2017-03-22T00:00:00-06:00,1388 kWh
2017-03-23T00:00:00-06:00,1373 kWh
2017-03-24T00:00:00-06:00,1304 kWh
2017-03-25T00:00:00-06:00,1190 kWh
2017-03-26T00:00:00-06:00,1136 kWh
2017-03-27T00:00:00-06:00,1363 kWh
2017-03-28T00:00:00-06:00,1341 kWh
2017-03-29T00:00:00-06:00,2107 kWh
