Timestamp,['1cf23600-5b115d29 0086-MARRIOTT LIBRARY Power Meter 4 KWH Received']
2017-01-01T00:00:00-07:00,732 kWh
2017-01-02T00:00:00-07:00,745 kWh
2017-01-03T00:00:00-07:00,902 kWh
2017-01-04T00:00:00-07:00,952 kWh
2017-01-05T00:00:00-07:00,953 kWh
2017-01-06T00:00:00-07:00,965 kWh
2017-01-07T00:00:00-07:00,893 kWh
2017-01-08T00:00:00-07:00,879 kWh
2017-01-09T00:00:00-07:00,1077 kWh
2017-01-10T00:00:00-07:00,1116 kWh
2017-01-11T00:00:00-07:00,1158 kWh
2017-01-12T00:00:00-07:00,1223 kWh
2017-01-13T00:00:00-07:00,1120 kWh
2017-01-14T00:00:00-07:00,1064 kWh
2017-01-15T00:00:00-07:00,1014 kWh
2017-01-16T00:00:00-07:00,990 kWh
2017-01-17T00:00:00-07:00,1204 kWh
2017-01-18T00:00:00-07:00,1153 kWh
2017-01-19T00:00:00-07:00,1078 kWh
2017-01-20T00:00:00-07:00,1050 kWh
2017-01-21T00:00:00-07:00,930 kWh
2017-01-22T00:00:00-07:00,922 kWh
2017-01-23T00:00:00-07:00,1087 kWh
2017-01-24T00:00:00-07:00,1116 kWh
2017-01-25T00:00:00-07:00,1117 kWh
2017-01-26T00:00:00-07:00,1137 kWh
2017-01-27T00:00:00-07:00,1078 kWh
2017-01-28T00:00:00-07:00,956 kWh
2017-01-29T00:00:00-07:00,965 kWh
2017-01-30T00:00:00-07:00,1115 kWh
2017-01-31T00:00:00-07:00,1138 kWh
2017-02-01T00:00:00-07:00,1165 kWh
2017-02-02T00:00:00-07:00,1143 kWh
2017-02-03T00:00:00-07:00,4601 kWh
2017-02-07T00:00:00-07:00,679 kWh
2017-02-08T00:00:00-07:00,1161 kWh
2017-02-09T00:00:00-07:00,1148 kWh
2017-02-10T00:00:00-07:00,1040 kWh
2017-02-11T00:00:00-07:00,994 kWh
2017-02-12T00:00:00-07:00,982 kWh
2017-02-13T00:00:00-07:00,1121 kWh
2017-02-14T00:00:00-07:00,1176 kWh
2017-02-15T00:00:00-07:00,1147 kWh
2017-02-16T00:00:00-07:00,1144 kWh
2017-02-17T00:00:00-07:00,1066 kWh
2017-02-18T00:00:00-07:00,951 kWh
2017-02-19T00:00:00-07:00,922 kWh
2017-02-20T00:00:00-07:00,964 kWh
2017-02-21T00:00:00-07:00,1105 kWh
2017-02-22T00:00:00-07:00,1139 kWh
2017-02-23T00:00:00-07:00,1182 kWh
2017-02-24T00:00:00-07:00,4444489 kWh
2017-02-25T00:00:00-07:00,969 kWh
2017-02-26T00:00:00-07:00,970 kWh
2017-02-27T00:00:00-07:00,1077 kWh
2017-02-28T00:00:00-07:00,1119 kWh
2017-03-01T00:00:00-07:00,1111 kWh
2017-03-02T00:00:00-07:00,1118 kWh
2017-03-03T00:00:00-07:00,1011 kWh
2017-03-04T00:00:00-07:00,930 kWh
2017-03-05T00:00:00-07:00,948 kWh
2017-03-06T00:00:00-07:00,1065 kWh
2017-03-07T00:00:00-07:00,1114 kWh
2017-03-08T00:00:00-07:00,1131 kWh
2017-03-09T00:00:00-07:00,1132 kWh
2017-03-10T00:00:00-07:00,1028 kWh
2017-03-11T00:00:00-07:00,931 kWh
2017-03-12T00:00:00-07:00,866 kWh
2017-03-13T00:00:00-06:00,1002 kWh
2017-03-14T00:00:00-06:00,1011 kWh
2017-03-15T00:00:00-06:00,1012 kWh
2017-03-16T00:00:00-06:00,1009 kWh
2017-03-17T00:00:00-06:00,1000 kWh
2017-03-18T00:00:00-06:00,953 kWh
2017-03-19T00:00:00-06:00,953 kWh
2017-03-20T00:00:00-06:00,1112 kWh
2017-03-21T00:00:00-06:00,1111 kWh
2017-03-22T00:00:00-06:00,1119 kWh
2017-03-23T00:00:00-06:00,1076 kWh
2017-03-24T00:00:00-06:00,949 kWh
2017-03-25T00:00:00-06:00,882 kWh
2017-03-26T00:00:00-06:00,879 kWh
2017-03-27T00:00:00-06:00,1028 kWh
2017-03-28T00:00:00-06:00,1097 kWh
2017-03-29T00:00:00-06:00,1684 kWh
2017-03-30T00:00:00-06:00,552 kWh
2017-03-31T00:00:00-06:00,1038 kWh
2017-04-01T00:00:00-06:00,964 kWh
2017-04-02T00:00:00-06:00,963 kWh
2017-04-03T00:00:00-06:00,1095 kWh
2017-04-04T00:00:00-06:00,1106 kWh
2017-04-05T00:00:00-06:00,1140 kWh
2017-04-06T00:00:00-06:00,1142 kWh
2017-04-07T00:00:00-06:00,47454 kWh
2017-05-25T00:00:00-06:00,588 kWh
2017-05-26T00:00:00-06:00,909 kWh
2017-05-27T00:00:00-06:00,851 kWh
2017-05-28T00:00:00-06:00,828 kWh
2017-05-29T00:00:00-06:00,829 kWh
2017-05-30T00:00:00-06:00,937 kWh
2017-05-31T00:00:00-06:00,942 kWh
2017-06-01T00:00:00-06:00,945 kWh
2017-06-02T00:00:00-06:00,914 kWh
2017-06-03T00:00:00-06:00,867 kWh
2017-06-04T00:00:00-06:00,847 kWh
2017-06-05T00:00:00-06:00,950 kWh
2017-06-06T00:00:00-06:00,941 kWh
2017-06-07T00:00:00-06:00,954 kWh
2017-06-08T00:00:00-06:00,945 kWh
2017-06-09T00:00:00-06:00,918 kWh
2017-06-10T00:00:00-06:00,856 kWh
2017-06-11T00:00:00-06:00,844 kWh
2017-06-12T00:00:00-06:00,960 kWh
2017-06-13T00:00:00-06:00,978 kWh
2017-06-14T00:00:00-06:00,983 kWh
2017-06-15T00:00:00-06:00,954 kWh
2017-06-16T00:00:00-06:00,927 kWh
2017-06-17T00:00:00-06:00,868 kWh
2017-06-18T00:00:00-06:00,854 kWh
2017-06-19T00:00:00-06:00,962 kWh
2017-06-20T00:00:00-06:00,942 kWh
2017-06-21T00:00:00-06:00,940 kWh
2017-06-22T00:00:00-06:00,918 kWh
2017-06-23T00:00:00-06:00,905 kWh
2017-06-24T00:00:00-06:00,857 kWh
2017-06-25T00:00:00-06:00,843 kWh
2017-06-26T00:00:00-06:00,951 kWh
2017-06-27T00:00:00-06:00,943 kWh
2017-06-28T00:00:00-06:00,951 kWh
2017-06-29T00:00:00-06:00,946 kWh
2017-06-30T00:00:00-06:00,914 kWh
2017-07-01T00:00:00-06:00,857 kWh
2017-07-02T00:00:00-06:00,849 kWh
2017-07-03T00:00:00-06:00,919 kWh
2017-07-04T00:00:00-06:00,835 kWh
2017-07-05T00:00:00-06:00,935 kWh
2017-07-06T00:00:00-06:00,926 kWh
2017-07-07T00:00:00-06:00,896 kWh
2017-07-08T00:00:00-06:00,856 kWh
2017-07-09T00:00:00-06:00,846 kWh
2017-07-10T00:00:00-06:00,938 kWh
2017-07-11T00:00:00-06:00,927 kWh
2017-07-12T00:00:00-06:00,977 kWh
2017-07-13T00:00:00-06:00,965 kWh
2017-07-14T00:00:00-06:00,903 kWh
2017-07-15T00:00:00-06:00,857 kWh
2017-07-16T00:00:00-06:00,852 kWh
2017-07-17T00:00:00-06:00,934 kWh
2017-07-18T00:00:00-06:00,941 kWh
2017-07-19T00:00:00-06:00,942 kWh
2017-07-20T00:00:00-06:00,956 kWh
2017-07-21T00:00:00-06:00,906 kWh
2017-07-22T00:00:00-06:00,859 kWh
2017-07-23T00:00:00-06:00,840 kWh
2017-07-24T00:00:00-06:00,841 kWh
2017-07-25T00:00:00-06:00,934 kWh
2017-07-26T00:00:00-06:00,938 kWh
2017-07-27T00:00:00-06:00,939 kWh
2017-07-28T00:00:00-06:00,916 kWh
2017-07-29T00:00:00-06:00,867 kWh
2017-07-30T00:00:00-06:00,855 kWh
2017-07-31T00:00:00-06:00,963 kWh
2017-08-01T00:00:00-06:00,955 kWh
2017-08-02T00:00:00-06:00,952 kWh
2017-08-03T00:00:00-06:00,939 kWh
2017-08-04T00:00:00-06:00,916 kWh
2017-08-05T00:00:00-06:00,850 kWh
2017-08-06T00:00:00-06:00,840 kWh
2017-08-07T00:00:00-06:00,920 kWh
2017-08-08T00:00:00-06:00,926 kWh
2017-08-09T00:00:00-06:00,926 kWh
2017-08-10T00:00:00-06:00,920 kWh
2017-08-11T00:00:00-06:00,909 kWh
2017-08-12T00:00:00-06:00,832 kWh
2017-08-13T00:00:00-06:00,820 kWh
2017-08-14T00:00:00-06:00,925 kWh
2017-08-15T00:00:00-06:00,915 kWh
2017-08-16T00:00:00-06:00,920 kWh
2017-08-17T00:00:00-06:00,918 kWh
2017-08-18T00:00:00-06:00,916 kWh
2017-08-19T00:00:00-06:00,835 kWh
2017-08-20T00:00:00-06:00,824 kWh
2017-08-21T00:00:00-06:00,989 kWh
2017-08-22T00:00:00-06:00,1007 kWh
2017-08-23T00:00:00-06:00,1046 kWh
2017-08-24T00:00:00-06:00,1035 kWh
2017-08-25T00:00:00-06:00,1002 kWh
2017-08-26T00:00:00-06:00,871 kWh
2017-08-27T00:00:00-06:00,876 kWh
2017-08-28T00:00:00-06:00,1086 kWh
2017-08-29T00:00:00-06:00,1044 kWh
2017-08-30T00:00:00-06:00,1071 kWh
2017-08-31T00:00:00-06:00,1020 kWh
2017-09-01T00:00:00-06:00,944 kWh
2017-09-02T00:00:00-06:00,870 kWh
2017-09-03T00:00:00-06:00,853 kWh
2017-09-04T00:00:00-06:00,841 kWh
2017-09-05T00:00:00-06:00,1048 kWh
2017-09-06T00:00:00-06:00,1086 kWh
2017-09-07T00:00:00-06:00,1054 kWh
2017-09-08T00:00:00-06:00,954 kWh
2017-09-09T00:00:00-06:00,888 kWh
2017-09-10T00:00:00-06:00,886 kWh
2017-09-11T00:00:00-06:00,1066 kWh
2017-09-12T00:00:00-06:00,1080 kWh
2017-09-13T00:00:00-06:00,1094 kWh
2017-09-14T00:00:00-06:00,1111 kWh
2017-09-15T00:00:00-06:00,1040 kWh
2017-09-16T00:00:00-06:00,915 kWh
2017-09-17T00:00:00-06:00,919 kWh
2017-09-18T00:00:00-06:00,1114 kWh
2017-09-19T00:00:00-06:00,1104 kWh
2017-09-20T00:00:00-06:00,1120 kWh
2017-09-21T00:00:00-06:00,1078 kWh
2017-09-22T00:00:00-06:00,1009 kWh
2017-09-23T00:00:00-06:00,917 kWh
2017-09-24T00:00:00-06:00,899 kWh
2017-09-25T00:00:00-06:00,1105 kWh
2017-09-26T00:00:00-06:00,1093 kWh
2017-09-27T00:00:00-06:00,1102 kWh
2017-09-28T00:00:00-06:00,1102 kWh
2017-09-29T00:00:00-06:00,1024 kWh
2017-09-30T00:00:00-06:00,922 kWh
2017-10-01T00:00:00-06:00,914 kWh
2017-10-02T00:00:00-06:00,1100 kWh
2017-10-03T00:00:00-06:00,1124 kWh
2017-10-04T00:00:00-06:00,1122 kWh
2017-10-05T00:00:00-06:00,1101 kWh
2017-10-06T00:00:00-06:00,991 kWh
2017-10-07T00:00:00-06:00,897 kWh
2017-10-08T00:00:00-06:00,868 kWh
2017-10-09T00:00:00-06:00,967 kWh
2017-10-10T00:00:00-06:00,952 kWh
2017-10-11T00:00:00-06:00,943 kWh
2017-10-12T00:00:00-06:00,972 kWh
2017-10-13T00:00:00-06:00,964 kWh
2017-10-14T00:00:00-06:00,899 kWh
2017-10-15T00:00:00-06:00,894 kWh
2017-10-16T00:00:00-06:00,1120 kWh
2017-10-17T00:00:00-06:00,1116 kWh
2017-10-18T00:00:00-06:00,1143 kWh
2017-10-19T00:00:00-06:00,1097 kWh
2017-10-20T00:00:00-06:00,1026 kWh
2017-10-21T00:00:00-06:00,917 kWh
2017-10-22T00:00:00-06:00,925 kWh
2017-10-23T00:00:00-06:00,1144 kWh
2017-10-24T00:00:00-06:00,1107 kWh
2017-10-25T00:00:00-06:00,1084 kWh
2017-10-26T00:00:00-06:00,1061 kWh
2017-10-27T00:00:00-06:00,997 kWh
2017-10-28T00:00:00-06:00,916 kWh
2017-10-29T00:00:00-06:00,918 kWh
2017-10-30T00:00:00-06:00,1117 kWh
2017-10-31T00:00:00-06:00,981 kWh
2017-11-01T00:00:00-06:00,1064 kWh
2017-11-02T00:00:00-06:00,1048 kWh
2017-11-03T00:00:00-06:00,882 kWh
2017-11-04T00:00:00-06:00,831 kWh
2017-11-05T00:00:00-06:00,866 kWh
2017-11-06T00:00:00-07:00,1052 kWh
2017-11-07T00:00:00-07:00,1035 kWh
2017-11-08T00:00:00-07:00,1035 kWh
2017-11-09T00:00:00-07:00,1026 kWh
2017-11-10T00:00:00-07:00,968 kWh
2017-11-11T00:00:00-07:00,852 kWh
2017-11-12T00:00:00-07:00,852 kWh
2017-11-13T00:00:00-07:00,1072 kWh
2017-11-14T00:00:00-07:00,1040 kWh
2017-11-15T00:00:00-07:00,1051 kWh
2017-11-16T00:00:00-07:00,1006 kWh
2017-11-17T00:00:00-07:00,976 kWh
2017-11-18T00:00:00-07:00,862 kWh
2017-11-19T00:00:00-07:00,857 kWh
2017-11-20T00:00:00-07:00,1052 kWh
2017-11-21T00:00:00-07:00,1013 kWh
2017-11-22T00:00:00-07:00,972 kWh
2017-11-23T00:00:00-07:00,805 kWh
2017-11-24T00:00:00-07:00,806 kWh
2017-11-25T00:00:00-07:00,842 kWh
2017-11-26T00:00:00-07:00,852 kWh
2017-11-27T00:00:00-07:00,1060 kWh
2017-11-28T00:00:00-07:00,1050 kWh
2017-11-29T00:00:00-07:00,1048 kWh
2017-11-30T00:00:00-07:00,1048 kWh
2017-12-01T00:00:00-07:00,1002 kWh
2017-12-02T00:00:00-07:00,902 kWh
2017-12-03T00:00:00-07:00,890 kWh
2017-12-04T00:00:00-07:00,1096 kWh
2017-12-05T00:00:00-07:00,1106 kWh
2017-12-06T00:00:00-07:00,1111 kWh
2017-12-07T00:00:00-07:00,1073 kWh
2017-12-08T00:00:00-07:00,993 kWh
2017-12-09T00:00:00-07:00,915 kWh
2017-12-10T00:00:00-07:00,940 kWh
2017-12-11T00:00:00-07:00,1061 kWh
2017-12-12T00:00:00-07:00,1047 kWh
2017-12-13T00:00:00-07:00,1036 kWh
2017-12-14T00:00:00-07:00,1012 kWh
2017-12-15T00:00:00-07:00,975 kWh
2017-12-16T00:00:00-07:00,837 kWh
2017-12-17T00:00:00-07:00,828 kWh
2017-12-18T00:00:00-07:00,910 kWh
2017-12-19T00:00:00-07:00,932 kWh
2017-12-20T00:00:00-07:00,913 kWh
2017-12-21T00:00:00-07:00,895 kWh
2017-12-22T00:00:00-07:00,884 kWh
2017-12-23T00:00:00-07:00,805 kWh
2017-12-24T00:00:00-07:00,808 kWh
2017-12-25T00:00:00-07:00,807 kWh
2017-12-26T00:00:00-07:00,804 kWh
2017-12-27T00:00:00-07:00,803 kWh
2017-12-28T00:00:00-07:00,801 kWh
2017-12-29T00:00:00-07:00,798 kWh
2017-12-30T00:00:00-07:00,797 kWh
2017-12-31T00:00:00-07:00,801 kWh
