Timestamp,['1cf75055-641fb209 0083-FLETCHER BLDG Power Meter WEST KW Total']
2017-01-01T00:00:00-07:00,92.15690612792969 kW
2017-01-02T00:00:00-07:00,95.52428436279297 kW
2017-01-03T00:00:00-07:00,110.38434600830078 kW
2017-01-04T00:00:00-07:00,103.35006713867188 kW
2017-01-06T00:00:00-07:00,130.0161590576172 kW
2017-01-07T00:00:00-07:00,103.84945678710938 kW
2017-01-08T00:00:00-07:00,96.05638885498047 kW
2017-01-09T00:00:00-07:00,111.55931091308594 kW
2017-01-10T00:00:00-07:00,113.79216003417969 kW
2017-01-11T00:00:00-07:00,109.89464569091797 kW
2017-01-12T00:00:00-07:00,149.57994079589844 kW
2017-01-13T00:00:00-07:00,103.6098861694336 kW
2017-01-15T00:00:00-07:00,94.8530502319336 kW
2017-01-17T00:00:00-07:00,122.02217102050781 kW
2017-01-18T00:00:00-07:00,124.00821685791016 kW
2017-01-19T00:00:00-07:00,153.32107543945312 kW
2017-01-20T00:00:00-07:00,124.44868469238281 kW
2017-01-21T00:00:00-07:00,99.24410247802734 kW
2017-01-23T00:00:00-07:00,100.73709106445312 kW
2017-01-24T00:00:00-07:00,145.86924743652344 kW
2017-01-27T00:00:00-07:00,88.3863296508789 kW
2017-01-29T00:00:00-07:00,98.04055786132812 kW
2017-01-31T00:00:00-07:00,115.5562973022461 kW
2017-02-02T00:00:00-07:00,84.38714599609375 kW
2017-02-03T00:00:00-07:00,125.58309173583984 kW
2017-02-08T00:00:00-07:00,126.79489135742188 kW
2017-02-09T00:00:00-07:00,139.156494140625 kW
2017-02-10T00:00:00-07:00,150.17930603027344 kW
2017-02-11T00:00:00-07:00,101.53820037841797 kW
2017-02-12T00:00:00-07:00,104.12873077392578 kW
2017-02-13T00:00:00-07:00,127.25778198242188 kW
2017-02-14T00:00:00-07:00,122.45951843261719 kW
2017-02-15T00:00:00-07:00,116.68651580810547 kW
2017-02-16T00:00:00-07:00,127.05455017089844 kW
2017-02-17T00:00:00-07:00,133.671875 kW
2017-02-18T00:00:00-07:00,102.66402435302734 kW
2017-02-19T00:00:00-07:00,130.89732360839844 kW
2017-02-20T00:00:00-07:00,127.00867462158203 kW
2017-02-21T00:00:00-07:00,122.77386474609375 kW
2017-02-22T00:00:00-07:00,118.10923767089844 kW
2017-02-23T00:00:00-07:00,143.87791442871094 kW
2017-02-24T00:00:00-07:00,128.33380126953125 kW
2017-02-25T00:00:00-07:00,94.43303680419922 kW
2017-02-26T00:00:00-07:00,122.53545379638672 kW
2017-02-27T00:00:00-07:00,131.0596160888672 kW
2017-02-28T00:00:00-07:00,124.47319030761719 kW
2017-03-01T00:00:00-07:00,147.2821044921875 kW
2017-03-02T00:00:00-07:00,129.56137084960938 kW
2017-03-03T00:00:00-07:00,135.4710693359375 kW
2017-03-04T00:00:00-07:00,103.61991119384766 kW
2017-03-05T00:00:00-07:00,96.59282684326172 kW
2017-03-06T00:00:00-07:00,150.49237060546875 kW
2017-03-07T00:00:00-07:00,131.48388671875 kW
2017-03-08T00:00:00-07:00,119.64203643798828 kW
2017-03-09T00:00:00-07:00,121.9190902709961 kW
2017-03-10T00:00:00-07:00,138.56924438476562 kW
2017-03-11T00:00:00-07:00,121.15519714355469 kW
2017-03-12T00:00:00-07:00,100.11087036132812 kW
2017-03-13T00:00:00-06:00,107.32512664794922 kW
2017-03-14T00:00:00-06:00,103.62632751464844 kW
2017-03-15T00:00:00-06:00,101.90834045410156 kW
2017-03-16T00:00:00-06:00,117.14457702636719 kW
2017-03-17T00:00:00-06:00,108.97167205810547 kW
2017-03-18T00:00:00-06:00,88.92671966552734 kW
2017-03-19T00:00:00-06:00,94.31330871582031 kW
2017-03-20T00:00:00-06:00,147.43817138671875 kW
2017-03-21T00:00:00-06:00,113.4151382446289 kW
2017-03-22T00:00:00-06:00,132.43865966796875 kW
2017-03-23T00:00:00-06:00,114.56263732910156 kW
2017-03-24T00:00:00-06:00,144.43658447265625 kW
2017-03-25T00:00:00-06:00,93.41175079345703 kW
2017-03-26T00:00:00-06:00,90.33678436279297 kW
2017-03-27T00:00:00-06:00,121.08269500732422 kW
2017-03-28T00:00:00-06:00,135.00424194335938 kW
2017-03-29T00:00:00-06:00,118.51953887939453 kW
2017-03-30T00:00:00-06:00,115.0260009765625 kW
2017-03-31T00:00:00-06:00,116.02433776855469 kW
2017-04-01T00:00:00-06:00,93.839111328125 kW
2017-04-02T00:00:00-06:00,96.65376281738281 kW
2017-04-03T00:00:00-06:00,108.50670623779297 kW
2017-04-04T00:00:00-06:00,119.49829864501953 kW
2017-04-05T00:00:00-06:00,138.2266387939453 kW
2017-04-06T00:00:00-06:00,97.18550872802734 kW
2017-04-07T00:00:00-06:00,94.37090301513672 kW
2017-04-08T00:00:00-06:00,81.62715148925781 kW
2017-04-09T00:00:00-06:00,81.09568786621094 kW
2017-04-10T00:00:00-06:00,103.07102966308594 kW
2017-04-11T00:00:00-06:00,107.58028411865234 kW
2017-04-12T00:00:00-06:00,118.90282440185547 kW
2017-04-13T00:00:00-06:00,97.23553466796875 kW
2017-04-14T00:00:00-06:00,113.76726531982422 kW
