Timestamp,"['1cf8d6ae-b6decdd2 0064-MERRILL ENGINEERING BLDG Power Meter (300153, 064-801) KW Total']"
2017-01-01T00:00:00-07:00,6.0199995040893555 kW
2017-01-02T00:00:00-07:00,5.955999374389648 kW
2017-01-03T00:00:00-07:00,6.11199951171875 kW
2017-01-04T00:00:00-07:00,5.951999664306641 kW
2017-01-05T00:00:00-07:00,6.015999794006348 kW
2017-01-06T00:00:00-07:00,6.079999923706055 kW
2017-01-07T00:00:00-07:00,5.391999244689941 kW
2017-01-08T00:00:00-07:00,5.47599983215332 kW
2017-01-09T00:00:00-07:00,6.811999320983887 kW
2017-01-10T00:00:00-07:00,6.311999320983887 kW
2017-01-11T00:00:00-07:00,6.187999725341797 kW
2017-01-12T00:00:00-07:00,5.943999290466309 kW
2017-01-13T00:00:00-07:00,6.255999565124512 kW
2017-01-14T00:00:00-07:00,5.1399993896484375 kW
2017-01-15T00:00:00-07:00,5.163999557495117 kW
2017-01-16T00:00:00-07:00,5.287999153137207 kW
2017-01-17T00:00:00-07:00,6.451999664306641 kW
2017-01-18T00:00:00-07:00,6.211999893188477 kW
2017-01-19T00:00:00-07:00,6.447999954223633 kW
2017-01-20T00:00:00-07:00,6.351999282836914 kW
2017-01-21T00:00:00-07:00,5.219999313354492 kW
2017-01-22T00:00:00-07:00,5.415999412536621 kW
2017-01-23T00:00:00-07:00,6.48799991607666 kW
2017-01-24T00:00:00-07:00,6.991999626159668 kW
2017-01-25T00:00:00-07:00,7.035999298095703 kW
2017-01-26T00:00:00-07:00,6.739999771118164 kW
2017-01-27T00:00:00-07:00,6.74799919128418 kW
2017-01-28T00:00:00-07:00,5.643999099731445 kW
2017-01-29T00:00:00-07:00,5.59999942779541 kW
2017-01-30T00:00:00-07:00,6.73599910736084 kW
2017-01-31T00:00:00-07:00,7.11199951171875 kW
2017-02-01T00:00:00-07:00,6.751999855041504 kW
2017-02-02T00:00:00-07:00,6.899999618530273 kW
2017-02-03T00:00:00-07:00,6.915999412536621 kW
2017-02-07T00:00:00-07:00,6.875999450683594 kW
2017-02-08T00:00:00-07:00,7.923999786376953 kW
