Timestamp,"['1cf8d718-7e1647ed 0064-MERRILL ENGINEERING BLDG Power Meter (300153, 064-801) Current B']"
2017-01-01T00:00:00-07:00,14.2940673828125 A
2017-01-02T00:00:00-07:00,14.166097005208334 A
2017-01-03T00:00:00-07:00,13.842529296875 A
2017-01-04T00:00:00-07:00,13.531005859375 A
2017-01-05T00:00:00-07:00,13.483072916666666 A
2017-01-06T00:00:00-07:00,13.582682291666666 A
2017-01-07T00:00:00-07:00,12.897786458333334 A
2017-01-08T00:00:00-07:00,12.965983072916666 A
2017-01-09T00:00:00-07:00,14.304768880208334 A
2017-01-10T00:00:00-07:00,13.7967529296875 A
2017-01-11T00:00:00-07:00,13.453816731770834 A
2017-01-12T00:00:00-07:00,13.2205810546875 A
2017-01-13T00:00:00-07:00,13.310139973958334 A
2017-01-14T00:00:00-07:00,12.153401692708334 A
2017-01-15T00:00:00-07:00,12.233642578125 A
2017-01-16T00:00:00-07:00,12.389119466145834 A
2017-01-17T00:00:00-07:00,13.440592447916666 A
2017-01-18T00:00:00-07:00,13.258632330246913 A
2017-01-19T00:00:00-07:00,13.454793294270834 A
2017-01-20T00:00:00-07:00,13.394021739130435 A
2017-01-21T00:00:00-07:00,12.404337565104166 A
2017-01-22T00:00:00-07:00,12.696451822916666 A
2017-01-23T00:00:00-07:00,13.872314453125 A
2017-01-24T00:00:00-07:00,14.227579752604166 A
2017-01-25T00:00:00-07:00,14.4852294921875 A
2017-01-26T00:00:00-07:00,14.5712890625 A
2017-01-27T00:00:00-07:00,14.503173828125 A
2017-01-28T00:00:00-07:00,13.408935546875 A
2017-01-29T00:00:00-07:00,13.356201171875 A
2017-01-30T00:00:00-07:00,14.442138671875 A
2017-01-31T00:00:00-07:00,14.691487630208334 A
2017-02-01T00:00:00-07:00,14.8087158203125 A
2017-02-02T00:00:00-07:00,14.8651123046875 A
2017-02-03T00:00:00-07:00,14.758673199152541 A
2017-02-07T00:00:00-07:00,16.388939950980394 A
2017-02-08T00:00:00-07:00,16.22279411764706 A
2017-02-09T00:00:00-07:00,17.133870442708332 A
2017-02-10T00:00:00-07:00,16.013102213541668 A
2017-02-11T00:00:00-07:00,13.91552734375 A
2017-02-12T00:00:00-07:00,13.676554361979166 A
2017-02-13T00:00:00-07:00,14.794596354166666 A
2017-02-14T00:00:00-07:00,14.935048204787234 A
