Timestamp,"['1cf8d726-384b2ce8 0064-MERRILL ENGINEERING BLDG Power Meter (300153, 064-801) Current C']"
2017-01-01T00:00:00-07:00,13.900553385416666 A
2017-01-02T00:00:00-07:00,13.7945556640625 A
2017-01-03T00:00:00-07:00,13.5262451171875 A
2017-01-04T00:00:00-07:00,13.2440185546875 A
2017-01-05T00:00:00-07:00,13.330851236979166 A
2017-01-06T00:00:00-07:00,13.436564127604166 A
2017-01-07T00:00:00-07:00,12.507771809895834 A
2017-01-08T00:00:00-07:00,12.539265950520834 A
2017-01-09T00:00:00-07:00,13.911905924479166 A
2017-01-10T00:00:00-07:00,13.5567626953125 A
2017-01-11T00:00:00-07:00,13.216023763020834 A
2017-01-12T00:00:00-07:00,12.80126953125 A
2017-01-13T00:00:00-07:00,12.999674479166666 A
2017-01-14T00:00:00-07:00,12.019002278645834 A
2017-01-15T00:00:00-07:00,11.981404622395834 A
2017-01-16T00:00:00-07:00,12.0980224609375 A
2017-01-17T00:00:00-07:00,13.07763671875 A
2017-01-18T00:00:00-07:00,13.136432926829269 A
2017-01-19T00:00:00-07:00,13.35009765625 A
2017-01-20T00:00:00-07:00,13.00590183423913 A
2017-01-21T00:00:00-07:00,12.011474609375 A
2017-01-22T00:00:00-07:00,12.3028564453125 A
2017-01-23T00:00:00-07:00,13.48681640625 A
2017-01-24T00:00:00-07:00,13.915445963541666 A
2017-01-25T00:00:00-07:00,14.163899739583334 A
2017-01-26T00:00:00-07:00,14.185343424479166 A
2017-01-27T00:00:00-07:00,14.0750732421875 A
2017-01-28T00:00:00-07:00,13.004597981770834 A
2017-01-29T00:00:00-07:00,12.913289388020834 A
2017-01-30T00:00:00-07:00,14.0169677734375 A
2017-01-31T00:00:00-07:00,14.2659912109375 A
2017-02-01T00:00:00-07:00,14.272542317708334 A
2017-02-02T00:00:00-07:00,14.389851888020834 A
2017-02-03T00:00:00-07:00,14.150622351694915 A
2017-02-07T00:00:00-07:00,15.910539215686274 A
2017-02-08T00:00:00-07:00,15.590441176470588 A
2017-02-09T00:00:00-07:00,16.430623372395832 A
2017-02-10T00:00:00-07:00,15.426554361979166 A
2017-02-11T00:00:00-07:00,13.468505859375 A
2017-02-12T00:00:00-07:00,13.255167643229166 A
2017-02-13T00:00:00-07:00,14.238321940104166 A
2017-02-14T00:00:00-07:00,14.37977892287234 A
2017-02-15T00:00:00-07:00,14.4017333984375 A
2017-02-16T00:00:00-07:00,15.076741536458334 A
2017-02-17T00:00:00-07:00,13.930013020833334 A
2017-02-18T00:00:00-07:00,13.3189697265625 A
2017-02-19T00:00:00-07:00,12.951334635416666 A
2017-02-20T00:00:00-07:00,13.331258138020834 A
2017-02-21T00:00:00-07:00,14.7950439453125 A
2017-02-22T00:00:00-07:00,13.209187825520834 A
2017-02-23T00:00:00-07:00,13.22607421875 A
2017-02-24T00:00:00-07:00,13.635957792207792 A
