Timestamp,"['1cf8d742-d3e5c27c 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) KWH Received']"
2017-01-01T00:00:00-07:00,58.25 kWh
2017-01-02T00:00:00-07:00,58.4375 kWh
2017-01-03T00:00:00-07:00,62.453125 kWh
2017-01-04T00:00:00-07:00,64.265625 kWh
2017-01-05T00:00:00-07:00,64.46875 kWh
2017-01-06T00:00:00-07:00,64.5625 kWh
2017-01-07T00:00:00-07:00,57.359375 kWh
2017-01-08T00:00:00-07:00,56.203125 kWh
2017-01-09T00:00:00-07:00,62.59375 kWh
2017-01-10T00:00:00-07:00,64.890625 kWh
2017-01-11T00:00:00-07:00,65.296875 kWh
2017-01-12T00:00:00-07:00,63.71875 kWh
2017-01-13T00:00:00-07:00,61.9375 kWh
2017-01-14T00:00:00-07:00,55.453125 kWh
2017-01-15T00:00:00-07:00,54.328125 kWh
2017-01-16T00:00:00-07:00,57.609375 kWh
2017-01-17T00:00:00-07:00,62.640625 kWh
2017-01-18T00:00:00-07:00,59.34375 kWh
2017-01-19T00:00:00-07:00,60.09375 kWh
2017-01-20T00:00:00-07:00,59.421875 kWh
2017-01-21T00:00:00-07:00,53.75 kWh
2017-01-22T00:00:00-07:00,53.90625 kWh
2017-01-23T00:00:00-07:00,61.453125 kWh
2017-01-24T00:00:00-07:00,61.859375 kWh
2017-01-25T00:00:00-07:00,63.1875 kWh
2017-01-26T00:00:00-07:00,63.578125 kWh
2017-01-27T00:00:00-07:00,62.828125 kWh
2017-01-28T00:00:00-07:00,55.796875 kWh
2017-01-29T00:00:00-07:00,54.96875 kWh
2017-01-30T00:00:00-07:00,63.796875 kWh
2017-01-31T00:00:00-07:00,63.390625 kWh
2017-02-01T00:00:00-07:00,63.140625 kWh
2017-02-02T00:00:00-07:00,64.78125 kWh
2017-02-03T00:00:00-07:00,264.921875 kWh
2017-02-07T00:00:00-07:00,35.375 kWh
2017-02-08T00:00:00-07:00,63.109375 kWh
2017-02-09T00:00:00-07:00,64.28125 kWh
2017-02-10T00:00:00-07:00,63.296875 kWh
2017-02-11T00:00:00-07:00,54.4375 kWh
2017-02-12T00:00:00-07:00,54.328125 kWh
2017-02-13T00:00:00-07:00,62.296875 kWh
2017-02-14T00:00:00-07:00,61.859375 kWh
2017-02-15T00:00:00-07:00,61.4375 kWh
2017-02-16T00:00:00-07:00,62.28125 kWh
2017-02-17T00:00:00-07:00,61.640625 kWh
2017-02-18T00:00:00-07:00,55.0625 kWh
2017-02-19T00:00:00-07:00,55.734375 kWh
2017-02-20T00:00:00-07:00,57.984375 kWh
2017-02-21T00:00:00-07:00,63.5 kWh
2017-02-22T00:00:00-07:00,62.6875 kWh
2017-02-23T00:00:00-07:00,63.40625 kWh
2017-02-24T00:00:00-07:00,226471.84375 kWh
2017-02-25T00:00:00-07:00,55.734375 kWh
2017-02-26T00:00:00-07:00,55.75 kWh
2017-02-27T00:00:00-07:00,63.515625 kWh
2017-02-28T00:00:00-07:00,64.25 kWh
2017-03-01T00:00:00-07:00,64.125 kWh
2017-03-02T00:00:00-07:00,64.140625 kWh
2017-03-03T00:00:00-07:00,62.984375 kWh
