Timestamp,"['1cf8d784-eca0eb23 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) Current A']"
2017-01-01T00:00:00-07:00,6.9412841796875 A
2017-01-02T00:00:00-07:00,6.859456380208333 A
2017-01-03T00:00:00-07:00,7.339070638020833 A
2017-01-04T00:00:00-07:00,7.630452473958333 A
2017-01-05T00:00:00-07:00,7.78955078125 A
2017-01-06T00:00:00-07:00,7.7071533203125 A
2017-01-07T00:00:00-07:00,6.6446533203125 A
2017-01-08T00:00:00-07:00,6.474527994791667 A
2017-01-09T00:00:00-07:00,7.320353190104167 A
2017-01-10T00:00:00-07:00,7.7177734375 A
2017-01-11T00:00:00-07:00,7.968587239583333 A
2017-01-12T00:00:00-07:00,7.684041341145833 A
2017-01-13T00:00:00-07:00,7.416259765625 A
2017-01-14T00:00:00-07:00,6.638997395833333 A
2017-01-15T00:00:00-07:00,6.553304036458333 A
2017-01-16T00:00:00-07:00,6.883992513020833 A
2017-01-17T00:00:00-07:00,7.655314127604167 A
2017-01-18T00:00:00-07:00,7.218798225308642 A
2017-01-19T00:00:00-07:00,7.4091796875 A
2017-01-20T00:00:00-07:00,7.322348736702128 A
2017-01-21T00:00:00-07:00,6.548055013020833 A
2017-01-22T00:00:00-07:00,6.543986002604167 A
2017-01-23T00:00:00-07:00,7.543701171875 A
2017-01-24T00:00:00-07:00,7.577799479166667 A
2017-01-25T00:00:00-07:00,7.724283854166667 A
2017-01-26T00:00:00-07:00,8.094156901041666 A
2017-01-27T00:00:00-07:00,8.261433919270834 A
2017-01-28T00:00:00-07:00,7.044921875 A
2017-01-29T00:00:00-07:00,6.902872721354167 A
2017-01-30T00:00:00-07:00,7.9564208984375 A
2017-01-31T00:00:00-07:00,7.780517578125 A
2017-02-01T00:00:00-07:00,8.037272135416666 A
2017-02-02T00:00:00-07:00,8.070597330729166 A
2017-02-03T00:00:00-07:00,7.943880208333334 A
2017-02-07T00:00:00-07:00,8.15515625 A
2017-02-08T00:00:00-07:00,7.667271205357143 A
2017-02-09T00:00:00-07:00,7.751668294270833 A
2017-02-10T00:00:00-07:00,7.825846354166667 A
2017-02-11T00:00:00-07:00,6.606892903645833 A
2017-02-12T00:00:00-07:00,6.488321940104167 A
2017-02-13T00:00:00-07:00,7.484700520833333 A
2017-02-14T00:00:00-07:00,7.480016447368421 A
2017-02-15T00:00:00-07:00,7.598876953125 A
2017-02-16T00:00:00-07:00,7.795694986979167 A
2017-02-17T00:00:00-07:00,7.753336588541667 A
2017-02-18T00:00:00-07:00,6.812052408854167 A
2017-02-19T00:00:00-07:00,7.006144205729167 A
2017-02-20T00:00:00-07:00,7.3260498046875 A
2017-02-21T00:00:00-07:00,7.943522135416667 A
2017-02-22T00:00:00-07:00,7.786376953125 A
2017-02-23T00:00:00-07:00,7.862263997395833 A
2017-02-24T00:00:00-07:00,7.1610186688311686 A
2017-02-25T00:00:00-07:00,6.553914388020833 A
2017-02-26T00:00:00-07:00,6.558146158854167 A
2017-02-27T00:00:00-07:00,7.495279947916667 A
2017-02-28T00:00:00-07:00,7.766194661458333 A
2017-03-01T00:00:00-07:00,7.816691080729167 A
2017-03-02T00:00:00-07:00,7.719807942708333 A
2017-03-03T00:00:00-07:00,7.522705078125 A
2017-03-04T00:00:00-07:00,6.773193359375 A
2017-03-05T00:00:00-07:00,6.610107421875 A
2017-03-06T00:00:00-07:00,7.5260009765625 A
2017-03-07T00:00:00-07:00,7.745320638020833 A
2017-03-08T00:00:00-07:00,7.628336588541667 A
2017-03-09T00:00:00-07:00,7.3468017578125 A
2017-03-10T00:00:00-07:00,7.355916341145833 A
2017-03-11T00:00:00-07:00,6.5162353515625 A
2017-03-12T00:00:00-07:00,6.498471467391305 A
2017-03-13T00:00:00-06:00,6.961995442708333 A
2017-03-14T00:00:00-06:00,6.9447021484375 A
2017-03-15T00:00:00-06:00,6.922607421875 A
2017-03-16T00:00:00-06:00,6.918294270833333 A
2017-03-17T00:00:00-06:00,6.8427734375 A
2017-03-18T00:00:00-06:00,6.464070638020833 A
2017-03-19T00:00:00-06:00,6.408243815104167 A
2017-03-20T00:00:00-06:00,7.438517252604167 A
2017-03-21T00:00:00-06:00,7.494222005208333 A
