Timestamp,"['1cf8d79a-b6d88143 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) Current B']"
2017-01-01T00:00:00-07:00,7.224812825520833 A
2017-01-02T00:00:00-07:00,7.191935221354167 A
2017-01-03T00:00:00-07:00,7.5325927734375 A
2017-01-04T00:00:00-07:00,7.692301432291667 A
2017-01-05T00:00:00-07:00,7.731363932291667 A
2017-01-06T00:00:00-07:00,7.967732747395833 A
2017-01-07T00:00:00-07:00,7.283528645833333 A
2017-01-08T00:00:00-07:00,7.1912841796875 A
2017-01-09T00:00:00-07:00,7.7266845703125 A
2017-01-10T00:00:00-07:00,7.91015625 A
2017-01-11T00:00:00-07:00,7.796101888020833 A
2017-01-12T00:00:00-07:00,7.585530598958333 A
2017-01-13T00:00:00-07:00,7.349283854166667 A
2017-01-14T00:00:00-07:00,6.653483072916667 A
2017-01-15T00:00:00-07:00,6.557861328125 A
2017-01-16T00:00:00-07:00,6.961832682291667 A
2017-01-17T00:00:00-07:00,7.205362955729167 A
2017-01-18T00:00:00-07:00,6.705150462962963 A
2017-01-19T00:00:00-07:00,7.000813802083333 A
2017-01-20T00:00:00-07:00,6.913106715425532 A
2017-01-21T00:00:00-07:00,6.266072591145833 A
2017-01-22T00:00:00-07:00,6.370768229166667 A
2017-01-23T00:00:00-07:00,7.025431315104167 A
2017-01-24T00:00:00-07:00,6.904459635416667 A
2017-01-25T00:00:00-07:00,7.1729736328125 A
2017-01-26T00:00:00-07:00,6.998697916666667 A
2017-01-27T00:00:00-07:00,6.841837565104167 A
2017-01-28T00:00:00-07:00,6.235595703125 A
2017-01-29T00:00:00-07:00,6.2218017578125 A
2017-01-30T00:00:00-07:00,7.044962565104167 A
2017-01-31T00:00:00-07:00,7.132527669270833 A
2017-02-01T00:00:00-07:00,7.174763997395833 A
2017-02-02T00:00:00-07:00,7.349527994791667 A
2017-02-03T00:00:00-07:00,7.251125529661017 A
2017-02-07T00:00:00-07:00,7.474375 A
2017-02-08T00:00:00-07:00,7.072544642857143 A
2017-02-09T00:00:00-07:00,7.288899739583333 A
2017-02-10T00:00:00-07:00,7.19384765625 A
2017-02-11T00:00:00-07:00,6.134195963541667 A
2017-02-12T00:00:00-07:00,6.4168701171875 A
2017-02-13T00:00:00-07:00,6.9921875 A
2017-02-14T00:00:00-07:00,6.909621710526316 A
2017-02-15T00:00:00-07:00,6.618367513020833 A
2017-02-16T00:00:00-07:00,6.636067708333333 A
2017-02-17T00:00:00-07:00,6.512858072916667 A
2017-02-18T00:00:00-07:00,5.95751953125 A
2017-02-19T00:00:00-07:00,6.034871419270833 A
2017-02-20T00:00:00-07:00,6.307902018229167 A
2017-02-21T00:00:00-07:00,6.86328125 A
2017-02-22T00:00:00-07:00,6.643391927083333 A
2017-02-23T00:00:00-07:00,6.737060546875 A
2017-02-24T00:00:00-07:00,6.435724431818182 A
2017-02-25T00:00:00-07:00,6.228556315104167 A
2017-02-26T00:00:00-07:00,6.3271484375 A
2017-02-27T00:00:00-07:00,7.075398763020833 A
2017-02-28T00:00:00-07:00,7.24462890625 A
2017-03-01T00:00:00-07:00,7.163899739583333 A
2017-03-02T00:00:00-07:00,7.021199544270833 A
2017-03-03T00:00:00-07:00,7.0283203125 A
