Timestamp,"['1cf8d7a5-ca84657f 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) Current C']"
2017-01-01T00:00:00-07:00,6.990152994791667 A
2017-01-02T00:00:00-07:00,7.199178059895833 A
2017-01-03T00:00:00-07:00,7.7088623046875 A
2017-01-04T00:00:00-07:00,7.9002685546875 A
2017-01-05T00:00:00-07:00,7.893310546875 A
2017-01-06T00:00:00-07:00,7.7659912109375 A
2017-01-07T00:00:00-07:00,6.789306640625 A
2017-01-08T00:00:00-07:00,6.611735026041667 A
2017-01-09T00:00:00-07:00,7.629231770833333 A
2017-01-10T00:00:00-07:00,7.833699544270833 A
2017-01-11T00:00:00-07:00,7.7685546875 A
2017-01-12T00:00:00-07:00,7.6771240234375 A
2017-01-13T00:00:00-07:00,7.57470703125 A
2017-01-14T00:00:00-07:00,6.759765625 A
2017-01-15T00:00:00-07:00,6.592610677083333 A
2017-01-16T00:00:00-07:00,7.093994140625 A
2017-01-17T00:00:00-07:00,7.6790771484375 A
2017-01-18T00:00:00-07:00,7.1252663352272725 A
2017-01-19T00:00:00-07:00,7.140421549479167 A
2017-01-20T00:00:00-07:00,7.207613031914893 A
2017-01-21T00:00:00-07:00,6.5750732421875 A
2017-01-22T00:00:00-07:00,6.428181966145833 A
2017-01-23T00:00:00-07:00,7.515950520833333 A
2017-01-24T00:00:00-07:00,7.6341552734375 A
2017-01-25T00:00:00-07:00,7.860392252604167 A
2017-01-26T00:00:00-07:00,7.7130126953125 A
2017-01-27T00:00:00-07:00,7.5794677734375 A
2017-01-28T00:00:00-07:00,6.864176432291667 A
2017-01-29T00:00:00-07:00,6.643595377604167 A
2017-01-30T00:00:00-07:00,7.859903971354167 A
2017-01-31T00:00:00-07:00,7.881429036458333 A
2017-02-01T00:00:00-07:00,7.614949544270833 A
2017-02-02T00:00:00-07:00,7.873942057291667 A
2017-02-03T00:00:00-07:00,7.993114406779661 A
2017-02-07T00:00:00-07:00,8.100859375 A
2017-02-08T00:00:00-07:00,7.790946691176471 A
2017-02-09T00:00:00-07:00,7.991170247395833 A
2017-02-10T00:00:00-07:00,7.7344970703125 A
2017-02-11T00:00:00-07:00,6.852335611979167 A
2017-02-12T00:00:00-07:00,6.609781901041667 A
2017-02-13T00:00:00-07:00,7.903361002604167 A
2017-02-14T00:00:00-07:00,7.75 A
2017-02-15T00:00:00-07:00,7.783284505208333 A
2017-02-16T00:00:00-07:00,7.901326497395833 A
2017-02-17T00:00:00-07:00,7.897013346354167 A
2017-02-18T00:00:00-07:00,6.9530029296875 A
2017-02-19T00:00:00-07:00,6.983194986979167 A
2017-02-20T00:00:00-07:00,7.227457682291667 A
2017-02-21T00:00:00-07:00,7.905924479166667 A
2017-02-22T00:00:00-07:00,8.022013346354166 A
2017-02-23T00:00:00-07:00,8.070068359375 A
2017-02-24T00:00:00-07:00,7.638798701298701 A
2017-02-25T00:00:00-07:00,7.171223958333333 A
2017-02-26T00:00:00-07:00,7.062581380208333 A
2017-02-27T00:00:00-07:00,8.1051025390625 A
2017-02-28T00:00:00-07:00,7.874308268229167 A
2017-03-01T00:00:00-07:00,7.929402669270833 A
2017-03-02T00:00:00-07:00,8.168619791666666 A
2017-03-03T00:00:00-07:00,8.0216064453125 A
2017-03-04T00:00:00-07:00,7.293904622395833 A
2017-03-05T00:00:00-07:00,7.014200846354167 A
2017-03-06T00:00:00-07:00,8.100545247395834 A
2017-03-07T00:00:00-07:00,8.005289713541666 A
2017-03-08T00:00:00-07:00,7.833292643229167 A
2017-03-09T00:00:00-07:00,7.8419189453125 A
2017-03-10T00:00:00-07:00,7.607381184895833 A
2017-03-11T00:00:00-07:00,7.062052408854167 A
2017-03-12T00:00:00-07:00,6.937160326086956 A
2017-03-13T00:00:00-06:00,7.5140380859375 A
2017-03-14T00:00:00-06:00,7.5150146484375 A
2017-03-15T00:00:00-06:00,7.68212890625 A
2017-03-16T00:00:00-06:00,7.722615559895833 A
2017-03-17T00:00:00-06:00,7.4832763671875 A
2017-03-18T00:00:00-06:00,7.086832682291667 A
2017-03-19T00:00:00-06:00,6.981730143229167 A
2017-03-20T00:00:00-06:00,8.006795247395834 A
2017-03-21T00:00:00-06:00,7.863525390625 A
2017-03-22T00:00:00-06:00,7.8443603515625 A
2017-03-23T00:00:00-06:00,7.7713623046875 A
2017-03-24T00:00:00-06:00,7.806193033854167 A
2017-03-25T00:00:00-06:00,6.978922526041667 A
2017-03-26T00:00:00-06:00,6.919514973958333 A
2017-03-27T00:00:00-06:00,7.9713134765625 A
2017-03-28T00:00:00-06:00,7.843302408854167 A
2017-03-29T00:00:00-06:00,7.840386284722222 A
2017-03-30T00:00:00-06:00,8.273615056818182 A
2017-03-31T00:00:00-06:00,7.703166118421053 A
2017-04-01T00:00:00-06:00,6.779703776041667 A
