Timestamp,['1cf8d7b8-b07543b7 0064-MERRILL ENGINEERING BLDG Power Meter (powerlogic) 316608 KWH Received']
2017-01-01T00:00:00-07:00,2046.5777777777778 Wh
2017-01-02T00:00:00-07:00,2033.7777777777778 Wh
2017-01-03T00:00:00-07:00,2004.6222222222223 Wh
2017-01-04T00:00:00-07:00,1988.2666666666667 Wh
2017-01-05T00:00:00-07:00,1993.9555555555555 Wh
2017-01-06T00:00:00-07:00,2001.0666666666666 Wh
2017-01-07T00:00:00-07:00,2036.6222222222223 Wh
2017-01-08T00:00:00-07:00,2023.8222222222223 Wh
2017-01-09T00:00:00-07:00,1984.7111111111112 Wh
2017-01-10T00:00:00-07:00,1981.1555555555556 Wh
2017-01-11T00:00:00-07:00,1974.7555555555555 Wh
2017-01-12T00:00:00-07:00,1984.7111111111112 Wh
2017-01-13T00:00:00-07:00,1991.111111111111 Wh
2017-01-14T00:00:00-07:00,1978.3111111111111 Wh
2017-01-15T00:00:00-07:00,1989.6888888888889 Wh
2017-01-16T00:00:00-07:00,1983.2888888888888 Wh
2017-01-17T00:00:00-07:00,1978.3111111111111 Wh
2017-01-18T00:00:00-07:00,2162.6503067484664 Wh
2017-01-19T00:00:00-07:00,1996.088888888889 Wh
2017-01-20T00:00:00-07:00,2042.1527480371165 Wh
2017-01-21T00:00:00-07:00,1994.6666666666667 Wh
2017-01-22T00:00:00-07:00,2008.888888888889 Wh
2017-01-23T00:00:00-07:00,1976.888888888889 Wh
2017-01-24T00:00:00-07:00,2007.4666666666667 Wh
2017-01-25T00:00:00-07:00,2023.8222222222223 Wh
2017-01-26T00:00:00-07:00,2030.2222222222222 Wh
2017-01-27T00:00:00-07:00,2027.3777777777777 Wh
2017-01-28T00:00:00-07:00,2038.7555555555555 Wh
2017-01-29T00:00:00-07:00,2040.1777777777777 Wh
2017-01-30T00:00:00-07:00,2037.3333333333333 Wh
2017-01-31T00:00:00-07:00,2045.1555555555556 Wh
2017-02-01T00:00:00-07:00,2039.4666666666667 Wh
2017-02-02T00:00:00-07:00,2012.4444444444443 Wh
2017-02-03T00:00:00-07:00,14954.374429223744 Wh
2017-02-07T00:00:00-07:00,2220.2745625841185 Wh
2017-02-08T00:00:00-07:00,2222.7915407854985 Wh
2017-02-09T00:00:00-07:00,2056.5333333333333 Wh
2017-02-10T00:00:00-07:00,2018.1333333333334 Wh
2017-02-11T00:00:00-07:00,2022.4 Wh
2017-02-12T00:00:00-07:00,2050.133333333333 Wh
2017-02-13T00:00:00-07:00,2050.8444444444444 Wh
2017-02-14T00:00:00-07:00,2095.2727272727275 Wh
2017-02-15T00:00:00-07:00,2040.1777777777777 Wh
2017-02-16T00:00:00-07:00,2020.2666666666667 Wh
2017-02-17T00:00:00-07:00,2020.2666666666667 Wh
2017-02-18T00:00:00-07:00,2078.5777777777776 Wh
2017-02-19T00:00:00-07:00,2065.777777777778 Wh
2017-02-20T00:00:00-07:00,2091.3777777777777 Wh
2017-02-21T00:00:00-07:00,2047.2888888888888 Wh
2017-02-22T00:00:00-07:00,2030.9333333333334 Wh
