Timestamp,['1cf8d805-aacccc6b 0064-MERRILL ENGINEERING BLDG Power Meter (powerlogic) 316608 Current B']
2017-01-01T00:00:00-07:00,150.9375 A
2017-01-02T00:00:00-07:00,150.53125 A
2017-01-03T00:00:00-07:00,148.71875 A
2017-01-04T00:00:00-07:00,147.90625 A
2017-01-05T00:00:00-07:00,147.89583333333334 A
2017-01-06T00:00:00-07:00,148.47916666666666 A
2017-01-07T00:00:00-07:00,151.13541666666666 A
2017-01-08T00:00:00-07:00,150.34375 A
2017-01-09T00:00:00-07:00,147.9375 A
2017-01-10T00:00:00-07:00,147.28125 A
2017-01-11T00:00:00-07:00,146.5625 A
2017-01-12T00:00:00-07:00,146.79166666666666 A
2017-01-13T00:00:00-07:00,147.70833333333334 A
2017-01-14T00:00:00-07:00,146.51041666666666 A
2017-01-15T00:00:00-07:00,147.55208333333334 A
2017-01-16T00:00:00-07:00,147.29166666666666 A
2017-01-17T00:00:00-07:00,147.72916666666666 A
2017-01-18T00:00:00-07:00,143.91358024691357 A
2017-01-19T00:00:00-07:00,146.28125 A
2017-01-20T00:00:00-07:00,145.86021505376345 A
2017-01-21T00:00:00-07:00,147.0625 A
2017-01-22T00:00:00-07:00,148.54166666666666 A
2017-01-23T00:00:00-07:00,145.52083333333334 A
2017-01-24T00:00:00-07:00,147.53125 A
2017-01-25T00:00:00-07:00,148.98958333333334 A
2017-01-26T00:00:00-07:00,149.32291666666666 A
2017-01-27T00:00:00-07:00,149.63541666666666 A
2017-01-28T00:00:00-07:00,150.20833333333334 A
2017-01-29T00:00:00-07:00,149.625 A
2017-01-30T00:00:00-07:00,149.20833333333334 A
2017-01-31T00:00:00-07:00,150.1875 A
2017-02-01T00:00:00-07:00,149.35416666666666 A
2017-02-02T00:00:00-07:00,147.8125 A
2017-02-03T00:00:00-07:00,148 A
2017-02-07T00:00:00-07:00,151.81632653061226 A
2017-02-08T00:00:00-07:00,149.25 A
2017-02-09T00:00:00-07:00,150.3125 A
2017-02-10T00:00:00-07:00,148.33333333333334 A
2017-02-11T00:00:00-07:00,148.83333333333334 A
2017-02-12T00:00:00-07:00,149.90625 A
2017-02-13T00:00:00-07:00,149.89583333333334 A
2017-02-14T00:00:00-07:00,149.9468085106383 A
2017-02-15T00:00:00-07:00,149.25 A
2017-02-16T00:00:00-07:00,148.21875 A
2017-02-17T00:00:00-07:00,148.01041666666666 A
2017-02-18T00:00:00-07:00,151.67708333333334 A
2017-02-19T00:00:00-07:00,151.16666666666666 A
2017-02-20T00:00:00-07:00,152.57291666666666 A
2017-02-21T00:00:00-07:00,149.92708333333334 A
2017-02-22T00:00:00-07:00,148.5 A
2017-02-23T00:00:00-07:00,146.23958333333334 A
2017-02-24T00:00:00-07:00,146.21052631578948 A
2017-02-25T00:00:00-07:00,146.70833333333334 A
2017-02-26T00:00:00-07:00,145.97916666666666 A
2017-02-27T00:00:00-07:00,147.29166666666666 A
2017-02-28T00:00:00-07:00,149.21875 A
2017-03-01T00:00:00-07:00,147.08333333333334 A
2017-03-02T00:00:00-07:00,147.02083333333334 A
2017-03-03T00:00:00-07:00,147.02083333333334 A
2017-03-04T00:00:00-07:00,149.47916666666666 A
2017-03-05T00:00:00-07:00,149.70833333333334 A
2017-03-06T00:00:00-07:00,150.40625 A
2017-03-07T00:00:00-07:00,147.79166666666666 A
2017-03-08T00:00:00-07:00,148.61458333333334 A
2017-03-09T00:00:00-07:00,146.91666666666666 A
2017-03-10T00:00:00-07:00,147.94791666666666 A
2017-03-11T00:00:00-07:00,148.28125 A
2017-03-12T00:00:00-07:00,150.22826086956522 A
2017-03-13T00:00:00-06:00,149.15625 A
2017-03-14T00:00:00-06:00,147.5625 A
2017-03-15T00:00:00-06:00,146.96875 A
2017-03-16T00:00:00-06:00,146.02083333333334 A
2017-03-17T00:00:00-06:00,146.13541666666666 A
2017-03-18T00:00:00-06:00,145.0625 A
2017-03-19T00:00:00-06:00,146.86458333333334 A
2017-03-20T00:00:00-06:00,147.15625 A
2017-03-21T00:00:00-06:00,149 A
2017-03-22T00:00:00-06:00,149.125 A
2017-03-23T00:00:00-06:00,149.51041666666666 A
2017-03-24T00:00:00-06:00,148.86458333333334 A
2017-03-25T00:00:00-06:00,147.03125 A
2017-03-26T00:00:00-06:00,148.32291666666666 A
2017-03-27T00:00:00-06:00,151.51041666666666 A
2017-03-28T00:00:00-06:00,150.5 A
2017-03-29T00:00:00-06:00,151.19444444444446 A
2017-03-30T00:00:00-06:00,147.06976744186048 A
2017-03-31T00:00:00-06:00,147.38541666666666 A
2017-04-01T00:00:00-06:00,145.89583333333334 A
2017-04-02T00:00:00-06:00,144.80208333333334 A
2017-04-03T00:00:00-06:00,144.85416666666666 A
2017-04-04T00:00:00-06:00,145.47916666666666 A
2017-04-05T00:00:00-06:00,145.625 A
2017-04-06T00:00:00-06:00,146.96875 A
2017-04-07T00:00:00-06:00,146.22916666666666 A
2017-04-08T00:00:00-06:00,149.01041666666666 A
2017-04-09T00:00:00-06:00,150.69791666666666 A
2017-04-10T00:00:00-06:00,146.25 A
2017-04-11T00:00:00-06:00,143.95833333333334 A
2017-04-12T00:00:00-06:00,144.4375 A
2017-04-13T00:00:00-06:00,144.5 A
2017-04-14T00:00:00-06:00,147.08333333333334 A
2017-04-15T00:00:00-06:00,146.76041666666666 A
2017-04-16T00:00:00-06:00,147 A
2017-04-17T00:00:00-06:00,147.53125 A
2017-04-18T00:00:00-06:00,146.84375 A
2017-04-19T00:00:00-06:00,147.47916666666666 A
2017-04-20T00:00:00-06:00,147.27083333333334 A
2017-04-21T00:00:00-06:00,147.75 A
2017-04-22T00:00:00-06:00,148.36458333333334 A
2017-04-23T00:00:00-06:00,146.76041666666666 A
2017-04-24T00:00:00-06:00,144.76041666666666 A
2017-04-25T00:00:00-06:00,144.78125 A
2017-04-26T00:00:00-06:00,146.22916666666666 A
2017-04-27T00:00:00-06:00,145.70833333333334 A
2017-04-28T00:00:00-06:00,147.5 A
2017-04-29T00:00:00-06:00,148.65625 A
2017-04-30T00:00:00-06:00,150.38541666666666 A
2017-05-01T00:00:00-06:00,150.51041666666666 A
2017-05-02T00:00:00-06:00,148.03125 A
2017-05-03T00:00:00-06:00,150.10416666666666 A
2017-05-04T00:00:00-06:00,149.41666666666666 A
2017-05-05T00:00:00-06:00,149.82291666666666 A
2017-05-06T00:00:00-06:00,150.02083333333334 A
2017-05-07T00:00:00-06:00,149.59375 A
2017-05-08T00:00:00-06:00,149.1595744680851 A
2017-05-09T00:00:00-06:00,149.35416666666666 A
2017-05-10T00:00:00-06:00,147.77083333333334 A
2017-05-11T00:00:00-06:00,147.13541666666666 A
2017-05-12T00:00:00-06:00,145.30208333333334 A
2017-05-13T00:00:00-06:00,146.6875 A
2017-05-14T00:00:00-06:00,148.84375 A
2017-05-15T00:00:00-06:00,150.11458333333334 A
2017-05-16T00:00:00-06:00,149.27083333333334 A
2017-05-17T00:00:00-06:00,148.28125 A
2017-05-18T00:00:00-06:00,149.91666666666666 A
2017-05-19T00:00:00-06:00,152.35416666666666 A
2017-05-20T00:00:00-06:00,152.39583333333334 A
2017-05-21T00:00:00-06:00,151.82291666666666 A
2017-05-22T00:00:00-06:00,152.13541666666666 A
2017-05-23T00:00:00-06:00,152.10416666666666 A
2017-05-24T00:00:00-06:00,151.96875 A
2017-05-25T00:00:00-06:00,151.19791666666666 A
2017-05-26T00:00:00-06:00,151.07291666666666 A
