Timestamp,['1d09e916-9c816e43 0084-BIOLOGY BLDG Power Meter 316501 KWH Received']
2017-01-01T00:00:00-07:00,5912.9375 kWh
2017-01-02T00:00:00-07:00,6935.625 kWh
2017-01-03T00:00:00-07:00,6558.65625 kWh
2017-01-04T00:00:00-07:00,6523.84375 kWh
2017-01-05T00:00:00-07:00,6744.8125 kWh
2017-01-06T00:00:00-07:00,6362.625 kWh
2017-01-07T00:00:00-07:00,6276.78125 kWh
2017-01-08T00:00:00-07:00,6312.40625 kWh
2017-01-09T00:00:00-07:00,6999.25 kWh
2017-01-10T00:00:00-07:00,6745.21875 kWh
2017-01-11T00:00:00-07:00,7077.125 kWh
2017-01-12T00:00:00-07:00,6656 kWh
2017-01-13T00:00:00-07:00,6785.625 kWh
2017-01-14T00:00:00-07:00,6416.6875 kWh
2017-01-15T00:00:00-07:00,6399.0625 kWh
2017-01-16T00:00:00-07:00,6409 kWh
2017-01-17T00:00:00-07:00,6610.625 kWh
2017-01-18T00:00:00-07:00,6637.75 kWh
2017-01-19T00:00:00-07:00,6656.75 kWh
2017-01-20T00:00:00-07:00,6624 kWh
2017-01-21T00:00:00-07:00,6870.8125 kWh
2017-01-22T00:00:00-07:00,6582 kWh
2017-01-23T00:00:00-07:00,7257.6875 kWh
2017-01-24T00:00:00-07:00,6751.3125 kWh
2017-01-25T00:00:00-07:00,6864.5625 kWh
2017-01-26T00:00:00-07:00,6585.875 kWh
2017-01-27T00:00:00-07:00,6548.5625 kWh
2017-01-28T00:00:00-07:00,6746.0625 kWh
2017-01-29T00:00:00-07:00,6619.375 kWh
2017-01-30T00:00:00-07:00,6850.625 kWh
2017-01-31T00:00:00-07:00,6814.25 kWh
2017-02-01T00:00:00-07:00,6993.1875 kWh
2017-02-02T00:00:00-07:00,6664.0625 kWh
2017-02-03T00:00:00-07:00,28222.25 kWh
2017-02-07T00:00:00-07:00,3786.5 kWh
2017-02-08T00:00:00-07:00,6562.875 kWh
2017-02-09T00:00:00-07:00,6242 kWh
2017-02-10T00:00:00-07:00,6371.0625 kWh
2017-02-11T00:00:00-07:00,6856.8125 kWh
2017-02-12T00:00:00-07:00,6839.125 kWh
2017-02-13T00:00:00-07:00,6873.3125 kWh
2017-02-14T00:00:00-07:00,6710.5 kWh
2017-02-15T00:00:00-07:00,6482.625 kWh
2017-02-16T00:00:00-07:00,6291.8125 kWh
2017-02-17T00:00:00-07:00,6160.6875 kWh
2017-02-18T00:00:00-07:00,5898.0625 kWh
2017-02-19T00:00:00-07:00,5932.25 kWh
2017-02-20T00:00:00-07:00,5795.4375 kWh
2017-02-21T00:00:00-07:00,6206.125 kWh
2017-02-22T00:00:00-07:00,6728.625 kWh
2017-02-23T00:00:00-07:00,6735.9375 kWh
2017-02-24T00:00:00-07:00,827730.25 kWh
2017-02-25T00:00:00-07:00,6539.6875 kWh
2017-02-26T00:00:00-07:00,6626.4375 kWh
2017-02-27T00:00:00-07:00,7194.6875 kWh
2017-02-28T00:00:00-07:00,6947.375 kWh
2017-03-01T00:00:00-07:00,6771.25 kWh
2017-03-02T00:00:00-07:00,6752.9375 kWh
2017-03-03T00:00:00-07:00,6697.9375 kWh
2017-03-04T00:00:00-07:00,6567.5 kWh
2017-03-05T00:00:00-07:00,6733.625 kWh
2017-03-06T00:00:00-07:00,7093.875 kWh
2017-03-07T00:00:00-07:00,6721.0625 kWh
2017-03-08T00:00:00-07:00,6726.4375 kWh
2017-03-09T00:00:00-07:00,6632.6875 kWh
2017-03-10T00:00:00-07:00,6412.5 kWh
2017-03-11T00:00:00-07:00,6181.8125 kWh
2017-03-12T00:00:00-07:00,5902.8125 kWh
2017-03-13T00:00:00-06:00,6291.75 kWh
2017-03-14T00:00:00-06:00,6318.4375 kWh
2017-03-15T00:00:00-06:00,6310.9375 kWh
2017-03-16T00:00:00-06:00,6255.5 kWh
2017-03-17T00:00:00-06:00,6250.9375 kWh
2017-03-18T00:00:00-06:00,6105.125 kWh
2017-03-19T00:00:00-06:00,6022.75 kWh
2017-03-20T00:00:00-06:00,6212 kWh
2017-03-21T00:00:00-06:00,6270 kWh
2017-03-22T00:00:00-06:00,6348.9375 kWh
2017-03-23T00:00:00-06:00,6896.905029296875 kWh
2017-03-24T00:00:00-06:00,6352.889892578125 kWh
2017-03-25T00:00:00-06:00,6209.7099609375 kWh
2017-03-26T00:00:00-06:00,6076.1005859375 kWh
2017-03-27T00:00:00-06:00,6367.208984375 kWh
2017-03-28T00:00:00-06:00,6356.03125 kWh
2017-03-29T00:00:00-06:00,9642.900390625 kWh
2017-03-30T00:00:00-06:00,2791.98828125 kWh
2017-03-31T00:00:00-06:00,5754.05078125 kWh
2017-04-01T00:00:00-06:00,5743.87890625 kWh
2017-04-02T00:00:00-06:00,5692.30078125 kWh
2017-04-03T00:00:00-06:00,5880.65234375 kWh
2017-04-04T00:00:00-06:00,5763.9296875 kWh
2017-04-05T00:00:00-06:00,6238.0546875 kWh
2017-04-06T00:00:00-06:00,6135.1171875 kWh
2017-04-07T00:00:00-06:00,6197.765625 kWh
2017-04-08T00:00:00-06:00,6123.3125 kWh
2017-04-09T00:00:00-06:00,6549.6015625 kWh
2017-04-10T00:00:00-06:00,6228.328125 kWh
2017-04-11T00:00:00-06:00,6326.4375 kWh
2017-04-12T00:00:00-06:00,6358.9375 kWh
2017-04-13T00:00:00-06:00,6316.0625 kWh
2017-04-14T00:00:00-06:00,6176.2734375 kWh
2017-04-15T00:00:00-06:00,6065.921875 kWh
2017-04-16T00:00:00-06:00,6055.96875 kWh
2017-04-17T00:00:00-06:00,6384.3125 kWh
2017-04-18T00:00:00-06:00,6315.546875 kWh
2017-04-19T00:00:00-06:00,6264.609375 kWh
2017-04-20T00:00:00-06:00,6159.109375 kWh
2017-04-21T00:00:00-06:00,6288.5 kWh
2017-04-22T00:00:00-06:00,6174.59375 kWh
2017-04-23T00:00:00-06:00,6027.28125 kWh
2017-04-24T00:00:00-06:00,6235.984375 kWh
2017-04-25T00:00:00-06:00,6244.609375 kWh
2017-04-26T00:00:00-06:00,6153.375 kWh
2017-04-27T00:00:00-06:00,6123.75 kWh
2017-04-28T00:00:00-06:00,6177.28125 kWh
2017-04-29T00:00:00-06:00,5910.078125 kWh
2017-04-30T00:00:00-06:00,5837.3125 kWh
2017-05-01T00:00:00-06:00,6119.46875 kWh
