Timestamp,['1d0a1977-16c6db32 0084-BIOLOGY BLDG Power Meter 316501 KW Total']
2017-01-01T00:00:00-07:00,-213.19935607910156 kW
2017-01-02T00:00:00-07:00,-215.93759155273438 kW
2017-01-03T00:00:00-07:00,-228.2352294921875 kW
2017-01-04T00:00:00-07:00,-221.9370574951172 kW
2017-01-05T00:00:00-07:00,-220.28271484375 kW
2017-01-06T00:00:00-07:00,-215.89694213867188 kW
2017-01-07T00:00:00-07:00,-221.8359375 kW
2017-01-08T00:00:00-07:00,-226.6229705810547 kW
2017-01-09T00:00:00-07:00,-224.4004669189453 kW
2017-01-10T00:00:00-07:00,-226.8721466064453 kW
2017-01-11T00:00:00-07:00,-229.9971923828125 kW
2017-01-12T00:00:00-07:00,-228.23324584960938 kW
2017-01-13T00:00:00-07:00,-233.7916717529297 kW
2017-01-14T00:00:00-07:00,-228.6946563720703 kW
2017-01-15T00:00:00-07:00,-223.55743408203125 kW
2017-01-16T00:00:00-07:00,-233.827880859375 kW
2017-01-17T00:00:00-07:00,-225.4622802734375 kW
2017-01-18T00:00:00-07:00,-229.51071166992188 kW
2017-01-19T00:00:00-07:00,-228.5496826171875 kW
2017-01-20T00:00:00-07:00,-226.42422485351562 kW
2017-01-21T00:00:00-07:00,-217.68435668945312 kW
2017-01-22T00:00:00-07:00,-217.3887481689453 kW
2017-01-23T00:00:00-07:00,-215.38124084472656 kW
2017-01-24T00:00:00-07:00,-223.58203125 kW
2017-01-25T00:00:00-07:00,-212.18592834472656 kW
2017-01-26T00:00:00-07:00,-221.87069702148438 kW
2017-01-27T00:00:00-07:00,-223.47119140625 kW
2017-01-28T00:00:00-07:00,-221.18955993652344 kW
2017-01-29T00:00:00-07:00,-215.33477783203125 kW
2017-01-30T00:00:00-07:00,-218.3540802001953 kW
2017-01-31T00:00:00-07:00,-211.6127471923828 kW
2017-02-01T00:00:00-07:00,-228.39608764648438 kW
2017-02-02T00:00:00-07:00,-225.86834716796875 kW
2017-02-03T00:00:00-07:00,-213.40460205078125 kW
2017-02-07T00:00:00-07:00,-233.22421264648438 kW
2017-02-08T00:00:00-07:00,-214.56846618652344 kW
2017-02-09T00:00:00-07:00,-212.0252227783203 kW
2017-02-10T00:00:00-07:00,-221.7348175048828 kW
2017-02-11T00:00:00-07:00,-251.41375732421875 kW
2017-02-12T00:00:00-07:00,-238.7495880126953 kW
2017-02-13T00:00:00-07:00,-234.77828979492188 kW
2017-02-14T00:00:00-07:00,-223.88612365722656 kW
2017-02-15T00:00:00-07:00,-215.6864776611328 kW
2017-02-16T00:00:00-07:00,-208.91404724121094 kW
2017-02-17T00:00:00-07:00,-199.4158477783203 kW
2017-02-18T00:00:00-07:00,-202.1458282470703 kW
2017-02-19T00:00:00-07:00,-205.3975830078125 kW
2017-02-20T00:00:00-07:00,-200.9583282470703 kW
2017-02-21T00:00:00-07:00,-197.19442749023438 kW
2017-02-22T00:00:00-07:00,-226.57595825195312 kW
2017-02-23T00:00:00-07:00,-198.95919799804688 kW
2017-02-24T00:00:00-07:00,-203.22171020507812 kW
2017-02-25T00:00:00-07:00,-221.86656188964844 kW
2017-02-26T00:00:00-07:00,-215.5331268310547 kW
2017-02-27T00:00:00-07:00,-218.49269104003906 kW
2017-02-28T00:00:00-07:00,-223.0454864501953 kW
2017-03-01T00:00:00-07:00,-219.57374572753906 kW
2017-03-02T00:00:00-07:00,-221.78494262695312 kW
2017-03-03T00:00:00-07:00,-222.80133056640625 kW
2017-03-04T00:00:00-07:00,-224.66770935058594 kW
2017-03-05T00:00:00-07:00,-222.71835327148438 kW
2017-03-06T00:00:00-07:00,-225.717529296875 kW
2017-03-07T00:00:00-07:00,-225.60433959960938 kW
2017-03-08T00:00:00-07:00,-224.05792236328125 kW
