Timestamp,['1d0a19bd-4a3488f7 0084-BIOLOGY BLDG Power Meter 316500 KW Total']
2017-01-01T00:00:00-07:00,170.17630004882812 kW
2017-01-02T00:00:00-07:00,184.02442932128906 kW
2017-01-03T00:00:00-07:00,215.19139099121094 kW
2017-01-04T00:00:00-07:00,191.07626342773438 kW
2017-01-05T00:00:00-07:00,185.01788330078125 kW
2017-01-06T00:00:00-07:00,187.60418701171875 kW
2017-01-07T00:00:00-07:00,173.89430236816406 kW
2017-01-08T00:00:00-07:00,169.0804901123047 kW
2017-01-09T00:00:00-07:00,189.82188415527344 kW
2017-01-10T00:00:00-07:00,184.84478759765625 kW
2017-01-11T00:00:00-07:00,185.36505126953125 kW
2017-01-12T00:00:00-07:00,224.9209442138672 kW
2017-01-13T00:00:00-07:00,188.89698791503906 kW
2017-01-14T00:00:00-07:00,173.92564392089844 kW
2017-01-15T00:00:00-07:00,168.98715209960938 kW
2017-01-16T00:00:00-07:00,178.8806610107422 kW
2017-01-17T00:00:00-07:00,187.809814453125 kW
2017-01-18T00:00:00-07:00,184.14305114746094 kW
2017-01-19T00:00:00-07:00,192.56549072265625 kW
2017-01-20T00:00:00-07:00,185.63954162597656 kW
2017-01-21T00:00:00-07:00,167.6766815185547 kW
2017-01-22T00:00:00-07:00,180.3400421142578 kW
2017-01-23T00:00:00-07:00,189.92225646972656 kW
2017-01-24T00:00:00-07:00,187.0928497314453 kW
2017-01-25T00:00:00-07:00,180.25189208984375 kW
2017-01-26T00:00:00-07:00,227.40025329589844 kW
2017-01-27T00:00:00-07:00,183.68756103515625 kW
2017-01-28T00:00:00-07:00,174.40643310546875 kW
2017-01-29T00:00:00-07:00,170.7758331298828 kW
2017-01-30T00:00:00-07:00,190.00762939453125 kW
2017-01-31T00:00:00-07:00,206.4672088623047 kW
2017-02-01T00:00:00-07:00,180.4303436279297 kW
2017-02-02T00:00:00-07:00,207.38919067382812 kW
2017-02-03T00:00:00-07:00,177.34857177734375 kW
2017-02-07T00:00:00-07:00,177.7610626220703 kW
2017-02-08T00:00:00-07:00,190.02578735351562 kW
2017-02-09T00:00:00-07:00,182.75413513183594 kW
2017-02-10T00:00:00-07:00,182.6365203857422 kW
2017-02-11T00:00:00-07:00,174.5127716064453 kW
2017-02-12T00:00:00-07:00,192.45663452148438 kW
2017-02-13T00:00:00-07:00,185.9981689453125 kW
2017-02-14T00:00:00-07:00,183.5050506591797 kW
2017-02-15T00:00:00-07:00,187.56292724609375 kW
2017-02-16T00:00:00-07:00,220.81573486328125 kW
2017-02-17T00:00:00-07:00,180.09109497070312 kW
2017-02-18T00:00:00-07:00,179.82113647460938 kW
2017-02-19T00:00:00-07:00,173.7790985107422 kW
2017-02-20T00:00:00-07:00,190.13623046875 kW
2017-02-21T00:00:00-07:00,184.86004638671875 kW
2017-02-22T00:00:00-07:00,179.1937713623047 kW
2017-02-23T00:00:00-07:00,222.73838806152344 kW
2017-02-24T00:00:00-07:00,171.9709930419922 kW
2017-02-25T00:00:00-07:00,156.49449157714844 kW
2017-02-26T00:00:00-07:00,164.56851196289062 kW
2017-02-27T00:00:00-07:00,185.7816162109375 kW
2017-02-28T00:00:00-07:00,184.25668334960938 kW
2017-03-01T00:00:00-07:00,199.93605041503906 kW
2017-03-02T00:00:00-07:00,179.45062255859375 kW
2017-03-03T00:00:00-07:00,173.45339965820312 kW
2017-03-04T00:00:00-07:00,159.1710662841797 kW
2017-03-05T00:00:00-07:00,161.3393096923828 kW
2017-03-06T00:00:00-07:00,157.98043823242188 kW
2017-03-07T00:00:00-07:00,172.20803833007812 kW
2017-03-08T00:00:00-07:00,185.4178924560547 kW
2017-03-09T00:00:00-07:00,193.96234130859375 kW
2017-03-10T00:00:00-07:00,178.87091064453125 kW
2017-03-11T00:00:00-07:00,165.1016845703125 kW
2017-03-12T00:00:00-07:00,167.21092224121094 kW
2017-03-13T00:00:00-06:00,186.6609344482422 kW
2017-03-14T00:00:00-06:00,180.62210083007812 kW
2017-03-15T00:00:00-06:00,183.33999633789062 kW
2017-03-16T00:00:00-06:00,181.97691345214844 kW
2017-03-17T00:00:00-06:00,175.22157287597656 kW
2017-03-18T00:00:00-06:00,207.93240356445312 kW
2017-03-19T00:00:00-06:00,163.4156494140625 kW
