Timestamp,['1d0b1c11-c0db75c7 0084-BIOLOGY BLDG Power Meter 316501 Current A']
2017-01-01T00:00:00-07:00,698.8517678578695 A
2017-01-02T00:00:00-07:00,827.8404814402262 A
2017-01-03T00:00:00-07:00,780.4975293477377 A
2017-01-04T00:00:00-07:00,774.8603884379069 A
2017-01-05T00:00:00-07:00,801.4870471954346 A
2017-01-06T00:00:00-07:00,757.919843673706 A
2017-01-07T00:00:00-07:00,742.7177308400472 A
2017-01-08T00:00:00-07:00,742.7832908630371 A
2017-01-09T00:00:00-07:00,827.1316757202148 A
2017-01-10T00:00:00-07:00,791.3240642547607 A
2017-01-11T00:00:00-07:00,823.6185461680094 A
2017-01-12T00:00:00-07:00,778.9390341440836 A
2017-01-13T00:00:00-07:00,801.9494196573893 A
2017-01-14T00:00:00-07:00,770.504913965861 A
2017-01-15T00:00:00-07:00,764.8745269775391 A
2017-01-16T00:00:00-07:00,764.8796564737955 A
2017-01-17T00:00:00-07:00,788.2027835845947 A
2017-01-18T00:00:00-07:00,774.5482901114004 A
2017-01-19T00:00:00-07:00,790.2590414683024 A
2017-01-20T00:00:00-07:00,796.0498202709441 A
2017-01-21T00:00:00-07:00,803.8404661814371 A
2017-01-22T00:00:00-07:00,772.2035586039225 A
2017-01-23T00:00:00-07:00,851.769115447998 A
2017-01-24T00:00:00-07:00,797.9360898335775 A
2017-01-25T00:00:00-07:00,814.5763613382975 A
2017-01-26T00:00:00-07:00,789.8465309143066 A
2017-01-27T00:00:00-07:00,774.9998118082682 A
2017-01-28T00:00:00-07:00,795.616792678833 A
2017-01-29T00:00:00-07:00,777.4780260721842 A
2017-01-30T00:00:00-07:00,805.7085889180502 A
2017-01-31T00:00:00-07:00,811.928632736206 A
2017-02-01T00:00:00-07:00,824.3955815633138 A
2017-02-02T00:00:00-07:00,792.532647450765 A
2017-02-03T00:00:00-07:00,790.8750600179036 A
2017-02-07T00:00:00-07:00,809.8625605157081 A
2017-02-08T00:00:00-07:00,780.2972840808686 A
2017-02-09T00:00:00-07:00,743.5162607828776 A
2017-02-10T00:00:00-07:00,736.7238114674886 A
2017-02-11T00:00:00-07:00,789.5610078175863 A
2017-02-12T00:00:00-07:00,829.0959313710531 A
2017-02-13T00:00:00-07:00,802.0734704335531 A
2017-02-14T00:00:00-07:00,770.23756765812 A
2017-02-15T00:00:00-07:00,760.8902867635092 A
2017-02-16T00:00:00-07:00,737.4703489939371 A
2017-02-17T00:00:00-07:00,715.1071166992188 A
2017-02-18T00:00:00-07:00,682.6175505320231 A
2017-02-19T00:00:00-07:00,692.7109489440918 A
2017-02-20T00:00:00-07:00,687.1177374521891 A
2017-02-21T00:00:00-07:00,726.1681149800619 A
2017-02-22T00:00:00-07:00,775.4964014689127 A
2017-02-23T00:00:00-07:00,768.2486337025961 A
2017-02-24T00:00:00-07:00,759.3345955192269 A
2017-02-25T00:00:00-07:00,772.4958248138428 A
2017-02-26T00:00:00-07:00,794.2372023264567 A
2017-02-27T00:00:00-07:00,861.9365577697754 A
2017-02-28T00:00:00-07:00,840.1802457173666 A
2017-03-01T00:00:00-07:00,807.0616404215494 A
2017-03-02T00:00:00-07:00,808.180222829183 A
2017-03-03T00:00:00-07:00,802.051482518514 A
2017-03-04T00:00:00-07:00,778.2712351481119 A
2017-03-05T00:00:00-07:00,787.6676184336344 A
2017-03-06T00:00:00-07:00,835.2377783457438 A
2017-03-07T00:00:00-07:00,807.7192147572836 A
2017-03-08T00:00:00-07:00,813.4196128845215 A
2017-03-09T00:00:00-07:00,785.4715525309244 A
2017-03-10T00:00:00-07:00,773.3325481414795 A
2017-03-11T00:00:00-07:00,746.3938541412354 A
2017-03-12T00:00:00-07:00,745.4076982581097 A
2017-03-13T00:00:00-06:00,761.6271979014078 A
2017-03-14T00:00:00-06:00,766.1481494903564 A
2017-03-15T00:00:00-06:00,760.2336813608805 A
2017-03-16T00:00:00-06:00,737.4922904968262 A
2017-03-17T00:00:00-06:00,737.9568519592285 A
2017-03-18T00:00:00-06:00,724.8351338704427 A
2017-03-19T00:00:00-06:00,711.2702267964681 A
2017-03-20T00:00:00-06:00,739.5415128072103 A
2017-03-21T00:00:00-06:00,747.3034845987955 A
2017-03-22T00:00:00-06:00,744.8486073811849 A
2017-03-23T00:00:00-06:00,835.3328609466553 A
2017-03-24T00:00:00-06:00,772.9371910095215 A
2017-03-25T00:00:00-06:00,741.1945514678955 A
2017-03-26T00:00:00-06:00,736.2090555826823 A
2017-03-27T00:00:00-06:00,760.8718611399332 A
2017-03-28T00:00:00-06:00,756.2512995402018 A
2017-03-29T00:00:00-06:00,771.1487731933594 A
2017-03-30T00:00:00-06:00,736.0028977167038 A
2017-03-31T00:00:00-06:00,683.7369276682535 A
2017-04-01T00:00:00-06:00,676.7792952688117 A
2017-04-02T00:00:00-06:00,663.1769297917684 A
2017-04-03T00:00:00-06:00,688.6532681783041 A
2017-04-04T00:00:00-06:00,682.7370093663534 A
2017-04-05T00:00:00-06:00,757.3412399291992 A
2017-04-06T00:00:00-06:00,737.4202848735608 A
2017-04-11T00:00:00-06:00,726.4445393880209 A
2017-04-12T00:00:00-06:00,888.6199951171875 A
2017-04-13T00:00:00-06:00,753.0767059326172 A
2017-04-14T00:00:00-06:00,674.2635904947916 A
2017-04-18T00:00:00-06:00,947.297119140625 A
2017-04-20T00:00:00-06:00,732.6223449707031 A
2017-04-21T00:00:00-06:00,820.6541612413195 A
2017-04-22T00:00:00-06:00,728.9656531292459 A
2017-04-23T00:00:00-06:00,726.4057945838341 A
2017-04-24T00:00:00-06:00,725.7778137207031 A
2017-04-25T00:00:00-06:00,739.740161895752 A
2017-04-26T00:00:00-06:00,723.4514961242676 A
2017-04-27T00:00:00-06:00,776.8361372514205 A
2017-04-28T00:00:00-06:00,689.7724533081055 A
2017-04-29T00:00:00-06:00,716.6104561941964 A
2017-04-30T00:00:00-06:00,703.767333984375 A
2017-05-01T00:00:00-06:00,782.0229017469618 A
2017-05-02T00:00:00-06:00,723.7375023251489 A
2017-05-03T00:00:00-06:00,674.6040802001953 A
2017-05-05T00:00:00-06:00,603.0518188476562 A
2017-05-08T00:00:00-06:00,855.7264055524554 A
2017-05-24T00:00:00-06:00,786.8033905029297 A
2017-05-27T00:00:00-06:00,595.15576171875 A
2017-06-02T00:00:00-06:00,753.2687377929688 A
2017-06-03T00:00:00-06:00,864.024658203125 A
2017-06-07T00:00:00-06:00,841.0892783717105 A
2017-06-08T00:00:00-06:00,758.7125828793174 A
2017-06-09T00:00:00-06:00,744.1615244547526 A
2017-06-10T00:00:00-06:00,705.6372521718343 A
2017-06-11T00:00:00-06:00,719.8349482218424 A
2017-06-12T00:00:00-06:00,729.1954231262207 A
2017-06-13T00:00:00-06:00,718.5606950124105 A
2017-06-14T00:00:00-06:00,720.9070256551107 A
2017-06-15T00:00:00-06:00,714.4044818878174 A
2017-06-16T00:00:00-06:00,723.1541379292806 A
2017-06-17T00:00:00-06:00,675.0313701629639 A
2017-06-18T00:00:00-06:00,694.8103529612223 A
2017-06-19T00:00:00-06:00,735.633716583252 A
2017-06-20T00:00:00-06:00,740.5770244397615 A
2017-06-21T00:00:00-06:00,751.5731945037842 A
2017-06-22T00:00:00-06:00,738.9243882497152 A
2017-06-23T00:00:00-06:00,727.4016723632812 A
2017-06-24T00:00:00-06:00,705.6297334035238 A
