Timestamp,['1d0b1c2d-970ccf02 0084-BIOLOGY BLDG Power Meter 316501 Current B']
2017-01-01T00:00:00-07:00,770.9891306559244 A
2017-01-02T00:00:00-07:00,863.2391649881998 A
2017-01-03T00:00:00-07:00,831.9685134887695 A
2017-01-04T00:00:00-07:00,821.1177965799967 A
2017-01-05T00:00:00-07:00,853.7805404663086 A
2017-01-06T00:00:00-07:00,842.5112050374349 A
2017-01-07T00:00:00-07:00,844.1775150299072 A
2017-01-08T00:00:00-07:00,842.48259862264 A
2017-01-09T00:00:00-07:00,917.2038923899332 A
2017-01-10T00:00:00-07:00,901.3168354034424 A
2017-01-11T00:00:00-07:00,912.9479993184408 A
2017-01-12T00:00:00-07:00,878.8999989827474 A
2017-01-13T00:00:00-07:00,891.9493350982666 A
2017-01-14T00:00:00-07:00,846.3555005391439 A
2017-01-15T00:00:00-07:00,842.295955657959 A
2017-01-16T00:00:00-07:00,854.5190296173096 A
2017-01-17T00:00:00-07:00,875.6434777577718 A
2017-01-18T00:00:00-07:00,873.3155502691502 A
2017-01-19T00:00:00-07:00,871.241314570109 A
2017-01-20T00:00:00-07:00,873.7465164509225 A
2017-01-21T00:00:00-07:00,886.432081858317 A
2017-01-22T00:00:00-07:00,863.8072783152262 A
2017-01-23T00:00:00-07:00,921.6009661356608 A
2017-01-24T00:00:00-07:00,873.8455918629965 A
2017-01-25T00:00:00-07:00,879.020720799764 A
2017-01-26T00:00:00-07:00,864.7253074645996 A
2017-01-27T00:00:00-07:00,865.081309000651 A
2017-01-28T00:00:00-07:00,882.0782992045084 A
2017-01-29T00:00:00-07:00,860.1722768147787 A
2017-01-30T00:00:00-07:00,883.0048027038574 A
2017-01-31T00:00:00-07:00,879.5147577921549 A
2017-02-01T00:00:00-07:00,896.1594486236572 A
2017-02-02T00:00:00-07:00,864.034631729126 A
2017-02-03T00:00:00-07:00,866.8103379071769 A
2017-02-07T00:00:00-07:00,922.9876708984375 A
2017-02-08T00:00:00-07:00,876.4179536707261 A
2017-02-09T00:00:00-07:00,825.7927652994791 A
2017-02-10T00:00:00-07:00,838.0670795440674 A
2017-02-11T00:00:00-07:00,864.1379508972168 A
2017-02-12T00:00:00-07:00,858.7208143870035 A
2017-02-13T00:00:00-07:00,916.3091335296631 A
2017-02-14T00:00:00-07:00,931.0587969840841 A
2017-02-15T00:00:00-07:00,883.4490292867025 A
2017-02-16T00:00:00-07:00,853.9057299296061 A
2017-02-17T00:00:00-07:00,814.1138445536295 A
2017-02-18T00:00:00-07:00,780.5430234273275 A
2017-02-19T00:00:00-07:00,776.645403544108 A
2017-02-20T00:00:00-07:00,755.8719991048177 A
2017-02-21T00:00:00-07:00,810.8247267405192 A
2017-02-22T00:00:00-07:00,853.5748914082845 A
2017-02-23T00:00:00-07:00,868.2266578674316 A
2017-02-24T00:00:00-07:00,861.2290578074269 A
2017-02-25T00:00:00-07:00,866.7563260396322 A
2017-02-26T00:00:00-07:00,870.7789465586344 A
2017-02-27T00:00:00-07:00,935.0364538828532 A
2017-02-28T00:00:00-07:00,894.1347681681315 A
2017-03-01T00:00:00-07:00,889.4996566772461 A
2017-03-02T00:00:00-07:00,890.6153513590494 A
2017-03-03T00:00:00-07:00,888.654759089152 A
2017-03-04T00:00:00-07:00,891.187639872233 A
2017-03-05T00:00:00-07:00,901.4470570882162 A
2017-03-06T00:00:00-07:00,923.1511923472086 A
2017-03-07T00:00:00-07:00,874.113826751709 A
2017-03-08T00:00:00-07:00,887.9698238372803 A
2017-03-09T00:00:00-07:00,888.2767130533854 A
2017-03-10T00:00:00-07:00,843.5497907002767 A
2017-03-11T00:00:00-07:00,821.8459192911783 A
2017-03-12T00:00:00-07:00,827.9670091711956 A
2017-03-13T00:00:00-06:00,838.567689259847 A
2017-03-14T00:00:00-06:00,849.7996991475424 A
2017-03-15T00:00:00-06:00,854.1335570017496 A
2017-03-16T00:00:00-06:00,852.2620328267416 A
2017-03-17T00:00:00-06:00,856.2826487223307 A
2017-03-18T00:00:00-06:00,838.0147139231364 A
2017-03-19T00:00:00-06:00,820.1498705546061 A
2017-03-20T00:00:00-06:00,851.3350632985433 A
2017-03-21T00:00:00-06:00,850.2173194885254 A
2017-03-22T00:00:00-06:00,851.4752667744955 A
2017-03-23T00:00:00-06:00,912.1174519856771 A
2017-03-24T00:00:00-06:00,833.4382521311442 A
2017-03-25T00:00:00-06:00,816.2256348927816 A
2017-03-26T00:00:00-06:00,805.8356145222982 A
2017-03-27T00:00:00-06:00,833.5028762817383 A
2017-03-28T00:00:00-06:00,832.5237585703532 A
2017-03-29T00:00:00-06:00,824.6279000176323 A
2017-03-30T00:00:00-06:00,808.9529477074033 A
2017-03-31T00:00:00-06:00,754.5757319132487 A
2017-04-01T00:00:00-06:00,763.494871119449 A
2017-04-02T00:00:00-06:00,770.4851627349854 A
2017-04-03T00:00:00-06:00,779.372688293457 A
2017-04-04T00:00:00-06:00,746.3331877390543 A
2017-04-05T00:00:00-06:00,810.039337793986 A
2017-04-06T00:00:00-06:00,786.0111469469572 A
2017-04-11T00:00:00-06:00,831.95166015625 A
2017-04-12T00:00:00-06:00,976.9262084960938 A
2017-04-13T00:00:00-06:00,862.6838531494141 A
2017-04-14T00:00:00-06:00,780.3670043945312 A
2017-04-18T00:00:00-06:00,975.5820515950521 A
2017-04-20T00:00:00-06:00,808.9429016113281 A
2017-04-21T00:00:00-06:00,875.4858127170139 A
2017-04-22T00:00:00-06:00,803.8387636931046 A
2017-04-23T00:00:00-06:00,800.3312636155349 A
2017-04-24T00:00:00-06:00,826.249868774414 A
2017-04-25T00:00:00-06:00,796.3520812988281 A
2017-04-26T00:00:00-06:00,816.7678070068359 A
2017-04-27T00:00:00-06:00,863.7468761097301 A
2017-04-28T00:00:00-06:00,799.3941345214844 A
2017-04-29T00:00:00-06:00,809.1039210728237 A
2017-04-30T00:00:00-06:00,791.8888201032366 A
2017-05-01T00:00:00-06:00,873.1254475911459 A
2017-05-02T00:00:00-06:00,824.2417399088541 A
2017-05-03T00:00:00-06:00,778.5952072143555 A
2017-05-05T00:00:00-06:00,740.1929321289062 A
2017-05-08T00:00:00-06:00,925.7374877929688 A
2017-05-24T00:00:00-06:00,905.6469573974609 A
2017-05-27T00:00:00-06:00,656.5718994140625 A
2017-06-02T00:00:00-06:00,855.6293741861979 A
2017-06-03T00:00:00-06:00,913.636474609375 A
2017-06-07T00:00:00-06:00,902.0958980091831 A
2017-06-08T00:00:00-06:00,826.229253829153 A
2017-06-09T00:00:00-06:00,803.4325866699219 A
2017-06-10T00:00:00-06:00,768.338124593099 A
2017-06-11T00:00:00-06:00,782.8281103769938 A
2017-06-12T00:00:00-06:00,777.6071408589681 A
2017-06-13T00:00:00-06:00,779.2420094807943 A
2017-06-14T00:00:00-06:00,799.7445672353109 A
2017-06-15T00:00:00-06:00,810.3168436686198 A
2017-06-16T00:00:00-06:00,826.8943214416504 A
2017-06-17T00:00:00-06:00,784.1874453226725 A
2017-06-18T00:00:00-06:00,792.330379486084 A
2017-06-19T00:00:00-06:00,821.5043512980143 A
2017-06-20T00:00:00-06:00,836.6812191611842 A
2017-06-21T00:00:00-06:00,824.5724697113037 A
2017-06-22T00:00:00-06:00,816.8348159790039 A
2017-06-23T00:00:00-06:00,796.7773952484131 A
2017-06-24T00:00:00-06:00,772.5515588124593 A
2017-06-25T00:00:00-06:00,774.102305730184 A
2017-06-26T00:00:00-06:00,823.799966176351 A
2017-06-27T00:00:00-06:00,814.4144299825033 A
2017-06-28T00:00:00-06:00,801.5390682220459 A
2017-06-29T00:00:00-06:00,783.3223152160645 A
