Timestamp,['1d0b1c39-7684d911 0084-BIOLOGY BLDG Power Meter 316501 Current C']
2017-01-01T00:00:00-07:00,780.2409248352051 A
2017-01-02T00:00:00-07:00,893.732166926066 A
2017-01-03T00:00:00-07:00,847.76531346639 A
2017-01-04T00:00:00-07:00,849.1943384806315 A
2017-01-05T00:00:00-07:00,861.2385660807291 A
2017-01-06T00:00:00-07:00,786.9424616495768 A
2017-01-07T00:00:00-07:00,770.3252449035645 A
2017-01-08T00:00:00-07:00,779.4075190226237 A
2017-01-09T00:00:00-07:00,867.8080705006918 A
2017-01-10T00:00:00-07:00,841.9964472452799 A
2017-01-11T00:00:00-07:00,875.2774289449056 A
2017-01-12T00:00:00-07:00,813.0867392222086 A
2017-01-13T00:00:00-07:00,831.7634652455648 A
2017-01-14T00:00:00-07:00,795.1762250264486 A
2017-01-15T00:00:00-07:00,790.3978487650553 A
2017-01-16T00:00:00-07:00,791.3283557891846 A
2017-01-17T00:00:00-07:00,805.5282039642334 A
2017-01-18T00:00:00-07:00,805.6260360906153 A
2017-01-19T00:00:00-07:00,815.479445139567 A
2017-01-20T00:00:00-07:00,799.097784164104 A
2017-01-21T00:00:00-07:00,844.1109460194906 A
2017-01-22T00:00:00-07:00,813.5942440032959 A
2017-01-23T00:00:00-07:00,886.1243813832601 A
2017-01-24T00:00:00-07:00,831.1733309427897 A
2017-01-25T00:00:00-07:00,856.1723391215006 A
2017-01-26T00:00:00-07:00,816.6505705515543 A
2017-01-27T00:00:00-07:00,806.2769985198975 A
2017-01-28T00:00:00-07:00,838.347443262736 A
2017-01-29T00:00:00-07:00,829.2487354278564 A
2017-01-30T00:00:00-07:00,858.3268191019694 A
2017-01-31T00:00:00-07:00,848.7920583089193 A
2017-02-01T00:00:00-07:00,874.2454948425293 A
2017-02-02T00:00:00-07:00,823.5172131856283 A
2017-02-03T00:00:00-07:00,832.1938497252384 A
2017-02-07T00:00:00-07:00,831.4673461914062 A
2017-02-08T00:00:00-07:00,800.443132672991 A
2017-02-09T00:00:00-07:00,745.4334284464518 A
2017-02-10T00:00:00-07:00,758.9001490275065 A
2017-02-11T00:00:00-07:00,837.0032043457031 A
2017-02-12T00:00:00-07:00,822.2517903645834 A
2017-02-13T00:00:00-07:00,806.3698215484619 A
2017-02-14T00:00:00-07:00,765.7981755682763 A
2017-02-15T00:00:00-07:00,757.5810152689616 A
2017-02-16T00:00:00-07:00,745.9331041971842 A
2017-02-17T00:00:00-07:00,751.1227645874023 A
2017-02-18T00:00:00-07:00,739.360445022583 A
2017-02-19T00:00:00-07:00,740.6472911834717 A
2017-02-20T00:00:00-07:00,714.2900238037109 A
2017-02-21T00:00:00-07:00,753.5064862569174 A
2017-02-22T00:00:00-07:00,815.4564584096273 A
2017-02-23T00:00:00-07:00,814.6131521860758 A
2017-02-24T00:00:00-07:00,801.8178203632306 A
2017-02-25T00:00:00-07:00,799.2900632222494 A
2017-02-26T00:00:00-07:00,811.1191813151041 A
2017-02-27T00:00:00-07:00,854.5837097167969 A
2017-02-28T00:00:00-07:00,844.0950393676758 A
2017-03-01T00:00:00-07:00,822.4376824696859 A
2017-03-02T00:00:00-07:00,819.8192977905273 A
2017-03-03T00:00:00-07:00,826.5820267995199 A
2017-03-04T00:00:00-07:00,798.4175497690836 A
2017-03-05T00:00:00-07:00,818.8305288950602 A
2017-03-06T00:00:00-07:00,865.3177439371744 A
2017-03-07T00:00:00-07:00,824.4896965026855 A
2017-03-08T00:00:00-07:00,811.0588550567627 A
2017-03-09T00:00:00-07:00,813.1300938924154 A
2017-03-10T00:00:00-07:00,802.1078910827637 A
2017-03-11T00:00:00-07:00,779.7653020222982 A
2017-03-12T00:00:00-07:00,766.9241877016814 A
2017-03-13T00:00:00-06:00,786.6275068918864 A
2017-03-14T00:00:00-06:00,787.3403905232748 A
2017-03-15T00:00:00-06:00,785.742593129476 A
2017-03-16T00:00:00-06:00,788.0583623250326 A
2017-03-17T00:00:00-06:00,779.9106788635254 A
2017-03-18T00:00:00-06:00,773.4271539052328 A
2017-03-19T00:00:00-06:00,764.9457848866781 A
2017-03-20T00:00:00-06:00,785.6691824595133 A
2017-03-21T00:00:00-06:00,780.902676264445 A
2017-03-22T00:00:00-06:00,787.5170663197836 A
2017-03-23T00:00:00-06:00,845.0428193410238 A
2017-03-24T00:00:00-06:00,809.7337347666422 A
2017-03-25T00:00:00-06:00,778.020591100057 A
2017-03-26T00:00:00-06:00,782.0974025726318 A
2017-03-27T00:00:00-06:00,794.2377376556396 A
2017-03-28T00:00:00-06:00,815.7028376261393 A
2017-03-29T00:00:00-06:00,815.521253797743 A
2017-03-30T00:00:00-06:00,756.8724060058594 A
2017-03-31T00:00:00-06:00,708.03440284729 A
2017-04-01T00:00:00-06:00,721.7211432206003 A
2017-04-02T00:00:00-06:00,705.5940367380778 A
2017-04-03T00:00:00-06:00,746.1053625742594 A
2017-04-04T00:00:00-06:00,731.4296442667643 A
2017-04-05T00:00:00-06:00,790.3772500356039 A
2017-04-06T00:00:00-06:00,761.306272272478 A
2017-04-11T00:00:00-06:00,786.130615234375 A
2017-04-12T00:00:00-06:00,982.9903564453125 A
2017-04-13T00:00:00-06:00,790.2749176025391 A
2017-04-14T00:00:00-06:00,764.0294392903646 A
2017-04-18T00:00:00-06:00,931.0901489257812 A
2017-04-20T00:00:00-06:00,738.2179565429688 A
2017-04-21T00:00:00-06:00,850.4130384657118 A
2017-04-22T00:00:00-06:00,774.199439007303 A
2017-04-23T00:00:00-06:00,785.040757399339 A
2017-04-24T00:00:00-06:00,782.5341827392579 A
2017-04-25T00:00:00-06:00,779.677734375 A
2017-04-26T00:00:00-06:00,769.9984092712402 A
2017-04-27T00:00:00-06:00,803.0257568359375 A
2017-04-28T00:00:00-06:00,736.1436653137207 A
2017-04-29T00:00:00-06:00,758.4078151157925 A
2017-04-30T00:00:00-06:00,736.0065089634487 A
2017-05-01T00:00:00-06:00,814.1621025933159 A
2017-05-02T00:00:00-06:00,747.5353015718006 A
2017-05-03T00:00:00-06:00,728.3022308349609 A
2017-05-05T00:00:00-06:00,680.3152465820312 A
2017-05-08T00:00:00-06:00,911.0214407784598 A
2017-05-24T00:00:00-06:00,866.8853759765625 A
2017-05-27T00:00:00-06:00,684.8081665039062 A
2017-06-02T00:00:00-06:00,857.7401936848959 A
2017-06-03T00:00:00-06:00,915.8198852539062 A
2017-06-07T00:00:00-06:00,887.4104228772616 A
2017-06-08T00:00:00-06:00,829.0950561523438 A
2017-06-09T00:00:00-06:00,811.587994893392 A
2017-06-10T00:00:00-06:00,788.8671398162842 A
2017-06-11T00:00:00-06:00,795.1220652262369 A
2017-06-12T00:00:00-06:00,787.7270800272623 A
2017-06-13T00:00:00-06:00,779.0978323618571 A
2017-06-14T00:00:00-06:00,807.8621552785238 A
2017-06-15T00:00:00-06:00,830.0937747955322 A
2017-06-16T00:00:00-06:00,839.6784598032633 A
2017-06-17T00:00:00-06:00,793.5509084065756 A
2017-06-18T00:00:00-06:00,808.8339424133301 A
2017-06-19T00:00:00-06:00,832.3718910217285 A
2017-06-20T00:00:00-06:00,837.4621781198601 A
2017-06-21T00:00:00-06:00,851.557476679484 A
2017-06-22T00:00:00-06:00,852.2993253072103 A
2017-06-23T00:00:00-06:00,845.2705396016439 A
2017-06-24T00:00:00-06:00,821.483351389567 A
2017-06-25T00:00:00-06:00,816.482806523641 A
2017-06-26T00:00:00-06:00,852.2865721384684 A
2017-06-27T00:00:00-06:00,854.5844802856445 A
2017-06-28T00:00:00-06:00,851.6192105611166 A
2017-06-29T00:00:00-06:00,846.4196656545004 A
2017-06-30T00:00:00-06:00,845.5826416015625 A
2017-07-01T00:00:00-06:00,822.7617880503336 A
2017-07-02T00:00:00-06:00,830.3630040486654 A
2017-07-03T00:00:00-06:00,850.7328955332438 A
2017-07-04T00:00:00-06:00,844.8158162434896 A
2017-07-05T00:00:00-06:00,860.9964707692465 A
2017-07-06T00:00:00-06:00,860.2672812143961 A
2017-07-07T00:00:00-06:00,865.4912433624268 A
2017-07-08T00:00:00-06:00,839.8428020477295 A
2017-07-09T00:00:00-06:00,836.3466548919678 A
2017-07-10T00:00:00-06:00,870.5970598856608 A
2017-07-11T00:00:00-06:00,853.5259164174398 A
2017-07-12T00:00:00-06:00,863.211264292399 A
2017-07-13T00:00:00-06:00,870.1204662322998 A
2017-07-14T00:00:00-06:00,864.6507733662924 A
2017-07-15T00:00:00-06:00,848.1676394144694 A
2017-07-16T00:00:00-06:00,852.9540055592855 A
2017-07-17T00:00:00-06:00,862.1955007452714 A
2017-07-18T00:00:00-06:00,882.1580937703451 A
2017-07-19T00:00:00-06:00,866.0972665150961 A
2017-07-20T00:00:00-06:00,878.2947635650635 A
2017-07-21T00:00:00-06:00,889.5651295979818 A
2017-07-22T00:00:00-06:00,867.140858332316 A
