Timestamp,['1d0b1e7f-9ed7493d 0083-FLETCHER BLDG Power Meter EAST Current C']
2017-01-01T00:00:00-07:00,87.36563873291016 A
2017-01-02T00:00:00-07:00,87.36563873291016 A
2017-01-03T00:00:00-07:00,87.36563873291016 A
2017-01-04T00:00:00-07:00,87.36563873291016 A
2017-01-05T00:00:00-07:00,87.36563873291016 A
2017-01-06T00:00:00-07:00,87.36563873291016 A
2017-01-07T00:00:00-07:00,87.36563873291016 A
2017-01-08T00:00:00-07:00,87.36563873291016 A
2017-01-09T00:00:00-07:00,87.36563873291016 A
2017-01-10T00:00:00-07:00,87.36563873291016 A
2017-01-11T00:00:00-07:00,87.36563873291016 A
2017-01-12T00:00:00-07:00,87.36563873291016 A
2017-01-13T00:00:00-07:00,87.36563873291016 A
2017-01-14T00:00:00-07:00,87.36563873291016 A
2017-01-15T00:00:00-07:00,87.36563873291016 A
2017-01-16T00:00:00-07:00,87.36563873291016 A
2017-01-17T00:00:00-07:00,87.36563873291016 A
2017-01-18T00:00:00-07:00,87.36563873291016 A
