Timestamp,['1d0b1e92-826264af 0083-FLETCHER BLDG Power Meter WEST Current A']
2017-01-01T00:00:00-07:00,114.52318572998047 A
2017-01-02T00:00:00-07:00,117.80669784545898 A
2017-01-03T00:00:00-07:00,137.45000076293945 A
2017-01-04T00:00:00-07:00,128.0363826751709 A
2017-01-06T00:00:00-07:00,123.52428109305245 A
2017-01-07T00:00:00-07:00,117.03076131720292 A
2017-01-08T00:00:00-07:00,115.19115393502372 A
2017-01-09T00:00:00-07:00,125.17295837402344 A
2017-01-10T00:00:00-07:00,151.09033203125 A
2017-01-11T00:00:00-07:00,136.19584147135416 A
2017-01-12T00:00:00-07:00,139.2131690979004 A
2017-01-13T00:00:00-07:00,121.55722481863839 A
2017-01-15T00:00:00-07:00,123.15557607014973 A
2017-01-17T00:00:00-07:00,158.6926727294922 A
2017-01-18T00:00:00-07:00,131.69179371425085 A
2017-01-19T00:00:00-07:00,137.6223391578311 A
2017-01-20T00:00:00-07:00,132.2763746106947 A
2017-01-21T00:00:00-07:00,118.91448320661273 A
2017-01-23T00:00:00-07:00,127.71152114868164 A
2017-01-24T00:00:00-07:00,152.48609161376953 A
2017-01-27T00:00:00-07:00,114.17044067382812 A
2017-01-29T00:00:00-07:00,114.9094467163086 A
2017-01-31T00:00:00-07:00,149.42921447753906 A
2017-02-02T00:00:00-07:00,109.25178909301758 A
2017-02-03T00:00:00-07:00,148.6578369140625 A
2017-02-08T00:00:00-07:00,127.14621315002441 A
2017-02-09T00:00:00-07:00,142.03896053253658 A
2017-02-10T00:00:00-07:00,133.27335946601733 A
2017-02-11T00:00:00-07:00,118.5669182671441 A
2017-02-12T00:00:00-07:00,109.60963932673137 A
2017-02-13T00:00:00-07:00,130.62641343914095 A
2017-02-14T00:00:00-07:00,130.67670815451103 A
2017-02-15T00:00:00-07:00,133.0457466840744 A
2017-02-16T00:00:00-07:00,132.39040559337985 A
2017-02-17T00:00:00-07:00,130.66355449748488 A
2017-02-18T00:00:00-07:00,117.12573175262986 A
2017-02-19T00:00:00-07:00,114.88956756591797 A
2017-02-20T00:00:00-07:00,116.91444156788013 A
2017-02-21T00:00:00-07:00,125.40399119059245 A
2017-02-22T00:00:00-07:00,131.75263064840564 A
2017-02-23T00:00:00-07:00,130.06971655951605 A
2017-02-24T00:00:00-07:00,122.88344430923462 A
2017-02-25T00:00:00-07:00,115.47629759046767 A
2017-02-26T00:00:00-07:00,113.20299262331243 A
2017-02-27T00:00:00-07:00,128.26290631975448 A
2017-02-28T00:00:00-07:00,137.4634115181717 A
2017-03-01T00:00:00-07:00,134.47939093907675 A
2017-03-02T00:00:00-07:00,138.26804676461728 A
2017-03-03T00:00:00-07:00,133.33938707624162 A
2017-03-04T00:00:00-07:00,115.10033026406931 A
2017-03-05T00:00:00-07:00,114.41139176312615 A
2017-03-06T00:00:00-07:00,140.7606436593192 A
2017-03-07T00:00:00-07:00,139.41485048689933 A
2017-03-08T00:00:00-07:00,136.50741409673924 A
2017-03-09T00:00:00-07:00,136.83581379481726 A
2017-03-10T00:00:00-07:00,130.61451218767863 A
2017-03-11T00:00:00-07:00,124.08954147338868 A
2017-03-12T00:00:00-07:00,116.67986037514426 A
2017-03-13T00:00:00-06:00,125.44862040766964 A
2017-03-14T00:00:00-06:00,122.02645725157203 A
2017-03-15T00:00:00-06:00,114.57598658970424 A
2017-03-16T00:00:00-06:00,123.70911609883211 A
2017-03-17T00:00:00-06:00,113.30232186750932 A
2017-03-18T00:00:00-06:00,105.77298657647495 A
2017-03-19T00:00:00-06:00,107.24951920942827 A
2017-03-20T00:00:00-06:00,119.10697715065696 A
2017-03-21T00:00:00-06:00,121.8795146326865 A
2017-03-22T00:00:00-06:00,124.88215546380906 A
2017-03-23T00:00:00-06:00,122.889737722036 A
2017-03-24T00:00:00-06:00,116.81465306775323 A
2017-03-25T00:00:00-06:00,107.88617292131697 A
2017-03-26T00:00:00-06:00,112.34876447405134 A
2017-03-27T00:00:00-06:00,127.50335519964045 A
2017-03-28T00:00:00-06:00,118.0866093491063 A
2017-03-29T00:00:00-06:00,124.43315002441406 A
2017-03-30T00:00:00-06:00,122.66960678100585 A
2017-03-31T00:00:00-06:00,118.7113547691932 A
2017-04-01T00:00:00-06:00,103.8026351928711 A
2017-04-02T00:00:00-06:00,111.40568991268383 A
2017-04-03T00:00:00-06:00,124.29909706115723 A
2017-04-04T00:00:00-06:00,115.55206146240235 A
2017-04-05T00:00:00-06:00,126.37690793550931 A
2017-04-06T00:00:00-06:00,115.84508078438895 A
2017-04-07T00:00:00-06:00,114.54249681745257 A
2017-04-08T00:00:00-06:00,96.81748962402344 A
2017-04-09T00:00:00-06:00,116.23541641235352 A
2017-04-10T00:00:00-06:00,132.4261245727539 A
2017-04-11T00:00:00-06:00,118.82292229788644 A
2017-04-12T00:00:00-06:00,137.62146186828613 A
2017-04-13T00:00:00-06:00,117.8367223739624 A
2017-04-14T00:00:00-06:00,142.02782694498697 A
