Timestamp,['1d0b1eb9-9e21de63 0083-FLETCHER BLDG Power Meter WEST Current B']
2017-01-01T00:00:00-07:00,117.25123977661133 A
2017-01-02T00:00:00-07:00,120.63713836669922 A
2017-01-03T00:00:00-07:00,138.1747055053711 A
2017-01-04T00:00:00-07:00,126.36656379699707 A
2017-01-06T00:00:00-07:00,126.97063555036273 A
2017-01-07T00:00:00-07:00,118.24918365478516 A
2017-01-08T00:00:00-07:00,116.45785849434989 A
2017-01-09T00:00:00-07:00,116.01249694824219 A
2017-01-10T00:00:00-07:00,135.5357208251953 A
2017-01-11T00:00:00-07:00,132.72964223225912 A
2017-01-12T00:00:00-07:00,141.99560546875 A
2017-01-13T00:00:00-07:00,123.50628553118024 A
2017-01-15T00:00:00-07:00,122.23552703857422 A
2017-01-17T00:00:00-07:00,153.178466796875 A
2017-01-18T00:00:00-07:00,128.75172979181463 A
2017-01-19T00:00:00-07:00,135.64714462692672 A
2017-01-20T00:00:00-07:00,124.88793182373047 A
2017-01-21T00:00:00-07:00,113.9028250954368 A
2017-01-23T00:00:00-07:00,130.17914962768555 A
2017-01-24T00:00:00-07:00,149.72577285766602 A
2017-01-27T00:00:00-07:00,118.14105987548828 A
2017-01-29T00:00:00-07:00,117.54812812805176 A
2017-01-31T00:00:00-07:00,140.55255126953125 A
2017-02-02T00:00:00-07:00,107.58574295043945 A
2017-02-03T00:00:00-07:00,144.89484405517578 A
2017-02-08T00:00:00-07:00,129.7890045859597 A
2017-02-09T00:00:00-07:00,139.29362253042368 A
2017-02-10T00:00:00-07:00,126.36445295545789 A
2017-02-11T00:00:00-07:00,118.54306224241095 A
2017-02-12T00:00:00-07:00,117.1218964426141 A
2017-02-13T00:00:00-07:00,129.3158138342071 A
2017-02-14T00:00:00-07:00,128.64800210726463 A
2017-02-15T00:00:00-07:00,131.54419237772623 A
2017-02-16T00:00:00-07:00,131.54257262699187 A
2017-02-17T00:00:00-07:00,129.52721903874323 A
2017-02-18T00:00:00-07:00,119.26134149352116 A
2017-02-19T00:00:00-07:00,118.45857187044822 A
2017-02-20T00:00:00-07:00,115.88450285104605 A
2017-02-21T00:00:00-07:00,125.52789590525073 A
2017-02-22T00:00:00-07:00,126.68355544732542 A
2017-02-23T00:00:00-07:00,125.9410901191907 A
2017-02-24T00:00:00-07:00,122.34832938058035 A
2017-02-25T00:00:00-07:00,120.22931592892378 A
2017-02-26T00:00:00-07:00,118.71655746986126 A
2017-02-27T00:00:00-07:00,130.28601954533502 A
2017-02-28T00:00:00-07:00,132.78028293531767 A
2017-03-01T00:00:00-07:00,125.89335790670143 A
2017-03-02T00:00:00-07:00,129.44133206631275 A
2017-03-03T00:00:00-07:00,125.6384083783185 A
2017-03-04T00:00:00-07:00,115.37982522287676 A
2017-03-05T00:00:00-07:00,114.86891299161044 A
2017-03-06T00:00:00-07:00,132.6445663088844 A
2017-03-07T00:00:00-07:00,137.278623369005 A
2017-03-08T00:00:00-07:00,125.00153740416182 A
2017-03-09T00:00:00-07:00,128.35296009205007 A
2017-03-10T00:00:00-07:00,122.65550079345704 A
2017-03-11T00:00:00-07:00,117.29169998168945 A
2017-03-12T00:00:00-07:00,112.41129302978516 A
2017-03-13T00:00:00-06:00,109.30712670794988 A
2017-03-14T00:00:00-06:00,112.12422596324573 A
2017-03-15T00:00:00-06:00,105.98413973438497 A
2017-03-16T00:00:00-06:00,107.50285183941877 A
2017-03-17T00:00:00-06:00,102.15439796447754 A
2017-03-18T00:00:00-06:00,99.36082694313743 A
2017-03-19T00:00:00-06:00,102.11139825674204 A
2017-03-20T00:00:00-06:00,111.4046615600586 A
2017-03-21T00:00:00-06:00,117.03485547081898 A
2017-03-22T00:00:00-06:00,113.46140409770764 A
2017-03-23T00:00:00-06:00,106.75898338766659 A
2017-03-24T00:00:00-06:00,112.72181094422632 A
2017-03-25T00:00:00-06:00,99.21216465876653 A
2017-03-26T00:00:00-06:00,100.75816178321838 A
2017-03-27T00:00:00-06:00,116.6807687178902 A
2017-03-28T00:00:00-06:00,114.13493215626684 A
2017-03-29T00:00:00-06:00,116.56449574437634 A
2017-03-30T00:00:00-06:00,113.6741732788086 A
2017-03-31T00:00:00-06:00,112.220762692965 A
2017-04-01T00:00:00-06:00,103.28099721272787 A
2017-04-02T00:00:00-06:00,100.4818923256614 A
2017-04-03T00:00:00-06:00,103.64534818209134 A
2017-04-04T00:00:00-06:00,155.70708719889322 A
2017-04-05T00:00:00-06:00,118.54280298406428 A
2017-04-06T00:00:00-06:00,103.1452865600586 A
2017-04-07T00:00:00-06:00,117.99343681335449 A
2017-04-08T00:00:00-06:00,97.64572143554688 A
2017-04-09T00:00:00-06:00,112.3810323079427 A
2017-04-10T00:00:00-06:00,123.47219848632812 A
2017-04-11T00:00:00-06:00,117.78379872639974 A
2017-04-12T00:00:00-06:00,114.59940338134766 A
2017-04-13T00:00:00-06:00,99.6356782913208 A
2017-04-14T00:00:00-06:00,133.2513229370117 A
2017-04-16T00:00:00-06:00,101.3724594116211 A
