Timestamp,['1d0b1ecb-bec0efd4 0083-FLETCHER BLDG Power Meter WEST Current C']
2017-01-01T00:00:00-07:00,129.5817642211914 A
2017-01-02T00:00:00-07:00,128.98878860473633 A
2017-01-03T00:00:00-07:00,150.66338729858398 A
2017-01-04T00:00:00-07:00,136.80952835083008 A
2017-01-06T00:00:00-07:00,135.97163772583008 A
2017-01-07T00:00:00-07:00,136.2370296277498 A
2017-01-08T00:00:00-07:00,130.14012963431222 A
2017-01-09T00:00:00-07:00,139.83702596028647 A
2017-01-10T00:00:00-07:00,160.95782470703125 A
2017-01-11T00:00:00-07:00,141.58761596679688 A
2017-01-12T00:00:00-07:00,156.23025767008463 A
2017-01-13T00:00:00-07:00,132.6409650530134 A
2017-01-15T00:00:00-07:00,138.29801177978516 A
2017-01-17T00:00:00-07:00,165.36956787109375 A
2017-01-18T00:00:00-07:00,145.24763031005858 A
2017-01-19T00:00:00-07:00,155.77191352844238 A
2017-01-20T00:00:00-07:00,147.71016145363834 A
2017-01-21T00:00:00-07:00,134.76309742647058 A
2017-01-23T00:00:00-07:00,148.73985290527344 A
2017-01-24T00:00:00-07:00,171.6201400756836 A
2017-01-27T00:00:00-07:00,139.54359436035156 A
2017-01-29T00:00:00-07:00,142.31507873535156 A
2017-01-31T00:00:00-07:00,160.9632110595703 A
2017-02-02T00:00:00-07:00,130.82227325439453 A
2017-02-03T00:00:00-07:00,165.7205581665039 A
2017-02-08T00:00:00-07:00,152.19954882170023 A
2017-02-09T00:00:00-07:00,156.7239805279356 A
2017-02-10T00:00:00-07:00,147.7548026369329 A
2017-02-11T00:00:00-07:00,143.3575691495623 A
2017-02-12T00:00:00-07:00,139.49654902582583 A
2017-02-13T00:00:00-07:00,152.51880632597823 A
2017-02-14T00:00:00-07:00,144.9300833384196 A
2017-02-15T00:00:00-07:00,147.90655867779842 A
2017-02-16T00:00:00-07:00,149.00727908894166 A
2017-02-17T00:00:00-07:00,148.46308510258513 A
2017-02-18T00:00:00-07:00,137.95520625394934 A
2017-02-19T00:00:00-07:00,132.12206670587713 A
2017-02-20T00:00:00-07:00,131.58104118934045 A
2017-02-21T00:00:00-07:00,143.45297482139185 A
2017-02-22T00:00:00-07:00,147.82208421495227 A
2017-02-23T00:00:00-07:00,144.36500100528494 A
2017-02-24T00:00:00-07:00,144.7964309692383 A
2017-02-25T00:00:00-07:00,131.81418340346391 A
2017-02-26T00:00:00-07:00,131.45956065736968 A
2017-02-27T00:00:00-07:00,140.03156585693358 A
2017-02-28T00:00:00-07:00,150.6061595419179 A
2017-03-01T00:00:00-07:00,147.40317086612478 A
2017-03-02T00:00:00-07:00,155.30267190933228 A
2017-03-03T00:00:00-07:00,148.27393000466483 A
2017-03-04T00:00:00-07:00,134.95334722640666 A
2017-03-05T00:00:00-07:00,132.93084239959717 A
2017-03-06T00:00:00-07:00,151.711031765408 A
2017-03-07T00:00:00-07:00,149.30928219065947 A
2017-03-08T00:00:00-07:00,143.26149438352002 A
2017-03-09T00:00:00-07:00,144.03272448087992 A
2017-03-10T00:00:00-07:00,141.83855458309776 A
2017-03-11T00:00:00-07:00,133.72013076782227 A
2017-03-12T00:00:00-07:00,130.64513064653445 A
2017-03-13T00:00:00-06:00,132.83393909620202 A
2017-03-14T00:00:00-06:00,129.3813968234592 A
2017-03-15T00:00:00-06:00,127.96759384155274 A
2017-03-16T00:00:00-06:00,128.92654173252947 A
2017-03-17T00:00:00-06:00,125.58992931889553 A
2017-03-18T00:00:00-06:00,120.64398660967427 A
2017-03-19T00:00:00-06:00,121.07920927159927 A
2017-03-20T00:00:00-06:00,134.8578682639382 A
2017-03-21T00:00:00-06:00,135.98043975830078 A
2017-03-22T00:00:00-06:00,133.75124425473422 A
2017-03-23T00:00:00-06:00,135.60106837495843 A
2017-03-24T00:00:00-06:00,131.36414563214336 A
2017-03-25T00:00:00-06:00,124.04552247789171 A
2017-03-26T00:00:00-06:00,127.35877990722656 A
2017-03-27T00:00:00-06:00,140.14213249900124 A
2017-03-28T00:00:00-06:00,139.92847639514554 A
2017-03-29T00:00:00-06:00,138.64211228314568 A
2017-03-30T00:00:00-06:00,140.37227230980284 A
2017-03-31T00:00:00-06:00,127.74743058946397 A
2017-04-01T00:00:00-06:00,127.89743499755859 A
2017-04-02T00:00:00-06:00,124.80146827697754 A
2017-04-03T00:00:00-06:00,127.79205322265625 A
2017-04-04T00:00:00-06:00,135.5678456624349 A
2017-04-05T00:00:00-06:00,145.9708120172674 A
2017-04-06T00:00:00-06:00,128.69113540649414 A
2017-04-07T00:00:00-06:00,134.3079579671224 A
2017-04-08T00:00:00-06:00,136.73394012451172 A
2017-04-09T00:00:00-06:00,117.7153434753418 A
2017-04-10T00:00:00-06:00,139.72506205240884 A
2017-04-11T00:00:00-06:00,128.73119693332248 A
2017-04-12T00:00:00-06:00,130.89956992013114 A
2017-04-13T00:00:00-06:00,131.84881210327148 A
2017-04-14T00:00:00-06:00,155.1493148803711 A
2017-04-16T00:00:00-06:00,122.05094909667969 A
