Timestamp,"['1d942987-08457d8a 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) W-hours, Received']"
2017-01-01T00:00:00-07:00,432.1875 kWh
2017-01-02T00:00:00-07:00,426.9375 kWh
2017-01-03T00:00:00-07:00,573.15625 kWh
2017-01-04T00:00:00-07:00,605.625 kWh
2017-01-05T00:00:00-07:00,608.671875 kWh
2017-01-06T00:00:00-07:00,645.875 kWh
2017-01-07T00:00:00-07:00,553.53125 kWh
2017-01-08T00:00:00-07:00,551.3125 kWh
2017-01-09T00:00:00-07:00,742.78125 kWh
2017-01-10T00:00:00-07:00,800.890625 kWh
2017-01-11T00:00:00-07:00,804.796875 kWh
2017-01-12T00:00:00-07:00,786.71875 kWh
2017-01-13T00:00:00-07:00,736.203125 kWh
2017-01-14T00:00:00-07:00,570.046875 kWh
2017-01-15T00:00:00-07:00,580.34375 kWh
2017-01-16T00:00:00-07:00,591.78125 kWh
2017-01-17T00:00:00-07:00,855.09375 kWh
2017-01-18T00:00:00-07:00,850.96875 kWh
2017-01-19T00:00:00-07:00,858.25 kWh
2017-01-20T00:00:00-07:00,708.5625 kWh
2017-01-21T00:00:00-07:00,582.09375 kWh
2017-01-22T00:00:00-07:00,611.75 kWh
2017-01-23T00:00:00-07:00,792.625 kWh
2017-01-24T00:00:00-07:00,776.65625 kWh
2017-01-25T00:00:00-07:00,783.59375 kWh
2017-01-26T00:00:00-07:00,757.78125 kWh
2017-01-27T00:00:00-07:00,736.8125 kWh
2017-01-28T00:00:00-07:00,551.59375 kWh
2017-01-29T00:00:00-07:00,564.53125 kWh
2017-01-30T00:00:00-07:00,811.96875 kWh
2017-01-31T00:00:00-07:00,775.8125 kWh
2017-02-01T00:00:00-07:00,802.375 kWh
2017-02-02T00:00:00-07:00,812.15625 kWh
2017-02-03T00:00:00-07:00,3259.46875 kWh
2017-02-07T00:00:00-07:00,518.5625 kWh
2017-02-08T00:00:00-07:00,804.40625 kWh
2017-02-09T00:00:00-07:00,851.875 kWh
2017-02-10T00:00:00-07:00,741.1875 kWh
2017-02-11T00:00:00-07:00,599.375 kWh
2017-02-12T00:00:00-07:00,586.625 kWh
2017-02-13T00:00:00-07:00,815.03125 kWh
2017-02-14T00:00:00-07:00,796.125 kWh
2017-02-15T00:00:00-07:00,846.34375 kWh
2017-02-16T00:00:00-07:00,871.4375 kWh
2017-02-17T00:00:00-07:00,757.875 kWh
2017-02-18T00:00:00-07:00,612.96875 kWh
2017-02-19T00:00:00-07:00,591.5 kWh
2017-02-20T00:00:00-07:00,557.65625 kWh
2017-02-21T00:00:00-07:00,844.875 kWh
2017-02-22T00:00:00-07:00,861.875 kWh
2017-02-23T00:00:00-07:00,869.09375 kWh
2017-02-24T00:00:00-07:00,795.59375 kWh
2017-02-25T00:00:00-07:00,602.5 kWh
2017-02-26T00:00:00-07:00,595.9375 kWh
2017-02-27T00:00:00-07:00,913.3125 kWh
2017-02-28T00:00:00-07:00,857.4375 kWh
2017-03-01T00:00:00-07:00,874.84375 kWh
2017-03-02T00:00:00-07:00,931 kWh
2017-03-03T00:00:00-07:00,748.3125 kWh
2017-03-04T00:00:00-07:00,589.28125 kWh
2017-03-05T00:00:00-07:00,579.3125 kWh
2017-03-06T00:00:00-07:00,854.96875 kWh
2017-03-07T00:00:00-07:00,870.28125 kWh
2017-03-08T00:00:00-07:00,843 kWh
2017-03-09T00:00:00-07:00,807.46875 kWh
2017-03-10T00:00:00-07:00,734.3125 kWh
2017-03-11T00:00:00-07:00,618.96875 kWh
2017-03-12T00:00:00-07:00,553.65625 kWh
2017-03-13T00:00:00-06:00,646.5 kWh
2017-03-14T00:00:00-06:00,653.40625 kWh
2017-03-15T00:00:00-06:00,656.25 kWh
2017-03-16T00:00:00-06:00,646.59375 kWh
2017-03-17T00:00:00-06:00,624.09375 kWh
2017-03-18T00:00:00-06:00,571.71875 kWh
2017-03-19T00:00:00-06:00,547.78125 kWh
2017-03-20T00:00:00-06:00,796.40625 kWh
2017-03-21T00:00:00-06:00,834.21875 kWh
2017-03-22T00:00:00-06:00,822.1875 kWh
2017-03-23T00:00:00-06:00,798.59375 kWh
2017-03-24T00:00:00-06:00,744.4375 kWh
2017-03-25T00:00:00-06:00,605.5 kWh
2017-03-26T00:00:00-06:00,620.21875 kWh
2017-03-27T00:00:00-06:00,860.40625 kWh
2017-03-28T00:00:00-06:00,806.1875 kWh
2017-03-29T00:00:00-06:00,1315.78125 kWh
2017-03-30T00:00:00-06:00,431.78125 kWh
2017-03-31T00:00:00-06:00,776.8125 kWh
2017-04-01T00:00:00-06:00,611.4375 kWh
2017-04-02T00:00:00-06:00,635.90625 kWh
2017-04-03T00:00:00-06:00,836.34375 kWh
2017-04-04T00:00:00-06:00,824.3125 kWh
2017-04-05T00:00:00-06:00,909.90625 kWh
2017-04-06T00:00:00-06:00,880.03125 kWh
2017-04-07T00:00:00-06:00,802.3125 kWh
2017-04-08T00:00:00-06:00,669.3125 kWh
2017-04-09T00:00:00-06:00,654.34375 kWh
2017-04-10T00:00:00-06:00,930.1875 kWh
2017-04-11T00:00:00-06:00,843.15625 kWh
2017-04-12T00:00:00-06:00,888.1875 kWh
2017-04-13T00:00:00-06:00,879.46875 kWh
2017-04-14T00:00:00-06:00,860.09375 kWh
2017-04-15T00:00:00-06:00,822.09375 kWh
2017-04-16T00:00:00-06:00,760.375 kWh
2017-04-17T00:00:00-06:00,991.34375 kWh
2017-04-18T00:00:00-06:00,1001.96875 kWh
2017-04-19T00:00:00-06:00,1017.90625 kWh
2017-04-20T00:00:00-06:00,985.28125 kWh
2017-04-21T00:00:00-06:00,859.21875 kWh
2017-04-22T00:00:00-06:00,775.75 kWh
2017-04-23T00:00:00-06:00,754.5 kWh
2017-04-24T00:00:00-06:00,911.5 kWh
2017-04-25T00:00:00-06:00,845.65625 kWh
2017-04-26T00:00:00-06:00,772.78125 kWh
2017-04-27T00:00:00-06:00,796.0625 kWh
2017-04-28T00:00:00-06:00,830.46875 kWh
2017-04-29T00:00:00-06:00,666.21875 kWh
2017-04-30T00:00:00-06:00,629.46875 kWh
2017-05-01T00:00:00-06:00,783.8125 kWh
2017-05-02T00:00:00-06:00,755.3125 kWh
2017-05-03T00:00:00-06:00,731.3125 kWh
2017-05-04T00:00:00-06:00,750.0625 kWh
2017-05-05T00:00:00-06:00,711.625 kWh
2017-05-06T00:00:00-06:00,636.09375 kWh
2017-05-07T00:00:00-06:00,593.09375 kWh
