Timestamp,['1da98322-927bf059 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Current C']
2017-01-01T00:00:00-07:00,83.59600140186066 A
2017-01-02T00:00:00-07:00,84.0622456073761 A
2017-01-03T00:00:00-07:00,84.39240566889445 A
2017-01-04T00:00:00-07:00,85.15698027610779 A
2017-01-05T00:00:00-07:00,86.5491000811259 A
2017-01-06T00:00:00-07:00,86.49126895268758 A
2017-01-07T00:00:00-07:00,88.76245601971944 A
2017-01-08T00:00:00-07:00,86.64454181989034 A
2017-01-09T00:00:00-07:00,86.71965305010478 A
2017-01-10T00:00:00-07:00,89.56906604766846 A
2017-01-11T00:00:00-07:00,91.69598277409871 A
2017-01-12T00:00:00-07:00,93.10761467615764 A
2017-01-13T00:00:00-07:00,96.93464398384094 A
2017-01-14T00:00:00-07:00,95.80988542238872 A
2017-01-15T00:00:00-07:00,92.9212969938914 A
2017-01-16T00:00:00-07:00,93.87531826621608 A
2017-01-17T00:00:00-07:00,94.30963015556335 A
2017-01-18T00:00:00-07:00,89.88924304349923 A
2017-01-19T00:00:00-07:00,88.73798322677612 A
2017-01-20T00:00:00-07:00,93.93398974018712 A
2017-01-21T00:00:00-07:00,90.06864929199219 A
2017-01-22T00:00:00-07:00,87.13268073399861 A
2017-01-23T00:00:00-07:00,88.06568511327107 A
2017-01-24T00:00:00-07:00,88.58234882354736 A
2017-01-25T00:00:00-07:00,88.46777868270874 A
2017-01-26T00:00:00-07:00,88.43222618103027 A
2017-01-27T00:00:00-07:00,95.75029969215393 A
2017-01-28T00:00:00-07:00,93.35629804929097 A
2017-01-29T00:00:00-07:00,90.77140378952026 A
2017-01-30T00:00:00-07:00,91.7587963740031 A
2017-01-31T00:00:00-07:00,91.3484787940979 A
2017-02-01T00:00:00-07:00,97.54064806302388 A
2017-02-02T00:00:00-07:00,101.68224088350932 A
2017-02-03T00:00:00-07:00,101.12621966863082 A
2017-02-07T00:00:00-07:00,102.64335632324219 A
2017-02-08T00:00:00-07:00,102.07687137903793 A
2017-02-09T00:00:00-07:00,102.19644633928935 A
2017-02-10T00:00:00-07:00,102.6896181901296 A
2017-02-11T00:00:00-07:00,103.94405325253804 A
2017-02-12T00:00:00-07:00,100.81847023963928 A
2017-02-13T00:00:00-07:00,101.34903764724731 A
2017-02-14T00:00:00-07:00,101.51961509303042 A
2017-02-15T00:00:00-07:00,101.8712927500407 A
2017-02-16T00:00:00-07:00,101.43239688873291 A
2017-02-17T00:00:00-07:00,102.19129665692647 A
2017-02-18T00:00:00-07:00,103.24132513999939 A
2017-02-19T00:00:00-07:00,100.92616494496663 A
2017-02-20T00:00:00-07:00,101.42538420359294 A
2017-02-21T00:00:00-07:00,102.09692567524156 A
2017-02-22T00:00:00-07:00,101.66376097997029 A
2017-02-23T00:00:00-07:00,101.45076394081116 A
2017-02-24T00:00:00-07:00,101.80085774739584 A
2017-02-25T00:00:00-07:00,103.43998463948567 A
2017-02-26T00:00:00-07:00,101.07577355702718 A
