Timestamp,['1daaa907-598e9e34 0037-ARCHITECTURE BLDG Power Meter (301159) Current C']
2017-01-01T00:00:00-07:00,16.134398420651753 A
2017-01-02T00:00:00-07:00,17.004953891038895 A
2017-01-03T00:00:00-07:00,22.604072640339535 A
2017-01-04T00:00:00-07:00,21.37528681755066 A
2017-01-05T00:00:00-07:00,20.938243508338928 A
2017-01-06T00:00:00-07:00,22.90011074145635 A
2017-01-07T00:00:00-07:00,20.34261899193128 A
2017-01-08T00:00:00-07:00,21.803461611270905 A
2017-01-09T00:00:00-07:00,30.198071996370953 A
2017-01-10T00:00:00-07:00,31.808889508247375 A
2017-01-11T00:00:00-07:00,32.674303352832794 A
2017-01-12T00:00:00-07:00,33.51020481189092 A
2017-01-13T00:00:00-07:00,34.26248715321223 A
2017-01-14T00:00:00-07:00,24.666800320148468 A
2017-01-15T00:00:00-07:00,25.397010306517284 A
2017-01-16T00:00:00-07:00,26.522003014882404 A
2017-01-17T00:00:00-07:00,44.98829338947932 A
2017-01-18T00:00:00-07:00,40.05904313994617 A
2017-01-19T00:00:00-07:00,42.61647617816925 A
2017-01-20T00:00:00-07:00,33.171427962600546 A
2017-01-21T00:00:00-07:00,25.32712072134018 A
2017-01-22T00:00:00-07:00,26.645550429821014 A
2017-01-23T00:00:00-07:00,39.03161207834879 A
2017-01-24T00:00:00-07:00,37.10144837697347 A
2017-01-25T00:00:00-07:00,38.08400044838587 A
2017-01-26T00:00:00-07:00,32.64405951897303 A
2017-01-27T00:00:00-07:00,34.31405874093374 A
2017-01-28T00:00:00-07:00,24.514892280101776 A
2017-01-29T00:00:00-07:00,23.334947248299915 A
2017-01-30T00:00:00-07:00,39.03854866822561 A
2017-01-31T00:00:00-07:00,37.48802159229914 A
2017-02-01T00:00:00-07:00,39.30181994040807 A
2017-02-02T00:00:00-07:00,39.955565452575684 A
2017-02-03T00:00:00-07:00,37.527453581492104 A
2017-02-07T00:00:00-07:00,53.673741382101305 A
2017-02-08T00:00:00-07:00,36.93521548377143 A
2017-02-09T00:00:00-07:00,41.73358939091364 A
2017-02-10T00:00:00-07:00,34.9468689362208 A
2017-02-11T00:00:00-07:00,25.736316959063213 A
2017-02-12T00:00:00-07:00,28.382491290569305 A
2017-02-13T00:00:00-07:00,41.84813131888708 A
2017-02-14T00:00:00-07:00,40.89615339981882 A
2017-02-15T00:00:00-07:00,44.8203521768252 A
2017-02-16T00:00:00-07:00,53.80127123991648 A
2017-02-17T00:00:00-07:00,47.5222981373469 A
2017-02-18T00:00:00-07:00,37.22105805079142 A
2017-02-19T00:00:00-07:00,34.85565517346064 A
2017-02-20T00:00:00-07:00,34.27388974030813 A
2017-02-21T00:00:00-07:00,50.76279105742773 A
2017-02-22T00:00:00-07:00,48.123570839564 A
2017-02-23T00:00:00-07:00,45.3460408449173 A
