Timestamp,['1daaa920-603478e6 0037-ARCHITECTURE BLDG Power Meter (301159) Volts A-N']
2017-01-01T00:00:00-07:00,122.16839083035786 V
2017-01-02T00:00:00-07:00,122.24406226476033 V
2017-01-03T00:00:00-07:00,122.14963857332866 V
2017-01-04T00:00:00-07:00,122.32127904891968 V
2017-01-05T00:00:00-07:00,122.09555045763652 V
2017-01-06T00:00:00-07:00,122.0973752339681 V
2017-01-07T00:00:00-07:00,121.99311701456706 V
2017-01-08T00:00:00-07:00,122.0960013071696 V
2017-01-09T00:00:00-07:00,121.97441299756368 V
2017-01-10T00:00:00-07:00,122.15331379572551 V
2017-01-11T00:00:00-07:00,122.17087332407634 V
2017-01-12T00:00:00-07:00,122.06577181816101 V
2017-01-13T00:00:00-07:00,122.2938100496928 V
2017-01-14T00:00:00-07:00,122.14010119438171 V
2017-01-15T00:00:00-07:00,122.05283260345459 V
2017-01-16T00:00:00-07:00,122.26504230499268 V
2017-01-17T00:00:00-07:00,122.22173237800598 V
2017-01-18T00:00:00-07:00,121.98506294808736 V
2017-01-19T00:00:00-07:00,122.17728932698567 V
2017-01-20T00:00:00-07:00,122.15592234621766 V
2017-01-21T00:00:00-07:00,122.02578496932983 V
2017-01-22T00:00:00-07:00,122.01369714736938 V
2017-01-23T00:00:00-07:00,122.13147751490276 V
2017-01-24T00:00:00-07:00,122.083566904068 V
2017-01-25T00:00:00-07:00,121.96352871259053 V
2017-01-26T00:00:00-07:00,122.19649084409077 V
2017-01-27T00:00:00-07:00,121.95280989011128 V
2017-01-28T00:00:00-07:00,122.0986381371816 V
2017-01-29T00:00:00-07:00,122.14563703536987 V
2017-01-30T00:00:00-07:00,121.95507860183716 V
2017-01-31T00:00:00-07:00,121.98568002382915 V
2017-02-01T00:00:00-07:00,122.09403244654338 V
2017-02-02T00:00:00-07:00,122.06681315104167 V
2017-02-03T00:00:00-07:00,122.11390113830566 V
2017-02-07T00:00:00-07:00,121.95885699728261 V
2017-02-08T00:00:00-07:00,122.12807820638021 V
2017-02-09T00:00:00-07:00,121.92772801717122 V
2017-02-10T00:00:00-07:00,121.98319641749065 V
2017-02-11T00:00:00-07:00,122.09899552663167 V
2017-02-12T00:00:00-07:00,122.24143759409587 V
2017-02-13T00:00:00-07:00,122.10508823394775 V
2017-02-14T00:00:00-07:00,122.05883773000616 V
2017-02-15T00:00:00-07:00,121.93840527534485 V
2017-02-16T00:00:00-07:00,121.98155570030212 V
2017-02-17T00:00:00-07:00,122.02809238433838 V
2017-02-18T00:00:00-07:00,122.0020682811737 V
2017-02-19T00:00:00-07:00,122.00544325510661 V
2017-02-20T00:00:00-07:00,122.07650518417358 V
2017-02-21T00:00:00-07:00,122.04731591542561 V
2017-02-22T00:00:00-07:00,121.88681221008301 V
2017-02-23T00:00:00-07:00,121.8053674697876 V
2017-02-24T00:00:00-07:00,121.94588169298675 V
2017-02-25T00:00:00-07:00,122.06595309575398 V
2017-02-26T00:00:00-07:00,121.9314690430959 V
2017-02-27T00:00:00-07:00,121.95018895467122 V
2017-02-28T00:00:00-07:00,122.10254232088725 V
2017-03-01T00:00:00-07:00,122.12756331761678 V
2017-03-02T00:00:00-07:00,121.8894780476888 V
2017-03-03T00:00:00-07:00,122.0867280960083 V
2017-03-04T00:00:00-07:00,121.80418268839519 V
2017-03-05T00:00:00-07:00,122.11365540822347 V
2017-03-06T00:00:00-07:00,122.02874485651652 V
2017-03-07T00:00:00-07:00,121.93633635838826 V
2017-03-08T00:00:00-07:00,122.02725211779277 V
2017-03-09T00:00:00-07:00,121.86373996734619 V
2017-03-10T00:00:00-07:00,122.08300224939983 V
2017-03-11T00:00:00-07:00,122.06374661127727 V
2017-03-12T00:00:00-07:00,121.98513843702233 V
2017-03-13T00:00:00-06:00,122.09110514322917 V
2017-03-14T00:00:00-06:00,122.06024257342021 V
2017-03-15T00:00:00-06:00,121.83112986882527 V
2017-03-16T00:00:00-06:00,121.97861671447754 V
2017-03-17T00:00:00-06:00,122.00658377011617 V
2017-03-18T00:00:00-06:00,121.91845099131267 V
2017-03-19T00:00:00-06:00,121.84750207265218 V
2017-03-20T00:00:00-06:00,121.9170215807463 V
2017-03-21T00:00:00-06:00,121.81350009315892 V
2017-03-22T00:00:00-06:00,121.84048875172932 V
2017-03-23T00:00:00-06:00,121.79040018717448 V
2017-03-24T00:00:00-06:00,121.81876373291016 V
2017-03-25T00:00:00-06:00,121.76378965377808 V
2017-03-26T00:00:00-06:00,121.97200274467468 V
2017-03-27T00:00:00-06:00,121.8067741394043 V
2017-03-28T00:00:00-06:00,121.89754398663838 V
2017-03-29T00:00:00-06:00,121.86856884426541 V
2017-03-30T00:00:00-06:00,121.77571265642032 V
2017-03-31T00:00:00-06:00,121.8344570795695 V
2017-04-01T00:00:00-06:00,121.80034184455872 V
2017-04-02T00:00:00-06:00,121.88458800315857 V
2017-04-03T00:00:00-06:00,121.74482170740764 V
2017-04-04T00:00:00-06:00,121.82600808143616 V
2017-04-05T00:00:00-06:00,121.73386255900066 V
2017-04-06T00:00:00-06:00,121.91929936408997 V
2017-04-07T00:00:00-06:00,121.91587281227112 V
2017-04-08T00:00:00-06:00,121.84775789578755 V
2017-04-09T00:00:00-06:00,121.99054090181987 V
2017-04-10T00:00:00-06:00,121.86192599932353 V
2017-04-11T00:00:00-06:00,121.87398727734883 V
2017-04-12T00:00:00-06:00,121.87649703025818 V
2017-04-13T00:00:00-06:00,121.84681860605876 V
2017-04-14T00:00:00-06:00,121.82265957196553 V
2017-04-15T00:00:00-06:00,121.49549810091655 V
2017-04-16T00:00:00-06:00,121.74664489428203 V
2017-04-17T00:00:00-06:00,121.74804822603862 V
2017-04-18T00:00:00-06:00,121.58976554870605 V
2017-04-19T00:00:00-06:00,121.55750139554341 V
2017-04-20T00:00:00-06:00,121.4849944114685 V
2017-04-21T00:00:00-06:00,121.87524310747783 V
2017-04-22T00:00:00-06:00,121.62702385584514 V
2017-04-23T00:00:00-06:00,121.68492849667867 V
2017-04-24T00:00:00-06:00,121.7926816145579 V
2017-04-25T00:00:00-06:00,121.82994469006856 V
2017-04-26T00:00:00-06:00,121.777849594752 V
2017-04-27T00:00:00-06:00,121.8277112642924 V
2017-04-28T00:00:00-06:00,121.73743955294292 V
2017-04-29T00:00:00-06:00,121.8839734395345 V
2017-04-30T00:00:00-06:00,121.8082989056905 V
2017-05-01T00:00:00-06:00,121.89960837364197 V
2017-05-02T00:00:00-06:00,121.79941161473592 V
2017-05-03T00:00:00-06:00,121.8932367960612 V
2017-05-04T00:00:00-06:00,121.81533654530843 V
2017-05-05T00:00:00-06:00,121.79942870140076 V
2017-05-06T00:00:00-06:00,121.83452341180099 V
2017-05-07T00:00:00-06:00,121.7997498512268 V
2017-05-08T00:00:00-06:00,121.88500124342899 V
2017-05-09T00:00:00-06:00,121.96373629570007 V
2017-05-10T00:00:00-06:00,122.05326533317566 V
2017-05-11T00:00:00-06:00,121.94770407676697 V
2017-05-12T00:00:00-06:00,121.87368647257487 V
2017-05-13T00:00:00-06:00,121.89119855562846 V
2017-05-14T00:00:00-06:00,121.66266353925069 V
2017-05-15T00:00:00-06:00,121.96177299817403 V
2017-05-16T00:00:00-06:00,121.8597236474355 V
2017-05-17T00:00:00-06:00,121.89535008480674 V
2017-05-18T00:00:00-06:00,121.89936661720276 V
2017-05-19T00:00:00-06:00,122.08277901013692 V
2017-05-20T00:00:00-06:00,121.82472173372905 V
2017-05-21T00:00:00-06:00,121.80310304959615 V
2017-05-22T00:00:00-06:00,121.96575466791789 V
2017-05-23T00:00:00-06:00,122.02978213628133 V
2017-05-24T00:00:00-06:00,121.85560075441997 V
2017-05-25T00:00:00-06:00,121.74633940060933 V
2017-05-26T00:00:00-06:00,121.85340714454651 V
2017-05-27T00:00:00-06:00,121.88304138183594 V
2017-05-28T00:00:00-06:00,121.86511667569478 V
2017-05-29T00:00:00-06:00,121.74499328931172 V
2017-05-30T00:00:00-06:00,121.79935956001282 V
2017-05-31T00:00:00-06:00,121.8373486995697 V
2017-06-01T00:00:00-06:00,121.8548231124878 V
2017-06-02T00:00:00-06:00,121.74257063865662 V
2017-06-03T00:00:00-06:00,121.80848725971423 V
2017-06-04T00:00:00-06:00,121.83393009503682 V
2017-06-05T00:00:00-06:00,121.74609581629436 V
2017-06-06T00:00:00-06:00,121.9598696231842 V
2017-06-07T00:00:00-06:00,121.81330720583598 V
2017-06-08T00:00:00-06:00,121.80926624933879 V
2017-06-09T00:00:00-06:00,121.88378739356995 V
2017-06-10T00:00:00-06:00,121.72782770792644 V
2017-06-11T00:00:00-06:00,121.76177899042766 V
2017-06-12T00:00:00-06:00,121.89276321729024 V
2017-06-13T00:00:00-06:00,121.87930218378703 V
2017-06-14T00:00:00-06:00,121.98386645317078 V
2017-06-15T00:00:00-06:00,121.92039521535237 V
2017-06-16T00:00:00-06:00,121.89935334523518 V
2017-06-17T00:00:00-06:00,121.86450362205505 V
2017-06-18T00:00:00-06:00,121.92480397224426 V
2017-06-19T00:00:00-06:00,121.91730626424153 V
2017-06-20T00:00:00-06:00,121.90537190437317 V
2017-06-21T00:00:00-06:00,121.82610487937927 V
2017-06-22T00:00:00-06:00,121.83294216791789 V
2017-06-23T00:00:00-06:00,122.00370240211487 V
2017-06-24T00:00:00-06:00,121.95952932039897 V
2017-06-25T00:00:00-06:00,121.92240746815999 V
2017-06-26T00:00:00-06:00,121.84870743751526 V
2017-06-27T00:00:00-06:00,121.89240765571594 V
2017-06-28T00:00:00-06:00,121.7393798828125 V
2017-06-29T00:00:00-06:00,121.90087763468425 V
2017-06-30T00:00:00-06:00,122.06496222813924 V
2017-07-01T00:00:00-06:00,121.91779955228169 V
2017-07-02T00:00:00-06:00,121.92256601651509 V
2017-07-03T00:00:00-06:00,121.90158661206563 V
2017-07-04T00:00:00-06:00,121.88508152961731 V
2017-07-05T00:00:00-06:00,121.93013445536296 V
2017-07-06T00:00:00-06:00,121.80852731068929 V
2017-07-07T00:00:00-06:00,121.97342769304912 V
2017-07-08T00:00:00-06:00,121.98654246330261 V
2017-07-09T00:00:00-06:00,121.82248981793721 V
2017-07-10T00:00:00-06:00,121.85090351104736 V
2017-07-11T00:00:00-06:00,121.87700486183167 V
2017-07-12T00:00:00-06:00,121.90239413579305 V
2017-07-13T00:00:00-06:00,121.87897769610088 V
2017-07-14T00:00:00-06:00,121.81873957316081 V
2017-07-15T00:00:00-06:00,121.84469016393025 V
2017-07-16T00:00:00-06:00,121.87956134478252 V
2017-07-17T00:00:00-06:00,121.84914143880208 V
2017-07-18T00:00:00-06:00,121.92167035738628 V
2017-07-19T00:00:00-06:00,121.83859610557556 V
2017-07-20T00:00:00-06:00,121.82115276654561 V
2017-07-21T00:00:00-06:00,121.9057788848877 V
2017-07-22T00:00:00-06:00,121.92698009808858 V
2017-07-23T00:00:00-06:00,121.9335925579071 V
2017-07-24T00:00:00-06:00,121.89256962140401 V
2017-07-25T00:00:00-06:00,121.94021964073181 V
2017-07-26T00:00:00-06:00,121.88485487302144 V
2017-07-27T00:00:00-06:00,121.91829498608907 V
2017-07-28T00:00:00-06:00,121.92479968070984 V
2017-07-29T00:00:00-06:00,121.89203508694966 V
2017-07-30T00:00:00-06:00,121.9384737809499 V
2017-07-31T00:00:00-06:00,121.86055302619934 V
2017-08-01T00:00:00-06:00,121.86396757761638 V
2017-08-02T00:00:00-06:00,121.85653289159139 V
2017-08-03T00:00:00-06:00,122.00046761830647 V
2017-08-04T00:00:00-06:00,121.87625935872396 V
2017-08-05T00:00:00-06:00,121.9442621866862 V
2017-08-06T00:00:00-06:00,122.03208764394124 V
2017-08-07T00:00:00-06:00,121.93561426798503 V
2017-08-08T00:00:00-06:00,121.87528626124065 V
2017-08-09T00:00:00-06:00,121.96129242579143 V
2017-08-10T00:00:00-06:00,122.0119400024414 V
2017-08-11T00:00:00-06:00,122.00083947181702 V
2017-08-12T00:00:00-06:00,122.0312606493632 V
2017-08-13T00:00:00-06:00,122.01085074742635 V
2017-08-14T00:00:00-06:00,121.96401762962341 V
2017-08-15T00:00:00-06:00,121.95102874437968 V
2017-08-16T00:00:00-06:00,121.97588443756104 V
2017-08-17T00:00:00-06:00,121.99428749084473 V
2017-08-18T00:00:00-06:00,121.96301118532817 V
2017-08-19T00:00:00-06:00,121.92615818977356 V
2017-08-20T00:00:00-06:00,122.00738406181335 V
2017-08-21T00:00:00-06:00,121.86116790771484 V
2017-08-22T00:00:00-06:00,121.94242294629414 V
2017-08-23T00:00:00-06:00,121.87659772237141 V
2017-08-24T00:00:00-06:00,121.90458345413208 V
2017-08-25T00:00:00-06:00,121.8586175441742 V
2017-08-26T00:00:00-06:00,121.88388999303181 V
2017-08-27T00:00:00-06:00,121.85200874010722 V
2017-08-28T00:00:00-06:00,121.89140319824219 V
2017-08-29T00:00:00-06:00,121.90701808100161 V
2017-08-30T00:00:00-06:00,121.83385427792867 V
2017-08-31T00:00:00-06:00,121.8452335993449 V
2017-09-01T00:00:00-06:00,121.93663024902344 V
2017-09-02T00:00:00-06:00,121.93600877126057 V
2017-09-03T00:00:00-06:00,122.00424186388652 V
2017-09-04T00:00:00-06:00,121.79007681210835 V
2017-09-05T00:00:00-06:00,121.89708709716797 V
2017-09-06T00:00:00-06:00,121.81682642300923 V
2017-09-07T00:00:00-06:00,121.77100920677185 V
2017-09-08T00:00:00-06:00,121.95882210680233 V
2017-09-09T00:00:00-06:00,121.97862203915913 V
2017-09-10T00:00:00-06:00,121.95081194241841 V
2017-09-11T00:00:00-06:00,121.76123547554016 V
2017-09-12T00:00:00-06:00,121.8135670820872 V
2017-09-13T00:00:00-06:00,121.84997193018596 V
2017-09-14T00:00:00-06:00,121.94496138890584 V
2017-09-15T00:00:00-06:00,121.9703079064687 V
2017-09-16T00:00:00-06:00,122.06934158007304 V
2017-09-17T00:00:00-06:00,121.88513048489888 V
2017-09-18T00:00:00-06:00,121.82019472122192 V
2017-09-19T00:00:00-06:00,121.8286144733429 V
2017-09-20T00:00:00-06:00,121.92875059445699 V
2017-09-21T00:00:00-06:00,121.99858887990315 V
2017-09-22T00:00:00-06:00,122.17853220303853 V
2017-09-23T00:00:00-06:00,121.88471984863281 V
2017-09-24T00:00:00-06:00,122.05506896972656 V
2017-09-25T00:00:00-06:00,122.00467665990193 V
2017-09-26T00:00:00-06:00,121.92764210700989 V
2017-09-27T00:00:00-06:00,121.99600783983867 V
2017-09-28T00:00:00-06:00,122.00154145558675 V
2017-09-29T00:00:00-06:00,121.9678300221761 V
2017-09-30T00:00:00-06:00,121.818026304245 V
2017-10-01T00:00:00-06:00,121.76452191670735 V
2017-10-02T00:00:00-06:00,121.95771956443787 V
2017-10-03T00:00:00-06:00,121.79107387860616 V
2017-10-04T00:00:00-06:00,122.0010507106781 V
2017-10-05T00:00:00-06:00,121.94810525576274 V
2017-10-06T00:00:00-06:00,121.90260815620422 V
2017-10-07T00:00:00-06:00,122.09484426180522 V
2017-10-08T00:00:00-06:00,122.03692022959392 V
2017-10-09T00:00:00-06:00,122.02558867136638 V
2017-10-10T00:00:00-06:00,121.91412281990051 V
2017-10-11T00:00:00-06:00,122.00632294019063 V
2017-10-12T00:00:00-06:00,122.06335139274597 V
2017-10-13T00:00:00-06:00,122.00310691197713 V
2017-10-14T00:00:00-06:00,121.96368153889973 V
2017-10-15T00:00:00-06:00,121.94829146067302 V
2017-10-16T00:00:00-06:00,121.96908076604207 V
2017-10-17T00:00:00-06:00,121.84704049428304 V
2017-10-18T00:00:00-06:00,122.0298198858897 V
2017-10-19T00:00:00-06:00,122.05626559257507 V
2017-10-20T00:00:00-06:00,121.94115980466206 V
2017-10-21T00:00:00-06:00,122.01339602470398 V
2017-10-22T00:00:00-06:00,121.92000738779704 V
2017-10-23T00:00:00-06:00,122.0262934366862 V
2017-10-24T00:00:00-06:00,121.92686335245769 V
2017-10-25T00:00:00-06:00,121.98810442288716 V
2017-10-26T00:00:00-06:00,121.91645963986714 V
2017-10-27T00:00:00-06:00,121.96735310554504 V
2017-10-28T00:00:00-06:00,121.97621957879318 V
2017-10-29T00:00:00-06:00,121.88202063242595 V
2017-10-30T00:00:00-06:00,121.98950584729512 V
2017-10-31T00:00:00-06:00,122.0787702401479 V
2017-11-01T00:00:00-06:00,121.80225467681885 V
2017-11-02T00:00:00-06:00,121.99561754862468 V
2017-11-03T00:00:00-06:00,122.06315978368123 V
2017-11-04T00:00:00-06:00,122.05036354064941 V
2017-11-05T00:00:00-06:00,122.10098533630371 V
2017-11-06T00:00:00-07:00,122.09964791933696 V
2017-11-07T00:00:00-07:00,122.13421114285786 V
2017-11-08T00:00:00-07:00,121.92580040295918 V
2017-11-09T00:00:00-07:00,121.83352605501811 V
2017-11-10T00:00:00-07:00,121.98945299784343 V
2017-11-11T00:00:00-07:00,121.91832486788432 V
2017-11-12T00:00:00-07:00,121.99304533004761 V
2017-11-13T00:00:00-07:00,121.95245146751404 V
2017-11-14T00:00:00-07:00,121.87667107582092 V
2017-11-15T00:00:00-07:00,121.67358231544495 V
2017-11-16T00:00:00-07:00,122.09847736358643 V
2017-11-17T00:00:00-07:00,121.9208865960439 V
2017-11-18T00:00:00-07:00,122.16659633318584 V
2017-11-19T00:00:00-07:00,122.32325013478597 V
2017-11-20T00:00:00-07:00,122.0785346031189 V
2017-11-21T00:00:00-07:00,121.83983429272969 V
2017-11-22T00:00:00-07:00,122.00258048375447 V
2017-11-23T00:00:00-07:00,122.06674933433533 V
2017-11-24T00:00:00-07:00,122.09819785753886 V
2017-11-25T00:00:00-07:00,122.04810953140259 V
2017-11-26T00:00:00-07:00,122.05932553609212 V
2017-11-27T00:00:00-07:00,122.07141621907552 V
2017-11-28T00:00:00-07:00,121.99338801701863 V
2017-11-29T00:00:00-07:00,121.92677291234334 V
2017-11-30T00:00:00-07:00,121.89247663815816 V
2017-12-01T00:00:00-07:00,121.99076596895854 V
2017-12-02T00:00:00-07:00,121.94907935460408 V
2017-12-03T00:00:00-07:00,121.94517699877422 V
2017-12-04T00:00:00-07:00,121.8250850836436 V
2017-12-05T00:00:00-07:00,121.95403329531352 V
2017-12-06T00:00:00-07:00,121.99453067779541 V
2017-12-07T00:00:00-07:00,122.07827440897624 V
2017-12-08T00:00:00-07:00,122.18702260653178 V
2017-12-09T00:00:00-07:00,122.23184156417847 V
2017-12-10T00:00:00-07:00,122.14777898788452 V
2017-12-11T00:00:00-07:00,122.03516109784444 V
2017-12-12T00:00:00-07:00,121.89599553743999 V
2017-12-13T00:00:00-07:00,122.00637952486674 V
2017-12-14T00:00:00-07:00,122.13630668322246 V
2017-12-15T00:00:00-07:00,122.02525353431702 V
2017-12-16T00:00:00-07:00,122.10614172617595 V
2017-12-17T00:00:00-07:00,121.92869917551677 V
2017-12-18T00:00:00-07:00,121.99746886543606 V
2017-12-19T00:00:00-07:00,121.89025902748108 V
2017-12-20T00:00:00-07:00,122.0428946018219 V
2017-12-21T00:00:00-07:00,121.92421889305115 V
2017-12-22T00:00:00-07:00,121.99190990130107 V
2017-12-23T00:00:00-07:00,121.97150699297588 V
2017-12-24T00:00:00-07:00,122.02735495567322 V
2017-12-25T00:00:00-07:00,122.15431467692058 V
2017-12-26T00:00:00-07:00,122.17800116539001 V
2017-12-27T00:00:00-07:00,121.8662969271342 V
2017-12-28T00:00:00-07:00,122.16270693143208 V
2017-12-29T00:00:00-07:00,122.02986693382263 V
2017-12-30T00:00:00-07:00,121.89447021484375 V
2017-12-31T00:00:00-07:00,121.85126360257466 V
