Timestamp,['1daaa92b-7d5a657e 0037-ARCHITECTURE BLDG Power Meter (301159) Volts C-N']
2017-01-01T00:00:00-07:00,121.90397866566975 V
2017-01-02T00:00:00-07:00,122.02874445915222 V
2017-01-03T00:00:00-07:00,121.99200320243835 V
2017-01-04T00:00:00-07:00,122.18495138486226 V
2017-01-05T00:00:00-07:00,121.93970449765523 V
2017-01-06T00:00:00-07:00,121.94492777188619 V
2017-01-07T00:00:00-07:00,121.84698549906413 V
2017-01-08T00:00:00-07:00,121.99192126592 V
2017-01-09T00:00:00-07:00,121.87261986732483 V
2017-01-10T00:00:00-07:00,122.03332130114238 V
2017-01-11T00:00:00-07:00,122.04786237080891 V
2017-01-12T00:00:00-07:00,121.9415225982666 V
2017-01-13T00:00:00-07:00,122.14306044578552 V
2017-01-14T00:00:00-07:00,121.97311091423035 V
2017-01-15T00:00:00-07:00,121.89156897862752 V
2017-01-16T00:00:00-07:00,122.09181173642476 V
2017-01-17T00:00:00-07:00,122.02050677935283 V
2017-01-18T00:00:00-07:00,121.824183176799 V
2017-01-19T00:00:00-07:00,122.00130208333333 V
2017-01-20T00:00:00-07:00,122.03328138782132 V
2017-01-21T00:00:00-07:00,121.91142535209656 V
2017-01-22T00:00:00-07:00,121.8967604637146 V
2017-01-23T00:00:00-07:00,121.97712961832683 V
2017-01-24T00:00:00-07:00,121.97286375363667 V
2017-01-25T00:00:00-07:00,121.83354910214742 V
2017-01-26T00:00:00-07:00,122.11107198397319 V
2017-01-27T00:00:00-07:00,121.84998679161072 V
2017-01-28T00:00:00-07:00,121.95347499847412 V
2017-01-29T00:00:00-07:00,121.99674161275227 V
2017-01-30T00:00:00-07:00,121.85313042004903 V
2017-01-31T00:00:00-07:00,121.86722898483276 V
2017-02-01T00:00:00-07:00,121.99747323989868 V
2017-02-02T00:00:00-07:00,122.01629161834717 V
2017-02-03T00:00:00-07:00,122.06106948852539 V
2017-02-07T00:00:00-07:00,121.89023274960725 V
2017-02-08T00:00:00-07:00,122.04199668036567 V
2017-02-09T00:00:00-07:00,121.87207221984863 V
2017-02-10T00:00:00-07:00,121.93611105283101 V
2017-02-11T00:00:00-07:00,122.0254095395406 V
2017-02-12T00:00:00-07:00,122.14623014132182 V
2017-02-13T00:00:00-07:00,122.08967137336731 V
2017-02-14T00:00:00-07:00,122.05902380692332 V
2017-02-15T00:00:00-07:00,121.9277081489563 V
2017-02-16T00:00:00-07:00,121.98661430676778 V
2017-02-17T00:00:00-07:00,121.99078146616618 V
2017-02-18T00:00:00-07:00,122.02183643976848 V
2017-02-19T00:00:00-07:00,122.05148259798686 V
2017-02-20T00:00:00-07:00,122.06590803464253 V
2017-02-21T00:00:00-07:00,121.99879026412964 V
2017-02-22T00:00:00-07:00,121.93972977002461 V
2017-02-23T00:00:00-07:00,121.89232198397319 V
2017-02-24T00:00:00-07:00,121.97517605831749 V
2017-02-25T00:00:00-07:00,122.06555557250977 V
2017-02-26T00:00:00-07:00,121.8925051689148 V
2017-02-27T00:00:00-07:00,121.89058462778728 V
2017-02-28T00:00:00-07:00,122.02987043062846 V
2017-03-01T00:00:00-07:00,122.11087663968404 V
2017-03-02T00:00:00-07:00,121.89893500010173 V
2017-03-03T00:00:00-07:00,122.03603943188985 V
2017-03-04T00:00:00-07:00,121.79523078600566 V
2017-03-05T00:00:00-07:00,122.08518799146016 V
2017-03-06T00:00:00-07:00,121.97328186035156 V
2017-03-07T00:00:00-07:00,121.9252797762553 V
2017-03-08T00:00:00-07:00,122.0446909268697 V
2017-03-09T00:00:00-07:00,121.87174312273662 V
2017-03-10T00:00:00-07:00,122.09576074282329 V
2017-03-11T00:00:00-07:00,122.08667127291362 V
2017-03-12T00:00:00-07:00,122.05134366906208 V
2017-03-13T00:00:00-06:00,122.06924883524577 V
2017-03-14T00:00:00-06:00,122.06428424517314 V
2017-03-15T00:00:00-06:00,121.91033903757732 V
2017-03-16T00:00:00-06:00,122.03986136118571 V
2017-03-17T00:00:00-06:00,122.1155899365743 V
2017-03-18T00:00:00-06:00,121.96704292297363 V
2017-03-19T00:00:00-06:00,121.89400847752889 V
2017-03-20T00:00:00-06:00,122.0202621459961 V
2017-03-21T00:00:00-06:00,121.88345401161595 V
2017-03-22T00:00:00-06:00,121.94307978947957 V
2017-03-23T00:00:00-06:00,121.97035090128581 V
2017-03-24T00:00:00-06:00,121.9974057674408 V
2017-03-25T00:00:00-06:00,121.92938152949016 V
2017-03-26T00:00:00-06:00,122.15699505805969 V
2017-03-27T00:00:00-06:00,121.97562217712402 V
2017-03-28T00:00:00-06:00,122.0363700389862 V
2017-03-29T00:00:00-06:00,121.97290643056233 V
2017-03-30T00:00:00-06:00,121.98383171613827 V
2017-03-31T00:00:00-06:00,122.05194393793742 V
2017-04-01T00:00:00-06:00,121.97726400693257 V
2017-04-02T00:00:00-06:00,122.13229688008626 V
2017-04-03T00:00:00-06:00,121.91854190826416 V
2017-04-04T00:00:00-06:00,121.92509682973225 V
2017-04-05T00:00:00-06:00,121.80648223559062 V
2017-04-06T00:00:00-06:00,122.00329494476318 V
2017-04-07T00:00:00-06:00,121.99023191134135 V
2017-04-08T00:00:00-06:00,121.92674819628398 V
2017-04-09T00:00:00-06:00,122.0223867893219 V
2017-04-10T00:00:00-06:00,121.94845350583394 V
2017-04-11T00:00:00-06:00,121.9139420191447 V
2017-04-12T00:00:00-06:00,121.92516779899597 V
2017-04-13T00:00:00-06:00,121.907284339269 V
2017-04-14T00:00:00-06:00,121.95439354578654 V
2017-04-15T00:00:00-06:00,121.66796859105428 V
2017-04-16T00:00:00-06:00,121.97951761881511 V
2017-04-17T00:00:00-06:00,121.98922212918599 V
2017-04-18T00:00:00-06:00,121.79146909713745 V
2017-04-19T00:00:00-06:00,121.79162772496541 V
2017-04-20T00:00:00-06:00,121.78121344248454 V
2017-04-21T00:00:00-06:00,122.10583933194478 V
2017-04-22T00:00:00-06:00,121.89041630427043 V
2017-04-23T00:00:00-06:00,121.9340881506602 V
2017-04-24T00:00:00-06:00,121.99671681722005 V
2017-04-25T00:00:00-06:00,122.07314467430115 V
2017-04-26T00:00:00-06:00,121.9409921169281 V
2017-04-27T00:00:00-06:00,122.01686342557271 V
2017-04-28T00:00:00-06:00,121.92648983001709 V
2017-04-29T00:00:00-06:00,122.04262248675029 V
2017-04-30T00:00:00-06:00,121.94931467374165 V
2017-05-01T00:00:00-06:00,122.0383342107137 V
2017-05-02T00:00:00-06:00,121.9327323436737 V
2017-05-03T00:00:00-06:00,122.01655133565266 V
2017-05-04T00:00:00-06:00,121.99676950772603 V
2017-05-05T00:00:00-06:00,121.95725019772847 V
2017-05-06T00:00:00-06:00,122.0081199244449 V
2017-05-07T00:00:00-06:00,121.99627304077148 V
2017-05-08T00:00:00-06:00,122.01355199610933 V
2017-05-09T00:00:00-06:00,122.02346960703532 V
2017-05-10T00:00:00-06:00,122.15981372197469 V
2017-05-11T00:00:00-06:00,122.05782341957092 V
2017-05-12T00:00:00-06:00,122.05237738291423 V
2017-05-13T00:00:00-06:00,122.06240892410278 V
2017-05-14T00:00:00-06:00,121.89322956403096 V
2017-05-15T00:00:00-06:00,122.08919747670491 V
2017-05-16T00:00:00-06:00,121.9973434607188 V
2017-05-17T00:00:00-06:00,121.98799848054584 V
2017-05-18T00:00:00-06:00,121.97088313102722 V
2017-05-19T00:00:00-06:00,122.14348848660786 V
2017-05-20T00:00:00-06:00,121.93496878941853 V
2017-05-21T00:00:00-06:00,121.92356189092 V
2017-05-22T00:00:00-06:00,122.02776153882344 V
2017-05-23T00:00:00-06:00,122.06804831822713 V
2017-05-24T00:00:00-06:00,122.01903629302979 V
2017-05-25T00:00:00-06:00,121.90992999076843 V
2017-05-26T00:00:00-06:00,122.03270260492961 V
2017-05-27T00:00:00-06:00,122.1131944656372 V
2017-05-28T00:00:00-06:00,122.09501036008199 V
2017-05-29T00:00:00-06:00,121.9555938243866 V
2017-05-30T00:00:00-06:00,121.99310239156087 V
2017-05-31T00:00:00-06:00,121.95102985699971 V
2017-06-01T00:00:00-06:00,121.99594871203105 V
2017-06-02T00:00:00-06:00,121.8375871181488 V
2017-06-03T00:00:00-06:00,121.94431891190378 V
2017-06-04T00:00:00-06:00,122.00425855318706 V
2017-06-05T00:00:00-06:00,121.90177210172017 V
2017-06-06T00:00:00-06:00,122.06887706120808 V
2017-06-07T00:00:00-06:00,121.93060064315796 V
2017-06-08T00:00:00-06:00,121.96988439559937 V
2017-06-09T00:00:00-06:00,122.02126502990723 V
2017-06-10T00:00:00-06:00,121.9717059135437 V
2017-06-11T00:00:00-06:00,121.98852197329204 V
2017-06-12T00:00:00-06:00,122.04890354474385 V
2017-06-13T00:00:00-06:00,122.02065698305766 V
2017-06-14T00:00:00-06:00,122.09925285975139 V
2017-06-15T00:00:00-06:00,122.05887285868327 V
2017-06-16T00:00:00-06:00,122.02388874689738 V
2017-06-17T00:00:00-06:00,121.98693180084229 V
2017-06-18T00:00:00-06:00,122.02101222674052 V
2017-06-19T00:00:00-06:00,121.96561336517334 V
2017-06-20T00:00:00-06:00,122.03436811765035 V
2017-06-21T00:00:00-06:00,122.00207034746806 V
2017-06-22T00:00:00-06:00,121.99558210372925 V
2017-06-23T00:00:00-06:00,122.10986630121867 V
2017-06-24T00:00:00-06:00,122.04618247350056 V
2017-06-25T00:00:00-06:00,122.06096037228902 V
2017-06-26T00:00:00-06:00,121.97634712855022 V
2017-06-27T00:00:00-06:00,122.01079360644023 V
2017-06-28T00:00:00-06:00,121.88555346037212 V
2017-06-29T00:00:00-06:00,121.99475582440694 V
2017-06-30T00:00:00-06:00,122.14888469378154 V
