Timestamp,"['1e6891be-df586fea 0004-KINGSBURY HALL Power Meter 1 (301210) W-hours, Received']"
2017-01-01T00:00:00-07:00,2987.703125 kWh
2017-01-02T00:00:00-07:00,3619 kWh
2017-01-03T00:00:00-07:00,3448.703125 kWh
2017-01-04T00:00:00-07:00,4332.40625 kWh
2017-01-05T00:00:00-07:00,3197.90625 kWh
2017-01-06T00:00:00-07:00,3145.875 kWh
2017-01-07T00:00:00-07:00,3079.84375 kWh
2017-01-08T00:00:00-07:00,3801.015625 kWh
2017-01-09T00:00:00-07:00,4465.953125 kWh
2017-01-10T00:00:00-07:00,4461.609375 kWh
2017-01-11T00:00:00-07:00,4459.15625 kWh
2017-01-12T00:00:00-07:00,4475.671875 kWh
2017-01-13T00:00:00-07:00,4478.296875 kWh
2017-01-14T00:00:00-07:00,4267.453125 kWh
2017-01-15T00:00:00-07:00,3895.859375 kWh
2017-01-16T00:00:00-07:00,3237.640625 kWh
2017-01-17T00:00:00-07:00,3369.5 kWh
2017-01-18T00:00:00-07:00,3360.375 kWh
2017-01-19T00:00:00-07:00,4272.90625 kWh
2017-01-20T00:00:00-07:00,4268.8125 kWh
2017-01-21T00:00:00-07:00,4219.5 kWh
2017-01-22T00:00:00-07:00,3938.09375 kWh
2017-01-23T00:00:00-07:00,4314.78125 kWh
2017-01-24T00:00:00-07:00,4288.96875 kWh
2017-01-25T00:00:00-07:00,4124.75 kWh
2017-01-26T00:00:00-07:00,4159.15625 kWh
2017-01-27T00:00:00-07:00,3071.3125 kWh
2017-01-28T00:00:00-07:00,2951.625 kWh
2017-01-29T00:00:00-07:00,2737.84375 kWh
2017-01-30T00:00:00-07:00,3134.5 kWh
2017-01-31T00:00:00-07:00,3626.9375 kWh
2017-02-01T00:00:00-07:00,4371.75 kWh
2017-02-02T00:00:00-07:00,4318.375 kWh
2017-02-03T00:00:00-07:00,18536.9375 kWh
2017-02-07T00:00:00-07:00,2556.25 kWh
2017-02-08T00:00:00-07:00,4362.375 kWh
2017-02-09T00:00:00-07:00,5208.65625 kWh
2017-02-10T00:00:00-07:00,3508.125 kWh
2017-02-11T00:00:00-07:00,3084.4375 kWh
2017-02-12T00:00:00-07:00,3557.8125 kWh
2017-02-13T00:00:00-07:00,3611.71875 kWh
2017-02-14T00:00:00-07:00,3738.25 kWh
2017-02-15T00:00:00-07:00,3725.34375 kWh
2017-02-16T00:00:00-07:00,3674.4375 kWh
2017-02-17T00:00:00-07:00,3635.375 kWh
2017-02-18T00:00:00-07:00,3570.3125 kWh
2017-02-19T00:00:00-07:00,3574.9375 kWh
