Timestamp,"['1e68925a-9802c45d 0004-KINGSBURY HALL Power Meter 2 (301209) Watts, 3-Ph total']"
2017-01-01T00:00:00-07:00,12.471431732177734 kW
2017-01-02T00:00:00-07:00,13.401611328125 kW
2017-01-03T00:00:00-07:00,33.521217346191406 kW
2017-01-04T00:00:00-07:00,33.866111755371094 kW
2017-01-05T00:00:00-07:00,41.31640625 kW
2017-01-06T00:00:00-07:00,46.774784088134766 kW
2017-01-07T00:00:00-07:00,12.955838203430176 kW
2017-01-08T00:00:00-07:00,12.996946334838867 kW
2017-01-09T00:00:00-07:00,33.2703971862793 kW
2017-01-10T00:00:00-07:00,34.803375244140625 kW
2017-01-11T00:00:00-07:00,42.793128967285156 kW
2017-01-12T00:00:00-07:00,47.23046112060547 kW
2017-01-13T00:00:00-07:00,78.19934844970703 kW
2017-01-14T00:00:00-07:00,89.166748046875 kW
2017-01-15T00:00:00-07:00,12.390335083007812 kW
2017-01-16T00:00:00-07:00,15.044646263122559 kW
2017-01-17T00:00:00-07:00,51.674007415771484 kW
2017-01-18T00:00:00-07:00,58.943359375 kW
2017-01-19T00:00:00-07:00,54.40960693359375 kW
2017-01-20T00:00:00-07:00,23.322599411010742 kW
2017-01-21T00:00:00-07:00,17.230470657348633 kW
2017-01-22T00:00:00-07:00,14.922100067138672 kW
2017-01-23T00:00:00-07:00,43.35957717895508 kW
2017-01-24T00:00:00-07:00,41.08826446533203 kW
2017-01-25T00:00:00-07:00,45.46695327758789 kW
2017-01-26T00:00:00-07:00,49.10768508911133 kW
2017-01-27T00:00:00-07:00,41.27368927001953 kW
2017-01-28T00:00:00-07:00,14.685014724731445 kW
2017-01-29T00:00:00-07:00,14.950271606445312 kW
2017-01-30T00:00:00-07:00,49.403350830078125 kW
2017-01-31T00:00:00-07:00,33.855743408203125 kW
2017-02-01T00:00:00-07:00,38.43424606323242 kW
2017-02-02T00:00:00-07:00,111.05657196044922 kW
2017-02-03T00:00:00-07:00,69.99964904785156 kW
2017-02-07T00:00:00-07:00,36.53394317626953 kW
2017-02-08T00:00:00-07:00,39.805267333984375 kW
2017-02-09T00:00:00-07:00,36.868709564208984 kW
2017-02-10T00:00:00-07:00,95.6618423461914 kW
2017-02-11T00:00:00-07:00,135.38467407226562 kW
2017-02-12T00:00:00-07:00,16.185914993286133 kW
2017-02-13T00:00:00-07:00,44.2073974609375 kW
2017-02-14T00:00:00-07:00,72.13787078857422 kW
2017-02-15T00:00:00-07:00,43.68456268310547 kW
2017-02-16T00:00:00-07:00,38.329898834228516 kW
2017-02-17T00:00:00-07:00,35.9755973815918 kW
2017-02-18T00:00:00-07:00,17.796842575073242 kW
2017-02-19T00:00:00-07:00,17.925338745117188 kW
2017-02-20T00:00:00-07:00,18.106184005737305 kW
2017-02-21T00:00:00-07:00,41.12393569946289 kW
2017-02-22T00:00:00-07:00,45.745113372802734 kW
2017-02-23T00:00:00-07:00,43.70504379272461 kW
2017-02-24T00:00:00-07:00,30.492633819580078 kW
2017-02-25T00:00:00-07:00,73.58983612060547 kW
2017-02-26T00:00:00-07:00,15.100765228271484 kW
2017-02-27T00:00:00-07:00,31.000118255615234 kW
2017-02-28T00:00:00-07:00,32.07447814941406 kW
2017-03-01T00:00:00-07:00,38.41820526123047 kW
2017-03-02T00:00:00-07:00,39.14292907714844 kW
2017-03-03T00:00:00-07:00,39.98367691040039 kW
2017-03-04T00:00:00-07:00,70.4400634765625 kW
2017-03-05T00:00:00-07:00,9.634859085083008 kW
2017-03-06T00:00:00-07:00,34.221229553222656 kW
2017-03-07T00:00:00-07:00,26.919275283813477 kW
2017-03-08T00:00:00-07:00,34.0689697265625 kW
2017-03-09T00:00:00-07:00,33.62812042236328 kW
2017-03-10T00:00:00-07:00,87.03070831298828 kW
2017-03-11T00:00:00-07:00,10.860017776489258 kW
2017-03-12T00:00:00-07:00,10.500589370727539 kW
2017-03-13T00:00:00-06:00,86.7502670288086 kW
2017-03-14T00:00:00-06:00,92.9577865600586 kW
2017-03-15T00:00:00-06:00,101.00712585449219 kW
2017-03-16T00:00:00-06:00,106.38912963867188 kW
2017-03-17T00:00:00-06:00,107.25629425048828 kW
2017-03-18T00:00:00-06:00,99.00662994384766 kW
2017-03-19T00:00:00-06:00,19.39433479309082 kW
2017-03-20T00:00:00-06:00,43.41823959350586 kW
2017-03-21T00:00:00-06:00,55.02897262573242 kW
2017-03-22T00:00:00-06:00,71.26154327392578 kW
2017-03-23T00:00:00-06:00,66.04214477539062 kW
2017-03-24T00:00:00-06:00,38.22557067871094 kW
2017-03-25T00:00:00-06:00,10.601890563964844 kW
2017-03-26T00:00:00-06:00,10.684985160827637 kW
2017-03-27T00:00:00-06:00,57.979278564453125 kW
2017-03-28T00:00:00-06:00,114.15568542480469 kW
2017-03-29T00:00:00-06:00,113.78801727294922 kW
2017-03-30T00:00:00-06:00,131.02890014648438 kW
2017-03-31T00:00:00-06:00,111.79302215576172 kW
2017-04-01T00:00:00-06:00,121.07324981689453 kW
2017-04-02T00:00:00-06:00,13.045633316040039 kW
2017-04-03T00:00:00-06:00,111.12872314453125 kW
2017-04-04T00:00:00-06:00,139.40927124023438 kW
2017-04-05T00:00:00-06:00,109.25410461425781 kW
2017-04-06T00:00:00-06:00,116.39158630371094 kW
2017-04-07T00:00:00-06:00,139.43482971191406 kW
2017-04-08T00:00:00-06:00,116.2751235961914 kW
2017-04-09T00:00:00-06:00,10.067924499511719 kW
2017-04-10T00:00:00-06:00,37.2837028503418 kW
2017-04-11T00:00:00-06:00,49.14110565185547 kW
2017-04-12T00:00:00-06:00,40.84672927856445 kW
2017-04-13T00:00:00-06:00,49.10476303100586 kW
2017-04-14T00:00:00-06:00,48.20405578613281 kW
2017-04-15T00:00:00-06:00,29.963558197021484 kW
2017-04-16T00:00:00-06:00,10.676209449768066 kW
2017-04-17T00:00:00-06:00,107.9942855834961 kW
2017-04-18T00:00:00-06:00,85.2748794555664 kW
2017-04-19T00:00:00-06:00,102.8162841796875 kW
2017-04-20T00:00:00-06:00,97.82083129882812 kW
2017-04-21T00:00:00-06:00,107.31745147705078 kW
2017-04-22T00:00:00-06:00,108.90034484863281 kW
2017-04-23T00:00:00-06:00,26.70672607421875 kW
2017-04-24T00:00:00-06:00,42.37260437011719 kW
2017-04-25T00:00:00-06:00,46.943359375 kW
2017-04-26T00:00:00-06:00,51.554771423339844 kW
2017-04-27T00:00:00-06:00,84.80301666259766 kW
2017-04-28T00:00:00-06:00,98.67888641357422 kW
2017-04-29T00:00:00-06:00,107.23249816894531 kW
2017-04-30T00:00:00-06:00,24.727195739746094 kW
2017-05-01T00:00:00-06:00,48.40583419799805 kW
2017-05-02T00:00:00-06:00,49.6701774597168 kW
2017-05-03T00:00:00-06:00,44.69942855834961 kW
2017-05-04T00:00:00-06:00,80.1530532836914 kW
2017-05-05T00:00:00-06:00,92.79389190673828 kW
2017-05-06T00:00:00-06:00,10.30783748626709 kW
2017-05-07T00:00:00-06:00,9.494836807250977 kW
2017-05-08T00:00:00-06:00,36.66289138793945 kW
2017-05-09T00:00:00-06:00,117.22408294677734 kW
2017-05-10T00:00:00-06:00,113.4449462890625 kW
2017-05-11T00:00:00-06:00,39.39472198486328 kW
2017-05-12T00:00:00-06:00,110.43193817138672 kW
2017-05-13T00:00:00-06:00,125.20623016357422 kW
2017-05-14T00:00:00-06:00,9.840356826782227 kW
2017-05-15T00:00:00-06:00,101.95889282226562 kW
2017-05-16T00:00:00-06:00,89.99235534667969 kW
2017-05-17T00:00:00-06:00,102.20197296142578 kW
2017-05-18T00:00:00-06:00,37.37902069091797 kW
2017-05-19T00:00:00-06:00,74.26080322265625 kW
2017-05-20T00:00:00-06:00,105.0060806274414 kW
2017-05-21T00:00:00-06:00,9.613823890686035 kW
2017-05-22T00:00:00-06:00,120.41947174072266 kW
2017-05-23T00:00:00-06:00,54.822593688964844 kW
2017-05-24T00:00:00-06:00,64.30797576904297 kW
2017-05-25T00:00:00-06:00,112.43228912353516 kW
