Timestamp,['1e843250-c24ef82c 0110-ECCLES STUDENT LIFE CNTR Power Meter (HL11) 316565 Energy delivered']
2017-01-01T00:00:00-07:00,20.39453125 kWh
2017-01-02T00:00:00-07:00,24.7578125 kWh
2017-01-03T00:00:00-07:00,90.671875 kWh
2017-01-04T00:00:00-07:00,89.0390625 kWh
2017-01-05T00:00:00-07:00,88.67578125 kWh
2017-01-06T00:00:00-07:00,86.5390625 kWh
2017-01-07T00:00:00-07:00,60.2578125 kWh
2017-01-08T00:00:00-07:00,60.67578125 kWh
2017-01-09T00:00:00-07:00,96.4375 kWh
2017-01-10T00:00:00-07:00,97.453125 kWh
2017-01-11T00:00:00-07:00,96.71875 kWh
2017-01-12T00:00:00-07:00,95.109375 kWh
2017-01-13T00:00:00-07:00,90.015625 kWh
2017-01-14T00:00:00-07:00,69.140625 kWh
2017-01-15T00:00:00-07:00,57.625 kWh
2017-01-16T00:00:00-07:00,68.9375 kWh
2017-01-17T00:00:00-07:00,93.9296875 kWh
2017-01-18T00:00:00-07:00,95.72265625 kWh
2017-01-19T00:00:00-07:00,94.22265625 kWh
2017-01-20T00:00:00-07:00,91.58203125 kWh
2017-01-21T00:00:00-07:00,68.27734375 kWh
2017-01-22T00:00:00-07:00,62.3046875 kWh
2017-01-23T00:00:00-07:00,98.5859375 kWh
2017-01-24T00:00:00-07:00,96.625 kWh
2017-01-25T00:00:00-07:00,99.078125 kWh
2017-01-26T00:00:00-07:00,95.1015625 kWh
2017-01-27T00:00:00-07:00,95.6015625 kWh
2017-01-28T00:00:00-07:00,69.6171875 kWh
2017-01-29T00:00:00-07:00,60.390625 kWh
2017-01-30T00:00:00-07:00,94.85546875 kWh
2017-01-31T00:00:00-07:00,97.04296875 kWh
2017-02-01T00:00:00-07:00,98.3203125 kWh
2017-02-02T00:00:00-07:00,95.2421875 kWh
2017-02-03T00:00:00-07:00,354.17578125 kWh
2017-02-07T00:00:00-07:00,60.01953125 kWh
2017-02-08T00:00:00-07:00,92.2421875 kWh
2017-02-09T00:00:00-07:00,94.109375 kWh
2017-02-10T00:00:00-07:00,92.921875 kWh
2017-02-11T00:00:00-07:00,69.9375 kWh
2017-02-12T00:00:00-07:00,59.375 kWh
2017-02-13T00:00:00-07:00,94.671875 kWh
2017-02-14T00:00:00-07:00,95.26171875 kWh
2017-02-15T00:00:00-07:00,97.77734375 kWh
2017-02-16T00:00:00-07:00,95.36328125 kWh
2017-02-17T00:00:00-07:00,93.1875 kWh
2017-02-18T00:00:00-07:00,72.01953125 kWh
2017-02-19T00:00:00-07:00,60.6953125 kWh
2017-02-20T00:00:00-07:00,68.171875 kWh
2017-02-21T00:00:00-07:00,97.2890625 kWh
2017-02-22T00:00:00-07:00,94.578125 kWh
2017-02-23T00:00:00-07:00,96.296875 kWh
2017-02-24T00:00:00-07:00,91.55859375 kWh
2017-02-25T00:00:00-07:00,69.05859375 kWh
2017-02-26T00:00:00-07:00,59.984375 kWh
2017-02-27T00:00:00-07:00,96.0234375 kWh
2017-02-28T00:00:00-07:00,95.2890625 kWh
2017-03-01T00:00:00-07:00,96.3359375 kWh
2017-03-02T00:00:00-07:00,93.4921875 kWh
2017-03-03T00:00:00-07:00,92.1640625 kWh
2017-03-04T00:00:00-07:00,68.1640625 kWh
2017-03-05T00:00:00-07:00,58.37890625 kWh
2017-03-06T00:00:00-07:00,94.92578125 kWh
2017-03-07T00:00:00-07:00,95.171875 kWh
2017-03-08T00:00:00-07:00,98.3984375 kWh
2017-03-09T00:00:00-07:00,93.40625 kWh
2017-03-10T00:00:00-07:00,87.546875 kWh
2017-03-11T00:00:00-07:00,68.796875 kWh
2017-03-12T00:00:00-07:00,58.25 kWh
2017-03-13T00:00:00-06:00,81.51171875 kWh
2017-03-14T00:00:00-06:00,83.94921875 kWh
2017-03-15T00:00:00-06:00,85.359375 kWh
2017-03-16T00:00:00-06:00,84.015625 kWh
2017-03-17T00:00:00-06:00,83.7265625 kWh
2017-03-18T00:00:00-06:00,73.62890625 kWh
2017-03-19T00:00:00-06:00,58.1328125 kWh
2017-03-20T00:00:00-06:00,96.61328125 kWh
2017-03-21T00:00:00-06:00,93.0546875 kWh
2017-03-22T00:00:00-06:00,95.01953125 kWh
2017-03-23T00:00:00-06:00,95.71484375 kWh
2017-03-24T00:00:00-06:00,89.546875 kWh
2017-03-25T00:00:00-06:00,71.18359375 kWh
2017-03-26T00:00:00-06:00,57.99609375 kWh
2017-03-27T00:00:00-06:00,94.80859375 kWh
2017-03-28T00:00:00-06:00,93.75390625 kWh
2017-03-29T00:00:00-06:00,136.703125 kWh
2017-03-30T00:00:00-06:00,50.40625 kWh
2017-03-31T00:00:00-06:00,90.1328125 kWh
2017-04-01T00:00:00-06:00,64.80859375 kWh
2017-04-02T00:00:00-06:00,57.94921875 kWh
2017-04-03T00:00:00-06:00,89.6484375 kWh
2017-04-04T00:00:00-06:00,90.72265625 kWh
2017-04-05T00:00:00-06:00,91.91015625 kWh
2017-04-06T00:00:00-06:00,90.8125 kWh
2017-04-07T00:00:00-06:00,85.234375 kWh
2017-04-08T00:00:00-06:00,67.046875 kWh
2017-04-09T00:00:00-06:00,55.984375 kWh
2017-04-10T00:00:00-06:00,90.640625 kWh
2017-04-11T00:00:00-06:00,94.39453125 kWh
2017-04-12T00:00:00-06:00,90.54296875 kWh
2017-04-13T00:00:00-06:00,90.96875 kWh
2017-04-14T00:00:00-06:00,86.734375 kWh
2017-04-15T00:00:00-06:00,66.328125 kWh
2017-04-16T00:00:00-06:00,23.59765625 kWh
2017-04-17T00:00:00-06:00,87.81640625 kWh
2017-04-18T00:00:00-06:00,93.1796875 kWh
2017-04-19T00:00:00-06:00,92.8515625 kWh
2017-04-20T00:00:00-06:00,88.859375 kWh
2017-04-21T00:00:00-06:00,87.7734375 kWh
2017-04-22T00:00:00-06:00,64.5078125 kWh
2017-04-23T00:00:00-06:00,59.3828125 kWh
2017-04-24T00:00:00-06:00,89.6875 kWh
2017-04-25T00:00:00-06:00,93.03125 kWh
2017-04-26T00:00:00-06:00,92.64453125 kWh
2017-04-27T00:00:00-06:00,92.22265625 kWh
2017-04-28T00:00:00-06:00,87.11328125 kWh
2017-04-29T00:00:00-06:00,62.65625 kWh
2017-04-30T00:00:00-06:00,57.078125 kWh
2017-05-01T00:00:00-06:00,89.01953125 kWh
2017-05-02T00:00:00-06:00,91.6640625 kWh
2017-05-03T00:00:00-06:00,87.77734375 kWh
2017-05-04T00:00:00-06:00,87.953125 kWh
2017-05-05T00:00:00-06:00,83.453125 kWh
2017-05-06T00:00:00-06:00,53.22265625 kWh
2017-05-07T00:00:00-06:00,54.890625 kWh
2017-05-08T00:00:00-06:00,80.15625 kWh
2017-05-09T00:00:00-06:00,83.0859375 kWh
2017-05-10T00:00:00-06:00,79.5546875 kWh
2017-05-11T00:00:00-06:00,78.0703125 kWh
2017-05-12T00:00:00-06:00,79.890625 kWh
2017-05-13T00:00:00-06:00,54.015625 kWh
2017-05-14T00:00:00-06:00,54.09375 kWh
2017-05-15T00:00:00-06:00,83.890625 kWh
2017-05-16T00:00:00-06:00,86.0703125 kWh
2017-05-17T00:00:00-06:00,84.1484375 kWh
2017-05-18T00:00:00-06:00,81.515625 kWh
2017-05-19T00:00:00-06:00,78.765625 kWh
2017-05-20T00:00:00-06:00,54.3046875 kWh
2017-05-21T00:00:00-06:00,53.2734375 kWh
2017-05-22T00:00:00-06:00,80.46875 kWh
2017-05-23T00:00:00-06:00,81.4609375 kWh
2017-05-24T00:00:00-06:00,80.546875 kWh
2017-05-25T00:00:00-06:00,79.953125 kWh
2017-05-26T00:00:00-06:00,78.71875 kWh
2017-05-27T00:00:00-06:00,52.9765625 kWh
2017-05-28T00:00:00-06:00,49.7109375 kWh
2017-05-29T00:00:00-06:00,21.5859375 kWh
2017-05-30T00:00:00-06:00,83.7109375 kWh
2017-05-31T00:00:00-06:00,82.6796875 kWh
2017-06-01T00:00:00-06:00,92.484375 kWh
2017-06-02T00:00:00-06:00,81.5078125 kWh
2017-06-03T00:00:00-06:00,54.5859375 kWh
2017-06-04T00:00:00-06:00,54.2890625 kWh
2017-06-05T00:00:00-06:00,81.7578125 kWh
2017-06-06T00:00:00-06:00,89.390625 kWh
2017-06-07T00:00:00-06:00,85.9375 kWh
2017-06-08T00:00:00-06:00,92.328125 kWh
2017-06-09T00:00:00-06:00,83.4453125 kWh
2017-06-10T00:00:00-06:00,56.9296875 kWh
2017-06-11T00:00:00-06:00,51.2421875 kWh
2017-06-12T00:00:00-06:00,93.5859375 kWh
2017-06-13T00:00:00-06:00,90.15625 kWh
2017-06-14T00:00:00-06:00,85.390625 kWh
2017-06-15T00:00:00-06:00,88.796875 kWh
2017-06-16T00:00:00-06:00,83.390625 kWh
2017-06-17T00:00:00-06:00,52.671875 kWh
2017-06-18T00:00:00-06:00,51.6796875 kWh
2017-06-19T00:00:00-06:00,83.953125 kWh
2017-06-20T00:00:00-06:00,90.6328125 kWh
2017-06-21T00:00:00-06:00,88.5625 kWh
2017-06-22T00:00:00-06:00,89.953125 kWh
