Timestamp,['1e843260-03f2bc2a 0110-ECCLES STUDENT LIFE CNTR Power Meter (HL11) 316565 Real power']
2017-01-01T00:00:00-07:00,3.386176109313965 kW
2017-01-02T00:00:00-07:00,3.036341428756714 kW
2017-01-03T00:00:00-07:00,6.98886775970459 kW
2017-01-04T00:00:00-07:00,5.367180347442627 kW
2017-01-05T00:00:00-07:00,6.974532604217529 kW
2017-01-06T00:00:00-07:00,6.85911750793457 kW
2017-01-07T00:00:00-07:00,4.792736530303955 kW
2017-01-08T00:00:00-07:00,7.199642181396484 kW
2017-01-09T00:00:00-07:00,7.508157253265381 kW
2017-01-10T00:00:00-07:00,7.47905969619751 kW
2017-01-11T00:00:00-07:00,5.924834728240967 kW
2017-01-12T00:00:00-07:00,6.678463935852051 kW
2017-01-13T00:00:00-07:00,7.026735305786133 kW
2017-01-14T00:00:00-07:00,6.773425102233887 kW
2017-01-15T00:00:00-07:00,4.9672112464904785 kW
2017-01-16T00:00:00-07:00,6.903126239776611 kW
2017-01-17T00:00:00-07:00,7.007063388824463 kW
2017-01-18T00:00:00-07:00,5.377483367919922 kW
2017-01-19T00:00:00-07:00,6.998507022857666 kW
2017-01-20T00:00:00-07:00,5.171192169189453 kW
2017-01-21T00:00:00-07:00,4.615951061248779 kW
2017-01-22T00:00:00-07:00,4.991203784942627 kW
2017-01-23T00:00:00-07:00,7.319707870483398 kW
2017-01-24T00:00:00-07:00,5.541743278503418 kW
2017-01-25T00:00:00-07:00,5.494682312011719 kW
2017-01-26T00:00:00-07:00,6.775361061096191 kW
2017-01-27T00:00:00-07:00,6.801100730895996 kW
2017-01-28T00:00:00-07:00,4.736286163330078 kW
2017-01-29T00:00:00-07:00,6.501981735229492 kW
2017-01-30T00:00:00-07:00,5.313112258911133 kW
2017-01-31T00:00:00-07:00,7.26945686340332 kW
2017-02-01T00:00:00-07:00,5.309792995452881 kW
2017-02-02T00:00:00-07:00,5.5793023109436035 kW
2017-02-03T00:00:00-07:00,6.555364608764648 kW
2017-02-07T00:00:00-07:00,5.567374229431152 kW
2017-02-08T00:00:00-07:00,7.228285789489746 kW
2017-02-09T00:00:00-07:00,7.536550521850586 kW
2017-02-10T00:00:00-07:00,5.973536491394043 kW
2017-02-11T00:00:00-07:00,6.895038604736328 kW
2017-02-12T00:00:00-07:00,4.848219394683838 kW
2017-02-13T00:00:00-07:00,6.601172924041748 kW
2017-02-14T00:00:00-07:00,5.189192295074463 kW
2017-02-15T00:00:00-07:00,5.13023042678833 kW
2017-02-16T00:00:00-07:00,7.0444159507751465 kW
2017-02-17T00:00:00-07:00,7.167055130004883 kW
2017-02-18T00:00:00-07:00,4.939050674438477 kW
2017-02-19T00:00:00-07:00,6.859813690185547 kW
2017-02-20T00:00:00-07:00,4.855282783508301 kW
2017-02-21T00:00:00-07:00,7.098598003387451 kW
2017-02-22T00:00:00-07:00,5.470036506652832 kW
2017-02-23T00:00:00-07:00,7.1452317237854 kW
2017-02-24T00:00:00-07:00,7.009014129638672 kW
2017-02-25T00:00:00-07:00,4.647091388702393 kW
2017-02-26T00:00:00-07:00,4.9238409996032715 kW
2017-02-27T00:00:00-07:00,5.411302089691162 kW
2017-02-28T00:00:00-07:00,5.306635856628418 kW
2017-03-01T00:00:00-07:00,5.288615703582764 kW
2017-03-02T00:00:00-07:00,5.390011310577393 kW
2017-03-03T00:00:00-07:00,7.522919654846191 kW
2017-03-04T00:00:00-07:00,4.778102874755859 kW
2017-03-05T00:00:00-07:00,4.70974588394165 kW
2017-03-06T00:00:00-07:00,7.030951499938965 kW
2017-03-07T00:00:00-07:00,5.409450531005859 kW
2017-03-08T00:00:00-07:00,6.946653842926025 kW
2017-03-09T00:00:00-07:00,5.245977878570557 kW
2017-03-10T00:00:00-07:00,6.55042839050293 kW
2017-03-11T00:00:00-07:00,4.6071248054504395 kW
2017-03-12T00:00:00-07:00,4.735272407531738 kW
2017-03-13T00:00:00-06:00,5.404402732849121 kW
2017-03-14T00:00:00-06:00,5.392226219177246 kW
2017-03-15T00:00:00-06:00,6.764662265777588 kW
2017-03-16T00:00:00-06:00,4.977536678314209 kW
2017-03-17T00:00:00-06:00,7.0761518478393555 kW
2017-03-18T00:00:00-06:00,4.7222442626953125 kW
2017-03-19T00:00:00-06:00,4.678417205810547 kW
2017-03-20T00:00:00-06:00,7.159891605377197 kW
2017-03-21T00:00:00-06:00,6.984008312225342 kW
2017-03-22T00:00:00-06:00,6.755034446716309 kW
2017-03-23T00:00:00-06:00,7.564756870269775 kW
2017-03-24T00:00:00-06:00,6.236588001251221 kW
2017-03-25T00:00:00-06:00,5.394853591918945 kW
2017-03-26T00:00:00-06:00,4.507625579833984 kW
2017-03-27T00:00:00-06:00,6.662223815917969 kW
2017-03-28T00:00:00-06:00,6.287465572357178 kW
2017-03-29T00:00:00-06:00,7.272982597351074 kW
2017-03-30T00:00:00-06:00,7.403005599975586 kW
2017-03-31T00:00:00-06:00,5.331638813018799 kW
2017-04-01T00:00:00-06:00,6.727986812591553 kW
2017-04-02T00:00:00-06:00,4.894508361816406 kW
2017-04-03T00:00:00-06:00,6.980981349945068 kW
2017-04-04T00:00:00-06:00,7.1749267578125 kW
2017-04-05T00:00:00-06:00,7.374508857727051 kW
2017-04-06T00:00:00-06:00,5.279592037200928 kW
2017-04-07T00:00:00-06:00,5.088697910308838 kW
2017-04-08T00:00:00-06:00,7.262517929077148 kW
2017-04-09T00:00:00-06:00,4.591854095458984 kW
2017-04-10T00:00:00-06:00,7.528155326843262 kW
2017-04-11T00:00:00-06:00,5.327016830444336 kW
2017-04-12T00:00:00-06:00,5.1946258544921875 kW
2017-04-13T00:00:00-06:00,5.284816741943359 kW
2017-04-14T00:00:00-06:00,5.275997638702393 kW
2017-04-15T00:00:00-06:00,6.720457077026367 kW
2017-04-16T00:00:00-06:00,3.7362303733825684 kW
2017-04-17T00:00:00-06:00,5.132815837860107 kW
2017-04-18T00:00:00-06:00,7.097649574279785 kW
2017-04-19T00:00:00-06:00,5.362562656402588 kW
2017-04-20T00:00:00-06:00,7.4623122215271 kW
2017-04-21T00:00:00-06:00,5.4204583168029785 kW
2017-04-22T00:00:00-06:00,6.850468635559082 kW
2017-04-23T00:00:00-06:00,6.324642181396484 kW
2017-04-24T00:00:00-06:00,6.722280502319336 kW
2017-04-25T00:00:00-06:00,7.479588031768799 kW
2017-04-26T00:00:00-06:00,6.290458679199219 kW
2017-04-27T00:00:00-06:00,6.030613899230957 kW
2017-04-28T00:00:00-06:00,5.008292198181152 kW
2017-04-29T00:00:00-06:00,6.609761714935303 kW
2017-04-30T00:00:00-06:00,4.579373836517334 kW
2017-05-01T00:00:00-06:00,6.6389055252075195 kW
2017-05-02T00:00:00-06:00,5.269504547119141 kW
2017-05-03T00:00:00-06:00,6.846756935119629 kW
2017-05-04T00:00:00-06:00,6.832818031311035 kW
2017-05-05T00:00:00-06:00,6.245599746704102 kW
2017-05-06T00:00:00-06:00,6.620942115783691 kW
2017-05-07T00:00:00-06:00,6.669580459594727 kW
2017-05-08T00:00:00-06:00,7.084865570068359 kW
2017-05-09T00:00:00-06:00,6.2454400062561035 kW
2017-05-10T00:00:00-06:00,6.620292663574219 kW
2017-05-11T00:00:00-06:00,7.18276309967041 kW
2017-05-12T00:00:00-06:00,4.8326311111450195 kW
2017-05-13T00:00:00-06:00,6.4650468826293945 kW
2017-05-14T00:00:00-06:00,4.621384143829346 kW
2017-05-15T00:00:00-06:00,4.791759967803955 kW
2017-05-16T00:00:00-06:00,5.694749355316162 kW
2017-05-17T00:00:00-06:00,6.761019706726074 kW
2017-05-18T00:00:00-06:00,4.759125232696533 kW
2017-05-19T00:00:00-06:00,6.4162821769714355 kW
2017-05-20T00:00:00-06:00,4.500959873199463 kW
2017-05-21T00:00:00-06:00,6.734763145446777 kW
2017-05-22T00:00:00-06:00,4.656448841094971 kW
2017-05-23T00:00:00-06:00,6.790057182312012 kW
2017-05-24T00:00:00-06:00,6.839437007904053 kW
2017-05-25T00:00:00-06:00,6.575407981872559 kW
2017-05-26T00:00:00-06:00,4.60039758682251 kW
2017-05-27T00:00:00-06:00,6.736842155456543 kW
2017-05-28T00:00:00-06:00,4.581524848937988 kW
2017-05-29T00:00:00-06:00,3.251633644104004 kW
2017-05-30T00:00:00-06:00,6.596894264221191 kW
2017-05-31T00:00:00-06:00,5.082274436950684 kW
2017-06-01T00:00:00-06:00,6.244954586029053 kW
2017-06-02T00:00:00-06:00,5.65932559967041 kW
2017-06-03T00:00:00-06:00,4.694711208343506 kW
2017-06-04T00:00:00-06:00,4.669406890869141 kW
2017-06-05T00:00:00-06:00,6.945330619812012 kW
2017-06-06T00:00:00-06:00,7.237648963928223 kW
2017-06-07T00:00:00-06:00,5.2273454666137695 kW
2017-06-08T00:00:00-06:00,7.1858367919921875 kW
2017-06-09T00:00:00-06:00,4.763949394226074 kW
2017-06-10T00:00:00-06:00,4.731700897216797 kW
2017-06-11T00:00:00-06:00,4.465552806854248 kW
2017-06-12T00:00:00-06:00,7.096858978271484 kW
2017-06-13T00:00:00-06:00,5.328586578369141 kW
2017-06-14T00:00:00-06:00,5.190223217010498 kW
2017-06-15T00:00:00-06:00,4.934112548828125 kW
2017-06-16T00:00:00-06:00,4.862339019775391 kW
2017-06-17T00:00:00-06:00,4.6894307136535645 kW
2017-06-18T00:00:00-06:00,4.574421405792236 kW
2017-06-19T00:00:00-06:00,4.957473278045654 kW
2017-06-20T00:00:00-06:00,5.322844505310059 kW
2017-06-21T00:00:00-06:00,5.276927947998047 kW
2017-06-22T00:00:00-06:00,5.495031356811523 kW
2017-06-23T00:00:00-06:00,5.44476318359375 kW
2017-06-24T00:00:00-06:00,4.6436357498168945 kW
2017-06-25T00:00:00-06:00,4.455467224121094 kW
2017-06-26T00:00:00-06:00,5.311356544494629 kW
2017-06-27T00:00:00-06:00,5.355420112609863 kW
2017-06-28T00:00:00-06:00,6.760280132293701 kW
2017-06-29T00:00:00-06:00,5.552640438079834 kW
2017-06-30T00:00:00-06:00,6.455378532409668 kW
2017-07-01T00:00:00-06:00,6.246702671051025 kW
2017-07-02T00:00:00-06:00,4.456440448760986 kW
2017-07-03T00:00:00-06:00,6.76451301574707 kW
2017-07-04T00:00:00-06:00,3.5253071784973145 kW
2017-07-05T00:00:00-06:00,6.749118328094482 kW
2017-07-06T00:00:00-06:00,5.944622993469238 kW
2017-07-07T00:00:00-06:00,7.046941757202148 kW
2017-07-08T00:00:00-06:00,4.621681213378906 kW
2017-07-09T00:00:00-06:00,4.660523414611816 kW
2017-07-10T00:00:00-06:00,6.950418472290039 kW
2017-07-11T00:00:00-06:00,5.2684149742126465 kW
2017-07-12T00:00:00-06:00,6.341428279876709 kW
2017-07-13T00:00:00-06:00,6.9279069900512695 kW
2017-07-14T00:00:00-06:00,6.704904556274414 kW
2017-07-15T00:00:00-06:00,6.672929286956787 kW
2017-07-16T00:00:00-06:00,6.37531042098999 kW
2017-07-17T00:00:00-06:00,6.881224155426025 kW
2017-07-18T00:00:00-06:00,5.04591703414917 kW
2017-07-19T00:00:00-06:00,6.511229991912842 kW
2017-07-20T00:00:00-06:00,6.585867881774902 kW
2017-07-21T00:00:00-06:00,5.208067417144775 kW
2017-07-22T00:00:00-06:00,4.8091278076171875 kW
2017-07-23T00:00:00-06:00,4.3791184425354 kW
2017-07-24T00:00:00-06:00,3.2992136478424072 kW
2017-07-25T00:00:00-06:00,6.377543926239014 kW
2017-07-26T00:00:00-06:00,7.4045515060424805 kW
2017-07-27T00:00:00-06:00,5.118711948394775 kW
2017-07-28T00:00:00-06:00,5.239290237426758 kW
2017-07-29T00:00:00-06:00,6.460745811462402 kW
2017-07-30T00:00:00-06:00,4.591522693634033 kW
2017-07-31T00:00:00-06:00,6.853195667266846 kW
2017-08-01T00:00:00-06:00,6.47591495513916 kW
2017-08-02T00:00:00-06:00,4.872272491455078 kW
2017-08-03T00:00:00-06:00,5.406587600708008 kW
2017-08-04T00:00:00-06:00,6.228780269622803 kW
2017-08-05T00:00:00-06:00,4.837296485900879 kW
2017-08-06T00:00:00-06:00,4.51524543762207 kW
2017-08-07T00:00:00-06:00,5.089437961578369 kW
2017-08-08T00:00:00-06:00,5.649587631225586 kW
2017-08-09T00:00:00-06:00,6.513288497924805 kW
2017-08-10T00:00:00-06:00,6.495787620544434 kW
2017-08-11T00:00:00-06:00,4.863025188446045 kW
2017-08-12T00:00:00-06:00,4.735365867614746 kW
2017-08-13T00:00:00-06:00,4.868252277374268 kW
2017-08-14T00:00:00-06:00,5.156679153442383 kW
2017-08-15T00:00:00-06:00,5.04541015625 kW
2017-08-16T00:00:00-06:00,5.124127388000488 kW
2017-08-17T00:00:00-06:00,6.077219009399414 kW
2017-08-18T00:00:00-06:00,6.624608993530273 kW
2017-08-19T00:00:00-06:00,6.885674476623535 kW
2017-08-20T00:00:00-06:00,6.3109331130981445 kW
2017-08-21T00:00:00-06:00,6.619135856628418 kW
2017-08-22T00:00:00-06:00,5.4017181396484375 kW
2017-08-23T00:00:00-06:00,6.714375019073486 kW
2017-08-24T00:00:00-06:00,6.944159984588623 kW
2017-08-25T00:00:00-06:00,7.164387226104736 kW
2017-08-26T00:00:00-06:00,4.930505752563477 kW
2017-08-27T00:00:00-06:00,4.600574970245361 kW
2017-08-28T00:00:00-06:00,7.653847694396973 kW
2017-08-29T00:00:00-06:00,7.55047082901001 kW
2017-08-30T00:00:00-06:00,6.912920951843262 kW
2017-08-31T00:00:00-06:00,6.7108378410339355 kW
2017-09-01T00:00:00-06:00,5.220793724060059 kW
2017-09-02T00:00:00-06:00,5.201566696166992 kW
2017-09-03T00:00:00-06:00,4.619871616363525 kW
2017-09-04T00:00:00-06:00,4.564427375793457 kW
2017-09-05T00:00:00-06:00,6.580028533935547 kW
2017-09-06T00:00:00-06:00,5.3809099197387695 kW
2017-09-07T00:00:00-06:00,5.446882247924805 kW
2017-09-08T00:00:00-06:00,5.219488143920898 kW
2017-09-09T00:00:00-06:00,6.701268672943115 kW
2017-09-10T00:00:00-06:00,4.6606035232543945 kW
2017-09-11T00:00:00-06:00,5.66062068939209 kW
2017-09-12T00:00:00-06:00,7.452906131744385 kW
2017-09-13T00:00:00-06:00,5.230306148529053 kW
2017-09-14T00:00:00-06:00,7.175362586975098 kW
2017-09-15T00:00:00-06:00,5.507138252258301 kW
2017-09-16T00:00:00-06:00,4.568496227264404 kW
2017-09-17T00:00:00-06:00,4.804980754852295 kW
2017-09-18T00:00:00-06:00,6.634923934936523 kW
2017-09-19T00:00:00-06:00,5.314011573791504 kW
2017-09-20T00:00:00-06:00,6.763394355773926 kW
2017-09-21T00:00:00-06:00,7.141191482543945 kW
2017-09-22T00:00:00-06:00,6.769332408905029 kW
2017-09-23T00:00:00-06:00,6.550778388977051 kW
2017-09-24T00:00:00-06:00,7.045492649078369 kW
2017-09-25T00:00:00-06:00,7.025524139404297 kW
2017-09-26T00:00:00-06:00,6.779658794403076 kW
2017-09-27T00:00:00-06:00,5.201717853546143 kW
2017-09-28T00:00:00-06:00,5.301942825317383 kW
2017-09-29T00:00:00-06:00,5.251980781555176 kW
2017-09-30T00:00:00-06:00,6.340989589691162 kW
2017-10-01T00:00:00-06:00,4.919346332550049 kW
2017-10-02T00:00:00-06:00,5.321806907653809 kW
2017-10-03T00:00:00-06:00,5.497079849243164 kW
2017-10-04T00:00:00-06:00,5.5648322105407715 kW
2017-10-05T00:00:00-06:00,7.034388542175293 kW
2017-10-06T00:00:00-06:00,6.653083801269531 kW
2017-10-07T00:00:00-06:00,6.707399368286133 kW
2017-10-08T00:00:00-06:00,4.660455226898193 kW
2017-10-09T00:00:00-06:00,7.02293586730957 kW
2017-10-10T00:00:00-06:00,6.921950340270996 kW
2017-10-11T00:00:00-06:00,6.059749126434326 kW
2017-10-12T00:00:00-06:00,7.086737632751465 kW
2017-10-13T00:00:00-06:00,7.087292194366455 kW
2017-10-14T00:00:00-06:00,4.675621509552002 kW
2017-10-15T00:00:00-06:00,6.781414985656738 kW
2017-10-16T00:00:00-06:00,7.475664138793945 kW
2017-10-17T00:00:00-06:00,7.280877113342285 kW
2017-10-18T00:00:00-06:00,6.485526084899902 kW
2017-10-19T00:00:00-06:00,7.541383743286133 kW
2017-10-20T00:00:00-06:00,7.052878379821777 kW
2017-10-21T00:00:00-06:00,4.560654163360596 kW
2017-10-22T00:00:00-06:00,6.862693786621094 kW
2017-10-23T00:00:00-06:00,7.303089618682861 kW
2017-10-24T00:00:00-06:00,7.503222942352295 kW
2017-10-25T00:00:00-06:00,5.511979103088379 kW
2017-10-26T00:00:00-06:00,7.452972412109375 kW
2017-10-27T00:00:00-06:00,5.39477014541626 kW
2017-10-28T00:00:00-06:00,4.943284034729004 kW
2017-10-29T00:00:00-06:00,6.79512882232666 kW
2017-10-30T00:00:00-06:00,5.344836235046387 kW
2017-10-31T00:00:00-06:00,6.913419723510742 kW
2017-11-01T00:00:00-06:00,5.473393440246582 kW
2017-11-02T00:00:00-06:00,7.507871150970459 kW
2017-11-03T00:00:00-06:00,7.036226272583008 kW
2017-11-04T00:00:00-06:00,7.209893703460693 kW
2017-11-05T00:00:00-06:00,6.5756025314331055 kW
2017-11-06T00:00:00-07:00,7.5021748542785645 kW
2017-11-07T00:00:00-07:00,7.830428123474121 kW
2017-11-08T00:00:00-07:00,7.4806318283081055 kW
2017-11-09T00:00:00-07:00,6.731714725494385 kW
2017-11-10T00:00:00-07:00,5.787653923034668 kW
2017-11-11T00:00:00-07:00,5.039736270904541 kW
2017-11-12T00:00:00-07:00,4.999471664428711 kW
2017-11-13T00:00:00-07:00,6.373270034790039 kW
2017-11-14T00:00:00-07:00,7.0148701667785645 kW
2017-11-15T00:00:00-07:00,7.3311920166015625 kW
2017-11-16T00:00:00-07:00,8.093371391296387 kW
2017-11-17T00:00:00-07:00,5.796902656555176 kW
2017-11-18T00:00:00-07:00,4.780627727508545 kW
2017-11-19T00:00:00-07:00,5.046330451965332 kW
2017-11-20T00:00:00-07:00,5.69719934463501 kW
2017-11-21T00:00:00-07:00,5.437086582183838 kW
2017-11-22T00:00:00-07:00,5.276275157928467 kW
2017-11-23T00:00:00-07:00,0.9788270592689514 kW
2017-11-24T00:00:00-07:00,0.9640790224075317 kW
2017-11-25T00:00:00-07:00,4.991777420043945 kW
2017-11-26T00:00:00-07:00,4.968663215637207 kW
2017-11-27T00:00:00-07:00,5.835607528686523 kW
2017-11-28T00:00:00-07:00,5.415268898010254 kW
2017-11-29T00:00:00-07:00,5.634832859039307 kW
2017-11-30T00:00:00-07:00,5.797059059143066 kW
2017-12-01T00:00:00-07:00,5.275147438049316 kW
2017-12-02T00:00:00-07:00,6.859030246734619 kW
2017-12-03T00:00:00-07:00,7.042081832885742 kW
2017-12-04T00:00:00-07:00,7.021790981292725 kW
2017-12-05T00:00:00-07:00,5.721811771392822 kW
2017-12-06T00:00:00-07:00,5.542209148406982 kW
2017-12-07T00:00:00-07:00,6.668578147888184 kW
2017-12-08T00:00:00-07:00,7.381633758544922 kW
2017-12-09T00:00:00-07:00,5.36996603012085 kW
2017-12-10T00:00:00-07:00,6.556511878967285 kW
2017-12-11T00:00:00-07:00,7.094308376312256 kW
2017-12-12T00:00:00-07:00,7.2630205154418945 kW
2017-12-13T00:00:00-07:00,6.69398307800293 kW
2017-12-14T00:00:00-07:00,6.806379318237305 kW
2017-12-15T00:00:00-07:00,6.864599704742432 kW
2017-12-16T00:00:00-07:00,4.946901798248291 kW
2017-12-17T00:00:00-07:00,4.9346747398376465 kW
2017-12-18T00:00:00-07:00,6.780750274658203 kW
2017-12-19T00:00:00-07:00,6.814067363739014 kW
2017-12-20T00:00:00-07:00,6.224529266357422 kW
2017-12-21T00:00:00-07:00,5.029454231262207 kW
2017-12-22T00:00:00-07:00,6.262541770935059 kW
2017-12-23T00:00:00-07:00,4.878109931945801 kW
2017-12-24T00:00:00-07:00,3.2207090854644775 kW
2017-12-25T00:00:00-07:00,3.1291871070861816 kW
