Timestamp,['1e8432c6-134002a1 0110-ECCLES STUDENT LIFE CNTR Power Meter (HLM2) Energy delivered']
2017-01-01T00:00:00-07:00,297.4375 kWh
2017-01-02T00:00:00-07:00,300.375 kWh
2017-01-03T00:00:00-07:00,307.3125 kWh
2017-01-04T00:00:00-07:00,313.78125 kWh
2017-01-05T00:00:00-07:00,314.5 kWh
2017-01-06T00:00:00-07:00,314.25 kWh
2017-01-07T00:00:00-07:00,320.8125 kWh
2017-01-08T00:00:00-07:00,326.15625 kWh
2017-01-09T00:00:00-07:00,330.9375 kWh
2017-01-10T00:00:00-07:00,324.125 kWh
2017-01-11T00:00:00-07:00,326.5625 kWh
2017-01-12T00:00:00-07:00,323 kWh
2017-01-13T00:00:00-07:00,324.25 kWh
2017-01-14T00:00:00-07:00,316.8125 kWh
2017-01-15T00:00:00-07:00,313.25 kWh
2017-01-16T00:00:00-07:00,319.40625 kWh
2017-01-17T00:00:00-07:00,336.875 kWh
2017-01-18T00:00:00-07:00,327.84375 kWh
2017-01-19T00:00:00-07:00,322.1875 kWh
2017-01-20T00:00:00-07:00,319.0625 kWh
2017-01-21T00:00:00-07:00,322.9375 kWh
2017-01-22T00:00:00-07:00,320.4375 kWh
2017-01-23T00:00:00-07:00,331.34375 kWh
2017-01-24T00:00:00-07:00,314.1875 kWh
2017-01-25T00:00:00-07:00,319.3125 kWh
2017-01-26T00:00:00-07:00,326.34375 kWh
2017-01-27T00:00:00-07:00,325.0625 kWh
2017-01-28T00:00:00-07:00,310.65625 kWh
2017-01-29T00:00:00-07:00,303.71875 kWh
2017-01-30T00:00:00-07:00,317.03125 kWh
2017-01-31T00:00:00-07:00,324.21875 kWh
2017-02-01T00:00:00-07:00,330.71875 kWh
2017-02-02T00:00:00-07:00,326.78125 kWh
2017-02-03T00:00:00-07:00,1605.34375 kWh
2017-02-07T00:00:00-07:00,194.84375 kWh
2017-02-08T00:00:00-07:00,378.09375 kWh
2017-02-09T00:00:00-07:00,413.375 kWh
2017-02-10T00:00:00-07:00,394.53125 kWh
2017-02-11T00:00:00-07:00,377.21875 kWh
2017-02-12T00:00:00-07:00,366.21875 kWh
2017-02-13T00:00:00-07:00,349.84375 kWh
2017-02-14T00:00:00-07:00,337.53125 kWh
2017-02-15T00:00:00-07:00,358.5 kWh
2017-02-16T00:00:00-07:00,382.0625 kWh
2017-02-17T00:00:00-07:00,379.71875 kWh
2017-02-18T00:00:00-07:00,388.71875 kWh
2017-02-19T00:00:00-07:00,386.65625 kWh
2017-02-20T00:00:00-07:00,365.71875 kWh
2017-02-21T00:00:00-07:00,381.46875 kWh
2017-02-22T00:00:00-07:00,353.90625 kWh
2017-02-23T00:00:00-07:00,325.875 kWh
2017-02-24T00:00:00-07:00,343.46875 kWh
2017-02-25T00:00:00-07:00,330.96875 kWh
2017-02-26T00:00:00-07:00,334.15625 kWh
2017-02-27T00:00:00-07:00,327.84375 kWh
2017-02-28T00:00:00-07:00,335.375 kWh
2017-03-01T00:00:00-07:00,339.25 kWh
2017-03-02T00:00:00-07:00,344.4375 kWh
2017-03-03T00:00:00-07:00,368.8125 kWh
2017-03-04T00:00:00-07:00,374.5625 kWh
2017-03-05T00:00:00-07:00,356.40625 kWh
2017-03-06T00:00:00-07:00,317.4375 kWh
2017-03-07T00:00:00-07:00,334.46875 kWh
2017-03-08T00:00:00-07:00,400.5 kWh
2017-03-09T00:00:00-07:00,394.71875 kWh
2017-03-10T00:00:00-07:00,396.53125 kWh
2017-03-11T00:00:00-07:00,398.78125 kWh
2017-03-12T00:00:00-07:00,375.9375 kWh
2017-03-13T00:00:00-06:00,395 kWh
2017-03-14T00:00:00-06:00,413.53125 kWh
2017-03-15T00:00:00-06:00,418.125 kWh
2017-03-16T00:00:00-06:00,421.96875 kWh
2017-03-17T00:00:00-06:00,411.875 kWh
2017-03-18T00:00:00-06:00,423.53125 kWh
2017-03-19T00:00:00-06:00,430.125 kWh
2017-03-20T00:00:00-06:00,429.34375 kWh
2017-03-21T00:00:00-06:00,432.65625 kWh
2017-03-22T00:00:00-06:00,420.03125 kWh
2017-03-23T00:00:00-06:00,364.15625 kWh
2017-03-24T00:00:00-06:00,397.71875 kWh
2017-03-25T00:00:00-06:00,383 kWh
2017-03-26T00:00:00-06:00,390.90625 kWh
2017-03-27T00:00:00-06:00,370.3125 kWh
2017-03-28T00:00:00-06:00,363.25 kWh
2017-03-29T00:00:00-06:00,568.53125 kWh
2017-03-30T00:00:00-06:00,167.84375 kWh
2017-03-31T00:00:00-06:00,367.9375 kWh
2017-04-01T00:00:00-06:00,381.5625 kWh
2017-04-02T00:00:00-06:00,383.0625 kWh
2017-04-03T00:00:00-06:00,349.625 kWh
2017-04-04T00:00:00-06:00,355.5625 kWh
2017-04-05T00:00:00-06:00,367.125 kWh
2017-04-06T00:00:00-06:00,399.4375 kWh
2017-04-07T00:00:00-06:00,404.5625 kWh
2017-04-08T00:00:00-06:00,371.34375 kWh
2017-04-09T00:00:00-06:00,326.71875 kWh
2017-04-10T00:00:00-06:00,358.375 kWh
2017-04-11T00:00:00-06:00,388.625 kWh
2017-04-12T00:00:00-06:00,404.9375 kWh
2017-04-13T00:00:00-06:00,425 kWh
2017-04-14T00:00:00-06:00,382.4375 kWh
2017-04-15T00:00:00-06:00,376.125 kWh
2017-04-16T00:00:00-06:00,403.375 kWh
2017-04-17T00:00:00-06:00,410.625 kWh
2017-04-18T00:00:00-06:00,394.125 kWh
2017-04-19T00:00:00-06:00,383.40625 kWh
2017-04-20T00:00:00-06:00,391.21875 kWh
2017-04-21T00:00:00-06:00,364.03125 kWh
2017-04-22T00:00:00-06:00,392.03125 kWh
2017-04-23T00:00:00-06:00,409.625 kWh
2017-04-24T00:00:00-06:00,395.75 kWh
2017-04-25T00:00:00-06:00,361.65625 kWh
2017-04-26T00:00:00-06:00,389.71875 kWh
2017-04-27T00:00:00-06:00,371 kWh
2017-04-28T00:00:00-06:00,353.65625 kWh
2017-04-29T00:00:00-06:00,379.625 kWh
2017-04-30T00:00:00-06:00,389.5 kWh
2017-05-01T00:00:00-06:00,400.75 kWh
2017-05-02T00:00:00-06:00,405.21875 kWh
2017-05-03T00:00:00-06:00,413.375 kWh
2017-05-04T00:00:00-06:00,416.78125 kWh
2017-05-05T00:00:00-06:00,431.46875 kWh
2017-05-06T00:00:00-06:00,470.375 kWh
2017-05-07T00:00:00-06:00,450.46875 kWh
2017-05-08T00:00:00-06:00,414.25 kWh
2017-05-09T00:00:00-06:00,408.53125 kWh
2017-05-10T00:00:00-06:00,407.21875 kWh
2017-05-11T00:00:00-06:00,407.6875 kWh
2017-05-12T00:00:00-06:00,411.3125 kWh
2017-05-13T00:00:00-06:00,382.59375 kWh
2017-05-14T00:00:00-06:00,390.84375 kWh
2017-05-15T00:00:00-06:00,388.40625 kWh
2017-05-16T00:00:00-06:00,379.5625 kWh
2017-05-17T00:00:00-06:00,349.25 kWh
2017-05-18T00:00:00-06:00,352.53125 kWh
2017-05-19T00:00:00-06:00,373.65625 kWh
2017-05-20T00:00:00-06:00,387.28125 kWh
2017-05-21T00:00:00-06:00,389.34375 kWh
2017-05-22T00:00:00-06:00,400.25 kWh
2017-05-23T00:00:00-06:00,400.6875 kWh
2017-05-24T00:00:00-06:00,396.625 kWh
2017-05-25T00:00:00-06:00,380.125 kWh
2017-05-26T00:00:00-06:00,374.28125 kWh
2017-05-27T00:00:00-06:00,378.125 kWh
2017-05-28T00:00:00-06:00,378 kWh
2017-05-29T00:00:00-06:00,388.40625 kWh
2017-05-30T00:00:00-06:00,397.625 kWh
2017-05-31T00:00:00-06:00,400.1875 kWh
2017-06-01T00:00:00-06:00,392.75 kWh
2017-06-02T00:00:00-06:00,377.90625 kWh
2017-06-03T00:00:00-06:00,402.59375 kWh
2017-06-04T00:00:00-06:00,400.5 kWh
2017-06-05T00:00:00-06:00,390.90625 kWh
2017-06-06T00:00:00-06:00,401.90625 kWh
2017-06-07T00:00:00-06:00,403.6875 kWh
2017-06-08T00:00:00-06:00,420.625 kWh
2017-06-09T00:00:00-06:00,421.875 kWh
2017-06-10T00:00:00-06:00,371.0625 kWh
