Timestamp,['1eb29c53-e154835c 0063-WARNOCK ENGR BLDG (L) Power Meter 300145 Current A']
2017-01-01T00:00:00-07:00,233.4803605079651 A
2017-01-02T00:00:00-07:00,235.5617740948995 A
2017-01-03T00:00:00-07:00,234.38988240559897 A
2017-01-04T00:00:00-07:00,238.17498318354288 A
2017-01-05T00:00:00-07:00,247.52432107925415 A
2017-01-06T00:00:00-07:00,248.86182562510172 A
2017-01-07T00:00:00-07:00,239.2276110649109 A
2017-01-08T00:00:00-07:00,237.838028271993 A
2017-01-09T00:00:00-07:00,244.91892528533936 A
2017-01-10T00:00:00-07:00,244.7098642985026 A
2017-01-11T00:00:00-07:00,251.7289958000183 A
2017-01-12T00:00:00-07:00,252.78238932291666 A
2017-01-13T00:00:00-07:00,252.17897653579712 A
2017-01-14T00:00:00-07:00,243.34027592341104 A
2017-01-15T00:00:00-07:00,243.69061787923178 A
2017-01-16T00:00:00-07:00,243.74022483825684 A
2017-01-17T00:00:00-07:00,250.0080304145813 A
2017-01-18T00:00:00-07:00,251.3050909496489 A
2017-01-19T00:00:00-07:00,248.45177268981934 A
2017-01-20T00:00:00-07:00,243.30477571487427 A
2017-01-21T00:00:00-07:00,229.04195833206177 A
2017-01-22T00:00:00-07:00,224.9897869427999 A
2017-01-23T00:00:00-07:00,244.16213687260947 A
2017-01-24T00:00:00-07:00,248.89809560775757 A
2017-01-25T00:00:00-07:00,252.4124754269918 A
2017-01-26T00:00:00-07:00,255.01982847849527 A
2017-01-27T00:00:00-07:00,250.56435998280844 A
2017-01-28T00:00:00-07:00,240.94902737935385 A
2017-01-29T00:00:00-07:00,236.53534650802612 A
2017-01-30T00:00:00-07:00,253.7713885307312 A
2017-01-31T00:00:00-07:00,253.9210705757141 A
2017-02-01T00:00:00-07:00,252.73244667053223 A
2017-02-02T00:00:00-07:00,253.0098320643107 A
2017-02-03T00:00:00-07:00,252.71581307104077 A
2017-02-07T00:00:00-07:00,243.0141264717534 A
2017-02-08T00:00:00-07:00,235.8661872200344 A
2017-02-09T00:00:00-07:00,219.85497013727823 A
2017-02-10T00:00:00-07:00,225.05479780832925 A
2017-02-11T00:00:00-07:00,232.14555962880453 A
2017-02-12T00:00:00-07:00,218.76864083607992 A
2017-02-13T00:00:00-07:00,247.36204751332602 A
2017-02-14T00:00:00-07:00,250.77634843190512 A
2017-02-15T00:00:00-07:00,254.25493701299033 A
2017-02-16T00:00:00-07:00,244.13319778442383 A
2017-02-17T00:00:00-07:00,248.38474941253662 A
2017-02-18T00:00:00-07:00,242.17681376139322 A
2017-02-19T00:00:00-07:00,239.33123350143433 A
2017-02-20T00:00:00-07:00,231.64505815505981 A
2017-02-21T00:00:00-07:00,238.78855005900064 A
2017-02-22T00:00:00-07:00,251.9746216138204 A
2017-02-23T00:00:00-07:00,251.29028383890787 A
2017-02-24T00:00:00-07:00,247.04106680954558 A
2017-02-25T00:00:00-07:00,242.32230218251547 A
2017-02-26T00:00:00-07:00,235.58608865737915 A
2017-02-27T00:00:00-07:00,251.19849332173666 A
2017-02-28T00:00:00-07:00,248.7427864074707 A
2017-03-01T00:00:00-07:00,249.67262617746988 A
2017-03-02T00:00:00-07:00,253.70472542444864 A
2017-03-03T00:00:00-07:00,246.65187772115073 A
2017-03-04T00:00:00-07:00,223.19584051767984 A
2017-03-05T00:00:00-07:00,211.49769353866577 A
2017-03-06T00:00:00-07:00,239.79324785868326 A
2017-03-07T00:00:00-07:00,251.37718407313028 A
2017-03-08T00:00:00-07:00,244.24479834238687 A
2017-03-09T00:00:00-07:00,240.65234772364298 A
2017-03-10T00:00:00-07:00,232.0062402089437 A
2017-03-11T00:00:00-07:00,230.161234219869 A
2017-03-12T00:00:00-07:00,221.9439861463464 A
2017-03-13T00:00:00-06:00,225.05839840571085 A
2017-03-14T00:00:00-06:00,220.8425472577413 A
2017-03-15T00:00:00-06:00,217.73045571645102 A
2017-03-16T00:00:00-06:00,207.16944885253906 A
2017-03-17T00:00:00-06:00,213.56486241022745 A
2017-03-18T00:00:00-06:00,189.54457060496011 A
2017-03-19T00:00:00-06:00,190.03005981445312 A
2017-03-20T00:00:00-06:00,220.2522964477539 A
2017-03-21T00:00:00-06:00,211.833136399587 A
2017-03-22T00:00:00-06:00,212.63202730814615 A
2017-03-23T00:00:00-06:00,244.68002780278525 A
2017-03-24T00:00:00-06:00,240.4661693572998 A
2017-03-25T00:00:00-06:00,239.77548694610596 A
2017-03-26T00:00:00-06:00,237.60816780726114 A
2017-03-27T00:00:00-06:00,251.06496890385947 A
2017-03-28T00:00:00-06:00,251.23654715220133 A
2017-03-29T00:00:00-06:00,252.42890379163953 A
2017-03-30T00:00:00-06:00,214.74939473470053 A
2017-03-31T00:00:00-06:00,225.7468662261963 A
2017-04-01T00:00:00-06:00,200.73138173421225 A
2017-04-02T00:00:00-06:00,205.14735862330386 A
2017-04-03T00:00:00-06:00,230.08484411239624 A
2017-04-04T00:00:00-06:00,241.84679539998373 A
2017-04-05T00:00:00-06:00,232.10573069254556 A
2017-04-06T00:00:00-06:00,204.8198095957438 A
2017-04-07T00:00:00-06:00,196.456818262736 A
2017-04-08T00:00:00-06:00,197.70214207967123 A
2017-04-09T00:00:00-06:00,205.63675769170126 A
2017-04-10T00:00:00-06:00,212.14918597539267 A
2017-04-11T00:00:00-06:00,204.0519812901815 A
2017-04-12T00:00:00-06:00,200.55080445607504 A
2017-04-13T00:00:00-06:00,201.34804821014404 A
2017-04-14T00:00:00-06:00,210.04260683059692 A
2017-04-15T00:00:00-06:00,205.19124015172324 A
2017-04-16T00:00:00-06:00,195.99826288223267 A
2017-04-17T00:00:00-06:00,205.67814429601034 A
2017-04-18T00:00:00-06:00,201.89622370402017 A
2017-04-19T00:00:00-06:00,217.54563252131143 A
2017-04-20T00:00:00-06:00,203.47480169932047 A
2017-04-21T00:00:00-06:00,221.53840335210165 A
2017-04-22T00:00:00-06:00,196.80223115285239 A
2017-04-23T00:00:00-06:00,187.62718232472739 A
2017-04-24T00:00:00-06:00,213.89120642344156 A
2017-04-25T00:00:00-06:00,230.42051458358765 A
2017-04-26T00:00:00-06:00,220.30122804641724 A
2017-04-27T00:00:00-06:00,231.15638224283853 A
2017-04-28T00:00:00-06:00,226.722353776296 A
2017-04-29T00:00:00-06:00,207.40479834874472 A
2017-04-30T00:00:00-06:00,200.85593016942343 A
2017-05-01T00:00:00-06:00,218.76439952850342 A
2017-05-02T00:00:00-06:00,217.31693029403687 A
2017-05-03T00:00:00-06:00,213.21994256973267 A
2017-05-04T00:00:00-06:00,215.95131587982178 A
2017-05-05T00:00:00-06:00,219.18526442845663 A
2017-05-06T00:00:00-06:00,218.08126624425253 A
2017-05-07T00:00:00-06:00,211.2714778582255 A
2017-05-08T00:00:00-06:00,207.51568174362183 A
2017-05-09T00:00:00-06:00,203.2073834737142 A
2017-05-10T00:00:00-06:00,199.17819611231485 A
2017-05-11T00:00:00-06:00,197.11930100123087 A
2017-05-12T00:00:00-06:00,203.68206310272217 A
2017-05-13T00:00:00-06:00,198.8591101964315 A
2017-05-14T00:00:00-06:00,205.53108072280884 A
2017-05-15T00:00:00-06:00,201.54240942001343 A
2017-05-16T00:00:00-06:00,215.1475682258606 A
2017-05-17T00:00:00-06:00,222.63831853866577 A
2017-05-18T00:00:00-06:00,222.0708163579305 A
2017-05-19T00:00:00-06:00,213.69405794143677 A
2017-05-20T00:00:00-06:00,198.382182598114 A
2017-05-21T00:00:00-06:00,198.3566403388977 A
2017-05-22T00:00:00-06:00,207.7391832669576 A
2017-05-23T00:00:00-06:00,213.81675227483115 A
2017-05-24T00:00:00-06:00,204.61663341522217 A
2017-05-25T00:00:00-06:00,201.18101119995117 A
2017-05-26T00:00:00-06:00,188.58587503433228 A
2017-05-27T00:00:00-06:00,172.3150340716044 A
2017-05-28T00:00:00-06:00,175.86190137361226 A
2017-05-29T00:00:00-06:00,175.8397739728292 A
2017-05-30T00:00:00-06:00,200.75803915659586 A
2017-05-31T00:00:00-06:00,198.62132755915323 A
2017-06-01T00:00:00-06:00,201.96044222513834 A
2017-06-02T00:00:00-06:00,195.10350767771402 A
2017-06-03T00:00:00-06:00,184.60756905873617 A
2017-06-04T00:00:00-06:00,180.02900552749634 A
2017-06-05T00:00:00-06:00,191.97907257080078 A
2017-06-06T00:00:00-06:00,198.70923566818237 A
2017-06-07T00:00:00-06:00,198.35253731409708 A
2017-06-08T00:00:00-06:00,192.35136953989664 A
2017-06-09T00:00:00-06:00,188.83636458714804 A
2017-06-10T00:00:00-06:00,186.03608719675165 A
2017-06-11T00:00:00-06:00,181.07253424326578 A
2017-06-12T00:00:00-06:00,193.64077059427896 A
2017-06-13T00:00:00-06:00,197.0777465502421 A
2017-06-14T00:00:00-06:00,194.21380631128946 A
2017-06-15T00:00:00-06:00,200.32475550969443 A
2017-06-16T00:00:00-06:00,196.31015141805014 A
2017-06-17T00:00:00-06:00,190.50120496749878 A
2017-06-18T00:00:00-06:00,184.56430610020956 A
2017-06-19T00:00:00-06:00,198.0279246966044 A
2017-06-20T00:00:00-06:00,197.07940292358398 A
2017-06-21T00:00:00-06:00,196.78088982899985 A
2017-06-22T00:00:00-06:00,196.74559036890665 A
2017-06-23T00:00:00-06:00,191.94552993774414 A
2017-06-24T00:00:00-06:00,180.00633335113525 A
2017-06-25T00:00:00-06:00,179.1277092297872 A
2017-06-26T00:00:00-06:00,197.1306570370992 A
2017-06-27T00:00:00-06:00,195.22444423039755 A
2017-06-28T00:00:00-06:00,195.0738418896993 A
2017-06-29T00:00:00-06:00,197.70816659927368 A
2017-06-30T00:00:00-06:00,196.85213820139566 A
2017-07-01T00:00:00-06:00,190.89401261011758 A
2017-07-02T00:00:00-06:00,188.7728190422058 A
2017-07-03T00:00:00-06:00,193.39444971084595 A
2017-07-04T00:00:00-06:00,191.85236819585165 A
2017-07-05T00:00:00-06:00,198.63581132888794 A
2017-07-06T00:00:00-06:00,204.54422426223755 A
