Timestamp,['1eb2a057-f5b827a5 0074-BUSINESS CLASSROOM BLDG Power Meter (480V) Current A']
2017-01-01T00:00:00-07:00,86.54527099927266 A
2017-01-02T00:00:00-07:00,86.79904286066692 A
2017-01-03T00:00:00-07:00,88.10327116648357 A
2017-01-04T00:00:00-07:00,87.93732031186421 A
2017-01-05T00:00:00-07:00,97.22710871696472 A
2017-01-06T00:00:00-07:00,96.43794806798299 A
2017-01-07T00:00:00-07:00,96.5249498685201 A
2017-01-08T00:00:00-07:00,88.65387312571208 A
2017-01-09T00:00:00-07:00,96.04767751693726 A
2017-01-10T00:00:00-07:00,94.7225649356842 A
2017-01-11T00:00:00-07:00,98.0388232866923 A
2017-01-12T00:00:00-07:00,96.80405735969543 A
2017-01-13T00:00:00-07:00,89.91384959220886 A
2017-01-14T00:00:00-07:00,88.14117058118184 A
2017-01-15T00:00:00-07:00,89.13126691182454 A
2017-01-16T00:00:00-07:00,88.28384351730347 A
2017-01-17T00:00:00-07:00,100.6582407951355 A
2017-01-18T00:00:00-07:00,100.06203092687271 A
2017-01-19T00:00:00-07:00,100.37634285291035 A
2017-01-20T00:00:00-07:00,90.72907972335815 A
2017-01-21T00:00:00-07:00,87.68210959434509 A
2017-01-22T00:00:00-07:00,88.12639172871907 A
2017-01-23T00:00:00-07:00,96.78165666262309 A
2017-01-24T00:00:00-07:00,100.47062214215596 A
2017-01-25T00:00:00-07:00,100.89733044306438 A
2017-01-26T00:00:00-07:00,101.38489127159119 A
2017-01-27T00:00:00-07:00,95.90971732139587 A
2017-01-28T00:00:00-07:00,93.14892355600993 A
2017-01-29T00:00:00-07:00,93.07790168126424 A
2017-01-30T00:00:00-07:00,102.00817799568176 A
2017-01-31T00:00:00-07:00,101.24826848506927 A
2017-02-01T00:00:00-07:00,100.27955603599548 A
2017-02-02T00:00:00-07:00,98.86886779467265 A
2017-02-03T00:00:00-07:00,92.33102067850403 A
2017-02-07T00:00:00-07:00,107.85866689682007 A
2017-02-08T00:00:00-07:00,99.57779931509367 A
2017-02-09T00:00:00-07:00,99.5225555896759 A
2017-02-10T00:00:00-07:00,90.76363213857015 A
2017-02-11T00:00:00-07:00,91.22550344467163 A
2017-02-12T00:00:00-07:00,90.59863130251567 A
2017-02-13T00:00:00-07:00,98.43121846516927 A
2017-02-14T00:00:00-07:00,99.74805363019307 A
2017-02-15T00:00:00-07:00,101.36567115783691 A
2017-02-16T00:00:00-07:00,100.39890631039937 A
2017-02-17T00:00:00-07:00,93.88052773475647 A
2017-02-18T00:00:00-07:00,91.11802419026692 A
2017-02-19T00:00:00-07:00,87.92273052533467 A
2017-02-20T00:00:00-07:00,88.52651977539062 A
2017-02-21T00:00:00-07:00,98.449196656545 A
2017-02-22T00:00:00-07:00,100.72310932477315 A
2017-02-23T00:00:00-07:00,99.18990310033162 A
2017-02-24T00:00:00-07:00,90.37953224665002 A
2017-02-25T00:00:00-07:00,90.28496217727661 A
2017-02-26T00:00:00-07:00,88.85624607404073 A
2017-02-27T00:00:00-07:00,97.63283769289653 A
2017-02-28T00:00:00-07:00,100.74444119135539 A
2017-03-01T00:00:00-07:00,102.28682390848796 A
2017-03-02T00:00:00-07:00,101.28502758344014 A
2017-03-03T00:00:00-07:00,92.8330744902293 A
2017-03-04T00:00:00-07:00,90.2428191502889 A
2017-03-05T00:00:00-07:00,90.57708619770251 A
2017-03-06T00:00:00-07:00,97.50844844182332 A
2017-03-07T00:00:00-07:00,99.61975455284119 A
2017-03-08T00:00:00-07:00,100.35539174079895 A
2017-03-09T00:00:00-07:00,99.20025610923767 A
2017-03-10T00:00:00-07:00,92.26909724871318 A
2017-03-11T00:00:00-07:00,90.66187461217244 A
2017-03-12T00:00:00-07:00,91.29019372359566 A
2017-03-13T00:00:00-06:00,88.0597984790802 A
2017-03-14T00:00:00-06:00,88.52466225624084 A
