Timestamp,['1eb2a0f8-e614faf8 0074-BUSINESS CLASSROOM BLDG Power Meter (208V) Current A']
2017-01-01T00:00:00-07:00,3.7792036856214204 A
2017-01-02T00:00:00-07:00,3.789546452462673 A
2017-01-03T00:00:00-07:00,4.029843439658483 A
2017-01-04T00:00:00-07:00,3.954075408478578 A
2017-01-05T00:00:00-07:00,4.526701517403126 A
2017-01-06T00:00:00-07:00,4.436465347806613 A
2017-01-07T00:00:00-07:00,3.556066739062468 A
2017-01-08T00:00:00-07:00,3.5676329334576926 A
2017-01-09T00:00:00-07:00,4.621692727009456 A
2017-01-10T00:00:00-07:00,5.254919501642386 A
2017-01-11T00:00:00-07:00,5.304534373184045 A
2017-01-12T00:00:00-07:00,5.091434230407079 A
2017-01-13T00:00:00-07:00,5.1276551485061646 A
2017-01-14T00:00:00-07:00,3.78500526646773 A
2017-01-15T00:00:00-07:00,3.801004079480966 A
2017-01-16T00:00:00-07:00,3.8352883085608482 A
2017-01-17T00:00:00-07:00,5.092622645199299 A
2017-01-18T00:00:00-07:00,5.621841538520086 A
2017-01-19T00:00:00-07:00,6.026416728893916 A
2017-01-20T00:00:00-07:00,4.764684826135635 A
2017-01-21T00:00:00-07:00,4.39656733473142 A
2017-01-22T00:00:00-07:00,4.415925939877828 A
2017-01-23T00:00:00-07:00,5.666215707858403 A
2017-01-24T00:00:00-07:00,5.556070526440938 A
2017-01-25T00:00:00-07:00,5.3120702902476 A
2017-01-26T00:00:00-07:00,5.747908706466357 A
2017-01-27T00:00:00-07:00,5.773867284258206 A
2017-01-28T00:00:00-07:00,4.407786046465238 A
2017-01-29T00:00:00-07:00,4.390617857376735 A
2017-01-30T00:00:00-07:00,5.792796884973844 A
2017-01-31T00:00:00-07:00,5.728107611338298 A
2017-02-01T00:00:00-07:00,6.313672969738643 A
2017-02-02T00:00:00-07:00,6.093649804592133 A
2017-02-03T00:00:00-07:00,5.320765147774907 A
2017-02-07T00:00:00-07:00,6.127798781675451 A
2017-02-08T00:00:00-07:00,6.219355244106716 A
2017-02-09T00:00:00-07:00,6.237867484490077 A
2017-02-10T00:00:00-07:00,6.062144632140796 A
2017-02-11T00:00:00-07:00,4.555076157053311 A
2017-02-12T00:00:00-07:00,4.555554146567981 A
2017-02-13T00:00:00-07:00,5.917746479312579 A
2017-02-14T00:00:00-07:00,5.948705772558848 A
2017-02-15T00:00:00-07:00,5.50374773144722 A
2017-02-16T00:00:00-07:00,5.902398278315862 A
2017-02-17T00:00:00-07:00,5.811325763662656 A
2017-02-18T00:00:00-07:00,4.556676243742307 A
2017-02-19T00:00:00-07:00,4.50990995268027 A
2017-02-20T00:00:00-07:00,4.531473249197006 A
2017-02-21T00:00:00-07:00,5.377213592330615 A
2017-02-22T00:00:00-07:00,6.3764327963193255 A
2017-02-23T00:00:00-07:00,6.035456627607346 A
2017-02-24T00:00:00-07:00,5.156960318360148 A
2017-02-25T00:00:00-07:00,4.5749567200740175 A
2017-02-26T00:00:00-07:00,4.526812394460042 A
2017-02-27T00:00:00-07:00,5.94696669280529 A
2017-02-28T00:00:00-07:00,6.266436338424683 A
2017-03-01T00:00:00-07:00,6.367388308048248 A
2017-03-02T00:00:00-07:00,6.243543932835261 A
2017-03-03T00:00:00-07:00,6.292340124646823 A
2017-03-04T00:00:00-07:00,4.680632511774699 A
2017-03-05T00:00:00-07:00,4.703558837374051 A
2017-03-06T00:00:00-07:00,5.924395124117534 A
2017-03-07T00:00:00-07:00,6.193468635280927 A
2017-03-08T00:00:00-07:00,6.206137383977572 A
2017-03-09T00:00:00-07:00,5.968359808127086 A
2017-03-10T00:00:00-07:00,5.5874565442403155 A
2017-03-11T00:00:00-07:00,4.786766057213147 A
2017-03-12T00:00:00-07:00,4.700410609659941 A
2017-03-13T00:00:00-06:00,5.742653657992681 A
2017-03-14T00:00:00-06:00,6.090037286281586 A
2017-03-15T00:00:00-06:00,6.196580698092778 A
2017-03-16T00:00:00-06:00,5.665957485636075 A
2017-03-17T00:00:00-06:00,5.159818053245544 A
2017-03-18T00:00:00-06:00,4.73050278921922 A
2017-03-19T00:00:00-06:00,4.694242412845294 A
2017-03-20T00:00:00-06:00,6.635759471565165 A
2017-03-21T00:00:00-06:00,6.318943286935489 A
2017-03-22T00:00:00-06:00,6.132780800263087 A
2017-03-23T00:00:00-06:00,6.1434566875298815 A
2017-03-24T00:00:00-06:00,5.229778905709584 A
2017-03-25T00:00:00-06:00,4.825473899642627 A
2017-03-26T00:00:00-06:00,4.658647368351619 A
2017-03-27T00:00:00-06:00,5.0792533457279205 A
2017-03-28T00:00:00-06:00,5.887756958603859 A
2017-03-29T00:00:00-06:00,6.078565604156918 A
2017-03-30T00:00:00-06:00,6.331163660685221 A
2017-03-31T00:00:00-06:00,5.691492348909378 A
2017-04-01T00:00:00-06:00,4.732690026362737 A
2017-04-02T00:00:00-06:00,4.630356584986051 A
2017-04-03T00:00:00-06:00,6.4081367800633116 A
2017-04-04T00:00:00-06:00,6.379319136341413 A
2017-04-05T00:00:00-06:00,6.55065739651521 A
2017-04-06T00:00:00-06:00,6.323729142546654 A
2017-04-07T00:00:00-06:00,6.247102652986844 A
2017-04-08T00:00:00-06:00,5.092707658807437 A
2017-04-09T00:00:00-06:00,5.076825072367986 A
2017-04-10T00:00:00-06:00,6.294388175010681 A
2017-04-11T00:00:00-06:00,6.511139179269473 A
2017-04-12T00:00:00-06:00,6.608860164880753 A
2017-04-13T00:00:00-06:00,6.629349862535794 A
2017-04-14T00:00:00-06:00,5.887504667043686 A
2017-04-15T00:00:00-06:00,4.690570622682571 A
2017-04-16T00:00:00-06:00,4.531413679321607 A
2017-04-17T00:00:00-06:00,5.86116270768015 A
2017-04-18T00:00:00-06:00,5.893798793355624 A
2017-04-19T00:00:00-06:00,5.9662498235702515 A
2017-04-20T00:00:00-06:00,5.904941802223523 A
2017-04-21T00:00:00-06:00,5.847156132260959 A
2017-04-22T00:00:00-06:00,4.665890321135521 A
2017-04-23T00:00:00-06:00,4.66058723628521 A
2017-04-24T00:00:00-06:00,6.028038799762726 A
2017-04-25T00:00:00-06:00,5.9930067757765455 A
2017-04-26T00:00:00-06:00,5.101402555902799 A
2017-04-27T00:00:00-06:00,5.107059141000112 A
2017-04-28T00:00:00-06:00,5.419466818372409 A
2017-04-29T00:00:00-06:00,4.6232503690217674 A
2017-04-30T00:00:00-06:00,4.555993755658467 A
2017-05-01T00:00:00-06:00,5.275645047426224 A
2017-05-02T00:00:00-06:00,5.343746329347293 A
2017-05-03T00:00:00-06:00,5.65724431971709 A
2017-05-04T00:00:00-06:00,5.612886339426041 A
2017-05-05T00:00:00-06:00,5.4785881489515305 A
2017-05-06T00:00:00-06:00,5.0409880975882215 A
2017-05-07T00:00:00-06:00,5.0378279735644655 A
2017-05-08T00:00:00-06:00,4.987708414594333 A
2017-05-09T00:00:00-06:00,4.752055262525876 A
2017-05-10T00:00:00-06:00,5.045418510834376 A
2017-05-11T00:00:00-06:00,4.876461322108905 A
2017-05-12T00:00:00-06:00,4.743966912229856 A
2017-05-13T00:00:00-06:00,4.1195723215738935 A
2017-05-14T00:00:00-06:00,4.11855333050092 A
2017-05-15T00:00:00-06:00,4.876217936476071 A
2017-05-16T00:00:00-06:00,4.813005328178406 A
2017-05-17T00:00:00-06:00,4.829594348867734 A
2017-05-18T00:00:00-06:00,4.784752209981282 A
2017-05-19T00:00:00-06:00,4.8252711196740465 A
2017-05-20T00:00:00-06:00,4.256798918048541 A
2017-05-21T00:00:00-06:00,4.261357247829437 A
2017-05-22T00:00:00-06:00,5.083443696300189 A
2017-05-23T00:00:00-06:00,5.058715686202049 A
2017-05-24T00:00:00-06:00,5.026126384735107 A
2017-05-25T00:00:00-06:00,4.572081580758095 A
