Timestamp,['1ed6298b-4c920d9d 0012-SUTTON BLDG POWER METER 208V (316602) Current B']
2017-01-01T00:00:00-07:00,88.9375 A
2017-01-02T00:00:00-07:00,90.65625 A
2017-01-03T00:00:00-07:00,113.8125 A
2017-01-04T00:00:00-07:00,129.28125 A
2017-01-05T00:00:00-07:00,126.16666666666667 A
2017-01-06T00:00:00-07:00,124.15625 A
2017-01-07T00:00:00-07:00,118.65625 A
2017-01-08T00:00:00-07:00,117.55208333333333 A
2017-01-09T00:00:00-07:00,136.8125 A
2017-01-10T00:00:00-07:00,138.125 A
2017-01-11T00:00:00-07:00,140.25 A
2017-01-12T00:00:00-07:00,143.13541666666666 A
2017-01-13T00:00:00-07:00,139.17708333333334 A
2017-01-14T00:00:00-07:00,129.35416666666666 A
2017-01-15T00:00:00-07:00,129.01052631578946 A
2017-01-16T00:00:00-07:00,132.97916666666666 A
2017-01-17T00:00:00-07:00,140.69791666666666 A
2017-01-18T00:00:00-07:00,135.83529411764707 A
2017-01-19T00:00:00-07:00,134.73958333333334 A
2017-01-20T00:00:00-07:00,106.54166666666667 A
2017-01-21T00:00:00-07:00,86.90625 A
2017-01-22T00:00:00-07:00,78.67708333333333 A
2017-01-23T00:00:00-07:00,106 A
2017-01-24T00:00:00-07:00,123.39583333333333 A
2017-01-25T00:00:00-07:00,132.26041666666666 A
2017-01-26T00:00:00-07:00,139.22916666666666 A
2017-01-27T00:00:00-07:00,141.6875 A
2017-01-28T00:00:00-07:00,133.26041666666666 A
2017-01-29T00:00:00-07:00,128.03125 A
2017-01-30T00:00:00-07:00,137.16666666666666 A
2017-01-31T00:00:00-07:00,139.01041666666666 A
2017-02-01T00:00:00-07:00,137.29166666666666 A
2017-02-02T00:00:00-07:00,133.70833333333334 A
2017-02-03T00:00:00-07:00,128.84745762711864 A
2017-02-07T00:00:00-07:00,145.9591836734694 A
2017-02-08T00:00:00-07:00,136.36666666666667 A
2017-02-09T00:00:00-07:00,142 A
2017-02-10T00:00:00-07:00,138.04166666666666 A
2017-02-11T00:00:00-07:00,119.29166666666667 A
2017-02-12T00:00:00-07:00,121.90625 A
2017-02-13T00:00:00-07:00,136 A
2017-02-14T00:00:00-07:00,140.36458333333334 A
2017-02-15T00:00:00-07:00,139.16666666666666 A
2017-02-16T00:00:00-07:00,143.59375 A
2017-02-17T00:00:00-07:00,127.11458333333333 A
2017-02-18T00:00:00-07:00,94.21875 A
2017-02-19T00:00:00-07:00,93.10416666666667 A
2017-02-20T00:00:00-07:00,96.60416666666667 A
2017-02-21T00:00:00-07:00,135.83333333333334 A
2017-02-22T00:00:00-07:00,141.77083333333334 A
2017-02-23T00:00:00-07:00,138.97894736842105 A
2017-02-24T00:00:00-07:00,138.08860759493672 A
2017-02-25T00:00:00-07:00,128.5625 A
2017-02-26T00:00:00-07:00,126.57291666666667 A
2017-02-27T00:00:00-07:00,146.17708333333334 A
2017-02-28T00:00:00-07:00,150.94791666666666 A
2017-03-01T00:00:00-07:00,149.21875 A
2017-03-02T00:00:00-07:00,147.44791666666666 A
2017-03-03T00:00:00-07:00,153.3125 A
2017-03-04T00:00:00-07:00,135.40625 A
2017-03-05T00:00:00-07:00,131.83333333333334 A
2017-03-06T00:00:00-07:00,144.01041666666666 A
2017-03-07T00:00:00-07:00,147.27083333333334 A
2017-03-08T00:00:00-07:00,140.125 A
2017-03-09T00:00:00-07:00,139.66666666666666 A
2017-03-10T00:00:00-07:00,142.32291666666666 A
2017-03-11T00:00:00-07:00,135.0625 A
2017-03-12T00:00:00-07:00,124.07608695652173 A
2017-03-13T00:00:00-06:00,135.26041666666666 A
2017-03-14T00:00:00-06:00,140.09375 A
2017-03-15T00:00:00-06:00,145.13541666666666 A
2017-03-16T00:00:00-06:00,137.17708333333334 A
2017-03-17T00:00:00-06:00,131.73958333333334 A
2017-03-18T00:00:00-06:00,106.16666666666667 A
2017-03-19T00:00:00-06:00,103.60416666666667 A
2017-03-20T00:00:00-06:00,118.73958333333333 A
2017-03-21T00:00:00-06:00,127.42708333333333 A
2017-03-22T00:00:00-06:00,123.20833333333333 A
