Timestamp,['1ed629d8-e07a624d 0012-SUTTON BLDG POWER METER 480V (316601) Current B']
2017-01-01T00:00:00-07:00,202.20833333333334 A
2017-01-02T00:00:00-07:00,204.8125 A
2017-01-03T00:00:00-07:00,217.47916666666666 A
2017-01-04T00:00:00-07:00,219.75 A
2017-01-05T00:00:00-07:00,215.92708333333334 A
2017-01-06T00:00:00-07:00,221 A
2017-01-07T00:00:00-07:00,206.35416666666666 A
2017-01-08T00:00:00-07:00,187.8125 A
2017-01-09T00:00:00-07:00,251.89583333333334 A
2017-01-10T00:00:00-07:00,229.65625 A
2017-01-11T00:00:00-07:00,231.01063829787233 A
2017-01-12T00:00:00-07:00,221.875 A
2017-01-13T00:00:00-07:00,219.8125 A
2017-01-14T00:00:00-07:00,201.9375 A
2017-01-15T00:00:00-07:00,204.29166666666666 A
2017-01-16T00:00:00-07:00,201.52083333333334 A
2017-01-17T00:00:00-07:00,225.98958333333334 A
2017-01-18T00:00:00-07:00,231.2235294117647 A
2017-01-19T00:00:00-07:00,252.03125 A
2017-01-20T00:00:00-07:00,236.65625 A
2017-01-21T00:00:00-07:00,211.80208333333334 A
2017-01-22T00:00:00-07:00,206.20833333333334 A
2017-01-23T00:00:00-07:00,229.4375 A
2017-01-24T00:00:00-07:00,227.46875 A
2017-01-25T00:00:00-07:00,227.70833333333334 A
2017-01-26T00:00:00-07:00,226.61052631578949 A
2017-01-27T00:00:00-07:00,225.64583333333334 A
2017-01-28T00:00:00-07:00,207.0625 A
2017-01-29T00:00:00-07:00,211.13541666666666 A
2017-01-30T00:00:00-07:00,228.42708333333334 A
2017-01-31T00:00:00-07:00,229.32291666666666 A
2017-02-01T00:00:00-07:00,235.07291666666666 A
2017-02-02T00:00:00-07:00,241.26041666666666 A
2017-02-03T00:00:00-07:00,242.72881355932202 A
2017-02-07T00:00:00-07:00,295.2692307692308 A
2017-02-08T00:00:00-07:00,270.9 A
2017-02-09T00:00:00-07:00,285.5520833333333 A
2017-02-10T00:00:00-07:00,271.5 A
2017-02-11T00:00:00-07:00,212.11458333333334 A
2017-02-12T00:00:00-07:00,194.73958333333334 A
2017-02-13T00:00:00-07:00,225.77083333333334 A
2017-02-14T00:00:00-07:00,229.75 A
2017-02-15T00:00:00-07:00,247.95833333333334 A
2017-02-16T00:00:00-07:00,272 A
2017-02-17T00:00:00-07:00,248.11458333333334 A
2017-02-18T00:00:00-07:00,249.625 A
2017-02-19T00:00:00-07:00,237.9375 A
2017-02-20T00:00:00-07:00,253.90625 A
2017-02-21T00:00:00-07:00,279.09375 A
2017-02-22T00:00:00-07:00,217.41666666666666 A
2017-02-23T00:00:00-07:00,217.67368421052632 A
2017-02-24T00:00:00-07:00,204.2948717948718 A
2017-02-25T00:00:00-07:00,181.51041666666666 A
2017-02-26T00:00:00-07:00,210.48958333333334 A
2017-02-27T00:00:00-07:00,225.23958333333334 A
2017-02-28T00:00:00-07:00,224.90625 A
2017-03-01T00:00:00-07:00,227.44791666666666 A
2017-03-02T00:00:00-07:00,224.42708333333334 A
2017-03-03T00:00:00-07:00,257.4166666666667 A
2017-03-04T00:00:00-07:00,278.2395833333333 A
2017-03-05T00:00:00-07:00,254.88541666666666 A
2017-03-06T00:00:00-07:00,229.55208333333334 A
2017-03-07T00:00:00-07:00,229.60416666666666 A
2017-03-08T00:00:00-07:00,264.6458333333333 A
2017-03-09T00:00:00-07:00,291.0729166666667 A
2017-03-10T00:00:00-07:00,291.8020833333333 A
2017-03-11T00:00:00-07:00,251.625 A
2017-03-12T00:00:00-07:00,276.7717391304348 A
2017-03-13T00:00:00-06:00,286.625 A
2017-03-14T00:00:00-06:00,295.1979166666667 A
2017-03-15T00:00:00-06:00,305.0729166666667 A
2017-03-16T00:00:00-06:00,300.5208333333333 A
2017-03-17T00:00:00-06:00,294.4791666666667 A
2017-03-18T00:00:00-06:00,291.3958333333333 A
2017-03-19T00:00:00-06:00,279 A
2017-03-20T00:00:00-06:00,310.6145833333333 A
2017-03-21T00:00:00-06:00,314.7083333333333 A
2017-03-22T00:00:00-06:00,293.3958333333333 A
2017-03-23T00:00:00-06:00,233.625 A
2017-03-24T00:00:00-06:00,264.78125 A
2017-03-25T00:00:00-06:00,233.77083333333334 A
2017-03-26T00:00:00-06:00,247.01041666666666 A
2017-03-27T00:00:00-06:00,247.70833333333334 A
2017-03-28T00:00:00-06:00,252.73958333333334 A
2017-03-29T00:00:00-06:00,267.47222222222223 A
2017-03-30T00:00:00-06:00,260.77777777777777 A
2017-03-31T00:00:00-06:00,269.2395833333333 A
2017-04-01T00:00:00-06:00,298.9583333333333 A
2017-04-02T00:00:00-06:00,263.375 A
2017-04-03T00:00:00-06:00,258.8958333333333 A
2017-04-04T00:00:00-06:00,242.69791666666666 A
2017-04-05T00:00:00-06:00,262.6354166666667 A
2017-04-06T00:00:00-06:00,307.4791666666667 A
2017-04-07T00:00:00-06:00,313.40625 A
