Timestamp,"['1edb212c-f4ed225c 0053-OLPIN UNION Power Meter (53-1) W-hours, Received']"
2017-01-01T00:00:00-07:00,859.5625 kWh
2017-01-02T00:00:00-07:00,859 kWh
2017-01-03T00:00:00-07:00,1017.25 kWh
2017-01-04T00:00:00-07:00,1060.5 kWh
2017-01-05T00:00:00-07:00,1011.375 kWh
2017-01-06T00:00:00-07:00,1014.9375 kWh
2017-01-07T00:00:00-07:00,949.5625 kWh
2017-01-08T00:00:00-07:00,941 kWh
2017-01-09T00:00:00-07:00,1091 kWh
2017-01-10T00:00:00-07:00,1101.8125 kWh
2017-01-11T00:00:00-07:00,1109.625 kWh
2017-01-12T00:00:00-07:00,1110.875 kWh
2017-01-13T00:00:00-07:00,1083.5 kWh
2017-01-14T00:00:00-07:00,989.1875 kWh
2017-01-15T00:00:00-07:00,866.5625 kWh
2017-01-16T00:00:00-07:00,871.1875 kWh
2017-01-17T00:00:00-07:00,1096.125 kWh
2017-01-18T00:00:00-07:00,1096.8125 kWh
2017-01-19T00:00:00-07:00,1070.5625 kWh
2017-01-20T00:00:00-07:00,1032.875 kWh
2017-01-21T00:00:00-07:00,930.5 kWh
2017-01-22T00:00:00-07:00,889.1875 kWh
2017-01-23T00:00:00-07:00,1076.4375 kWh
2017-01-24T00:00:00-07:00,1074.5625 kWh
2017-01-25T00:00:00-07:00,1077.0625 kWh
2017-01-26T00:00:00-07:00,1075.5625 kWh
2017-01-27T00:00:00-07:00,1082.125 kWh
2017-01-28T00:00:00-07:00,968.1875 kWh
2017-01-29T00:00:00-07:00,943.5 kWh
2017-01-30T00:00:00-07:00,1083.8125 kWh
2017-01-31T00:00:00-07:00,1064.3125 kWh
2017-02-01T00:00:00-07:00,1074.5 kWh
2017-02-02T00:00:00-07:00,1077.8125 kWh
2017-02-03T00:00:00-07:00,4433.125 kWh
2017-02-07T00:00:00-07:00,657.0625 kWh
2017-02-08T00:00:00-07:00,1100.875 kWh
2017-02-09T00:00:00-07:00,1070.4375 kWh
2017-02-10T00:00:00-07:00,1054.9375 kWh
2017-02-11T00:00:00-07:00,995.25 kWh
2017-02-12T00:00:00-07:00,1001.0625 kWh
2017-02-13T00:00:00-07:00,1118.6875 kWh
2017-02-14T00:00:00-07:00,1109 kWh
2017-02-15T00:00:00-07:00,1118.625 kWh
2017-02-16T00:00:00-07:00,1109.3125 kWh
2017-02-17T00:00:00-07:00,1102.75 kWh
2017-02-18T00:00:00-07:00,1002.3125 kWh
2017-02-19T00:00:00-07:00,890.125 kWh
2017-02-20T00:00:00-07:00,937.8125 kWh
2017-02-21T00:00:00-07:00,1102.0625 kWh
2017-02-22T00:00:00-07:00,1103.25 kWh
2017-02-23T00:00:00-07:00,1092.5 kWh
2017-02-24T00:00:00-07:00,1072.875 kWh
2017-02-25T00:00:00-07:00,984.0625 kWh
2017-02-26T00:00:00-07:00,963.9375 kWh
2017-02-27T00:00:00-07:00,1080.9375 kWh
2017-02-28T00:00:00-07:00,1073.5 kWh
2017-03-01T00:00:00-07:00,1074.0625 kWh
2017-03-02T00:00:00-07:00,1115.9375 kWh
2017-03-03T00:00:00-07:00,1118.625 kWh
2017-03-04T00:00:00-07:00,993.4375 kWh
2017-03-05T00:00:00-07:00,959.9375 kWh
2017-03-06T00:00:00-07:00,1093.4375 kWh
2017-03-07T00:00:00-07:00,1119.5625 kWh
2017-03-08T00:00:00-07:00,1118.5625 kWh
2017-03-09T00:00:00-07:00,1135.375 kWh
2017-03-10T00:00:00-07:00,1104.125 kWh
2017-03-11T00:00:00-07:00,960.1875 kWh
2017-03-12T00:00:00-07:00,880.5 kWh
2017-03-13T00:00:00-06:00,1013.9375 kWh
2017-03-14T00:00:00-06:00,993 kWh
2017-03-15T00:00:00-06:00,1022.375 kWh
2017-03-16T00:00:00-06:00,1036.5625 kWh
2017-03-17T00:00:00-06:00,1025.25 kWh
2017-03-18T00:00:00-06:00,895.875 kWh
2017-03-19T00:00:00-06:00,860.8125 kWh
2017-03-20T00:00:00-06:00,1120.0625 kWh
2017-03-21T00:00:00-06:00,1088.9375 kWh
2017-03-22T00:00:00-06:00,1079.4375 kWh
2017-03-23T00:00:00-06:00,1078.1875 kWh
2017-03-24T00:00:00-06:00,1091.125 kWh
2017-03-25T00:00:00-06:00,999.1875 kWh
2017-03-26T00:00:00-06:00,923 kWh
2017-03-27T00:00:00-06:00,1089.5625 kWh
2017-03-28T00:00:00-06:00,1127.0625 kWh
2017-03-29T00:00:00-06:00,1680.125 kWh
2017-03-30T00:00:00-06:00,562.875 kWh
2017-03-31T00:00:00-06:00,1116.25 kWh
2017-04-01T00:00:00-06:00,1039.6875 kWh
2017-04-02T00:00:00-06:00,951.1875 kWh
2017-04-03T00:00:00-06:00,1059.125 kWh
2017-04-04T00:00:00-06:00,1099.75 kWh
2017-04-05T00:00:00-06:00,1120.0625 kWh
2017-04-06T00:00:00-06:00,1122.75 kWh
2017-04-07T00:00:00-06:00,1097.1875 kWh
2017-04-08T00:00:00-06:00,988.3125 kWh
2017-04-09T00:00:00-06:00,990.25 kWh
2017-04-10T00:00:00-06:00,1108.4375 kWh
2017-04-11T00:00:00-06:00,1077.5 kWh
2017-04-12T00:00:00-06:00,1087.625 kWh
2017-04-13T00:00:00-06:00,1097 kWh
2017-04-14T00:00:00-06:00,1100.8125 kWh
2017-04-15T00:00:00-06:00,990.5 kWh
2017-04-16T00:00:00-06:00,924.0625 kWh
2017-04-17T00:00:00-06:00,1071 kWh
2017-04-18T00:00:00-06:00,1068.875 kWh
2017-04-19T00:00:00-06:00,1083.1875 kWh
2017-04-20T00:00:00-06:00,1093.4375 kWh
2017-04-21T00:00:00-06:00,1114.3125 kWh
2017-04-22T00:00:00-06:00,986.0625 kWh
2017-04-23T00:00:00-06:00,963.3125 kWh
2017-04-24T00:00:00-06:00,1130.25 kWh
2017-04-25T00:00:00-06:00,1137.125 kWh
2017-04-26T00:00:00-06:00,1103.875 kWh
2017-04-27T00:00:00-06:00,1081.125 kWh
2017-04-28T00:00:00-06:00,1085.6875 kWh
2017-04-29T00:00:00-06:00,980.3125 kWh
2017-04-30T00:00:00-06:00,979.875 kWh
2017-05-01T00:00:00-06:00,1092.625 kWh
2017-05-02T00:00:00-06:00,1112.25 kWh
2017-05-03T00:00:00-06:00,1109.375 kWh
2017-05-04T00:00:00-06:00,1082 kWh
2017-05-05T00:00:00-06:00,1796.0625 kWh
2017-05-06T00:00:00-06:00,1043.8125 kWh
2017-05-07T00:00:00-06:00,917.375 kWh
2017-05-08T00:00:00-06:00,1586.6875 kWh
2017-05-09T00:00:00-06:00,1652.625 kWh
2017-05-10T00:00:00-06:00,1110.6875 kWh
2017-05-11T00:00:00-06:00,1592.6875 kWh
2017-05-12T00:00:00-06:00,1019.5625 kWh
2017-05-13T00:00:00-06:00,877.75 kWh
2017-05-14T00:00:00-06:00,833.25 kWh
2017-05-15T00:00:00-06:00,956.4375 kWh
2017-05-16T00:00:00-06:00,983.25 kWh
2017-05-17T00:00:00-06:00,1047.9375 kWh
2017-05-18T00:00:00-06:00,1037.6875 kWh
2017-05-19T00:00:00-06:00,1033.25 kWh
2017-05-20T00:00:00-06:00,927.0625 kWh
2017-05-21T00:00:00-06:00,855.6875 kWh
2017-05-22T00:00:00-06:00,1007.8125 kWh
2017-05-23T00:00:00-06:00,1510.875 kWh
2017-05-24T00:00:00-06:00,1721.8125 kWh
2017-05-25T00:00:00-06:00,1678.75 kWh
2017-05-26T00:00:00-06:00,1046.9375 kWh
2017-05-27T00:00:00-06:00,879.5625 kWh
2017-05-28T00:00:00-06:00,897.0625 kWh
2017-05-29T00:00:00-06:00,929 kWh
2017-05-30T00:00:00-06:00,1791.9375 kWh
2017-05-31T00:00:00-06:00,1808.9375 kWh
2017-06-01T00:00:00-06:00,1790.5 kWh
2017-06-02T00:00:00-06:00,1766.125 kWh
2017-06-03T00:00:00-06:00,1656.3125 kWh
2017-06-04T00:00:00-06:00,1625.0625 kWh
2017-06-05T00:00:00-06:00,1757.75 kWh
2017-06-06T00:00:00-06:00,1822.0625 kWh
2017-06-07T00:00:00-06:00,1864.5 kWh
2017-06-08T00:00:00-06:00,1870.875 kWh
2017-06-09T00:00:00-06:00,1801.9375 kWh
2017-06-10T00:00:00-06:00,1640.8125 kWh
2017-06-11T00:00:00-06:00,1613.25 kWh
2017-06-12T00:00:00-06:00,1296.75 kWh
2017-06-13T00:00:00-06:00,1065.8125 kWh
2017-06-14T00:00:00-06:00,1556.6875 kWh
2017-06-15T00:00:00-06:00,1782.875 kWh
2017-06-16T00:00:00-06:00,1811.875 kWh
2017-06-17T00:00:00-06:00,1663.8125 kWh
2017-06-18T00:00:00-06:00,1551.875 kWh
2017-06-19T00:00:00-06:00,1720.625 kWh
2017-06-20T00:00:00-06:00,1878.9375 kWh
2017-06-21T00:00:00-06:00,1879.9375 kWh
2017-06-22T00:00:00-06:00,1846.5 kWh
2017-06-23T00:00:00-06:00,1813.8125 kWh
2017-06-24T00:00:00-06:00,1688.6875 kWh
2017-06-25T00:00:00-06:00,1595.75 kWh
2017-06-26T00:00:00-06:00,1830.625 kWh
2017-06-27T00:00:00-06:00,1860.0625 kWh
2017-06-28T00:00:00-06:00,1847.5 kWh
2017-06-29T00:00:00-06:00,1799.5 kWh
2017-06-30T00:00:00-06:00,1783.25 kWh
2017-07-01T00:00:00-06:00,1651.0625 kWh
2017-07-02T00:00:00-06:00,1620.125 kWh
2017-07-03T00:00:00-06:00,1838.8125 kWh
2017-07-04T00:00:00-06:00,1706.125 kWh
2017-07-05T00:00:00-06:00,1922.4375 kWh
2017-07-06T00:00:00-06:00,1940.25 kWh
2017-07-07T00:00:00-06:00,1970.1875 kWh
2017-07-08T00:00:00-06:00,1831.9375 kWh
2017-07-09T00:00:00-06:00,1742.4375 kWh
2017-07-10T00:00:00-06:00,1942.3125 kWh
2017-07-11T00:00:00-06:00,1937.875 kWh
2017-07-12T00:00:00-06:00,1915.5 kWh
2017-07-13T00:00:00-06:00,1945.75 kWh
2017-07-14T00:00:00-06:00,1916.5625 kWh
2017-07-15T00:00:00-06:00,1818.875 kWh
2017-07-16T00:00:00-06:00,1730.125 kWh
2017-07-17T00:00:00-06:00,1943.4375 kWh
2017-07-18T00:00:00-06:00,1961 kWh
2017-07-19T00:00:00-06:00,1977.0625 kWh
2017-07-20T00:00:00-06:00,1919.375 kWh
2017-07-21T00:00:00-06:00,1939.875 kWh
2017-07-22T00:00:00-06:00,1723.75 kWh
2017-07-23T00:00:00-06:00,1681.4800109863281 kWh
2017-07-24T00:00:00-06:00,1714.8799743652344 kWh
2017-07-25T00:00:00-06:00,1905.1900634765625 kWh
2017-07-26T00:00:00-06:00,1906.119873046875 kWh
2017-07-27T00:00:00-06:00,1871.669921875 kWh
2017-07-28T00:00:00-06:00,1889.7900390625 kWh
2017-07-29T00:00:00-06:00,1814.2802734375 kWh
2017-07-30T00:00:00-06:00,1730.2998046875 kWh
2017-07-31T00:00:00-06:00,1921.240234375 kWh
2017-08-01T00:00:00-06:00,1941.4404296875 kWh
2017-08-02T00:00:00-06:00,1918.638671875 kWh
2017-08-03T00:00:00-06:00,1939.701171875 kWh
2017-08-04T00:00:00-06:00,1928.279296875 kWh
2017-08-05T00:00:00-06:00,1760.880859375 kWh
2017-08-06T00:00:00-06:00,1695.75 kWh
2017-08-07T00:00:00-06:00,1775.478515625 kWh
2017-08-08T00:00:00-06:00,1774.271484375 kWh
2017-08-09T00:00:00-06:00,1785.939453125 kWh
2017-08-10T00:00:00-06:00,1827.521484375 kWh
2017-08-11T00:00:00-06:00,1791.70703125 kWh
2017-08-12T00:00:00-06:00,1702.98046875 kWh
2017-08-13T00:00:00-06:00,1654.51953125 kWh
