Timestamp,"['1ee9aa5e-61cafb5e 0053-OLPIN UNION Power Meter (53-2) 300116 W-hours, Received']"
2017-01-01T00:00:00-07:00,1757.25 kWh
2017-01-02T00:00:00-07:00,1777.5 kWh
2017-01-03T00:00:00-07:00,2153.3125 kWh
2017-01-04T00:00:00-07:00,2126.6875 kWh
2017-01-05T00:00:00-07:00,2142 kWh
2017-01-06T00:00:00-07:00,2233.4375 kWh
2017-01-07T00:00:00-07:00,1938.3125 kWh
2017-01-08T00:00:00-07:00,1806.8125 kWh
2017-01-09T00:00:00-07:00,2350.1875 kWh
2017-01-10T00:00:00-07:00,2392.5 kWh
2017-01-11T00:00:00-07:00,2434.0625 kWh
2017-01-12T00:00:00-07:00,2345.875 kWh
2017-01-13T00:00:00-07:00,2289.3125 kWh
2017-01-14T00:00:00-07:00,1754.8125 kWh
2017-01-15T00:00:00-07:00,1589.1875 kWh
2017-01-16T00:00:00-07:00,1552.0625 kWh
2017-01-17T00:00:00-07:00,2351.75 kWh
2017-01-18T00:00:00-07:00,2366.3125 kWh
2017-01-19T00:00:00-07:00,2333 kWh
2017-01-20T00:00:00-07:00,2260.375 kWh
2017-01-21T00:00:00-07:00,1817.8125 kWh
2017-01-22T00:00:00-07:00,1635.5625 kWh
2017-01-23T00:00:00-07:00,2335.9375 kWh
2017-01-24T00:00:00-07:00,2385.6875 kWh
2017-01-25T00:00:00-07:00,2450 kWh
2017-01-26T00:00:00-07:00,2383.9375 kWh
2017-01-27T00:00:00-07:00,2438.5 kWh
2017-01-28T00:00:00-07:00,1869.222499847412 kWh
2017-01-29T00:00:00-07:00,1793.620029449463 kWh
2017-01-30T00:00:00-07:00,2369.260009765625 kWh
2017-01-31T00:00:00-07:00,2469.89013671875 kWh
2017-02-01T00:00:00-07:00,2421.33935546875 kWh
2017-02-02T00:00:00-07:00,2501.6201171875 kWh
2017-02-03T00:00:00-07:00,9448.3310546875 kWh
2017-02-07T00:00:00-07:00,1526.83984375 kWh
2017-02-08T00:00:00-07:00,2404.05859375 kWh
2017-02-09T00:00:00-07:00,2329.12109375 kWh
2017-02-10T00:00:00-07:00,2350.140625 kWh
2017-02-11T00:00:00-07:00,1944.798828125 kWh
2017-02-12T00:00:00-07:00,1897.8515625 kWh
2017-02-13T00:00:00-07:00,2307.390625 kWh
2017-02-14T00:00:00-07:00,2312.828125 kWh
2017-02-15T00:00:00-07:00,2394.41015625 kWh
2017-02-16T00:00:00-07:00,2314.62890625 kWh
2017-02-17T00:00:00-07:00,2307.2421875 kWh
2017-02-18T00:00:00-07:00,1850.05859375 kWh
2017-02-19T00:00:00-07:00,1592.58984375 kWh
2017-02-20T00:00:00-07:00,1699.01953125 kWh
2017-02-21T00:00:00-07:00,2382.5703125 kWh
2017-02-22T00:00:00-07:00,2452.640625 kWh
2017-02-23T00:00:00-07:00,2370.9296875 kWh
