Timestamp,"['1ee9aad9-3b4afb8c 0053-OLPIN UNION Power Meter (53-5) 300115 W-hours, Received']"
2017-01-01T00:00:00-07:00,442.3515625 kWh
2017-01-02T00:00:00-07:00,451.5390625 kWh
2017-01-03T00:00:00-07:00,675.0703125 kWh
2017-01-04T00:00:00-07:00,710.0546875 kWh
2017-01-05T00:00:00-07:00,697.375 kWh
2017-01-06T00:00:00-07:00,718.8046875 kWh
2017-01-07T00:00:00-07:00,545.5703125 kWh
2017-01-08T00:00:00-07:00,554.09375 kWh
2017-01-09T00:00:00-07:00,732.1484375 kWh
2017-01-10T00:00:00-07:00,754.5 kWh
2017-01-11T00:00:00-07:00,718.5 kWh
2017-01-12T00:00:00-07:00,747.5 kWh
2017-01-13T00:00:00-07:00,711.0234375 kWh
2017-01-14T00:00:00-07:00,551.234375 kWh
2017-01-15T00:00:00-07:00,499.7421875 kWh
2017-01-16T00:00:00-07:00,500.9140625 kWh
2017-01-17T00:00:00-07:00,781.2890625 kWh
2017-01-18T00:00:00-07:00,760.9609375 kWh
2017-01-19T00:00:00-07:00,760.984375 kWh
2017-01-20T00:00:00-07:00,766.984375 kWh
2017-01-21T00:00:00-07:00,636.2890625 kWh
2017-01-22T00:00:00-07:00,567.3984375 kWh
2017-01-23T00:00:00-07:00,773.140625 kWh
2017-01-24T00:00:00-07:00,769.3671875 kWh
2017-01-25T00:00:00-07:00,759.03125 kWh
2017-01-26T00:00:00-07:00,789.8125 kWh
2017-01-27T00:00:00-07:00,778.078125 kWh
2017-01-28T00:00:00-07:00,616.3125 kWh
2017-01-29T00:00:00-07:00,582.6484375 kWh
2017-01-30T00:00:00-07:00,862.59375 kWh
2017-01-31T00:00:00-07:00,857.5546875 kWh
2017-02-01T00:00:00-07:00,846.5546875 kWh
2017-02-02T00:00:00-07:00,878.0859375 kWh
2017-02-03T00:00:00-07:00,3113.4296875 kWh
2017-02-07T00:00:00-07:00,487.671875 kWh
2017-02-08T00:00:00-07:00,837.3203125 kWh
2017-02-09T00:00:00-07:00,827.453125 kWh
2017-02-10T00:00:00-07:00,785.5546875 kWh
2017-02-11T00:00:00-07:00,665.1015625 kWh
2017-02-12T00:00:00-07:00,636 kWh
2017-02-13T00:00:00-07:00,804.109375 kWh
2017-02-14T00:00:00-07:00,829.8515625 kWh
2017-02-15T00:00:00-07:00,826.796875 kWh
2017-02-16T00:00:00-07:00,824.234375 kWh
2017-02-17T00:00:00-07:00,800.21875 kWh
2017-02-18T00:00:00-07:00,619.65625 kWh
2017-02-19T00:00:00-07:00,574.9296875 kWh
2017-02-20T00:00:00-07:00,590.6953125 kWh
2017-02-21T00:00:00-07:00,792.40625 kWh
2017-02-22T00:00:00-07:00,733.859375 kWh
2017-02-23T00:00:00-07:00,727.21875 kWh
2017-02-24T00:00:00-07:00,694.9296875 kWh
2017-02-25T00:00:00-07:00,499.3046875 kWh
2017-02-26T00:00:00-07:00,472.25 kWh
2017-02-27T00:00:00-07:00,789.2109375 kWh
2017-02-28T00:00:00-07:00,884.3125 kWh
2017-03-01T00:00:00-07:00,849.609375 kWh
2017-03-02T00:00:00-07:00,902.25 kWh
2017-03-03T00:00:00-07:00,760.140625 kWh
2017-03-04T00:00:00-07:00,634.8125 kWh
2017-03-05T00:00:00-07:00,562.046875 kWh
2017-03-06T00:00:00-07:00,784.609375 kWh
2017-03-07T00:00:00-07:00,852.421875 kWh
2017-03-08T00:00:00-07:00,843.53125 kWh
2017-03-09T00:00:00-07:00,872.53125 kWh
2017-03-10T00:00:00-07:00,790.96875 kWh
2017-03-11T00:00:00-07:00,586.390625 kWh
2017-03-12T00:00:00-07:00,555.75 kWh
2017-03-13T00:00:00-06:00,793.9375 kWh
2017-03-14T00:00:00-06:00,788.859375 kWh
2017-03-15T00:00:00-06:00,754.3125 kWh
2017-03-16T00:00:00-06:00,795.96875 kWh
2017-03-17T00:00:00-06:00,766.109375 kWh
2017-03-18T00:00:00-06:00,597.15625 kWh
2017-03-19T00:00:00-06:00,562.625 kWh
2017-03-20T00:00:00-06:00,812.734375 kWh
2017-03-21T00:00:00-06:00,828.546875 kWh
2017-03-22T00:00:00-06:00,842.375 kWh
2017-03-23T00:00:00-06:00,822.4375 kWh
2017-03-24T00:00:00-06:00,783.546875 kWh
2017-03-25T00:00:00-06:00,613.390625 kWh
2017-03-26T00:00:00-06:00,573.671875 kWh
2017-03-27T00:00:00-06:00,811.3125 kWh
2017-03-28T00:00:00-06:00,828.546875 kWh
2017-03-29T00:00:00-06:00,1225.5625 kWh
2017-03-30T00:00:00-06:00,413.421875 kWh
2017-03-31T00:00:00-06:00,824.515625 kWh
2017-04-01T00:00:00-06:00,577.953125 kWh
2017-04-02T00:00:00-06:00,551.1875 kWh
2017-04-03T00:00:00-06:00,843.125 kWh
2017-04-04T00:00:00-06:00,785.71875 kWh
2017-04-05T00:00:00-06:00,792.609375 kWh
2017-04-06T00:00:00-06:00,852.703125 kWh
2017-04-07T00:00:00-06:00,793.28125 kWh
2017-04-08T00:00:00-06:00,618.03125 kWh
2017-04-09T00:00:00-06:00,529.125 kWh
2017-04-10T00:00:00-06:00,814.265625 kWh
2017-04-11T00:00:00-06:00,812.828125 kWh
2017-04-12T00:00:00-06:00,811.296875 kWh
2017-04-13T00:00:00-06:00,825.359375 kWh
2017-04-14T00:00:00-06:00,834.78125 kWh
2017-04-15T00:00:00-06:00,671.359375 kWh
2017-04-16T00:00:00-06:00,584.953125 kWh
2017-04-17T00:00:00-06:00,810.4375 kWh
2017-04-18T00:00:00-06:00,827.453125 kWh
2017-04-19T00:00:00-06:00,810.421875 kWh
2017-04-20T00:00:00-06:00,832.9375 kWh
2017-04-21T00:00:00-06:00,808.1875 kWh
2017-04-22T00:00:00-06:00,621.546875 kWh
2017-04-23T00:00:00-06:00,604.21875 kWh
2017-04-24T00:00:00-06:00,842.90625 kWh
2017-04-25T00:00:00-06:00,867.921875 kWh
2017-04-26T00:00:00-06:00,810.046875 kWh
2017-04-27T00:00:00-06:00,834.421875 kWh
2017-04-28T00:00:00-06:00,791.703125 kWh
2017-04-29T00:00:00-06:00,632.90625 kWh
2017-04-30T00:00:00-06:00,569.71875 kWh
2017-05-01T00:00:00-06:00,826.71875 kWh
2017-05-02T00:00:00-06:00,848.171875 kWh
2017-05-03T00:00:00-06:00,836.53125 kWh
2017-05-04T00:00:00-06:00,773.71875 kWh
2017-05-05T00:00:00-06:00,733.359375 kWh
2017-05-06T00:00:00-06:00,522.953125 kWh
2017-05-07T00:00:00-06:00,526.296875 kWh
2017-05-08T00:00:00-06:00,697.40625 kWh
2017-05-09T00:00:00-06:00,720.953125 kWh
2017-05-10T00:00:00-06:00,723.640625 kWh
2017-05-11T00:00:00-06:00,733.546875 kWh
2017-05-12T00:00:00-06:00,681.203125 kWh
2017-05-13T00:00:00-06:00,541.140625 kWh
2017-05-14T00:00:00-06:00,485.359375 kWh
2017-05-15T00:00:00-06:00,756.015625 kWh
2017-05-16T00:00:00-06:00,764.421875 kWh
2017-05-17T00:00:00-06:00,798.28125 kWh
2017-05-18T00:00:00-06:00,769.734375 kWh
2017-05-19T00:00:00-06:00,808.8125 kWh
2017-05-20T00:00:00-06:00,546.046875 kWh
2017-05-21T00:00:00-06:00,528.421875 kWh
2017-05-22T00:00:00-06:00,709.171875 kWh
2017-05-23T00:00:00-06:00,727 kWh
2017-05-24T00:00:00-06:00,812.125 kWh
2017-05-25T00:00:00-06:00,766.4375 kWh
2017-05-26T00:00:00-06:00,724.484375 kWh
2017-05-27T00:00:00-06:00,502.828125 kWh
2017-05-28T00:00:00-06:00,495.890625 kWh
2017-05-29T00:00:00-06:00,513.4375 kWh
2017-05-30T00:00:00-06:00,743.375 kWh
2017-05-31T00:00:00-06:00,778.84375 kWh
2017-06-01T00:00:00-06:00,781.78125 kWh
2017-06-02T00:00:00-06:00,734.390625 kWh
2017-06-03T00:00:00-06:00,545.53125 kWh
2017-06-04T00:00:00-06:00,517.71875 kWh
2017-06-05T00:00:00-06:00,790.96875 kWh
2017-06-06T00:00:00-06:00,801.015625 kWh
2017-06-07T00:00:00-06:00,775.125 kWh
2017-06-08T00:00:00-06:00,798.890625 kWh
2017-06-09T00:00:00-06:00,782.65625 kWh
2017-06-10T00:00:00-06:00,561.609375 kWh
2017-06-11T00:00:00-06:00,529.1875 kWh
2017-06-12T00:00:00-06:00,757.484375 kWh
2017-06-13T00:00:00-06:00,750.234375 kWh
2017-06-14T00:00:00-06:00,726.546875 kWh
2017-06-15T00:00:00-06:00,746.359375 kWh
2017-06-16T00:00:00-06:00,752.953125 kWh
2017-06-17T00:00:00-06:00,566.0625 kWh
2017-06-18T00:00:00-06:00,541.234375 kWh
2017-06-19T00:00:00-06:00,746.859375 kWh
2017-06-20T00:00:00-06:00,763.921875 kWh
2017-06-21T00:00:00-06:00,782.75 kWh
2017-06-22T00:00:00-06:00,746.640625 kWh
2017-06-23T00:00:00-06:00,705.53125 kWh
2017-06-24T00:00:00-06:00,547.171875 kWh
2017-06-25T00:00:00-06:00,504.1875 kWh
2017-06-26T00:00:00-06:00,767.890625 kWh
2017-06-27T00:00:00-06:00,827.8125 kWh
2017-06-28T00:00:00-06:00,778.578125 kWh
2017-06-29T00:00:00-06:00,751.6875 kWh
2017-06-30T00:00:00-06:00,795.75 kWh
2017-07-01T00:00:00-06:00,629.71875 kWh
2017-07-02T00:00:00-06:00,663.859375 kWh
2017-07-03T00:00:00-06:00,777.265625 kWh
2017-07-04T00:00:00-06:00,587.46875 kWh
2017-07-05T00:00:00-06:00,778.390625 kWh
2017-07-06T00:00:00-06:00,840.15625 kWh
2017-07-07T00:00:00-06:00,883.515625 kWh
2017-07-08T00:00:00-06:00,704 kWh
2017-07-09T00:00:00-06:00,631.8125 kWh
2017-07-10T00:00:00-06:00,859.8125 kWh
2017-07-11T00:00:00-06:00,829.515625 kWh
2017-07-12T00:00:00-06:00,793.90625 kWh
2017-07-13T00:00:00-06:00,839.390625 kWh
2017-07-14T00:00:00-06:00,805.140625 kWh
2017-07-15T00:00:00-06:00,597.59375 kWh
2017-07-16T00:00:00-06:00,587.625 kWh
2017-07-17T00:00:00-06:00,856.96875 kWh
2017-07-18T00:00:00-06:00,863.96875 kWh
2017-07-19T00:00:00-06:00,882.96875 kWh
2017-07-20T00:00:00-06:00,837.375 kWh
2017-07-21T00:00:00-06:00,818.015625 kWh
2017-07-22T00:00:00-06:00,587 kWh
2017-07-23T00:00:00-06:00,576.6875 kWh
2017-07-24T00:00:00-06:00,580.484375 kWh
2017-07-25T00:00:00-06:00,840.515625 kWh
2017-07-26T00:00:00-06:00,858.09375 kWh
2017-07-27T00:00:00-06:00,836.515625 kWh
2017-07-28T00:00:00-06:00,812.375 kWh
2017-07-29T00:00:00-06:00,664.03125 kWh
2017-07-30T00:00:00-06:00,606.671875 kWh
2017-07-31T00:00:00-06:00,813.453125 kWh
2017-08-01T00:00:00-06:00,846.203125 kWh
2017-08-02T00:00:00-06:00,810.421875 kWh
2017-08-03T00:00:00-06:00,822.9375 kWh
2017-08-04T00:00:00-06:00,808.8125 kWh
2017-08-05T00:00:00-06:00,625.265625 kWh
2017-08-06T00:00:00-06:00,607.953125 kWh
2017-08-07T00:00:00-06:00,803.96875 kWh
2017-08-08T00:00:00-06:00,846.46875 kWh
2017-08-09T00:00:00-06:00,805.0625 kWh
2017-08-10T00:00:00-06:00,835.96875 kWh
2017-08-11T00:00:00-06:00,793.703125 kWh
2017-08-12T00:00:00-06:00,624.25 kWh
