Timestamp,"['1ee9af2a-f7871664 0053-OLPIN UNION Power Meter (53-5) 300115 Watts, 3-Ph total']"
2017-01-01T00:00:00-07:00,22.726383209228516 kW
2017-01-02T00:00:00-07:00,22.900121688842773 kW
2017-01-03T00:00:00-07:00,40.35791015625 kW
2017-01-04T00:00:00-07:00,47.720558166503906 kW
2017-01-05T00:00:00-07:00,46.283939361572266 kW
2017-01-06T00:00:00-07:00,43.856529235839844 kW
2017-01-07T00:00:00-07:00,28.272920608520508 kW
2017-01-08T00:00:00-07:00,32.50328063964844 kW
2017-01-09T00:00:00-07:00,47.02176284790039 kW
2017-01-10T00:00:00-07:00,48.3446044921875 kW
2017-01-11T00:00:00-07:00,46.11432647705078 kW
2017-01-12T00:00:00-07:00,47.417301177978516 kW
2017-01-13T00:00:00-07:00,43.50624465942383 kW
2017-01-14T00:00:00-07:00,32.746212005615234 kW
2017-01-15T00:00:00-07:00,25.590883255004883 kW
2017-01-16T00:00:00-07:00,24.796669006347656 kW
2017-01-17T00:00:00-07:00,48.412254333496094 kW
2017-01-18T00:00:00-07:00,44.3177604675293 kW
2017-01-19T00:00:00-07:00,50.27106475830078 kW
2017-01-20T00:00:00-07:00,43.75952911376953 kW
2017-01-21T00:00:00-07:00,31.280054092407227 kW
2017-01-22T00:00:00-07:00,28.406883239746094 kW
2017-01-23T00:00:00-07:00,45.42449951171875 kW
2017-01-24T00:00:00-07:00,45.586524963378906 kW
2017-01-25T00:00:00-07:00,47.93531799316406 kW
2017-01-26T00:00:00-07:00,45.2836799621582 kW
2017-01-27T00:00:00-07:00,45.09947204589844 kW
2017-01-28T00:00:00-07:00,32.071563720703125 kW
2017-01-29T00:00:00-07:00,31.92552947998047 kW
2017-01-30T00:00:00-07:00,52.56459426879883 kW
2017-01-31T00:00:00-07:00,54.755149841308594 kW
2017-02-01T00:00:00-07:00,56.299007415771484 kW
2017-02-02T00:00:00-07:00,50.47834014892578 kW
2017-02-03T00:00:00-07:00,46.71963882446289 kW
2017-02-07T00:00:00-07:00,48.250179290771484 kW
2017-02-08T00:00:00-07:00,54.26752853393555 kW
2017-02-09T00:00:00-07:00,49.36616516113281 kW
2017-02-10T00:00:00-07:00,46.393795013427734 kW
2017-02-11T00:00:00-07:00,35.21672058105469 kW
2017-02-12T00:00:00-07:00,33.315059661865234 kW
2017-02-13T00:00:00-07:00,46.83426284790039 kW
2017-02-14T00:00:00-07:00,51.368167877197266 kW
2017-02-15T00:00:00-07:00,54.032169342041016 kW
2017-02-16T00:00:00-07:00,52.709266662597656 kW
2017-02-17T00:00:00-07:00,49.776615142822266 kW
2017-02-18T00:00:00-07:00,32.62422561645508 kW
2017-02-19T00:00:00-07:00,30.914749145507812 kW
2017-02-20T00:00:00-07:00,33.27532958984375 kW
2017-02-21T00:00:00-07:00,51.793426513671875 kW
2017-02-22T00:00:00-07:00,51.21560287475586 kW
2017-02-23T00:00:00-07:00,49.40553283691406 kW
2017-02-24T00:00:00-07:00,45.77446365356445 kW
2017-02-25T00:00:00-07:00,30.248661041259766 kW
2017-02-26T00:00:00-07:00,23.645448684692383 kW
2017-02-27T00:00:00-07:00,54.21697998046875 kW
2017-02-28T00:00:00-07:00,51.37287521362305 kW
2017-03-01T00:00:00-07:00,45.35932540893555 kW
2017-03-02T00:00:00-07:00,52.15827178955078 kW
2017-03-03T00:00:00-07:00,42.41697692871094 kW
2017-03-04T00:00:00-07:00,35.88380813598633 kW
2017-03-05T00:00:00-07:00,30.20772933959961 kW
2017-03-06T00:00:00-07:00,49.294654846191406 kW
2017-03-07T00:00:00-07:00,56.326656341552734 kW
2017-03-08T00:00:00-07:00,49.985816955566406 kW
2017-03-09T00:00:00-07:00,55.328304290771484 kW
2017-03-10T00:00:00-07:00,49.77142333984375 kW
2017-03-11T00:00:00-07:00,29.246675491333008 kW
2017-03-12T00:00:00-07:00,29.574291229248047 kW
2017-03-13T00:00:00-06:00,48.873046875 kW
2017-03-14T00:00:00-06:00,47.32114791870117 kW
2017-03-15T00:00:00-06:00,44.762577056884766 kW
2017-03-16T00:00:00-06:00,48.45221710205078 kW
2017-03-17T00:00:00-06:00,48.87594223022461 kW
2017-03-18T00:00:00-06:00,35.45058822631836 kW
2017-03-19T00:00:00-06:00,32.89812469482422 kW
2017-03-20T00:00:00-06:00,49.974483489990234 kW
2017-03-21T00:00:00-06:00,50.73967742919922 kW
2017-03-22T00:00:00-06:00,53.664676666259766 kW
2017-03-23T00:00:00-06:00,49.889102935791016 kW
2017-03-24T00:00:00-06:00,46.83983612060547 kW
2017-03-25T00:00:00-06:00,33.162086486816406 kW
2017-03-26T00:00:00-06:00,30.933427810668945 kW
2017-03-27T00:00:00-06:00,51.16563034057617 kW
2017-03-28T00:00:00-06:00,50.707794189453125 kW
2017-03-29T00:00:00-06:00,48.866188049316406 kW
2017-03-30T00:00:00-06:00,48.720767974853516 kW
2017-03-31T00:00:00-06:00,50.20057678222656 kW
2017-04-01T00:00:00-06:00,31.55575180053711 kW
2017-04-02T00:00:00-06:00,34.09880828857422 kW
2017-04-03T00:00:00-06:00,53.09038162231445 kW
2017-04-04T00:00:00-06:00,46.81865692138672 kW
2017-04-05T00:00:00-06:00,50.542903900146484 kW
2017-04-06T00:00:00-06:00,55.42864990234375 kW
2017-04-07T00:00:00-06:00,47.749359130859375 kW
2017-04-08T00:00:00-06:00,31.915729522705078 kW
2017-04-09T00:00:00-06:00,27.26491928100586 kW
2017-04-10T00:00:00-06:00,51.115325927734375 kW
2017-04-11T00:00:00-06:00,52.14838790893555 kW
2017-04-12T00:00:00-06:00,52.11870574951172 kW
2017-04-13T00:00:00-06:00,48.05301284790039 kW
2017-04-14T00:00:00-06:00,50.67283248901367 kW
2017-04-15T00:00:00-06:00,37.385231018066406 kW
2017-04-16T00:00:00-06:00,30.96021842956543 kW
2017-04-17T00:00:00-06:00,48.970577239990234 kW
2017-04-18T00:00:00-06:00,55.138946533203125 kW
