Timestamp,['1ee9af93-fc2b042a 0053-OLPIN UNION Power Meter (53-1) Current A']
2017-01-01T00:00:00-07:00,48.90382365385691 A
2017-01-02T00:00:00-07:00,48.742449482282005 A
2017-01-03T00:00:00-07:00,54.7975324789683 A
2017-01-04T00:00:00-07:00,56.842145919799805 A
2017-01-05T00:00:00-07:00,54.48440066973368 A
2017-01-06T00:00:00-07:00,54.35386435190836 A
2017-01-07T00:00:00-07:00,51.84807244936625 A
2017-01-08T00:00:00-07:00,50.996202866236366 A
2017-01-09T00:00:00-07:00,58.8259756565094 A
2017-01-10T00:00:00-07:00,59.63539739449819 A
2017-01-11T00:00:00-07:00,59.73192358016968 A
2017-01-12T00:00:00-07:00,59.49345771471659 A
2017-01-13T00:00:00-07:00,57.73543091615041 A
2017-01-14T00:00:00-07:00,53.92463731765747 A
2017-01-15T00:00:00-07:00,47.82079311211904 A
2017-01-16T00:00:00-07:00,47.83948783079783 A
2017-01-17T00:00:00-07:00,57.71617809931437 A
2017-01-18T00:00:00-07:00,56.88452997661772 A
2017-01-19T00:00:00-07:00,57.21889611085256 A
2017-01-20T00:00:00-07:00,56.47674902280172 A
2017-01-21T00:00:00-07:00,51.798621813456215 A
2017-01-22T00:00:00-07:00,49.74046754837036 A
2017-01-23T00:00:00-07:00,58.08847975730896 A
2017-01-24T00:00:00-07:00,58.381860852241516 A
2017-01-25T00:00:00-07:00,57.48209277788798 A
2017-01-26T00:00:00-07:00,56.42527333895365 A
2017-01-27T00:00:00-07:00,57.25737738609314 A
2017-01-28T00:00:00-07:00,52.26029249032339 A
2017-01-29T00:00:00-07:00,50.554901361465454 A
2017-01-30T00:00:00-07:00,56.851107597351074 A
2017-01-31T00:00:00-07:00,56.623100797335304 A
2017-02-01T00:00:00-07:00,57.19261431694031 A
2017-02-02T00:00:00-07:00,57.651110092798866 A
2017-02-03T00:00:00-07:00,55.558244543560484 A
2017-02-07T00:00:00-07:00,64.13197498695523 A
2017-02-08T00:00:00-07:00,58.10482020907932 A
2017-02-09T00:00:00-07:00,57.036866307258606 A
2017-02-10T00:00:00-07:00,56.325889348983765 A
2017-02-11T00:00:00-07:00,54.07914231952868 A
2017-02-12T00:00:00-07:00,53.81593998273214 A
2017-02-13T00:00:00-07:00,59.70973881085714 A
2017-02-14T00:00:00-07:00,59.61492904027303 A
2017-02-15T00:00:00-07:00,60.39699570337931 A
2017-02-16T00:00:00-07:00,60.04384716351827 A
2017-02-17T00:00:00-07:00,59.923858205477394 A
2017-02-18T00:00:00-07:00,55.42229378223419 A
2017-02-19T00:00:00-07:00,49.315959413846336 A
2017-02-20T00:00:00-07:00,51.42965837319692 A
2017-02-21T00:00:00-07:00,59.69460046291351 A
2017-02-22T00:00:00-07:00,59.58658115069071 A
2017-02-23T00:00:00-07:00,58.24235479036967 A
2017-02-24T00:00:00-07:00,56.45302412781534 A
2017-02-25T00:00:00-07:00,54.46676015853882 A
2017-02-26T00:00:00-07:00,52.63276847203573 A
2017-02-27T00:00:00-07:00,57.82404204209646 A
2017-02-28T00:00:00-07:00,57.10860562324524 A
2017-03-01T00:00:00-07:00,57.45973511536916 A
2017-03-02T00:00:00-07:00,59.80439941088358 A
2017-03-03T00:00:00-07:00,59.844605684280396 A
2017-03-04T00:00:00-07:00,54.78888972600301 A
2017-03-05T00:00:00-07:00,52.81981016460218 A
2017-03-06T00:00:00-07:00,58.63838764031728 A
2017-03-07T00:00:00-07:00,60.14012408256531 A
2017-03-08T00:00:00-07:00,60.084786772727966 A
2017-03-09T00:00:00-07:00,61.879116336504616 A
2017-03-10T00:00:00-07:00,59.66345167160034 A
2017-03-11T00:00:00-07:00,52.84262832005819 A
2017-03-12T00:00:00-07:00,51.66551606551461 A
2017-03-13T00:00:00-06:00,54.881734132766724 A
2017-03-14T00:00:00-06:00,53.915927131970726 A
2017-03-15T00:00:00-06:00,55.770849784215294 A
2017-03-16T00:00:00-06:00,56.080231507619224 A
2017-03-17T00:00:00-06:00,55.767991383870445 A
2017-03-18T00:00:00-06:00,49.76132182280222 A
2017-03-19T00:00:00-06:00,47.68181840578715 A
2017-03-20T00:00:00-06:00,60.813354094823204 A
2017-03-21T00:00:00-06:00,58.82751941680908 A
2017-03-22T00:00:00-06:00,58.103363394737244 A
2017-03-23T00:00:00-06:00,57.518490393956505 A
2017-03-24T00:00:00-06:00,58.95122102896372 A
2017-03-25T00:00:00-06:00,55.1033638715744 A
2017-03-26T00:00:00-06:00,50.51239093144735 A
2017-03-27T00:00:00-06:00,58.60561501979828 A
2017-03-28T00:00:00-06:00,60.838621298472084 A
2017-03-29T00:00:00-06:00,60.815708849165176 A
2017-03-30T00:00:00-06:00,65.37107535468208 A
2017-03-31T00:00:00-06:00,60.86082096894582 A
2017-04-01T00:00:00-06:00,57.565652092297874 A
2017-04-02T00:00:00-06:00,53.43842566013336 A
2017-04-03T00:00:00-06:00,57.704360604286194 A
2017-04-04T00:00:00-06:00,59.107732931772865 A
2017-04-05T00:00:00-06:00,60.49877146879832 A
2017-04-06T00:00:00-06:00,61.338021675745644 A
2017-04-07T00:00:00-06:00,59.16829137007395 A
2017-04-08T00:00:00-06:00,54.46632583936056 A
2017-04-09T00:00:00-06:00,54.177806893984474 A
2017-04-10T00:00:00-06:00,59.04051979382833 A
2017-04-11T00:00:00-06:00,58.332984606424965 A
2017-04-12T00:00:00-06:00,58.827997287114464 A
2017-04-13T00:00:00-06:00,59.3617289463679 A
2017-04-14T00:00:00-06:00,59.78123438358307 A
2017-04-15T00:00:00-06:00,54.554099122683205 A
2017-04-16T00:00:00-06:00,51.74500139554342 A
2017-04-17T00:00:00-06:00,58.05149002869924 A
2017-04-18T00:00:00-06:00,57.746458888053894 A
2017-04-19T00:00:00-06:00,58.307697455088295 A
2017-04-20T00:00:00-06:00,59.54364422957102 A
2017-04-21T00:00:00-06:00,59.9804660876592 A
2017-04-22T00:00:00-06:00,54.8641988436381 A
2017-04-23T00:00:00-06:00,53.14757299423218 A
2017-04-24T00:00:00-06:00,60.60739771525065 A
2017-04-25T00:00:00-06:00,61.05724859237671 A
2017-04-26T00:00:00-06:00,59.4817715883255 A
2017-04-27T00:00:00-06:00,58.891395489374794 A
2017-04-28T00:00:00-06:00,59.03966518243154 A
2017-04-29T00:00:00-06:00,54.82389716307322 A
2017-04-30T00:00:00-06:00,54.38230097293854 A
2017-05-01T00:00:00-06:00,59.37591143449148 A
2017-05-02T00:00:00-06:00,60.25170850753784 A
2017-05-03T00:00:00-06:00,60.09343481063843 A
2017-05-04T00:00:00-06:00,58.28245392666068 A
2017-05-05T00:00:00-06:00,105.20960521697998 A
2017-05-06T00:00:00-06:00,58.4825718528346 A
2017-05-07T00:00:00-06:00,51.35159699122111 A
2017-05-08T00:00:00-06:00,94.43417241949784 A
2017-05-09T00:00:00-06:00,98.19955817774722 A
2017-05-10T00:00:00-06:00,62.66999753316244 A
2017-05-11T00:00:00-06:00,94.31774282455444 A
2017-05-12T00:00:00-06:00,56.39601639906565 A
2017-05-13T00:00:00-06:00,49.25352462132772 A
2017-05-14T00:00:00-06:00,47.149513721466064 A
2017-05-15T00:00:00-06:00,51.80693572194953 A
