Timestamp,['1ee9af99-071a9129 0053-OLPIN UNION Power Meter (53-1) Current B']
2017-01-01T00:00:00-07:00,47.27947270870209 A
2017-01-02T00:00:00-07:00,47.18693856398264 A
2017-01-03T00:00:00-07:00,54.594048182169594 A
2017-01-04T00:00:00-07:00,56.66992803414663 A
2017-01-05T00:00:00-07:00,54.01298876603445 A
2017-01-06T00:00:00-07:00,53.647250731786094 A
2017-01-07T00:00:00-07:00,50.33148109912872 A
2017-01-08T00:00:00-07:00,48.9136315981547 A
2017-01-09T00:00:00-07:00,57.215604980786644 A
2017-01-10T00:00:00-07:00,57.71936857700348 A
2017-01-11T00:00:00-07:00,58.35445841153463 A
2017-01-12T00:00:00-07:00,58.36881721019745 A
2017-01-13T00:00:00-07:00,57.50461685657501 A
2017-01-14T00:00:00-07:00,53.183348854382835 A
2017-01-15T00:00:00-07:00,47.980932315190636 A
2017-01-16T00:00:00-07:00,47.65723888079325 A
2017-01-17T00:00:00-07:00,57.39053098360697 A
2017-01-18T00:00:00-07:00,57.27697358972886 A
2017-01-19T00:00:00-07:00,56.090033411979675 A
2017-01-20T00:00:00-07:00,54.609095176061 A
2017-01-21T00:00:00-07:00,50.550793727238975 A
2017-01-22T00:00:00-07:00,48.368891636530556 A
2017-01-23T00:00:00-07:00,56.59209140141805 A
2017-01-24T00:00:00-07:00,55.828524788220726 A
2017-01-25T00:00:00-07:00,56.317126512527466 A
2017-01-26T00:00:00-07:00,56.59031550089518 A
2017-01-27T00:00:00-07:00,57.01381063461304 A
2017-01-28T00:00:00-07:00,51.610919713974 A
2017-01-29T00:00:00-07:00,51.22424038251241 A
2017-01-30T00:00:00-07:00,57.0906126499176 A
2017-01-31T00:00:00-07:00,55.87168153127035 A
2017-02-01T00:00:00-07:00,56.40578548113505 A
2017-02-02T00:00:00-07:00,56.875699520111084 A
2017-02-03T00:00:00-07:00,54.92713928222656 A
2017-02-07T00:00:00-07:00,63.141182544184666 A
2017-02-08T00:00:00-07:00,57.78503583272298 A
2017-02-09T00:00:00-07:00,56.43900032838186 A
2017-02-10T00:00:00-07:00,55.90567700068156 A
2017-02-11T00:00:00-07:00,54.20782053094161 A
2017-02-12T00:00:00-07:00,53.1959992647171 A
2017-02-13T00:00:00-07:00,59.3956313530604 A
2017-02-14T00:00:00-07:00,59.16252624988556 A
2017-02-15T00:00:00-07:00,59.367969592412315 A
2017-02-16T00:00:00-07:00,59.10147500038147 A
2017-02-17T00:00:00-07:00,59.11338448524475 A
2017-02-18T00:00:00-07:00,54.93917187054952 A
2017-02-19T00:00:00-07:00,49.67549276351929 A
2017-02-20T00:00:00-07:00,51.891361713409424 A
2017-02-21T00:00:00-07:00,58.11804529031118 A
2017-02-22T00:00:00-07:00,58.79882303873698 A
2017-02-23T00:00:00-07:00,57.3342467546463 A
2017-02-24T00:00:00-07:00,55.42789430256131 A
2017-02-25T00:00:00-07:00,53.921091159184776 A
2017-02-26T00:00:00-07:00,52.392488519350685 A
2017-02-27T00:00:00-07:00,57.37533676624298 A
2017-02-28T00:00:00-07:00,56.467193285624184 A
2017-03-01T00:00:00-07:00,56.64788222312927 A
2017-03-02T00:00:00-07:00,58.99146862824758 A
2017-03-03T00:00:00-07:00,59.111833016077675 A
2017-03-04T00:00:00-07:00,54.17369484901428 A
2017-03-05T00:00:00-07:00,52.157985406172905 A
2017-03-06T00:00:00-07:00,57.26945650577545 A
2017-03-07T00:00:00-07:00,58.94427637259165 A
2017-03-08T00:00:00-07:00,59.1314514875412 A
2017-03-09T00:00:00-07:00,60.57360176245371 A
2017-03-10T00:00:00-07:00,58.47476236025492 A
2017-03-11T00:00:00-07:00,52.25095423062643 A
2017-03-12T00:00:00-07:00,51.60807800292969 A
2017-03-13T00:00:00-06:00,54.02294258276621 A
