Timestamp,"['1ee9afaf-55750c1d 0053-OLPIN UNION Power Meter (53-1) Watts, 3-Ph total']"
2017-01-01T00:00:00-07:00,39.45077133178711 kW
2017-01-02T00:00:00-07:00,40.04247283935547 kW
2017-01-03T00:00:00-07:00,51.50322341918945 kW
2017-01-04T00:00:00-07:00,52.82581329345703 kW
2017-01-05T00:00:00-07:00,48.77190399169922 kW
2017-01-06T00:00:00-07:00,50.883541107177734 kW
2017-01-07T00:00:00-07:00,45.6275749206543 kW
2017-01-08T00:00:00-07:00,47.299522399902344 kW
2017-01-09T00:00:00-07:00,58.97119903564453 kW
2017-01-10T00:00:00-07:00,59.3828125 kW
2017-01-11T00:00:00-07:00,57.18373489379883 kW
2017-01-12T00:00:00-07:00,56.53926467895508 kW
2017-01-13T00:00:00-07:00,55.382442474365234 kW
2017-01-14T00:00:00-07:00,47.319149017333984 kW
2017-01-15T00:00:00-07:00,40.12412643432617 kW
2017-01-16T00:00:00-07:00,39.74687576293945 kW
2017-01-17T00:00:00-07:00,56.2386360168457 kW
2017-01-18T00:00:00-07:00,57.85348892211914 kW
2017-01-19T00:00:00-07:00,57.945858001708984 kW
2017-01-20T00:00:00-07:00,51.57273864746094 kW
2017-01-21T00:00:00-07:00,46.124107360839844 kW
2017-01-22T00:00:00-07:00,44.31138229370117 kW
2017-01-23T00:00:00-07:00,55.688209533691406 kW
2017-01-24T00:00:00-07:00,52.95404815673828 kW
2017-01-25T00:00:00-07:00,56.049129486083984 kW
2017-01-26T00:00:00-07:00,53.551841735839844 kW
2017-01-27T00:00:00-07:00,53.94200134277344 kW
2017-01-28T00:00:00-07:00,47.37799072265625 kW
2017-01-29T00:00:00-07:00,45.66396713256836 kW
2017-01-30T00:00:00-07:00,55.476470947265625 kW
2017-01-31T00:00:00-07:00,55.02621078491211 kW
2017-02-01T00:00:00-07:00,55.11811065673828 kW
2017-02-02T00:00:00-07:00,57.75774383544922 kW
2017-02-03T00:00:00-07:00,54.68849563598633 kW
2017-02-07T00:00:00-07:00,55.494083404541016 kW
2017-02-08T00:00:00-07:00,56.53570556640625 kW
2017-02-09T00:00:00-07:00,54.12958526611328 kW
2017-02-10T00:00:00-07:00,53.46028137207031 kW
2017-02-11T00:00:00-07:00,51.91545867919922 kW
2017-02-12T00:00:00-07:00,50.376495361328125 kW
2017-02-13T00:00:00-07:00,59.13949203491211 kW
2017-02-14T00:00:00-07:00,56.75636672973633 kW
2017-02-15T00:00:00-07:00,57.75907897949219 kW
2017-02-16T00:00:00-07:00,58.628822326660156 kW
2017-02-17T00:00:00-07:00,56.47162628173828 kW
2017-02-18T00:00:00-07:00,49.00828170776367 kW
2017-02-19T00:00:00-07:00,43.09327697753906 kW
2017-02-20T00:00:00-07:00,48.401092529296875 kW
2017-02-21T00:00:00-07:00,57.41646957397461 kW
2017-02-22T00:00:00-07:00,56.52792739868164 kW
2017-02-23T00:00:00-07:00,55.754791259765625 kW
2017-02-24T00:00:00-07:00,53.19117736816406 kW
2017-02-25T00:00:00-07:00,46.920265197753906 kW
2017-02-26T00:00:00-07:00,48.093963623046875 kW
2017-02-27T00:00:00-07:00,55.27734375 kW
2017-02-28T00:00:00-07:00,53.84428024291992 kW
2017-03-01T00:00:00-07:00,54.65684509277344 kW
2017-03-02T00:00:00-07:00,57.94940948486328 kW
2017-03-03T00:00:00-07:00,56.49458312988281 kW
2017-03-04T00:00:00-07:00,47.00901412963867 kW
2017-03-05T00:00:00-07:00,47.94723892211914 kW
2017-03-06T00:00:00-07:00,55.12116622924805 kW
2017-03-07T00:00:00-07:00,54.36835479736328 kW
2017-03-08T00:00:00-07:00,57.6091194152832 kW
2017-03-09T00:00:00-07:00,60.32232666015625 kW
2017-03-10T00:00:00-07:00,55.62350845336914 kW
2017-03-11T00:00:00-07:00,46.20514678955078 kW
2017-03-12T00:00:00-07:00,43.915733337402344 kW
2017-03-13T00:00:00-06:00,50.79898452758789 kW
2017-03-14T00:00:00-06:00,53.28535842895508 kW
2017-03-15T00:00:00-06:00,53.47236251831055 kW
2017-03-16T00:00:00-06:00,55.247947692871094 kW
2017-03-17T00:00:00-06:00,52.97013854980469 kW
2017-03-18T00:00:00-06:00,44.805763244628906 kW
2017-03-19T00:00:00-06:00,40.025814056396484 kW
2017-03-20T00:00:00-06:00,114.92123413085938 kW
2017-03-21T00:00:00-06:00,56.576210021972656 kW
2017-03-22T00:00:00-06:00,93.25816345214844 kW
2017-03-23T00:00:00-06:00,54.755619049072266 kW
2017-03-24T00:00:00-06:00,56.63204574584961 kW
