Timestamp,['1ef467d0-803ebcfc 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Current B']
2017-01-01T00:00:00-07:00,62.24380540847778 A
2017-01-02T00:00:00-07:00,68.40650586287181 A
2017-01-03T00:00:00-07:00,74.94348879655202 A
2017-01-04T00:00:00-07:00,75.00764314333598 A
2017-01-05T00:00:00-07:00,77.42226405938466 A
2017-01-06T00:00:00-07:00,75.5018234650294 A
2017-01-07T00:00:00-07:00,65.44113659858704 A
2017-01-08T00:00:00-07:00,62.30743098258972 A
2017-01-09T00:00:00-07:00,83.13974575201671 A
2017-01-10T00:00:00-07:00,83.65955559412639 A
2017-01-11T00:00:00-07:00,85.74885555108388 A
2017-01-12T00:00:00-07:00,82.49078830083211 A
2017-01-13T00:00:00-07:00,78.28740084171295 A
2017-01-14T00:00:00-07:00,61.279419898986816 A
2017-01-15T00:00:00-07:00,60.08593503634135 A
2017-01-16T00:00:00-07:00,64.61981523036957 A
2017-01-17T00:00:00-07:00,86.66603350639343 A
2017-01-18T00:00:00-07:00,79.62239074707031 A
2017-01-19T00:00:00-07:00,80.79878846804301 A
2017-01-20T00:00:00-07:00,76.05393501122792 A
2017-01-21T00:00:00-07:00,58.10346015294393 A
2017-01-22T00:00:00-07:00,57.54644012451172 A
2017-01-23T00:00:00-07:00,79.79338367780049 A
2017-01-24T00:00:00-07:00,79.44396436214447 A
2017-01-25T00:00:00-07:00,79.50298424561818 A
2017-01-26T00:00:00-07:00,78.75690376758575 A
2017-01-27T00:00:00-07:00,77.27401010195415 A
2017-01-28T00:00:00-07:00,63.489969412485756 A
2017-01-29T00:00:00-07:00,62.65904951095581 A
2017-01-30T00:00:00-07:00,85.88415058453877 A
2017-01-31T00:00:00-07:00,79.97856493790944 A
2017-02-01T00:00:00-07:00,80.73501964410146 A
2017-02-02T00:00:00-07:00,78.47212727864583 A
2017-02-03T00:00:00-07:00,89.76968732930847 A
2017-02-07T00:00:00-07:00,85.90334177017212 A
2017-02-08T00:00:00-07:00,82.84664983334748 A
2017-02-09T00:00:00-07:00,76.27549954255421 A
2017-02-10T00:00:00-07:00,84.13184408346812 A
2017-02-11T00:00:00-07:00,62.400590221087135 A
2017-02-12T00:00:00-07:00,57.18979259332021 A
2017-02-13T00:00:00-07:00,81.77912151813507 A
2017-02-14T00:00:00-07:00,76.0469378232956 A
2017-02-15T00:00:00-07:00,80.50317772229512 A
2017-02-16T00:00:00-07:00,79.6026492913564 A
2017-02-17T00:00:00-07:00,73.9267114798228 A
2017-02-18T00:00:00-07:00,57.47551401456197 A
2017-02-19T00:00:00-07:00,58.144542376200356 A
2017-02-20T00:00:00-07:00,58.689923564592995 A
2017-02-21T00:00:00-07:00,83.94427402814229 A
2017-02-22T00:00:00-07:00,86.96610073248546 A
2017-02-23T00:00:00-07:00,80.14206870396931 A
2017-02-24T00:00:00-07:00,73.22292559659934 A
2017-02-25T00:00:00-07:00,67.63992742697398 A
2017-02-26T00:00:00-07:00,68.6492569843928 A
2017-02-27T00:00:00-07:00,92.73412676652272 A
2017-02-28T00:00:00-07:00,85.03249192237854 A
2017-03-01T00:00:00-07:00,84.30930630366008 A
2017-03-02T00:00:00-07:00,82.57630483309428 A
2017-03-03T00:00:00-07:00,87.72373859087627 A
2017-03-04T00:00:00-07:00,59.81343686580658 A
2017-03-05T00:00:00-07:00,58.58388157685598 A
2017-03-06T00:00:00-07:00,87.82010610898335 A
2017-03-07T00:00:00-07:00,81.29019379615784 A
2017-03-08T00:00:00-07:00,75.08122940858205 A
2017-03-09T00:00:00-07:00,72.08120095729828 A
2017-03-10T00:00:00-07:00,66.14166414737701 A
2017-03-11T00:00:00-07:00,54.57732284069061 A
2017-03-12T00:00:00-07:00,51.47274473439092 A
2017-03-13T00:00:00-06:00,64.19404566287994 A
2017-03-14T00:00:00-06:00,64.76801860332489 A
2017-03-15T00:00:00-06:00,65.95477608839671 A
2017-03-16T00:00:00-06:00,63.78835956255595 A
2017-03-17T00:00:00-06:00,64.26023431619008 A
2017-03-18T00:00:00-06:00,49.61346991856893 A
2017-03-19T00:00:00-06:00,53.903274854024254 A
2017-03-20T00:00:00-06:00,73.12682894442943 A
2017-03-21T00:00:00-06:00,70.18000996112823 A
2017-03-22T00:00:00-06:00,75.30227867762248 A
2017-03-23T00:00:00-06:00,82.84861671924591 A
2017-03-24T00:00:00-06:00,75.57605528831482 A
2017-03-25T00:00:00-06:00,53.36497024695078 A
2017-03-26T00:00:00-06:00,51.471752087275185 A
2017-03-27T00:00:00-06:00,82.26287631193797 A
2017-03-28T00:00:00-06:00,71.52697499593098 A
2017-03-29T00:00:00-06:00,80.53074635399713 A
2017-03-30T00:00:00-06:00,83.30196736653646 A
2017-03-31T00:00:00-06:00,76.76866885026296 A
2017-04-01T00:00:00-06:00,52.258120695749916 A
2017-04-02T00:00:00-06:00,55.34726230303446 A
2017-04-03T00:00:00-06:00,77.86116067568462 A
2017-04-04T00:00:00-06:00,69.71404242515564 A
2017-04-05T00:00:00-06:00,71.76626137892406 A
2017-04-06T00:00:00-06:00,68.41450111071269 A
2017-04-07T00:00:00-06:00,73.20810337861379 A
2017-04-08T00:00:00-06:00,57.107446352640785 A
2017-04-09T00:00:00-06:00,55.16832439104716 A
2017-04-10T00:00:00-06:00,75.30908711751302 A
2017-04-11T00:00:00-06:00,70.1975154876709 A
2017-04-12T00:00:00-06:00,68.59086179733276 A
2017-04-13T00:00:00-06:00,69.54484462738037 A
2017-04-14T00:00:00-06:00,73.21215037504832 A
2017-04-15T00:00:00-06:00,79.73486268520355 A
2017-04-16T00:00:00-06:00,53.085479617118835 A
2017-04-17T00:00:00-06:00,78.7354545990626 A
2017-04-18T00:00:00-06:00,69.8095211982727 A
2017-04-19T00:00:00-06:00,70.58474600315094 A
2017-04-20T00:00:00-06:00,69.1844591697057 A
2017-04-21T00:00:00-06:00,69.16914721330006 A
2017-04-22T00:00:00-06:00,50.47132861614227 A
2017-04-23T00:00:00-06:00,52.712149262428284 A
2017-04-24T00:00:00-06:00,78.61852343877156 A
2017-04-25T00:00:00-06:00,78.00449244181316 A
2017-04-26T00:00:00-06:00,77.37046678860982 A
2017-04-27T00:00:00-06:00,74.63668394088745 A
2017-04-28T00:00:00-06:00,68.31785154342651 A
2017-04-29T00:00:00-06:00,52.10572626193365 A
2017-04-30T00:00:00-06:00,52.615450938542686 A
2017-05-01T00:00:00-06:00,69.68926215171814 A
2017-05-02T00:00:00-06:00,69.5160505771637 A
2017-05-03T00:00:00-06:00,71.00713713963826 A
2017-05-04T00:00:00-06:00,65.81557488441467 A
2017-05-05T00:00:00-06:00,69.29332121213277 A
2017-05-06T00:00:00-06:00,51.24281871318817 A
2017-05-07T00:00:00-06:00,53.757298390070595 A
2017-05-08T00:00:00-06:00,69.10272347927094 A
2017-05-09T00:00:00-06:00,66.11375363667806 A
2017-05-10T00:00:00-06:00,66.61985850334167 A
2017-05-11T00:00:00-06:00,64.16589105129242 A
2017-05-12T00:00:00-06:00,53.96308044592539 A
2017-05-13T00:00:00-06:00,51.91371349493662 A
2017-05-14T00:00:00-06:00,51.77028799057007 A
2017-05-15T00:00:00-06:00,77.81878825028737 A
2017-05-16T00:00:00-06:00,61.766504645347595 A
2017-05-17T00:00:00-06:00,70.57506573200226 A
2017-05-18T00:00:00-06:00,62.905930836995445 A
2017-05-19T00:00:00-06:00,73.99317808945973 A
2017-05-20T00:00:00-06:00,51.83761097987493 A
2017-05-21T00:00:00-06:00,52.340672651926674 A
2017-05-22T00:00:00-06:00,69.92377603054047 A
2017-05-23T00:00:00-06:00,63.087698101997375 A
2017-05-24T00:00:00-06:00,69.02103463808696 A
2017-05-25T00:00:00-06:00,74.30328849951427 A
2017-05-26T00:00:00-06:00,65.04098002115886 A
2017-05-27T00:00:00-06:00,57.12843880904348 A
2017-05-28T00:00:00-06:00,52.90113806724548 A
2017-05-29T00:00:00-06:00,51.73940467834473 A
2017-05-30T00:00:00-06:00,67.15811618169148 A
2017-05-31T00:00:00-06:00,59.953617016474404 A
2017-06-01T00:00:00-06:00,63.1948029200236 A
2017-06-02T00:00:00-06:00,72.45238478978474 A
2017-06-03T00:00:00-06:00,46.926534712314606 A
2017-06-04T00:00:00-06:00,52.99517794450124 A
2017-06-05T00:00:00-06:00,67.83215705553691 A
2017-06-06T00:00:00-06:00,69.60326913992564 A
2017-06-07T00:00:00-06:00,60.68032948176066 A
2017-06-08T00:00:00-06:00,72.53839429219563 A
2017-06-09T00:00:00-06:00,72.35713175932567 A
