Timestamp,['1ef467d3-edf83bb0 0070-QUINNEY COLLEGE OF LAW Power Meter E-1 313200 Current C']
2017-01-01T00:00:00-07:00,38.76638297239939 A
2017-01-02T00:00:00-07:00,45.60678784052531 A
2017-01-03T00:00:00-07:00,49.60626745223999 A
2017-01-04T00:00:00-07:00,48.84130382537842 A
2017-01-05T00:00:00-07:00,49.88376839955648 A
2017-01-06T00:00:00-07:00,52.49033502737681 A
2017-01-07T00:00:00-07:00,43.609092712402344 A
2017-01-08T00:00:00-07:00,41.77626840273539 A
2017-01-09T00:00:00-07:00,61.178824027379356 A
2017-01-10T00:00:00-07:00,63.11634095509847 A
2017-01-11T00:00:00-07:00,62.366955836613975 A
2017-01-12T00:00:00-07:00,62.09796190261841 A
2017-01-13T00:00:00-07:00,57.33258819580078 A
2017-01-14T00:00:00-07:00,43.38817711671194 A
2017-01-15T00:00:00-07:00,41.54045057296753 A
2017-01-16T00:00:00-07:00,46.04763042926788 A
2017-01-17T00:00:00-07:00,68.70220863819122 A
2017-01-18T00:00:00-07:00,64.30973581167368 A
2017-01-19T00:00:00-07:00,60.66421457131704 A
2017-01-20T00:00:00-07:00,60.86906588077545 A
2017-01-21T00:00:00-07:00,41.453360199928284 A
2017-01-22T00:00:00-07:00,42.11094836393992 A
2017-01-23T00:00:00-07:00,60.79226823647817 A
2017-01-24T00:00:00-07:00,60.74198114871979 A
2017-01-25T00:00:00-07:00,62.18067753314972 A
2017-01-26T00:00:00-07:00,63.727492451667786 A
2017-01-27T00:00:00-07:00,61.576327522595726 A
2017-01-28T00:00:00-07:00,46.066311955451965 A
2017-01-29T00:00:00-07:00,44.247071623802185 A
2017-01-30T00:00:00-07:00,69.36751174926758 A
2017-01-31T00:00:00-07:00,64.1543558438619 A
2017-02-01T00:00:00-07:00,63.827182610829674 A
2017-02-02T00:00:00-07:00,60.9713389078776 A
2017-02-03T00:00:00-07:00,66.8278959274292 A
2017-02-07T00:00:00-07:00,65.86342803637187 A
2017-02-08T00:00:00-07:00,59.528077498726226 A
2017-02-09T00:00:00-07:00,57.166130224863686 A
2017-02-10T00:00:00-07:00,59.44643076260885 A
2017-02-11T00:00:00-07:00,43.13763745625814 A
2017-02-12T00:00:00-07:00,40.92345813910166 A
2017-02-13T00:00:00-07:00,67.52878793080647 A
2017-02-14T00:00:00-07:00,64.5423351128896 A
2017-02-15T00:00:00-07:00,64.714830438296 A
2017-02-16T00:00:00-07:00,64.2994813521703 A
2017-02-17T00:00:00-07:00,55.16847316424052 A
2017-02-18T00:00:00-07:00,41.70669039090475 A
2017-02-19T00:00:00-07:00,41.321826577186584 A
2017-02-20T00:00:00-07:00,43.9092740615209 A
2017-02-21T00:00:00-07:00,68.77041546503703 A
2017-02-22T00:00:00-07:00,65.96203541755676 A
2017-02-23T00:00:00-07:00,60.018381436665855 A
2017-02-24T00:00:00-07:00,50.22181141527393 A
