Timestamp,['1ef4684e-3b513c82 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 Current B']
2017-01-01T00:00:00-07:00,63.976581851641335 A
2017-01-02T00:00:00-07:00,66.13046673933665 A
2017-01-03T00:00:00-07:00,74.27069735527039 A
2017-01-04T00:00:00-07:00,73.55379422505696 A
2017-01-05T00:00:00-07:00,69.21166789531708 A
2017-01-06T00:00:00-07:00,70.12047294775645 A
2017-01-07T00:00:00-07:00,64.74413915475209 A
2017-01-08T00:00:00-07:00,68.27030551433563 A
2017-01-09T00:00:00-07:00,77.40619524319966 A
2017-01-10T00:00:00-07:00,74.65703364213307 A
2017-01-11T00:00:00-07:00,75.75952418645223 A
2017-01-12T00:00:00-07:00,73.31780401865642 A
2017-01-13T00:00:00-07:00,66.95471481482188 A
2017-01-14T00:00:00-07:00,60.06982032457987 A
2017-01-15T00:00:00-07:00,61.17955160140991 A
2017-01-16T00:00:00-07:00,61.36980038881302 A
2017-01-17T00:00:00-07:00,67.64262783527374 A
2017-01-18T00:00:00-07:00,71.57700370606922 A
2017-01-19T00:00:00-07:00,76.48417615890503 A
2017-01-20T00:00:00-07:00,66.87655242284139 A
2017-01-21T00:00:00-07:00,68.61169338226318 A
2017-01-22T00:00:00-07:00,67.90272084871928 A
2017-01-23T00:00:00-07:00,75.19710218906403 A
2017-01-24T00:00:00-07:00,78.01618234316508 A
2017-01-25T00:00:00-07:00,76.35403188069661 A
2017-01-26T00:00:00-07:00,75.57827524344127 A
2017-01-27T00:00:00-07:00,74.80077616373698 A
2017-01-28T00:00:00-07:00,71.91353106498718 A
2017-01-29T00:00:00-07:00,71.48358194033305 A
2017-01-30T00:00:00-07:00,75.60530638694763 A
2017-01-31T00:00:00-07:00,79.4596495628357 A
2017-02-01T00:00:00-07:00,78.09225217501323 A
2017-02-02T00:00:00-07:00,78.16755795478821 A
2017-02-03T00:00:00-07:00,73.5715939796577 A
2017-02-07T00:00:00-07:00,71.94042227403173 A
2017-02-08T00:00:00-07:00,58.990608424930784 A
2017-02-09T00:00:00-07:00,60.75659918785095 A
