Timestamp,['1ef46852-9372bc23 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 Current C']
2017-01-01T00:00:00-07:00,32.92382971445719 A
2017-01-02T00:00:00-07:00,32.9747164050738 A
2017-01-03T00:00:00-07:00,32.63327546914419 A
2017-01-04T00:00:00-07:00,31.9888241092364 A
2017-01-05T00:00:00-07:00,28.311393280824024 A
2017-01-06T00:00:00-07:00,29.771571069955826 A
2017-01-07T00:00:00-07:00,27.99846814076106 A
2017-01-08T00:00:00-07:00,29.25767199198405 A
2017-01-09T00:00:00-07:00,40.77428927024206 A
2017-01-10T00:00:00-07:00,44.274322847525276 A
2017-01-11T00:00:00-07:00,44.10854681332906 A
2017-01-12T00:00:00-07:00,44.16307032108307 A
2017-01-13T00:00:00-07:00,36.957572638988495 A
2017-01-14T00:00:00-07:00,30.212219268083572 A
2017-01-15T00:00:00-07:00,30.98248725136121 A
2017-01-16T00:00:00-07:00,30.30097238222758 A
2017-01-17T00:00:00-07:00,38.389243284861244 A
2017-01-18T00:00:00-07:00,35.97891046860639 A
2017-01-19T00:00:00-07:00,45.84083906809489 A
2017-01-20T00:00:00-07:00,31.01368474960327 A
2017-01-21T00:00:00-07:00,30.268262922763824 A
2017-01-22T00:00:00-07:00,29.875104149182636 A
2017-01-23T00:00:00-07:00,42.492912669976555 A
2017-01-24T00:00:00-07:00,43.81722946961721 A
2017-01-25T00:00:00-07:00,39.1747035185496 A
2017-01-26T00:00:00-07:00,41.43912420670191 A
2017-01-27T00:00:00-07:00,37.557255824406944 A
2017-01-28T00:00:00-07:00,30.915808101495106 A
2017-01-29T00:00:00-07:00,31.28183849652608 A
2017-01-30T00:00:00-07:00,38.644424080848694 A
2017-01-31T00:00:00-07:00,44.19623762369156 A
2017-02-01T00:00:00-07:00,39.43518586953481 A
2017-02-02T00:00:00-07:00,43.623263696829476 A
2017-02-03T00:00:00-07:00,37.41825931355105 A
2017-02-07T00:00:00-07:00,46.714976688600935 A
2017-02-08T00:00:00-07:00,30.72923939044659 A
2017-02-09T00:00:00-07:00,32.54533717036247 A
2017-02-10T00:00:00-07:00,34.215176075696945 A
2017-02-11T00:00:00-07:00,30.54182304938634 A
2017-02-12T00:00:00-07:00,31.554858307043713 A
2017-02-13T00:00:00-07:00,33.137399554252625 A
2017-02-14T00:00:00-07:00,33.17418300112089 A
2017-02-15T00:00:00-07:00,31.720543046792347 A
2017-02-16T00:00:00-07:00,35.793100913365684 A
2017-02-17T00:00:00-07:00,32.18954145908356 A
2017-02-18T00:00:00-07:00,18.605763465166092 A
2017-02-19T00:00:00-07:00,20.282783180475235 A
2017-02-20T00:00:00-07:00,25.390932887792587 A
2017-02-21T00:00:00-07:00,36.71918914715449 A
2017-02-22T00:00:00-07:00,37.354394932587944 A
2017-02-23T00:00:00-07:00,46.95429356892904 A
2017-02-24T00:00:00-07:00,40.28789882418476 A
2017-02-25T00:00:00-07:00,38.797207276026406 A
2017-02-26T00:00:00-07:00,36.18283184369405 A
2017-02-27T00:00:00-07:00,46.305822332700096 A
2017-02-28T00:00:00-07:00,39.360227823257446 A
2017-03-01T00:00:00-07:00,36.3454572558403 A
2017-03-02T00:00:00-07:00,34.71812783678373 A
2017-03-03T00:00:00-07:00,32.24034665028254 A
2017-03-04T00:00:00-07:00,23.62015903989474 A
2017-03-05T00:00:00-07:00,27.588604763150215 A
2017-03-06T00:00:00-07:00,45.77962311108907 A
2017-03-07T00:00:00-07:00,44.98403110106786 A
2017-03-08T00:00:00-07:00,31.3112573325634 A
2017-03-09T00:00:00-07:00,27.71011073390643 A
2017-03-10T00:00:00-07:00,24.27301541964213 A
2017-03-11T00:00:00-07:00,21.17085795601209 A
2017-03-12T00:00:00-07:00,23.60369756947393 A
2017-03-13T00:00:00-06:00,24.573259035746258 A
2017-03-14T00:00:00-06:00,24.85709285736084 A
2017-03-15T00:00:00-06:00,24.958446751038235 A
2017-03-16T00:00:00-06:00,25.364872008562088 A
2017-03-17T00:00:00-06:00,26.489254881938297 A
2017-03-18T00:00:00-06:00,21.98378883798917 A
2017-03-19T00:00:00-06:00,20.664079214135807 A
2017-03-20T00:00:00-06:00,31.30489814027827 A
2017-03-21T00:00:00-06:00,31.461664994557697 A
2017-03-22T00:00:00-06:00,35.031904677549996 A
2017-03-23T00:00:00-06:00,34.11348064740499 A
2017-03-24T00:00:00-06:00,30.741910596688587 A
2017-03-25T00:00:00-06:00,22.55125977595647 A
2017-03-26T00:00:00-06:00,29.064416935046513 A
2017-03-27T00:00:00-06:00,36.99182277917862 A
2017-03-28T00:00:00-06:00,35.76864375670751 A
2017-03-29T00:00:00-06:00,30.250006159146626 A
2017-03-30T00:00:00-06:00,35.82042973836263 A
2017-03-31T00:00:00-06:00,30.62206197778384 A
