Timestamp,"['1ef4685c-bd33e7cc 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 W-hours, Received']"
2017-01-01T00:00:00-07:00,880.34375 kWh
2017-01-02T00:00:00-07:00,890.78125 kWh
2017-01-03T00:00:00-07:00,984.09375 kWh
2017-01-04T00:00:00-07:00,980.875 kWh
2017-01-05T00:00:00-07:00,900.5625 kWh
2017-01-06T00:00:00-07:00,947.71875 kWh
2017-01-07T00:00:00-07:00,862.21875 kWh
2017-01-08T00:00:00-07:00,913.96875 kWh
2017-01-09T00:00:00-07:00,1108.5 kWh
2017-01-10T00:00:00-07:00,1111.71875 kWh
2017-01-11T00:00:00-07:00,1139.84375 kWh
2017-01-12T00:00:00-07:00,1128.3125 kWh
2017-01-13T00:00:00-07:00,944.9375 kWh
2017-01-14T00:00:00-07:00,826.875 kWh
2017-01-15T00:00:00-07:00,845.1875 kWh
2017-01-16T00:00:00-07:00,827.65625 kWh
2017-01-17T00:00:00-07:00,960.03125 kWh
2017-01-18T00:00:00-07:00,960.75 kWh
2017-01-19T00:00:00-07:00,1163.90625 kWh
2017-01-20T00:00:00-07:00,904.8125 kWh
2017-01-21T00:00:00-07:00,933.03125 kWh
2017-01-22T00:00:00-07:00,926.40625 kWh
2017-01-23T00:00:00-07:00,1114.5 kWh
2017-01-24T00:00:00-07:00,1146.9375 kWh
2017-01-25T00:00:00-07:00,1099.03125 kWh
2017-01-26T00:00:00-07:00,1087.09375 kWh
2017-01-27T00:00:00-07:00,1037.5 kWh
2017-01-28T00:00:00-07:00,939 kWh
2017-01-29T00:00:00-07:00,936.21875 kWh
2017-01-30T00:00:00-07:00,1087.125 kWh
2017-01-31T00:00:00-07:00,1139.0625 kWh
2017-02-01T00:00:00-07:00,1105.65625 kWh
2017-02-02T00:00:00-07:00,1147.3125 kWh
2017-02-03T00:00:00-07:00,3632.6875 kWh
2017-02-07T00:00:00-07:00,632.5625 kWh
2017-02-08T00:00:00-07:00,813.65625 kWh
2017-02-09T00:00:00-07:00,869.65625 kWh
2017-02-10T00:00:00-07:00,954.5625 kWh
2017-02-11T00:00:00-07:00,791.3125 kWh
2017-02-12T00:00:00-07:00,718.625 kWh
2017-02-13T00:00:00-07:00,866.0625 kWh
2017-02-14T00:00:00-07:00,860.65625 kWh
2017-02-15T00:00:00-07:00,864.9375 kWh
2017-02-16T00:00:00-07:00,917.96875 kWh
2017-02-17T00:00:00-07:00,843.46875 kWh
2017-02-18T00:00:00-07:00,524.96875 kWh
2017-02-19T00:00:00-07:00,484.875 kWh
2017-02-20T00:00:00-07:00,707.21875 kWh
2017-02-21T00:00:00-07:00,836.3125 kWh
2017-02-22T00:00:00-07:00,1058.78125 kWh
2017-02-23T00:00:00-07:00,1156.15625 kWh
2017-02-24T00:00:00-07:00,1097.375 kWh
2017-02-25T00:00:00-07:00,1005.375 kWh
2017-02-26T00:00:00-07:00,982.46875 kWh
2017-02-27T00:00:00-07:00,1157.9375 kWh
2017-02-28T00:00:00-07:00,1114.09375 kWh
2017-03-01T00:00:00-07:00,1069.40625 kWh
2017-03-02T00:00:00-07:00,860.625 kWh
2017-03-03T00:00:00-07:00,755.03125 kWh
2017-03-04T00:00:00-07:00,525.0625 kWh
2017-03-05T00:00:00-07:00,494.8125 kWh
2017-03-06T00:00:00-07:00,1158.71875 kWh
2017-03-07T00:00:00-07:00,1108.4375 kWh
2017-03-08T00:00:00-07:00,825.25 kWh
2017-03-09T00:00:00-07:00,610.625 kWh
2017-03-10T00:00:00-07:00,602.53125 kWh
2017-03-11T00:00:00-07:00,364 kWh
2017-03-12T00:00:00-07:00,252.40625 kWh
2017-03-13T00:00:00-06:00,520.03125 kWh
2017-03-14T00:00:00-06:00,500.1875 kWh
2017-03-15T00:00:00-06:00,482.28125 kWh
2017-03-16T00:00:00-06:00,546.5625 kWh
2017-03-17T00:00:00-06:00,461.9375 kWh
2017-03-18T00:00:00-06:00,331.75 kWh
2017-03-19T00:00:00-06:00,315.375 kWh
2017-03-20T00:00:00-06:00,818.4375 kWh
2017-03-21T00:00:00-06:00,769.8125 kWh
2017-03-22T00:00:00-06:00,847.625 kWh
2017-03-23T00:00:00-06:00,908.375 kWh
2017-03-24T00:00:00-06:00,610.8125 kWh
2017-03-25T00:00:00-06:00,699.3125 kWh
2017-03-26T00:00:00-06:00,518.625 kWh
2017-03-27T00:00:00-06:00,996.375 kWh
2017-03-28T00:00:00-06:00,725.875 kWh
2017-03-29T00:00:00-06:00,1023.5 kWh
2017-03-30T00:00:00-06:00,451.5 kWh
2017-03-31T00:00:00-06:00,789.6875 kWh
2017-04-01T00:00:00-06:00,337.4375 kWh
2017-04-02T00:00:00-06:00,444.5625 kWh
2017-04-03T00:00:00-06:00,691.125 kWh
2017-04-04T00:00:00-06:00,722.0625 kWh
2017-04-05T00:00:00-06:00,663.5625 kWh
2017-04-06T00:00:00-06:00,626.75 kWh
2017-04-07T00:00:00-06:00,939.8125 kWh
2017-04-08T00:00:00-06:00,634.4375 kWh
2017-04-09T00:00:00-06:00,750.375 kWh
2017-04-10T00:00:00-06:00,659.875 kWh
2017-04-11T00:00:00-06:00,766.9375 kWh
2017-04-12T00:00:00-06:00,518.375 kWh
2017-04-13T00:00:00-06:00,535.25 kWh
2017-04-14T00:00:00-06:00,606 kWh
2017-04-15T00:00:00-06:00,414.1875 kWh
2017-04-16T00:00:00-06:00,401.3125 kWh
2017-04-17T00:00:00-06:00,635.0625 kWh
2017-04-18T00:00:00-06:00,862.8125 kWh
2017-04-19T00:00:00-06:00,630.875 kWh
2017-04-20T00:00:00-06:00,739.875 kWh
2017-04-21T00:00:00-06:00,632.6875 kWh
2017-04-22T00:00:00-06:00,354.875 kWh
2017-04-23T00:00:00-06:00,347.8125 kWh
2017-04-24T00:00:00-06:00,846.0625 kWh
2017-04-25T00:00:00-06:00,860.6875 kWh
2017-04-26T00:00:00-06:00,806.5 kWh
2017-04-27T00:00:00-06:00,690 kWh
2017-04-28T00:00:00-06:00,781.8125 kWh
2017-04-29T00:00:00-06:00,493.5625 kWh
2017-04-30T00:00:00-06:00,380.75 kWh
2017-05-01T00:00:00-06:00,529.5 kWh
2017-05-02T00:00:00-06:00,569.125 kWh
2017-05-03T00:00:00-06:00,481.9375 kWh
2017-05-04T00:00:00-06:00,462.875 kWh
2017-05-05T00:00:00-06:00,447.25 kWh
2017-05-06T00:00:00-06:00,339 kWh
2017-05-07T00:00:00-06:00,226.3125 kWh
2017-05-08T00:00:00-06:00,455.5 kWh
2017-05-09T00:00:00-06:00,401.6875 kWh
2017-05-10T00:00:00-06:00,472.25 kWh
2017-05-11T00:00:00-06:00,410.8125 kWh
2017-05-12T00:00:00-06:00,381.625 kWh
2017-05-13T00:00:00-06:00,292.3125 kWh
2017-05-14T00:00:00-06:00,293.9375 kWh
2017-05-15T00:00:00-06:00,459.375 kWh
2017-05-16T00:00:00-06:00,523 kWh
2017-05-17T00:00:00-06:00,619.375 kWh
2017-05-18T00:00:00-06:00,610.8125 kWh
2017-05-19T00:00:00-06:00,465.875 kWh
2017-05-20T00:00:00-06:00,246.5 kWh
