Timestamp,['1ef46870-c3f749eb 0070-QUINNEY COLLEGE OF LAW Power Meter 313199 Current C']
2017-01-01T00:00:00-07:00,171.7184960047404 A
2017-01-02T00:00:00-07:00,173.943274974823 A
2017-01-03T00:00:00-07:00,173.99344650904337 A
2017-01-04T00:00:00-07:00,164.7390627861023 A
2017-01-05T00:00:00-07:00,164.6701372464498 A
2017-01-06T00:00:00-07:00,166.9441864490509 A
2017-01-07T00:00:00-07:00,162.75466696421304 A
2017-01-08T00:00:00-07:00,159.77496528625488 A
2017-01-09T00:00:00-07:00,173.73881514867148 A
2017-01-10T00:00:00-07:00,178.3821646372477 A
2017-01-11T00:00:00-07:00,178.55519421895346 A
2017-01-12T00:00:00-07:00,177.4656335512797 A
2017-01-13T00:00:00-07:00,164.67330694198608 A
2017-01-14T00:00:00-07:00,152.60228141148886 A
2017-01-15T00:00:00-07:00,155.82462056477866 A
2017-01-16T00:00:00-07:00,163.3793020248413 A
2017-01-17T00:00:00-07:00,173.98222740491232 A
2017-01-18T00:00:00-07:00,171.48645623175653 A
2017-01-19T00:00:00-07:00,183.91836913426718 A
2017-01-20T00:00:00-07:00,160.38514629999796 A
2017-01-21T00:00:00-07:00,162.61563475926718 A
2017-01-22T00:00:00-07:00,167.45307556788126 A
2017-01-23T00:00:00-07:00,185.50649785995483 A
2017-01-24T00:00:00-07:00,190.68543577194214 A
2017-01-25T00:00:00-07:00,189.45284684499106 A
2017-01-26T00:00:00-07:00,192.18664375940958 A
2017-01-27T00:00:00-07:00,186.63694111506143 A
2017-01-28T00:00:00-07:00,173.4963183403015 A
2017-01-29T00:00:00-07:00,175.16896724700928 A
2017-01-30T00:00:00-07:00,187.84964799880981 A
2017-01-31T00:00:00-07:00,191.2439235051473 A
2017-02-01T00:00:00-07:00,182.01576827199835 A
2017-02-02T00:00:00-07:00,180.19376103083292 A
2017-02-03T00:00:00-07:00,170.68317917645987 A
2017-02-07T00:00:00-07:00,186.34509674072265 A
2017-02-08T00:00:00-07:00,155.29286023403736 A
2017-02-09T00:00:00-07:00,165.1226500670115 A
2017-02-10T00:00:00-07:00,169.27822542190552 A
2017-02-11T00:00:00-07:00,149.65111621220908 A
2017-02-12T00:00:00-07:00,149.71797545750937 A
2017-02-13T00:00:00-07:00,163.78414114316305 A
2017-02-14T00:00:00-07:00,158.49703780810037 A
2017-02-15T00:00:00-07:00,158.4026772181193 A
2017-02-16T00:00:00-07:00,166.4854576587677 A
2017-02-17T00:00:00-07:00,154.70078126589456 A
2017-02-18T00:00:00-07:00,115.49125965436299 A
2017-02-19T00:00:00-07:00,100.3954143722852 A
2017-02-20T00:00:00-07:00,148.05672430992126 A
2017-02-21T00:00:00-07:00,157.87847018241882 A
2017-02-22T00:00:00-07:00,177.58619133631387 A
2017-02-23T00:00:00-07:00,190.51906172434488 A
2017-02-24T00:00:00-07:00,183.97931661485117 A
2017-02-25T00:00:00-07:00,178.97030957539877 A
