Timestamp,['1f000c03-b91ba8c8 0067-UNIVERSITY CAMPUS STORE Power Meter Energy Consumption']
2017-01-01T00:00:00-07:00,1415 kWh
2017-01-02T00:00:00-07:00,1692 kWh
2017-01-03T00:00:00-07:00,1874 kWh
2017-01-04T00:00:00-07:00,1874 kWh
2017-01-05T00:00:00-07:00,1950 kWh
2017-01-06T00:00:00-07:00,1965 kWh
2017-01-07T00:00:00-07:00,1775 kWh
2017-01-08T00:00:00-07:00,1558 kWh
2017-01-09T00:00:00-07:00,1961 kWh
2017-01-10T00:00:00-07:00,1919 kWh
2017-01-11T00:00:00-07:00,1891 kWh
2017-01-12T00:00:00-07:00,1894 kWh
2017-01-13T00:00:00-07:00,1861 kWh
2017-01-14T00:00:00-07:00,1611 kWh
2017-01-15T00:00:00-07:00,1365 kWh
2017-01-16T00:00:00-07:00,1410 kWh
2017-01-17T00:00:00-07:00,1954 kWh
2017-01-18T00:00:00-07:00,1965 kWh
2017-01-19T00:00:00-07:00,1906 kWh
2017-01-20T00:00:00-07:00,1867 kWh
2017-01-21T00:00:00-07:00,1523 kWh
2017-01-22T00:00:00-07:00,1365 kWh
2017-01-23T00:00:00-07:00,1877 kWh
2017-01-24T00:00:00-07:00,1919 kWh
2017-01-25T00:00:00-07:00,1915 kWh
2017-01-26T00:00:00-07:00,1940 kWh
2017-01-27T00:00:00-07:00,1950 kWh
2017-01-28T00:00:00-07:00,1617 kWh
2017-01-29T00:00:00-07:00,1422 kWh
2017-01-30T00:00:00-07:00,1956 kWh
2017-01-31T00:00:00-07:00,1925 kWh
2017-02-01T00:00:00-07:00,1902 kWh
2017-02-02T00:00:00-07:00,1903 kWh
2017-02-03T00:00:00-07:00,7131 kWh
2017-02-07T00:00:00-07:00,1044 kWh
2017-02-08T00:00:00-07:00,1814 kWh
2017-02-09T00:00:00-07:00,1781 kWh
2017-02-10T00:00:00-07:00,1795 kWh
2017-02-11T00:00:00-07:00,1542 kWh
2017-02-12T00:00:00-07:00,1285 kWh
2017-02-13T00:00:00-07:00,1838 kWh
2017-02-14T00:00:00-07:00,1840 kWh
2017-02-15T00:00:00-07:00,1869 kWh
2017-02-16T00:00:00-07:00,1819 kWh
2017-02-17T00:00:00-07:00,1793 kWh
2017-02-18T00:00:00-07:00,1457 kWh
2017-02-19T00:00:00-07:00,1264 kWh
2017-02-20T00:00:00-07:00,1267 kWh
2017-02-21T00:00:00-07:00,1776 kWh
2017-02-22T00:00:00-07:00,1876 kWh
2017-02-23T00:00:00-07:00,1934 kWh
2017-02-24T00:00:00-07:00,1909 kWh
2017-02-25T00:00:00-07:00,1586 kWh
2017-02-26T00:00:00-07:00,1349 kWh
2017-02-27T00:00:00-07:00,1891 kWh
2017-02-28T00:00:00-07:00,1909 kWh
2017-03-01T00:00:00-07:00,1882 kWh
2017-03-02T00:00:00-07:00,1862 kWh
2017-03-03T00:00:00-07:00,1788 kWh
2017-03-04T00:00:00-07:00,1444 kWh
2017-03-05T00:00:00-07:00,1257 kWh
