Timestamp,['1f4f36d1-fd726ca4 Power Meter (LV) 316609 Real Energy In']
2017-01-01T00:00:00-07:00,3462 kWh
2017-01-02T00:00:00-07:00,3622 kWh
2017-01-03T00:00:00-07:00,4048 kWh
2017-01-04T00:00:00-07:00,4230 kWh
2017-01-05T00:00:00-07:00,4232 kWh
2017-01-06T00:00:00-07:00,4160 kWh
2017-01-07T00:00:00-07:00,3698 kWh
2017-01-08T00:00:00-07:00,3718 kWh
2017-01-09T00:00:00-07:00,4392 kWh
2017-01-10T00:00:00-07:00,4338 kWh
2017-01-11T00:00:00-07:00,4448 kWh
2017-01-12T00:00:00-07:00,4502 kWh
2017-01-13T00:00:00-07:00,4386 kWh
2017-01-14T00:00:00-07:00,3852 kWh
2017-01-15T00:00:00-07:00,3752 kWh
2017-01-16T00:00:00-07:00,3992 kWh
2017-01-17T00:00:00-07:00,4542 kWh
2017-01-18T00:00:00-07:00,4514 kWh
2017-01-19T00:00:00-07:00,4250 kWh
2017-01-20T00:00:00-07:00,3896 kWh
2017-01-21T00:00:00-07:00,3436 kWh
2017-01-22T00:00:00-07:00,3490 kWh
2017-01-23T00:00:00-07:00,4204 kWh
2017-01-24T00:00:00-07:00,4448 kWh
2017-01-25T00:00:00-07:00,4784 kWh
2017-01-26T00:00:00-07:00,4908 kWh
2017-01-27T00:00:00-07:00,4674 kWh
2017-01-28T00:00:00-07:00,4066 kWh
2017-01-29T00:00:00-07:00,4020 kWh
2017-01-30T00:00:00-07:00,4760 kWh
2017-01-31T00:00:00-07:00,4802 kWh
2017-02-01T00:00:00-07:00,4802 kWh
2017-02-02T00:00:00-07:00,4698 kWh
2017-02-03T00:00:00-07:00,18570 kWh
2017-02-07T00:00:00-07:00,2722 kWh
2017-02-08T00:00:00-07:00,4582 kWh
2017-02-09T00:00:00-07:00,4712 kWh
2017-02-10T00:00:00-07:00,4552 kWh
2017-02-11T00:00:00-07:00,3934 kWh
2017-02-12T00:00:00-07:00,3810 kWh
2017-02-13T00:00:00-07:00,4528 kWh
2017-02-14T00:00:00-07:00,4520 kWh
2017-02-15T00:00:00-07:00,4494 kWh
2017-02-16T00:00:00-07:00,4512 kWh
2017-02-17T00:00:00-07:00,4302 kWh
2017-02-18T00:00:00-07:00,3708 kWh
2017-02-19T00:00:00-07:00,3580 kWh
2017-02-20T00:00:00-07:00,3816 kWh
2017-02-21T00:00:00-07:00,4454 kWh
2017-02-22T00:00:00-07:00,4558 kWh
2017-02-23T00:00:00-07:00,4668 kWh
2017-02-24T00:00:00-07:00,4428 kWh
2017-02-25T00:00:00-07:00,3644 kWh
2017-02-26T00:00:00-07:00,3610 kWh
2017-02-27T00:00:00-07:00,4602 kWh
2017-02-28T00:00:00-07:00,4654 kWh
2017-03-01T00:00:00-07:00,4578 kWh
2017-03-02T00:00:00-07:00,4506 kWh
2017-03-03T00:00:00-07:00,4448 kWh
2017-03-04T00:00:00-07:00,3732 kWh
2017-03-05T00:00:00-07:00,3794 kWh
2017-03-06T00:00:00-07:00,4628 kWh
2017-03-07T00:00:00-07:00,4474 kWh
2017-03-08T00:00:00-07:00,4368 kWh
2017-03-09T00:00:00-07:00,4346 kWh
2017-03-10T00:00:00-07:00,4278 kWh
2017-03-11T00:00:00-07:00,3656 kWh
2017-03-12T00:00:00-07:00,3442 kWh
2017-03-13T00:00:00-06:00,4128 kWh
2017-03-14T00:00:00-06:00,4184 kWh
2017-03-15T00:00:00-06:00,4328 kWh
2017-03-16T00:00:00-06:00,4324 kWh
2017-03-17T00:00:00-06:00,4284 kWh
2017-03-18T00:00:00-06:00,3854 kWh
2017-03-19T00:00:00-06:00,3842 kWh
2017-03-20T00:00:00-06:00,4470 kWh
2017-03-21T00:00:00-06:00,4588 kWh
2017-03-22T00:00:00-06:00,4488 kWh
2017-03-23T00:00:00-06:00,4438 kWh
2017-03-24T00:00:00-06:00,4318 kWh
2017-03-25T00:00:00-06:00,3798 kWh
2017-03-26T00:00:00-06:00,3688 kWh
2017-03-27T00:00:00-06:00,4340 kWh
2017-03-28T00:00:00-06:00,4568 kWh
2017-03-29T00:00:00-06:00,6890 kWh
2017-03-30T00:00:00-06:00,2212 kWh
2017-03-31T00:00:00-06:00,4486 kWh
2017-04-01T00:00:00-06:00,3732 kWh
2017-04-02T00:00:00-06:00,3594 kWh
2017-04-03T00:00:00-06:00,4348 kWh
2017-04-04T00:00:00-06:00,4370 kWh
2017-04-05T00:00:00-06:00,4424 kWh
2017-04-06T00:00:00-06:00,4336 kWh
2017-04-07T00:00:00-06:00,4344 kWh
2017-04-08T00:00:00-06:00,3736 kWh
2017-04-09T00:00:00-06:00,3822 kWh
2017-04-10T00:00:00-06:00,4352 kWh
2017-04-11T00:00:00-06:00,4472 kWh
2017-04-12T00:00:00-06:00,4468 kWh
2017-04-13T00:00:00-06:00,4470 kWh
2017-04-14T00:00:00-06:00,4370 kWh
2017-04-15T00:00:00-06:00,3770 kWh
2017-04-16T00:00:00-06:00,3618 kWh
2017-04-17T00:00:00-06:00,4334 kWh
2017-04-18T00:00:00-06:00,4434 kWh
2017-04-19T00:00:00-06:00,4518 kWh
2017-04-20T00:00:00-06:00,4326 kWh
2017-04-21T00:00:00-06:00,4310 kWh
2017-04-22T00:00:00-06:00,3780 kWh
2017-04-23T00:00:00-06:00,3612 kWh
2017-04-24T00:00:00-06:00,4226 kWh
2017-04-25T00:00:00-06:00,4482 kWh
2017-04-26T00:00:00-06:00,4326 kWh
2017-04-27T00:00:00-06:00,4500 kWh
2017-04-28T00:00:00-06:00,4398 kWh
2017-04-29T00:00:00-06:00,3764 kWh
2017-04-30T00:00:00-06:00,3680 kWh
2017-05-01T00:00:00-06:00,4376 kWh
2017-05-02T00:00:00-06:00,4266 kWh
2017-05-03T00:00:00-06:00,4340 kWh
2017-05-04T00:00:00-06:00,4406 kWh
2017-05-05T00:00:00-06:00,4412 kWh
2017-05-06T00:00:00-06:00,3908 kWh
2017-05-07T00:00:00-06:00,3592 kWh
2017-05-08T00:00:00-06:00,4146 kWh
2017-05-09T00:00:00-06:00,4186 kWh
2017-05-10T00:00:00-06:00,4170 kWh
2017-05-11T00:00:00-06:00,4310 kWh
2017-05-12T00:00:00-06:00,4200 kWh
2017-05-13T00:00:00-06:00,3682 kWh
2017-05-14T00:00:00-06:00,3556 kWh
2017-05-15T00:00:00-06:00,4152 kWh
2017-05-16T00:00:00-06:00,4276 kWh
2017-05-17T00:00:00-06:00,4246 kWh
2017-05-18T00:00:00-06:00,4216 kWh
2017-05-19T00:00:00-06:00,3966 kWh
2017-05-20T00:00:00-06:00,3576 kWh
2017-05-21T00:00:00-06:00,3770 kWh
2017-05-22T00:00:00-06:00,4270 kWh
2017-05-23T00:00:00-06:00,4372 kWh
2017-05-24T00:00:00-06:00,4320 kWh
2017-05-25T00:00:00-06:00,4328 kWh
2017-05-26T00:00:00-06:00,4096 kWh
2017-05-27T00:00:00-06:00,3686 kWh
2017-05-28T00:00:00-06:00,3652 kWh
2017-05-29T00:00:00-06:00,3756 kWh
2017-05-30T00:00:00-06:00,4138 kWh
2017-05-31T00:00:00-06:00,4278 kWh
2017-06-01T00:00:00-06:00,4222 kWh
2017-06-02T00:00:00-06:00,4052 kWh
2017-06-03T00:00:00-06:00,3696 kWh
2017-06-04T00:00:00-06:00,3588 kWh
2017-06-05T00:00:00-06:00,4102 kWh
2017-06-06T00:00:00-06:00,4328 kWh
2017-06-07T00:00:00-06:00,4268 kWh
2017-06-08T00:00:00-06:00,4374 kWh
2017-06-09T00:00:00-06:00,4152 kWh
2017-06-10T00:00:00-06:00,3680 kWh
2017-06-11T00:00:00-06:00,3672 kWh
