Timestamp,['1f7d6c50-dfa56172 0372-KENNECOTT MECH ENG BLDG Power Meter 300344 Current A']
2017-01-01T00:00:00-07:00,79.478515625 A
2017-01-02T00:00:00-07:00,81.048828125 A
2017-01-03T00:00:00-07:00,89.62044270833333 A
2017-01-04T00:00:00-07:00,89.48697916666667 A
2017-01-05T00:00:00-07:00,88.45442708333333 A
2017-01-06T00:00:00-07:00,91.1396484375 A
2017-01-07T00:00:00-07:00,83.92350260416667 A
2017-01-08T00:00:00-07:00,82.53059895833333 A
2017-01-09T00:00:00-07:00,93.6455078125 A
2017-01-10T00:00:00-07:00,91.48763020833333 A
2017-01-11T00:00:00-07:00,94.9775390625 A
2017-01-12T00:00:00-07:00,93.6123046875 A
2017-01-13T00:00:00-07:00,87.91373697916667 A
2017-01-14T00:00:00-07:00,78.99348958333333 A
2017-01-15T00:00:00-07:00,79.25748697916667 A
2017-01-16T00:00:00-07:00,83.17317708333333 A
2017-01-17T00:00:00-07:00,94.06380208333333 A
2017-01-18T00:00:00-07:00,81.57068452380952 A
2017-01-19T00:00:00-07:00,93.43880208333333 A
2017-01-20T00:00:00-07:00,89.08821614583333 A
2017-01-21T00:00:00-07:00,77.861328125 A
2017-01-22T00:00:00-07:00,78.615234375 A
2017-01-23T00:00:00-07:00,88.388671875 A
2017-01-24T00:00:00-07:00,94.1123046875 A
2017-01-25T00:00:00-07:00,89.56412760416667 A
2017-01-26T00:00:00-07:00,90.85611979166667 A
2017-01-27T00:00:00-07:00,92.17317708333333 A
2017-01-28T00:00:00-07:00,81.53776041666667 A
2017-01-29T00:00:00-07:00,81.40266927083333 A
2017-01-30T00:00:00-07:00,93.69986979166667 A
2017-01-31T00:00:00-07:00,93.63151041666667 A
2017-02-01T00:00:00-07:00,94.779296875 A
2017-02-02T00:00:00-07:00,97.55501302083333 A
2017-02-03T00:00:00-07:00,91.91313559322033 A
2017-02-07T00:00:00-07:00,105.94162735849056 A
2017-02-08T00:00:00-07:00,90.40794836956522 A
2017-02-09T00:00:00-07:00,87.78287760416667 A
2017-02-10T00:00:00-07:00,85.55696614583333 A
2017-02-11T00:00:00-07:00,78.6103515625 A
2017-02-12T00:00:00-07:00,78.1708984375 A
2017-02-13T00:00:00-07:00,88.26139322916667 A
2017-02-14T00:00:00-07:00,91.81315104166667 A
2017-02-15T00:00:00-07:00,91.53743489583333 A
2017-02-16T00:00:00-07:00,91.76497395833333 A
2017-02-17T00:00:00-07:00,87.9833984375 A
2017-02-18T00:00:00-07:00,79.15625 A
2017-02-19T00:00:00-07:00,81.40885416666667 A
2017-02-20T00:00:00-07:00,81.4462890625 A
2017-02-21T00:00:00-07:00,89.26920572916667 A
2017-02-22T00:00:00-07:00,94.220703125 A
2017-02-23T00:00:00-07:00,97.09342447916667 A
2017-02-24T00:00:00-07:00,88.5996835443038 A
2017-02-25T00:00:00-07:00,82.64095052083333 A
2017-02-26T00:00:00-07:00,79.986328125 A
2017-02-27T00:00:00-07:00,95.8525390625 A
2017-02-28T00:00:00-07:00,96.54166666666667 A
2017-03-01T00:00:00-07:00,94.998046875 A
2017-03-02T00:00:00-07:00,92.56998697916667 A
2017-03-03T00:00:00-07:00,85.94173177083333 A
2017-03-04T00:00:00-07:00,76.65755208333333 A
2017-03-05T00:00:00-07:00,77.16796875 A
2017-03-06T00:00:00-07:00,91.68977864583333 A
2017-03-07T00:00:00-07:00,93.10026041666667 A
2017-03-08T00:00:00-07:00,85.2041015625 A
2017-03-09T00:00:00-07:00,85.90559895833333 A
2017-03-10T00:00:00-07:00,83.259765625 A
2017-03-11T00:00:00-07:00,77.873046875 A
2017-03-12T00:00:00-07:00,74.51222826086956 A
2017-03-13T00:00:00-06:00,81.14615885416667 A
2017-03-14T00:00:00-06:00,79.84505208333333 A
2017-03-15T00:00:00-06:00,77.9404296875 A
2017-03-16T00:00:00-06:00,78.36295572916667 A
2017-03-17T00:00:00-06:00,76.87272135416667 A
2017-03-18T00:00:00-06:00,70.2294921875 A
2017-03-19T00:00:00-06:00,70.39095052083333 A
2017-03-20T00:00:00-06:00,78.79361979166667 A
2017-03-21T00:00:00-06:00,81.7236328125 A
2017-03-22T00:00:00-06:00,82.9033203125 A
2017-03-23T00:00:00-06:00,91.49348958333333 A
2017-03-24T00:00:00-06:00,87.0068359375 A
2017-03-25T00:00:00-06:00,75.85872395833333 A
2017-03-26T00:00:00-06:00,77.65592447916667 A
2017-03-27T00:00:00-06:00,94.03580729166667 A
2017-03-28T00:00:00-06:00,87.00813802083333 A
2017-03-29T00:00:00-06:00,91.4765625 A
2017-03-30T00:00:00-06:00,96.32430555555555 A
2017-03-31T00:00:00-06:00,87.4228515625 A
2017-04-01T00:00:00-06:00,72.52799479166667 A
2017-04-02T00:00:00-06:00,73.8310546875 A
2017-04-03T00:00:00-06:00,87.39583333333333 A
2017-04-04T00:00:00-06:00,84.6220703125 A
2017-04-05T00:00:00-06:00,84.8173828125 A
2017-04-06T00:00:00-06:00,84.3271484375 A
2017-04-07T00:00:00-06:00,79.60514322916667 A
2017-04-08T00:00:00-06:00,78.04915364583333 A
2017-04-09T00:00:00-06:00,78.62044270833333 A
2017-04-10T00:00:00-06:00,89.70572916666667 A
2017-04-11T00:00:00-06:00,86.64388020833333 A
2017-04-12T00:00:00-06:00,92.31119791666667 A
2017-04-13T00:00:00-06:00,78.01204427083333 A
2017-04-14T00:00:00-06:00,81.24088541666667 A
