Timestamp,['1f7d6ce1-899cf896 0372-KENNECOTT MECH ENG BLDG Power Meter 300344 Energy Consumption']
2017-01-01T00:00:00-07:00,520.5 kWh
2017-01-02T00:00:00-07:00,527 kWh
2017-01-03T00:00:00-07:00,570 kWh
2017-01-04T00:00:00-07:00,559 kWh
2017-01-05T00:00:00-07:00,564.5 kWh
2017-01-06T00:00:00-07:00,577 kWh
2017-01-07T00:00:00-07:00,528 kWh
2017-01-08T00:00:00-07:00,520.5 kWh
2017-01-09T00:00:00-07:00,618.5 kWh
2017-01-10T00:00:00-07:00,610.5 kWh
2017-01-11T00:00:00-07:00,632 kWh
2017-01-12T00:00:00-07:00,638 kWh
2017-01-13T00:00:00-07:00,608.5 kWh
2017-01-14T00:00:00-07:00,545.5 kWh
2017-01-15T00:00:00-07:00,548.5 kWh
2017-01-16T00:00:00-07:00,571 kWh
2017-01-17T00:00:00-07:00,654 kWh
2017-01-18T00:00:00-07:00,591.5 kWh
2017-01-19T00:00:00-07:00,638.5 kWh
2017-01-20T00:00:00-07:00,621.5 kWh
2017-01-21T00:00:00-07:00,511.5 kWh
2017-01-22T00:00:00-07:00,528 kWh
2017-01-23T00:00:00-07:00,613.5 kWh
2017-01-24T00:00:00-07:00,648 kWh
2017-01-25T00:00:00-07:00,635 kWh
2017-01-26T00:00:00-07:00,634.5 kWh
2017-01-27T00:00:00-07:00,627 kWh
2017-01-28T00:00:00-07:00,549.5 kWh
2017-01-29T00:00:00-07:00,551.5 kWh
2017-01-30T00:00:00-07:00,652.5 kWh
2017-01-31T00:00:00-07:00,636 kWh
2017-02-01T00:00:00-07:00,646 kWh
2017-02-02T00:00:00-07:00,649 kWh
2017-02-03T00:00:00-07:00,2583.5 kWh
2017-02-07T00:00:00-07:00,383 kWh
2017-02-08T00:00:00-07:00,613 kWh
2017-02-09T00:00:00-07:00,604 kWh
2017-02-10T00:00:00-07:00,598 kWh
2017-02-11T00:00:00-07:00,527 kWh
2017-02-12T00:00:00-07:00,540.5 kWh
2017-02-13T00:00:00-07:00,625.5 kWh
2017-02-14T00:00:00-07:00,647 kWh
2017-02-15T00:00:00-07:00,630.5 kWh
2017-02-16T00:00:00-07:00,617 kWh
2017-02-17T00:00:00-07:00,600.5 kWh
2017-02-18T00:00:00-07:00,542 kWh
2017-02-19T00:00:00-07:00,550 kWh
2017-02-20T00:00:00-07:00,567.5 kWh
2017-02-21T00:00:00-07:00,620.5 kWh
2017-02-22T00:00:00-07:00,625 kWh
2017-02-23T00:00:00-07:00,644.5 kWh
2017-02-24T00:00:00-07:00,632.5 kWh
2017-02-25T00:00:00-07:00,565.5 kWh
2017-02-26T00:00:00-07:00,550 kWh
2017-02-27T00:00:00-07:00,656 kWh
2017-02-28T00:00:00-07:00,652.5 kWh
2017-03-01T00:00:00-07:00,631 kWh
2017-03-02T00:00:00-07:00,616 kWh
2017-03-03T00:00:00-07:00,577.5 kWh
2017-03-04T00:00:00-07:00,489 kWh
2017-03-05T00:00:00-07:00,496 kWh
2017-03-06T00:00:00-07:00,611.5 kWh
2017-03-07T00:00:00-07:00,621.5 kWh
2017-03-08T00:00:00-07:00,576 kWh
2017-03-09T00:00:00-07:00,585 kWh
2017-03-10T00:00:00-07:00,558.5 kWh
2017-03-11T00:00:00-07:00,495 kWh
2017-03-12T00:00:00-07:00,458 kWh
2017-03-13T00:00:00-06:00,521.5 kWh
2017-03-14T00:00:00-06:00,521.5 kWh
2017-03-15T00:00:00-06:00,501 kWh
2017-03-16T00:00:00-06:00,504 kWh
2017-03-17T00:00:00-06:00,497.5 kWh
2017-03-18T00:00:00-06:00,453.5 kWh
2017-03-19T00:00:00-06:00,456 kWh
2017-03-20T00:00:00-06:00,541 kWh
2017-03-21T00:00:00-06:00,542 kWh
2017-03-22T00:00:00-06:00,550 kWh
