Timestamp,['1f7d6d16-90a85fe3 0372-KENNECOTT MECH ENG BLDG Power Meter 300345 Current B']
2017-01-01T00:00:00-07:00,167.67447916666666 A
2017-01-02T00:00:00-07:00,177.98046875 A
2017-01-03T00:00:00-07:00,195.77083333333334 A
2017-01-04T00:00:00-07:00,200.04817708333334 A
2017-01-05T00:00:00-07:00,196.26302083333334 A
2017-01-06T00:00:00-07:00,203.3828125 A
2017-01-07T00:00:00-07:00,177.75911458333334 A
2017-01-08T00:00:00-07:00,174.07161458333334 A
2017-01-09T00:00:00-07:00,203.796875 A
2017-01-10T00:00:00-07:00,210.77083333333334 A
2017-01-11T00:00:00-07:00,207.71484375 A
2017-01-12T00:00:00-07:00,208.35807291666666 A
2017-01-13T00:00:00-07:00,208.4765625 A
2017-01-14T00:00:00-07:00,180.63411458333334 A
2017-01-15T00:00:00-07:00,178.27864583333334 A
2017-01-16T00:00:00-07:00,189.23567708333334 A
2017-01-17T00:00:00-07:00,210.77864583333334 A
2017-01-18T00:00:00-07:00,195.47941176470587 A
2017-01-19T00:00:00-07:00,199.06770833333334 A
2017-01-20T00:00:00-07:00,196.87369791666666 A
2017-01-21T00:00:00-07:00,163.20833333333334 A
2017-01-22T00:00:00-07:00,165.33984375 A
2017-01-23T00:00:00-07:00,198.56380208333334 A
2017-01-24T00:00:00-07:00,199.328125 A
2017-01-25T00:00:00-07:00,196.09635416666666 A
2017-01-26T00:00:00-07:00,198.0234375 A
2017-01-27T00:00:00-07:00,193.16015625 A
2017-01-28T00:00:00-07:00,171.4765625 A
2017-01-29T00:00:00-07:00,170.14973958333334 A
2017-01-30T00:00:00-07:00,200.484375 A
2017-01-31T00:00:00-07:00,198.41536458333334 A
2017-02-01T00:00:00-07:00,197.78645833333334 A
2017-02-02T00:00:00-07:00,201.04036458333334 A
2017-02-03T00:00:00-07:00,185.15466101694915 A
2017-02-07T00:00:00-07:00,223.21698113207546 A
2017-02-08T00:00:00-07:00,204.48641304347825 A
2017-02-09T00:00:00-07:00,230.73046875 A
2017-02-10T00:00:00-07:00,215.87760416666666 A
2017-02-11T00:00:00-07:00,185.61458333333334 A
2017-02-12T00:00:00-07:00,175.33333333333334 A
2017-02-13T00:00:00-07:00,204.63541666666666 A
2017-02-14T00:00:00-07:00,206.35677083333334 A
2017-02-15T00:00:00-07:00,208.75911458333334 A
2017-02-16T00:00:00-07:00,202.8515625 A
2017-02-17T00:00:00-07:00,203.73177083333334 A
2017-02-18T00:00:00-07:00,176.91796875 A
2017-02-19T00:00:00-07:00,177.33203125 A
2017-02-20T00:00:00-07:00,189.52734375 A
2017-02-21T00:00:00-07:00,206.69140625 A
2017-02-22T00:00:00-07:00,206.7109375 A
2017-02-23T00:00:00-07:00,212.11197916666666 A
2017-02-24T00:00:00-07:00,203.9129746835443 A
2017-02-25T00:00:00-07:00,193.30338541666666 A
2017-02-26T00:00:00-07:00,180.82421875 A
2017-02-27T00:00:00-07:00,216.65625 A
2017-02-28T00:00:00-07:00,207.140625 A
2017-03-01T00:00:00-07:00,212.61067708333334 A
2017-03-02T00:00:00-07:00,209.27213541666666 A
2017-03-03T00:00:00-07:00,213.60026041666666 A
2017-03-04T00:00:00-07:00,173.67578125 A
2017-03-05T00:00:00-07:00,177.984375 A
2017-03-06T00:00:00-07:00,201.58984375 A
2017-03-07T00:00:00-07:00,199.11328125 A
2017-03-08T00:00:00-07:00,195.625 A
2017-03-09T00:00:00-07:00,202.11197916666666 A
2017-03-10T00:00:00-07:00,199.828125 A
2017-03-11T00:00:00-07:00,171.21842105263158 A
2017-03-12T00:00:00-07:00,165.15896739130434 A
2017-03-13T00:00:00-06:00,198.50130208333334 A
2017-03-14T00:00:00-06:00,190.53645833333334 A
2017-03-15T00:00:00-06:00,184.88541666666666 A
2017-03-16T00:00:00-06:00,171.80208333333334 A
2017-03-17T00:00:00-06:00,193.28385416666666 A
2017-03-18T00:00:00-06:00,199.82552083333334 A
2017-03-19T00:00:00-06:00,193.84505208333334 A
2017-03-20T00:00:00-06:00,230.29817708333334 A
2017-03-21T00:00:00-06:00,245.54036458333334 A
2017-03-22T00:00:00-06:00,207.80598958333334 A
