Timestamp,['1f7d6d19-0b278e9b 0372-KENNECOTT MECH ENG BLDG Power Meter 300345 Current C']
2017-01-01T00:00:00-07:00,179.54427083333334 A
2017-01-02T00:00:00-07:00,181.64713541666666 A
2017-01-03T00:00:00-07:00,191.46484375 A
2017-01-04T00:00:00-07:00,194.12630208333334 A
2017-01-05T00:00:00-07:00,193.70703125 A
2017-01-06T00:00:00-07:00,199.46875 A
2017-01-07T00:00:00-07:00,183.25130208333334 A
2017-01-08T00:00:00-07:00,176.34635416666666 A
2017-01-09T00:00:00-07:00,181.88802083333334 A
2017-01-10T00:00:00-07:00,188.50651041666666 A
2017-01-11T00:00:00-07:00,191.49479166666666 A
2017-01-12T00:00:00-07:00,195.35026041666666 A
2017-01-13T00:00:00-07:00,195.87109375 A
2017-01-14T00:00:00-07:00,180.77083333333334 A
2017-01-15T00:00:00-07:00,182.1953125 A
2017-01-16T00:00:00-07:00,185.45182291666666 A
2017-01-17T00:00:00-07:00,195.80208333333334 A
2017-01-18T00:00:00-07:00,185.125 A
2017-01-19T00:00:00-07:00,190.36979166666666 A
2017-01-20T00:00:00-07:00,187.93359375 A
2017-01-21T00:00:00-07:00,168.38802083333334 A
2017-01-22T00:00:00-07:00,168.9453125 A
2017-01-23T00:00:00-07:00,189.36067708333334 A
2017-01-24T00:00:00-07:00,181.60677083333334 A
2017-01-25T00:00:00-07:00,183.52083333333334 A
2017-01-26T00:00:00-07:00,183.05989583333334 A
2017-01-27T00:00:00-07:00,183.84244791666666 A
2017-01-28T00:00:00-07:00,174.48046875 A
2017-01-29T00:00:00-07:00,174.26041666666666 A
2017-01-30T00:00:00-07:00,188.99479166666666 A
2017-01-31T00:00:00-07:00,185.140625 A
2017-02-01T00:00:00-07:00,191.96614583333334 A
2017-02-02T00:00:00-07:00,190.91666666666666 A
2017-02-03T00:00:00-07:00,170.51483050847457 A
2017-02-07T00:00:00-07:00,185.06132075471697 A
2017-02-08T00:00:00-07:00,170.66483516483515 A
2017-02-09T00:00:00-07:00,199.14583333333334 A
2017-02-10T00:00:00-07:00,188.78125 A
2017-02-11T00:00:00-07:00,179.80859375 A
2017-02-12T00:00:00-07:00,175.484375 A
2017-02-13T00:00:00-07:00,188.53385416666666 A
2017-02-14T00:00:00-07:00,185.44921875 A
2017-02-15T00:00:00-07:00,183.22786458333334 A
2017-02-16T00:00:00-07:00,176.83984375 A
2017-02-17T00:00:00-07:00,172.07942708333334 A
2017-02-18T00:00:00-07:00,154.30078125 A
2017-02-19T00:00:00-07:00,154.50520833333334 A
2017-02-20T00:00:00-07:00,159.29296875 A
2017-02-21T00:00:00-07:00,179.44270833333334 A
2017-02-22T00:00:00-07:00,188.26822916666666 A
2017-02-23T00:00:00-07:00,189.3125 A
2017-02-24T00:00:00-07:00,181.65348101265823 A
2017-02-25T00:00:00-07:00,175.046875 A
2017-02-26T00:00:00-07:00,173.69921875 A
2017-02-27T00:00:00-07:00,190.16796875 A
2017-02-28T00:00:00-07:00,188.28125 A
2017-03-01T00:00:00-07:00,184.41145833333334 A
2017-03-02T00:00:00-07:00,180.83854166666666 A
2017-03-03T00:00:00-07:00,182.2734375 A
2017-03-04T00:00:00-07:00,160.79557291666666 A
2017-03-05T00:00:00-07:00,165.11328125 A
2017-03-06T00:00:00-07:00,186.55598958333334 A
2017-03-07T00:00:00-07:00,172.35026041666666 A
2017-03-08T00:00:00-07:00,162.21484375 A
2017-03-09T00:00:00-07:00,167.16796875 A
2017-03-10T00:00:00-07:00,175.06901041666666 A
2017-03-11T00:00:00-07:00,154.1671052631579 A
2017-03-12T00:00:00-07:00,153.02309782608697 A
2017-03-13T00:00:00-06:00,174.31901041666666 A
2017-03-14T00:00:00-06:00,155.7265625 A
2017-03-15T00:00:00-06:00,149.82552083333334 A
2017-03-16T00:00:00-06:00,142.18880208333334 A
2017-03-17T00:00:00-06:00,166.45182291666666 A
2017-03-18T00:00:00-06:00,185.0390625 A
2017-03-19T00:00:00-06:00,175.83203125 A
2017-03-20T00:00:00-06:00,189.66536458333334 A
2017-03-21T00:00:00-06:00,206.05729166666666 A
2017-03-22T00:00:00-06:00,176.92317708333334 A
2017-03-23T00:00:00-06:00,195.66796875 A
2017-03-24T00:00:00-06:00,180.703125 A
2017-03-25T00:00:00-06:00,165.54166666666666 A
2017-03-26T00:00:00-06:00,166.57552083333334 A
2017-03-27T00:00:00-06:00,177.16276041666666 A
2017-03-28T00:00:00-06:00,157.33854166666666 A
2017-03-29T00:00:00-06:00,159.90277777777777 A
2017-03-30T00:00:00-06:00,184.08333333333334 A
2017-03-31T00:00:00-06:00,163.06380208333334 A
2017-04-01T00:00:00-06:00,149.48828125 A
2017-04-02T00:00:00-06:00,150.07942708333334 A
2017-04-03T00:00:00-06:00,169.96614583333334 A
2017-04-04T00:00:00-06:00,175.7578125 A
2017-04-05T00:00:00-06:00,172.01432291666666 A
2017-04-06T00:00:00-06:00,158.22786458333334 A
2017-04-07T00:00:00-06:00,184.29817708333334 A
2017-04-08T00:00:00-06:00,162.34895833333334 A
2017-04-09T00:00:00-06:00,172.41145833333334 A
2017-04-10T00:00:00-06:00,177.74348958333334 A
2017-04-11T00:00:00-06:00,167.29817708333334 A
2017-04-12T00:00:00-06:00,167.64453125 A
2017-04-13T00:00:00-06:00,214.97135416666666 A
2017-04-14T00:00:00-06:00,163.38802083333334 A
2017-04-15T00:00:00-06:00,156.625 A
2017-04-16T00:00:00-06:00,172.60677083333334 A
2017-04-17T00:00:00-06:00,205.95442708333334 A
2017-04-18T00:00:00-06:00,170.9296875 A
2017-04-19T00:00:00-06:00,168.92838541666666 A
2017-04-20T00:00:00-06:00,162.76302083333334 A
2017-04-21T00:00:00-06:00,167.421875 A
2017-04-22T00:00:00-06:00,158.07942708333334 A
2017-04-23T00:00:00-06:00,152.5703125 A
2017-04-24T00:00:00-06:00,170.28645833333334 A
2017-04-25T00:00:00-06:00,180.81770833333334 A
2017-04-26T00:00:00-06:00,169.08854166666666 A
2017-04-27T00:00:00-06:00,167.41666666666666 A
2017-04-28T00:00:00-06:00,182.41015625 A
2017-04-29T00:00:00-06:00,159.67578125 A
2017-04-30T00:00:00-06:00,149.48958333333334 A
2017-05-01T00:00:00-06:00,162.06901041666666 A
2017-05-02T00:00:00-06:00,166.50520833333334 A
2017-05-03T00:00:00-06:00,172.06770833333334 A
2017-05-04T00:00:00-06:00,190.91666666666666 A
2017-05-05T00:00:00-06:00,218.08203125 A
2017-05-06T00:00:00-06:00,227.93098958333334 A
2017-05-07T00:00:00-06:00,217.21223958333334 A
2017-05-08T00:00:00-06:00,202.99869791666666 A
2017-05-09T00:00:00-06:00,193.65364583333334 A
2017-05-10T00:00:00-06:00,195.57421875 A
2017-05-11T00:00:00-06:00,219.91796875 A
2017-05-12T00:00:00-06:00,242.57942708333334 A
2017-05-13T00:00:00-06:00,143.80078125 A
2017-05-14T00:00:00-06:00,144.96744791666666 A
2017-05-15T00:00:00-06:00,170.35416666666666 A
2017-05-16T00:00:00-06:00,159.4921875 A
2017-05-17T00:00:00-06:00,173.34375 A
2017-05-18T00:00:00-06:00,169.67317708333334 A
2017-05-19T00:00:00-06:00,157.34114583333334 A
2017-05-20T00:00:00-06:00,165.54947916666666 A
2017-05-21T00:00:00-06:00,152.7890625 A
2017-05-22T00:00:00-06:00,188.57421875 A
2017-05-23T00:00:00-06:00,215.53125 A
2017-05-24T00:00:00-06:00,243.54947916666666 A
2017-05-25T00:00:00-06:00,190.95182291666666 A
2017-05-26T00:00:00-06:00,168.42057291666666 A
