Timestamp,['1f7d6d1e-497ce2d8 0372-KENNECOTT MECH ENG BLDG Power Meter 300345 Energy Consumption']
2017-01-01T00:00:00-07:00,3209 kWh
2017-01-02T00:00:00-07:00,3390 kWh
2017-01-03T00:00:00-07:00,3700 kWh
2017-01-04T00:00:00-07:00,3722 kWh
2017-01-05T00:00:00-07:00,3724 kWh
2017-01-06T00:00:00-07:00,3803 kWh
2017-01-07T00:00:00-07:00,3369 kWh
2017-01-08T00:00:00-07:00,3267 kWh
2017-01-09T00:00:00-07:00,3764 kWh
2017-01-10T00:00:00-07:00,3815 kWh
2017-01-11T00:00:00-07:00,3868 kWh
2017-01-12T00:00:00-07:00,3912 kWh
2017-01-13T00:00:00-07:00,3891 kWh
2017-01-14T00:00:00-07:00,3393 kWh
2017-01-15T00:00:00-07:00,3377 kWh
2017-01-16T00:00:00-07:00,3596 kWh
2017-01-17T00:00:00-07:00,3957 kWh
2017-01-18T00:00:00-07:00,3802 kWh
2017-01-19T00:00:00-07:00,3808 kWh
2017-01-20T00:00:00-07:00,3738 kWh
2017-01-21T00:00:00-07:00,3132 kWh
2017-01-22T00:00:00-07:00,3179 kWh
2017-01-23T00:00:00-07:00,3792 kWh
2017-01-24T00:00:00-07:00,3751 kWh
2017-01-25T00:00:00-07:00,3741 kWh
2017-01-26T00:00:00-07:00,3764 kWh
2017-01-27T00:00:00-07:00,3706 kWh
2017-01-28T00:00:00-07:00,3286 kWh
2017-01-29T00:00:00-07:00,3287 kWh
2017-01-30T00:00:00-07:00,3828 kWh
2017-01-31T00:00:00-07:00,3762 kWh
2017-02-01T00:00:00-07:00,3825 kWh
2017-02-02T00:00:00-07:00,3835 kWh
2017-02-03T00:00:00-07:00,14366 kWh
2017-02-07T00:00:00-07:00,2251 kWh
2017-02-08T00:00:00-07:00,3742 kWh
2017-02-09T00:00:00-07:00,4228 kWh
2017-02-10T00:00:00-07:00,3923 kWh
2017-02-11T00:00:00-07:00,3485 kWh
2017-02-12T00:00:00-07:00,3386 kWh
2017-02-13T00:00:00-07:00,3898 kWh
2017-02-14T00:00:00-07:00,3895 kWh
2017-02-15T00:00:00-07:00,3857 kWh
2017-02-16T00:00:00-07:00,3774 kWh
2017-02-17T00:00:00-07:00,3718 kWh
2017-02-18T00:00:00-07:00,3232 kWh
2017-02-19T00:00:00-07:00,3241 kWh
2017-02-20T00:00:00-07:00,3468 kWh
2017-02-21T00:00:00-07:00,3829 kWh
2017-02-22T00:00:00-07:00,3908 kWh
2017-02-23T00:00:00-07:00,3917 kWh
2017-02-24T00:00:00-07:00,3910 kWh
2017-02-25T00:00:00-07:00,3509 kWh
2017-02-26T00:00:00-07:00,3391 kWh
2017-02-27T00:00:00-07:00,3941 kWh
2017-02-28T00:00:00-07:00,3883 kWh
2017-03-01T00:00:00-07:00,3884 kWh
2017-03-02T00:00:00-07:00,3829 kWh
2017-03-03T00:00:00-07:00,3842 kWh
2017-03-04T00:00:00-07:00,3192 kWh
2017-03-05T00:00:00-07:00,3261 kWh
2017-03-06T00:00:00-07:00,3764 kWh
2017-03-07T00:00:00-07:00,3669 kWh
2017-03-08T00:00:00-07:00,3573 kWh
2017-03-09T00:00:00-07:00,3641 kWh
2017-03-10T00:00:00-07:00,3654 kWh
2017-03-11T00:00:00-07:00,3107 kWh
2017-03-12T00:00:00-07:00,2915 kWh
2017-03-13T00:00:00-06:00,3626 kWh
2017-03-14T00:00:00-06:00,3421 kWh
2017-03-15T00:00:00-06:00,3286 kWh
2017-03-16T00:00:00-06:00,3126 kWh
2017-03-17T00:00:00-06:00,3549 kWh
2017-03-18T00:00:00-06:00,3696 kWh
2017-03-19T00:00:00-06:00,3487 kWh
2017-03-20T00:00:00-06:00,4140 kWh
2017-03-21T00:00:00-06:00,4324 kWh
2017-03-22T00:00:00-06:00,3812 kWh
2017-03-23T00:00:00-06:00,3983 kWh
2017-03-24T00:00:00-06:00,3787 kWh
2017-03-25T00:00:00-06:00,3325 kWh
2017-03-26T00:00:00-06:00,3296 kWh
2017-03-27T00:00:00-06:00,3793 kWh
2017-03-28T00:00:00-06:00,3442 kWh
2017-03-29T00:00:00-06:00,5384 kWh
2017-03-30T00:00:00-06:00,1924 kWh
2017-03-31T00:00:00-06:00,3644 kWh
2017-04-01T00:00:00-06:00,3113 kWh
2017-04-02T00:00:00-06:00,3140 kWh
2017-04-03T00:00:00-06:00,3679 kWh
2017-04-04T00:00:00-06:00,3687 kWh
2017-04-05T00:00:00-06:00,3719 kWh
2017-04-06T00:00:00-06:00,3556 kWh
2017-04-07T00:00:00-06:00,4015 kWh
