Timestamp,['1fa2474c-872f79df 0002-VOICE & OPERA CNTR Power Meter (301411) Current C']
2017-01-01T00:00:00-07:00,3.694055173546076 A
2017-01-02T00:00:00-07:00,5.108142979443073 A
2017-01-03T00:00:00-07:00,5.746056931714217 A
2017-01-04T00:00:00-07:00,6.3085258069137735 A
2017-01-05T00:00:00-07:00,5.703507781028748 A
2017-01-06T00:00:00-07:00,5.8938665091991425 A
2017-01-07T00:00:00-07:00,4.778284884989262 A
2017-01-08T00:00:00-07:00,4.1776127343376475 A
2017-01-09T00:00:00-07:00,7.884619851907094 A
2017-01-10T00:00:00-07:00,8.583452885349592 A
2017-01-11T00:00:00-07:00,8.908848321686188 A
2017-01-12T00:00:00-07:00,6.110159266740084 A
2017-01-13T00:00:00-07:00,9.417287410547337 A
2017-01-14T00:00:00-07:00,3.839406988273064 A
2017-01-15T00:00:00-07:00,3.8647499593595662 A
2017-01-16T00:00:00-07:00,7.067717034369707 A
2017-01-17T00:00:00-07:00,12.182238794863224 A
2017-01-18T00:00:00-07:00,11.182979661793937 A
2017-01-19T00:00:00-07:00,6.499765358865261 A
2017-01-20T00:00:00-07:00,9.859213716040054 A
2017-01-21T00:00:00-07:00,5.605818084130685 A
2017-01-22T00:00:00-07:00,5.016415471831958 A
2017-01-23T00:00:00-07:00,9.863640436281761 A
2017-01-24T00:00:00-07:00,13.19166344528397 A
2017-01-25T00:00:00-07:00,13.098751373589039 A
2017-01-26T00:00:00-07:00,9.535619695981344 A
2017-01-27T00:00:00-07:00,8.648935586214066 A
2017-01-28T00:00:00-07:00,11.530016476909319 A
2017-01-29T00:00:00-07:00,4.39521421554188 A
2017-01-30T00:00:00-07:00,11.49829982345303 A
2017-01-31T00:00:00-07:00,12.24434907734394 A
2017-02-01T00:00:00-07:00,13.24377262716492 A
2017-02-02T00:00:00-07:00,6.469418033957481 A
2017-02-03T00:00:00-07:00,6.48482948642666 A
2017-02-07T00:00:00-07:00,13.870249200374522 A
2017-02-08T00:00:00-07:00,8.474742669529386 A
2017-02-09T00:00:00-07:00,5.477704404542844 A
2017-02-10T00:00:00-07:00,8.97497110068798 A
2017-02-11T00:00:00-07:00,11.033404717842737 A
2017-02-12T00:00:00-07:00,4.294933026035626 A
2017-02-13T00:00:00-07:00,10.388440320889154 A
2017-02-14T00:00:00-07:00,9.05610761543115 A
2017-02-15T00:00:00-07:00,9.62193039432168 A
2017-02-16T00:00:00-07:00,5.576618179678917 A
2017-02-17T00:00:00-07:00,5.158004463960727 A
2017-02-18T00:00:00-07:00,6.040093246847391 A
2017-02-19T00:00:00-07:00,2.7859135679900646 A
2017-02-20T00:00:00-07:00,6.3018022154768305 A
2017-02-21T00:00:00-07:00,8.270883161574602 A
2017-02-22T00:00:00-07:00,4.577170516053836 A
2017-02-23T00:00:00-07:00,4.893696365257104 A
2017-02-24T00:00:00-07:00,4.6707114388671105 A
2017-02-25T00:00:00-07:00,3.7644020095467567 A
2017-02-26T00:00:00-07:00,4.192081071436405 A
2017-02-27T00:00:00-07:00,7.387503013014793 A
2017-02-28T00:00:00-07:00,10.893557980656624 A
2017-03-01T00:00:00-07:00,12.40843819702665 A
2017-03-02T00:00:00-07:00,7.24935041492184 A
2017-03-03T00:00:00-07:00,9.09564389536778 A
2017-03-04T00:00:00-07:00,5.314799832801024 A
2017-03-05T00:00:00-07:00,4.9294468487302465 A
2017-03-06T00:00:00-07:00,9.787121333181858 A
2017-03-07T00:00:00-07:00,11.670849243799845 A
2017-03-08T00:00:00-07:00,10.808959379792213 A
