Timestamp,"['1fa24757-6c41502c 0002-VOICE & OPERA CNTR Power Meter (301411) Watts, 3-Ph total']"
2017-01-01T00:00:00-07:00,4.775200366973877 kW
2017-01-02T00:00:00-07:00,5.430901050567627 kW
2017-01-03T00:00:00-07:00,5.499192237854004 kW
2017-01-04T00:00:00-07:00,6.829891681671143 kW
2017-01-05T00:00:00-07:00,6.860991477966309 kW
2017-01-06T00:00:00-07:00,6.854262351989746 kW
2017-01-07T00:00:00-07:00,5.390163421630859 kW
2017-01-08T00:00:00-07:00,4.957571029663086 kW
2017-01-09T00:00:00-07:00,7.219212532043457 kW
2017-01-10T00:00:00-07:00,6.554585933685303 kW
2017-01-11T00:00:00-07:00,5.33352518081665 kW
2017-01-12T00:00:00-07:00,5.444087028503418 kW
2017-01-13T00:00:00-07:00,7.721336841583252 kW
2017-01-14T00:00:00-07:00,1.325294017791748 kW
2017-01-15T00:00:00-07:00,5.038989543914795 kW
2017-01-16T00:00:00-07:00,5.606596946716309 kW
2017-01-17T00:00:00-07:00,7.499325275421143 kW
2017-01-18T00:00:00-07:00,7.423581123352051 kW
2017-01-19T00:00:00-07:00,5.461241722106934 kW
2017-01-20T00:00:00-07:00,9.25908374786377 kW
2017-01-21T00:00:00-07:00,5.531308174133301 kW
2017-01-22T00:00:00-07:00,5.200128078460693 kW
2017-01-23T00:00:00-07:00,6.631556510925293 kW
2017-01-24T00:00:00-07:00,8.497716903686523 kW
2017-01-25T00:00:00-07:00,8.028454780578613 kW
2017-01-26T00:00:00-07:00,5.539604663848877 kW
2017-01-27T00:00:00-07:00,4.044885635375977 kW
2017-01-28T00:00:00-07:00,5.615697383880615 kW
2017-01-29T00:00:00-07:00,1.8030072450637817 kW
2017-01-30T00:00:00-07:00,7.933901309967041 kW
2017-01-31T00:00:00-07:00,4.718263626098633 kW
2017-02-01T00:00:00-07:00,5.906938076019287 kW
2017-02-02T00:00:00-07:00,4.593283653259277 kW
2017-02-03T00:00:00-07:00,5.051939964294434 kW
2017-02-07T00:00:00-07:00,5.518794536590576 kW
2017-02-08T00:00:00-07:00,6.477031230926514 kW
2017-02-09T00:00:00-07:00,4.607707500457764 kW
2017-02-10T00:00:00-07:00,5.426833629608154 kW
2017-02-11T00:00:00-07:00,8.136969566345215 kW
2017-02-12T00:00:00-07:00,4.654447078704834 kW
2017-02-13T00:00:00-07:00,9.390551567077637 kW
2017-02-14T00:00:00-07:00,6.389040470123291 kW
2017-02-15T00:00:00-07:00,9.272934913635254 kW
2017-02-16T00:00:00-07:00,5.387543678283691 kW
2017-02-17T00:00:00-07:00,3.6571600437164307 kW
2017-02-18T00:00:00-07:00,4.7777814865112305 kW
2017-02-19T00:00:00-07:00,4.561867713928223 kW
2017-02-20T00:00:00-07:00,5.4062933921813965 kW
2017-02-21T00:00:00-07:00,5.6451921463012695 kW
2017-02-22T00:00:00-07:00,1.6587960720062256 kW
2017-02-23T00:00:00-07:00,5.508882999420166 kW
2017-02-24T00:00:00-07:00,3.245858669281006 kW
2017-02-25T00:00:00-07:00,5.129927158355713 kW
2017-02-26T00:00:00-07:00,1.3713831901550293 kW
2017-02-27T00:00:00-07:00,6.746929168701172 kW
2017-02-28T00:00:00-07:00,5.4885759353637695 kW
2017-03-01T00:00:00-07:00,7.447043418884277 kW
2017-03-02T00:00:00-07:00,2.7051568031311035 kW
2017-03-03T00:00:00-07:00,9.172399520874023 kW
2017-03-04T00:00:00-07:00,4.734064102172852 kW
2017-03-05T00:00:00-07:00,5.285238265991211 kW
2017-03-06T00:00:00-07:00,8.582928657531738 kW
2017-03-07T00:00:00-07:00,7.056089878082275 kW
2017-03-08T00:00:00-07:00,8.788057327270508 kW
2017-03-09T00:00:00-07:00,5.916311740875244 kW
2017-03-10T00:00:00-07:00,8.307680130004883 kW
2017-03-11T00:00:00-07:00,4.854740619659424 kW
2017-03-12T00:00:00-07:00,4.70980978012085 kW
2017-03-13T00:00:00-06:00,4.725895881652832 kW
2017-03-14T00:00:00-06:00,7.532792091369629 kW
2017-03-15T00:00:00-06:00,5.383282661437988 kW
2017-03-16T00:00:00-06:00,5.526080131530762 kW
2017-03-17T00:00:00-06:00,5.314671993255615 kW
2017-03-18T00:00:00-06:00,4.507427215576172 kW
2017-03-19T00:00:00-06:00,4.540022850036621 kW
2017-03-20T00:00:00-06:00,9.233344078063965 kW
2017-03-21T00:00:00-06:00,9.468350410461426 kW
2017-03-22T00:00:00-06:00,10.499297142028809 kW
2017-03-23T00:00:00-06:00,10.619134902954102 kW
2017-03-24T00:00:00-06:00,7.396899700164795 kW
2017-03-25T00:00:00-06:00,6.859806060791016 kW
2017-03-26T00:00:00-06:00,4.962517738342285 kW
2017-03-27T00:00:00-06:00,8.869997024536133 kW
2017-03-28T00:00:00-06:00,5.7820725440979 kW
2017-03-29T00:00:00-06:00,4.683039665222168 kW
2017-03-30T00:00:00-06:00,9.00412368774414 kW
2017-03-31T00:00:00-06:00,5.428701400756836 kW
2017-04-01T00:00:00-06:00,4.771005153656006 kW
2017-04-02T00:00:00-06:00,4.673584938049316 kW
2017-04-03T00:00:00-06:00,8.605308532714844 kW
2017-04-04T00:00:00-06:00,10.032118797302246 kW
2017-04-05T00:00:00-06:00,10.728046417236328 kW
2017-04-06T00:00:00-06:00,8.048513412475586 kW
2017-04-07T00:00:00-06:00,5.3974175453186035 kW
2017-04-08T00:00:00-06:00,8.084884643554688 kW
2017-04-09T00:00:00-06:00,5.165255069732666 kW
2017-04-10T00:00:00-06:00,10.370530128479004 kW
2017-04-11T00:00:00-06:00,7.837036609649658 kW
2017-04-12T00:00:00-06:00,7.1889424324035645 kW
2017-04-13T00:00:00-06:00,7.774103164672852 kW
2017-04-14T00:00:00-06:00,6.633913516998291 kW
2017-04-15T00:00:00-06:00,5.028079032897949 kW
2017-04-16T00:00:00-06:00,4.652839660644531 kW
2017-04-17T00:00:00-06:00,6.314324378967285 kW
2017-04-18T00:00:00-06:00,6.678928852081299 kW
2017-04-19T00:00:00-06:00,2.745203971862793 kW
2017-04-20T00:00:00-06:00,4.768851280212402 kW
2017-04-21T00:00:00-06:00,5.129273891448975 kW
2017-04-22T00:00:00-06:00,4.548552513122559 kW
2017-04-23T00:00:00-06:00,1.6960057020187378 kW
2017-04-24T00:00:00-06:00,4.631345748901367 kW
2017-04-25T00:00:00-06:00,7.517548084259033 kW
2017-04-26T00:00:00-06:00,5.49554443359375 kW
